district_code,name_english,population
35081,Parkdale--High Park,105103
35082,Parry Sound--Muskoka,91263
35083,Perth--Wellington,104912
35084,Peterborough--Kawartha,115269
35085,Pickering--Uxbridge,109344
35086,Renfrew--Nipissing--Pembroke,102537
35087,Richmond Hill,108658
35088,Carleton,89522
35089,St. Catharines,110596
35090,Toronto--St. Paul's,103983
35091,Sarnia--Lambton,106293
35092,Sault Ste. Marie,82052
35093,Scarborough--Agincourt,104499
35094,Scarborough Centre,108826
35095,Scarborough--Guildwood,101914
35096,Scarborough North,101080
35097,Scarborough--Rouge Park,102646
35098,Scarborough Southwest,106733
35099,Simcoe--Grey,116307
35100,Simcoe North,108672
35101,Spadina--Fort York,82480
35102,Stormont--Dundas--South Glengarry,100913
35103,Sudbury,92048
35104,Thornhill,110427
35105,Thunder Bay--Rainy River,82984
35106,Thunder Bay--Superior North,82827
35107,Timmins--James Bay,83104
35108,Toronto Centre,93971
35109,Toronto--Danforth,104017
35110,University--Rosedale,98605
35111,Vaughan--Woodbridge,105450
35112,Waterloo,103192
35113,Wellington--Halton Hills,115880
35114,Whitby,122022
35115,Willowdale,109680
35116,Windsor--Tecumseh,115528
35117,Windsor West,118973
35118,York Centre,100277
35119,York--Simcoe,94616
35120,York South--Weston,116606
35121,Humber River--Black Creek,108198
46001,Brandon--Souris,83814
46002,Charleswood--St. James--Assiniboia--Headingley,81864
46003,Churchill--Keewatinook Aski,85148
46004,Dauphin--Swan River--Neepawa,87374
46005,Elmwood--Transcona,85906
46006,Kildonan--St. Paul,81794
46007,Portage--Lisgar,91019
46008,Provencher,88640
46009,Saint Boniface--Saint Vital,84353
46010,Selkirk--Interlake--Eastman,91463
46011,Winnipeg Centre,82026
46012,Winnipeg North,88616
46013,Winnipeg South,85540
46014,Winnipeg South Centre,90711
47001,Battlefords--Lloydminster,70034
47002,Cypress Hills--Grasslands,67834
47003,Desnethé--Missinippi--Churchill River,69471
47004,Carlton Trail--Eagle Creek,72607
47005,Moose Jaw--Lake Centre--Lanigan,76106
47006,Prince Albert,79344
47007,Regina--Lewvan,79587
47008,Regina--Qu'Appelle,72891
47009,Regina--Wascana,77208
47010,Saskatoon--Grasswood,72010
47011,Saskatoon--University,76257
47012,Saskatoon West,76704
47013,Souris--Moose Mountain,72058
47014,Yorkton--Melville,71270
48001,Banff--Airdrie,105442
48002,Battle River--Crowfoot,107140
48003,Bow River,103871
48004,Calgary Centre,108931
48005,Calgary Confederation,111785
48006,Calgary Forest Lawn,108251
48007,Calgary Heritage,108320
48008,Calgary Midnapore,111227
48009,Calgary Nose Hill,109286
48010,Calgary Rocky Ridge,108901
48011,Calgary Shepard,110296
48012,Calgary Signal Hill,109647
48013,Calgary Skyview,110189
48014,Edmonton Centre,106121
48015,Edmonton Griesbach,107809
48016,Edmonton Manning,106262
48017,Edmonton Mill Woods,106103
48018,Edmonton Riverbend,106302
48019,Edmonton Strathcona,103183
48020,Edmonton West,104422
48021,Edmonton--Wetaskiwin,110644
48022,Foothills,105515
48023,Fort McMurray--Cold Lake,101538
48024,Grande Prairie--Mackenzie,106738
48025,Lakeland,104616
48026,Lethbridge,105999
48027,Medicine Hat--Cardston--Warner,102847
48028,Peace River--Westlock,108095
48029,Red Deer--Mountain View,110793
48030,Red Deer--Lacombe,113693
48031,St. Albert--Edmonton,105162
48032,Sherwood Park--Fort Saskatchewan,111541
48033,Sturgeon River--Parkland,105733
48034,Yellowhead,98855
59001,Abbotsford,96819
59002,Burnaby North--Seymour,100632
59003,Burnaby South,105037
59004,Cariboo--Prince George,108252
59005,Central Okanagan--Similkameen--Nicola,104398
59006,Chilliwack--Hope,92734
59007,Cloverdale--Langley City,100318
59008,Coquitlam--Port Coquitlam,110277
59009,Courtenay--Alberni,110391
59010,Cowichan--Malahat--Langford,99160
59011,Delta,100588
59012,Fleetwood--Port Kells,109742
59013,Kamloops--Thompson--Cariboo,118618
59014,Kelowna--Lake Country,110051
59015,Kootenay--Columbia,107589
59016,Langley--Aldergrove,103084
59017,Mission--Matsqui--Fraser Canyon,90871
59018,Nanaimo--Ladysmith,114998
59019,New Westminster--Burnaby,108652
59020,North Okanagan--Shuswap,121474
59021,North Vancouver,109639
59022,Pitt Meadows--Maple Ridge,94111
59023,Port Moody--Coquitlam,108326
59024,Prince George--Peace River--Northern Rockies,107382
59025,Richmond Centre,93863
59026,Esquimalt--Saanich--Sooke,113004
59027,Saanich--Gulf Islands,104285
59028,Skeena--Bulkley Valley,90586
59029,South Okanagan--West Kootenay,112096
59030,South Surrey--White Rock,94678
59031,Steveston--Richmond East,96610
59032,Surrey Centre,111486
59033,Surrey--Newton,105183
59034,Vancouver Centre,102480
59035,Vancouver East,110097
59036,Vancouver Granville,99886
59037,North Island--Powell River,103458
59038,Vancouver Kingsway,102003
59039,Vancouver Quadra,102416
59040,Vancouver South,100966
59041,Victoria,110942
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,112875
60001,Yukon,33897
61001,Northwest Territories,41462
62001,Nunavut,31906
