Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Freeman,Sonia Jurado,Pierre-Paul Routhier,Brian Sarwer-Foner,Linda Schwey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 112","Sainte-Catherine",141,35,37,9,34,2,258,436
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 113","Sainte-Catherine",115,43,26,6,26,0,216,391
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 114","Sainte-Catherine",92,38,27,6,23,1,187,336
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 115","Sainte-Catherine",141,43,28,14,26,5,257,393
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 116","Sainte-Catherine",135,38,25,6,28,5,237,352
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 117","Sainte-Catherine",87,14,20,2,18,1,142,254
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 118","Sainte-Catherine",128,43,37,5,42,5,260,377
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 119","Sainte-Catherine",145,32,30,6,34,6,253,375
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 120","Sainte-Catherine",68,21,20,6,19,4,138,293
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 121","Sainte-Catherine",91,24,34,2,31,5,187,340
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 122","Sainte-Catherine",140,34,28,2,27,5,236,361
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 123","Sainte-Catherine",103,25,23,2,23,9,185,362
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 124","Sainte-Catherine",127,39,36,9,29,6,246,425
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 125","Sainte-Catherine",160,42,20,10,40,20,292,503
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 126","Sainte-Catherine",109,33,22,3,31,3,201,511
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 127","Sainte-Catherine",127,30,35,5,45,9,251,390
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 128","Sainte-Catherine",143,48,38,12,28,9,278,487
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 129","Sainte-Catherine",106,28,21,2,24,5,186,311
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 129-1","Sainte-Catherine",140,28,20,14,29,2,233,375
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 130","Sainte-Catherine",125,47,33,4,37,4,250,450
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 131","Sainte-Catherine",135,38,22,10,18,2,225,441
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 132","Sainte-Catherine",116,27,18,3,30,1,195,394
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 133","Sainte-Catherine",149,60,52,17,65,6,349,586
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 134","Sainte-Catherine",145,47,36,9,29,5,271,464
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 135","Sainte-Catherine",135,38,48,10,40,3,274,438
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 136","Delson",180,44,50,10,46,7,337,596
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 137","Delson",112,46,19,3,27,3,210,476
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 138","Delson",99,52,38,10,32,2,233,348
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 139","Delson",113,30,26,4,17,4,194,321
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 140","Delson",135,44,32,1,37,3,252,426
