Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Herb Davis,Judy Foote,Kaitlin Wainwright,Terry White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 606","Burnt Islands",0,5,0,2,0,7,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 607","Channel-Port aux Basques",12,27,1,6,1,47,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 608","Burgeo",10,22,1,3,0,36,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 609","Ramea",9,17,0,3,0,29,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 610","Harbour Breton",8,9,0,7,0,24,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 611","St. Alban's",10,9,0,9,0,28,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 612","Terrenceville",9,7,0,1,0,17,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 613","Clarenville",24,68,2,30,0,124,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 614","Sunnyside",2,11,0,6,0,19,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 615","Belleoram",9,7,0,0,0,16,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 616","Bay L'Argent",3,10,0,4,0,17,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 617","Marystown",25,37,0,19,0,81,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 618","Grand Bank",19,94,1,2,0,116,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 619","St. Lawrence",7,21,0,2,0,30,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 620","Burin",6,32,1,14,0,53,
10005,"Random--Burin--St. George's/Random--Burin--St. George's",,Group 1/Groupe 1,121,65,9,25,6,226,855
10005,"Random--Burin--St. George's/Random--Burin--St. George's",,Group 2/Groupe 2,80,269,5,51,6,411,

