Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Bevan-Baker,J'Nan Brown,Mary Crane,Wayne Easter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11004,"Malpeque/Malpeque"," 68","Hyde Point",9,26,82,99,2,218,397
11004,"Malpeque/Malpeque"," 69","New Dominion",10,30,85,84,3,212,349
11004,"Malpeque/Malpeque"," 70","Rocky Point",25,19,120,107,0,271,439
11004,"Malpeque/Malpeque"," 71","Rice Point",27,28,111,148,0,314,463
11004,"Malpeque/Malpeque"," 500","Mobile poll/Bureau itinérant",2,5,25,36,0,68,92
11004,"Malpeque/Malpeque"," 600","Kensington",33,42,338,353,4,770,
11004,"Malpeque/Malpeque"," 601","Hunter River",41,19,212,207,0,479,
11004,"Malpeque/Malpeque"," 602","Cornwall",40,61,284,398,3,786,
11004,"Malpeque/Malpeque"," 603","Brackley",16,23,144,186,0,369,
11004,"Malpeque/Malpeque",,Group 1/Groupe 1,1,4,24,16,5,50,114
11004,"Malpeque/Malpeque",,Group 2/Groupe 2,25,19,132,159,2,337,

