Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dianna Allen,Craig Bridges,Andrew Moulden,Anthony Rota,Joe Sinicrope,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 46","North Bay ",20,7,0,64,52,0,143,294
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 47","North Bay ",34,4,0,94,48,1,181,371
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 48","North Bay ",27,12,1,68,27,0,135,310
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 49","North Bay ",26,17,1,119,57,0,220,386
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 50","North Bay ",21,12,2,90,45,1,171,325
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 51","North Bay ",21,6,0,48,18,2,95,270
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 52","North Bay ",28,12,0,68,28,0,136,292
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 53","North Bay ",23,10,2,63,26,0,124,322
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 54","North Bay ",13,10,0,106,39,1,169,341
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 55","North Bay ",23,13,0,68,37,0,141,299
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 56","North Bay ",20,18,2,108,42,0,190,399
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 57","North Bay ",26,14,0,78,53,0,171,369
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 58","North Bay ",25,29,1,78,51,0,184,310
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 59","North Bay ",21,12,0,49,62,0,144,329
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 60","North Bay ",29,11,0,95,51,1,187,362
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 61","North Bay ",13,8,0,54,28,0,103,265
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 62","North Bay ",Void/Supprimé,,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 63","North Bay ",18,7,0,29,56,0,110,289
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 64","North Bay ",19,12,0,53,72,0,156,323
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 65","North Bay ",35,26,3,91,70,0,225,402
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 66","North Bay ",12,26,3,147,91,1,280,491
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 67","North Bay ",13,21,1,109,110,2,256,470
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 68","North Bay ",28,13,0,70,63,0,174,443
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69","North Bay ",32,6,3,62,36,0,139,386
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69-1","North Bay ",18,14,1,107,55,0,195,333
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 70","North Bay ",16,17,1,127,104,1,266,498
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 71","North Bay ",19,8,0,85,53,0,165,280
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 72","North Bay ",15,18,2,175,81,0,291,475
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 73","North Bay ",18,6,1,97,94,2,218,354
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 74","North Bay ",17,12,2,94,74,3,202,360
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 75","North Bay ",16,12,0,71,39,0,138,323
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 76","North Bay ",31,6,3,53,36,0,129,304
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 77","North Bay ",35,7,3,60,36,1,142,288
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 78","North Bay ",35,8,0,81,46,0,170,336
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 79","North Bay ",49,11,0,70,68,0,198,431
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 80","North Bay ",15,7,0,34,23,1,80,157
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 81A","North Bay ",22,4,0,78,46,0,150,165
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 81B","North Bay ",7,1,3,45,15,1,72,206
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 82","North Bay ",23,10,0,60,49,1,143,303
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 83","North Bay ",43,6,1,46,30,0,126,341
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 84","North Bay ",36,13,0,46,32,0,127,341
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 85","North Bay ",31,9,2,61,28,0,131,341
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 86","North Bay ",27,17,0,62,33,3,142,328
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 87","North Bay ",16,13,0,55,32,0,116,311
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 88","North Bay ",26,12,2,58,33,0,131,298
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 89","North Bay ",36,13,2,74,36,2,163,326
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 90","North Bay ",22,15,0,84,26,1,148,322
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 91","North Bay ",32,14,0,65,24,2,137,342
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 92","North Bay ",35,9,0,75,19,1,139,422
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 93","North Bay ",24,17,0,122,73,2,238,434
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 94","North Bay ",23,11,0,104,53,0,191,370
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 95","North Bay ",21,11,0,57,35,0,124,257
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 96","North Bay ",15,11,1,48,43,2,120,271
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 97","North Bay ",23,11,0,105,56,1,196,342
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 98","North Bay ",27,9,1,94,71,1,203,408
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 99","North Bay ",26,14,0,71,48,0,159,363
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 100","North Bay ",26,2,0,60,37,0,125,285
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 101","North Bay ",26,11,1,95,81,0,214,394
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 102","North Bay ",32,14,2,80,60,0,188,455
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 103","North Bay ",30,6,0,71,70,0,177,385
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 104","North Bay ",42,11,0,60,32,1,146,378
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 105","North Bay ",44,18,0,40,56,1,159,328
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 106","North Bay ",29,6,1,49,36,0,121,245
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 107","North Bay ",58,12,0,36,31,0,137,305
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 108","North Bay ",26,13,0,110,54,0,203,387
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 109","North Bay ",12,22,1,91,95,0,221,386
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 110","North Bay ",17,19,1,134,69,1,241,431
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 111","North Bay ",20,22,1,88,49,0,180,385
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 112","North Bay ",34,19,4,80,58,0,195,406
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 113","North Bay ",23,18,0,104,77,4,226,376
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 114","North Bay ",18,15,0,78,52,0,163,276
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 115","North Bay ",34,28,2,95,36,0,195,383
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 116","North Bay ",22,10,0,66,31,0,129,264
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 117","North Bay ",15,8,1,58,47,1,130,243
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 118","North Bay ",30,12,0,99,50,0,191,317
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 119","North Bay ",20,13,0,72,63,0,168,334
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 120","North Bay ",19,19,2,70,56,1,167,368
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 121","North Bay ",28,12,2,126,101,2,271,547
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 122","North Bay ",35,3,3,66,53,1,161,380
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 123","North Bay ",30,11,1,83,66,0,191,366
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 124","North Bay ",36,26,1,93,51,3,210,423
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 125","North Bay ",19,14,0,59,54,1,147,329
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 126","North Bay ",23,6,0,48,53,0,130,297
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 127","North Bay ",28,15,3,75,54,0,175,310
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 128","North Bay ",43,11,1,122,60,1,238,500
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 129","North Bay ",28,8,0,64,50,0,150,309
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 130","North Bay ",32,19,0,127,45,0,223,418
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 131","North Bay ",60,18,2,89,87,0,256,542
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 132","North Bay ",28,13,1,56,44,0,142,369
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 133","North Bay ",38,13,4,76,53,1,185,419
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 134","North Bay ",36,15,0,75,62,0,188,418
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 135","North Bay ",30,19,1,102,77,0,229,429
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 136","North Bay ",37,16,1,71,42,0,167,359
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 137","North Bay ",31,10,0,61,38,0,140,343
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 138","North Bay ",21,7,0,88,28,0,144,315
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 139","North Bay ",28,17,2,89,34,2,172,377
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 140","North Bay ",19,7,0,72,37,0,135,316
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 141","North Bay ",26,9,0,54,26,0,115,304
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 142","North Bay ",43,14,0,74,39,0,170,407
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 143","North Bay ",31,20,1,32,15,2,101,258
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 144","North Bay ",21,15,1,65,22,1,125,359
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 145","North Bay ",34,17,1,66,37,1,156,338
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 146","North Bay ",52,20,1,89,57,0,219,396
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 147","North Bay ",25,15,1,47,39,0,127,326
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 148","North Bay ",30,17,0,69,36,1,153,436
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 149","North Bay ",39,23,0,99,42,1,204,431
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 150","North Bay ",13,3,0,34,28,0,78,215
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 151","North Bay ",22,8,0,40,15,0,85,252
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 152","North Bay ",34,16,2,74,71,0,197,384
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 153","East Ferris",32,28,0,81,70,0,211,430
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 154","East Ferris",19,12,0,96,79,1,207,342
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 155","Bonfield",23,9,1,77,33,0,143,283
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 156","Bonfield",71,15,3,110,75,3,277,503
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 157","Bonfield",26,15,0,80,53,2,176,322
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 158","Bonfield",50,6,0,114,83,1,254,516
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 159","Nosbosing",30,11,1,93,67,4,206,465
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 160","Corbeil",33,6,0,57,43,0,139,316
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 161","Corbeil",26,13,1,59,62,0,161,266
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 162","Derland",22,4,0,37,47,0,110,204
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 163","Callander",30,31,0,125,118,0,304,607
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 164","Callander",45,15,0,91,61,0,212,455
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 165","Callander",17,10,0,55,68,0,150,318
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 166","North Himsworth",13,11,0,74,59,0,157,314
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 167","North Himsworth",29,12,3,58,71,0,173,356
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 168","Astorville",34,10,1,74,66,0,185,377
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 169","Astorville",32,21,0,151,81,1,286,514
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 170","Astorville",35,10,0,85,74,0,204,391
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 171","Nipissing ",25,21,1,39,97,3,186,365
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 172","Nipissing ",23,10,0,62,113,0,208,402
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 173","North Himsworth",22,18,0,36,60,0,136,324
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 174","North Himsworth",23,9,0,46,72,1,151,328
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 175","North Himsworth",13,7,1,40,41,1,103,231
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 176","Powassan",22,15,2,54,86,0,179,388
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 177","Nipissing ",29,18,0,51,61,0,159,270
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 178","Nipissing ",20,6,2,33,53,0,114,226
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 179","Powassan",22,10,0,66,78,2,178,366
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 180","Powassan",51,15,0,92,121,1,280,580
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 181","Powassan",23,11,0,68,72,1,175,333
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 182","Powassan",10,2,1,7,34,0,54,110
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 183","Powassan",12,7,0,53,55,0,127,235
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 184","Trout Creek ",43,13,2,52,95,1,206,404
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 185","Powassan",22,13,1,41,73,0,150,332
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 186","Alderdale",62,18,1,60,92,0,233,426
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 187","Chiswick",30,16,1,51,42,0,140,284
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 188","Mattawa",19,3,0,77,50,1,150,332
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 189","Calvin ",41,19,2,59,94,3,218,392
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 190","Papineau-Cameron",14,8,0,24,19,2,67,140
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 191A","Papineau",30,6,1,92,49,0,178,386
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 191B","Papineau",31,16,2,48,47,5,149,355
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 192","Mattawa",40,9,1,55,40,3,148,380
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 193","Mattawa",29,7,1,71,63,1,172,395
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 194","Mattawa",21,8,1,72,36,0,138,336
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 195","Mattawa",18,8,0,36,21,0,83,143
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 196","Canoe Lake",Void/Supprimé,,,,,,,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 400","North Bay ",10,1,0,48,27,2,88,98
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 500","Mobile poll/Bureau itinérant",25,5,7,46,27,1,111,219
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 501","Mobile poll/Bureau itinérant",10,3,1,32,14,1,61,211
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 502","Mobile poll/Bureau itinérant",0,1,0,93,5,1,100,120
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 503","Mobile poll/Bureau itinérant",5,2,0,39,34,2,82,188
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 504","Mobile poll/Bureau itinérant",6,5,2,41,16,2,72,211
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 600","New Liskeard",74,21,1,235,194,1,526,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 601","Haileybury",80,10,3,218,125,0,436,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 602","Temagami",18,12,0,70,43,0,143,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 603","North Bay ",47,32,1,230,163,1,474,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 604","North Bay ",36,35,0,302,246,1,620,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 605","North Bay ",56,24,0,283,170,1,534,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 606","North Bay ",38,26,0,261,223,3,551,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 607","North Bay ",39,29,0,234,181,0,483,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 608","North Bay ",54,34,2,297,159,1,547,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 609","North Bay ",72,43,1,446,375,6,943,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 610","Corbeil",56,30,1,199,174,3,463,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 611","Callander",37,21,3,186,227,0,474,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 612","Powassan",31,22,2,129,209,3,396,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 613","Mattawa",36,12,1,101,91,0,241,
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 1/Groupe 1,13,13,1,70,146,2,245,573
35057,"Nipissing--Timiskaming/Nipissing--Timiskaming",,Group 2/Groupe 2,136,62,8,666,485,15,1372,

