Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nick Capra,Giulio Manfrini,Kevin Nguyen,Judy Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"York West/York-Ouest"," 59","North York",3,16,22,58,0,99,253
35106,"York West/York-Ouest"," 60","North York",5,31,30,84,2,152,430
35106,"York West/York-Ouest"," 61","North York",4,35,52,79,1,171,294
35106,"York West/York-Ouest"," 62","North York",11,35,22,100,1,169,358
35106,"York West/York-Ouest"," 63","North York",7,39,39,101,4,190,359
35106,"York West/York-Ouest"," 64","North York",10,37,26,105,0,178,381
35106,"York West/York-Ouest"," 65","North York",3,25,30,95,2,155,390
35106,"York West/York-Ouest"," 66","North York",4,27,16,55,4,106,297
35106,"York West/York-Ouest"," 67A","North York",7,23,16,40,1,87,302
35106,"York West/York-Ouest"," 67B","North York",4,16,12,35,0,67,246
35106,"York West/York-Ouest"," 68","North York",8,64,36,111,4,223,450
35106,"York West/York-Ouest"," 69","North York",9,35,24,111,1,180,337
35106,"York West/York-Ouest"," 70","North York",7,26,18,109,0,160,329
35106,"York West/York-Ouest"," 71","North York",11,42,31,122,1,207,459
35106,"York West/York-Ouest"," 72","North York",3,25,7,59,2,96,280
35106,"York West/York-Ouest"," 73","North York",4,33,26,68,2,133,326
35106,"York West/York-Ouest"," 74","North York",2,28,23,70,2,125,323
35106,"York West/York-Ouest"," 75A","North York",7,17,32,77,1,134,259
35106,"York West/York-Ouest"," 75B","North York",5,23,43,57,2,130,254
35106,"York West/York-Ouest"," 76","North York",6,46,28,138,1,219,392
35106,"York West/York-Ouest"," 77","North York",2,15,28,86,0,131,261
35106,"York West/York-Ouest"," 78","North York",12,28,45,122,1,208,372
35106,"York West/York-Ouest"," 79","North York",4,28,34,122,0,188,371
35106,"York West/York-Ouest"," 80","North York",10,25,33,117,1,186,343
35106,"York West/York-Ouest"," 81","North York",3,26,11,88,2,130,300
35106,"York West/York-Ouest"," 82","North York",2,27,15,105,0,149,314
35106,"York West/York-Ouest"," 83","North York",5,31,14,85,1,136,267
35106,"York West/York-Ouest"," 83-1","North York",4,40,27,118,3,192,382
35106,"York West/York-Ouest"," 84","North York",6,25,17,53,0,101,220
35106,"York West/York-Ouest"," 85","North York",11,40,47,114,4,216,458
35106,"York West/York-Ouest"," 86","North York",10,30,27,143,2,212,428
35106,"York West/York-Ouest"," 87","North York",5,50,30,134,2,221,465
35106,"York West/York-Ouest"," 88","North York",4,28,34,126,2,194,439
35106,"York West/York-Ouest"," 89","North York",3,17,21,91,0,132,355
35106,"York West/York-Ouest"," 90","North York",4,26,26,92,2,150,283
35106,"York West/York-Ouest"," 91","North York",8,41,39,74,1,163,403
35106,"York West/York-Ouest"," 92","North York",7,40,29,72,0,148,412
35106,"York West/York-Ouest"," 93A","North York",1,22,12,54,3,92,262
35106,"York West/York-Ouest"," 93B","North York",1,26,11,52,0,90,275
35106,"York West/York-Ouest"," 94","North York",6,22,20,112,2,162,361
35106,"York West/York-Ouest"," 95","North York",6,32,21,81,1,141,381
35106,"York West/York-Ouest"," 96","North York",5,21,21,129,0,176,490
35106,"York West/York-Ouest"," 97","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 98A","North York",5,23,16,41,1,86,300
35106,"York West/York-Ouest"," 98B","North York",4,9,9,54,0,76,315
35106,"York West/York-Ouest"," 99","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 100","North York",14,30,33,114,2,193,456
35106,"York West/York-Ouest"," 101","North York",7,21,21,92,2,143,304
35106,"York West/York-Ouest"," 102","North York",8,19,29,116,0,172,294
35106,"York West/York-Ouest"," 103","North York",3,22,30,109,1,165,304
35106,"York West/York-Ouest"," 104","North York",9,14,27,117,2,169,340
35106,"York West/York-Ouest"," 105","North York",8,18,18,39,1,84,344
35106,"York West/York-Ouest"," 106","North York",11,25,29,135,5,205,420
35106,"York West/York-Ouest"," 107","North York",4,37,37,121,3,202,374
35106,"York West/York-Ouest"," 108A","North York",4,17,24,68,0,113,274
35106,"York West/York-Ouest"," 108B","North York",5,17,20,61,0,103,274
35106,"York West/York-Ouest"," 109","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 110","North York",2,28,21,76,0,127,307
35106,"York West/York-Ouest"," 110-1","North York",8,18,19,109,0,154,267
35106,"York West/York-Ouest"," 111","North York",8,41,19,125,2,195,384
35106,"York West/York-Ouest"," 112","North York",1,14,17,85,0,117,261
35106,"York West/York-Ouest"," 113","North York",6,38,44,107,0,195,369
35106,"York West/York-Ouest"," 114A","North York",5,29,16,69,0,119,281
35106,"York West/York-Ouest"," 114B","North York",2,17,9,62,0,90,259
35106,"York West/York-Ouest"," 115","North York",9,43,37,152,2,243,450
35106,"York West/York-Ouest"," 116A","North York",2,22,15,71,0,110,287
35106,"York West/York-Ouest"," 116B","North York",2,30,23,97,1,153,348
35106,"York West/York-Ouest"," 117","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 118","North York",9,23,47,145,1,225,434
35106,"York West/York-Ouest"," 119","North York",7,14,19,31,0,71,223
35106,"York West/York-Ouest"," 120","North York",4,36,27,96,0,163,392
35106,"York West/York-Ouest"," 121","North York",9,14,19,86,0,128,288
35106,"York West/York-Ouest"," 121-1","North York",Merged with No. 122/Fusionné avec le nº 122,,,,,,5
35106,"York West/York-Ouest"," 122","North York",9,39,26,115,0,189,386
35106,"York West/York-Ouest"," 123","North York",8,31,38,111,0,188,338
35106,"York West/York-Ouest"," 124","North York",8,15,42,81,0,146,350
35106,"York West/York-Ouest"," 125","North York",11,29,39,91,2,172,305
35106,"York West/York-Ouest"," 126","North York",15,23,38,91,0,167,281
35106,"York West/York-Ouest"," 127","North York",14,56,27,110,0,207,383
35106,"York West/York-Ouest"," 128","North York",17,47,51,109,0,224,421
35106,"York West/York-Ouest"," 129","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 130","North York",16,8,39,90,0,153,295
35106,"York West/York-Ouest"," 131","North York",4,22,22,75,1,124,240
35106,"York West/York-Ouest"," 132","North York",8,16,21,88,3,136,269
35106,"York West/York-Ouest"," 133","North York",8,24,32,114,2,180,358
35106,"York West/York-Ouest"," 134","North York",10,19,44,120,0,193,327
35106,"York West/York-Ouest"," 135","North York",Merged with No. 143/Fusionné avec le nº 143,,,,,,12
35106,"York West/York-Ouest"," 136","North York",15,20,30,54,0,119,197
35106,"York West/York-Ouest"," 136-1","North York",13,46,47,77,2,185,277
35106,"York West/York-Ouest"," 136-2","North York",Merged with No. 136-1/Fusionné avec le nº 136-1,,,,,,82
35106,"York West/York-Ouest"," 136-3","North York",Merged with No. 136-1/Fusionné avec le nº 136-1,,,,,,23
35106,"York West/York-Ouest"," 137","North York",6,25,25,105,2,163,314
35106,"York West/York-Ouest"," 138","North York",12,22,30,102,4,170,307
35106,"York West/York-Ouest"," 139","North York",9,19,24,107,2,161,304
35106,"York West/York-Ouest"," 140","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 141","North York",Void/Supprimé,,,,,,
35106,"York West/York-Ouest"," 142","North York",8,19,35,38,0,100,289
35106,"York West/York-Ouest"," 143","North York",9,25,43,66,1,144,350
35106,"York West/York-Ouest"," 144","North York",19,33,46,113,0,211,446
35106,"York West/York-Ouest"," 145","North York",5,15,19,63,0,102,224
35106,"York West/York-Ouest"," 400","North York",23,63,45,89,0,220,431
35106,"York West/York-Ouest"," 401","North York",12,38,26,59,3,138,372
35106,"York West/York-Ouest"," 402","North York",16,68,26,80,0,190,422
35106,"York West/York-Ouest"," 403","North York",14,35,16,75,0,140,371
35106,"York West/York-Ouest"," 404","North York",1,25,7,75,3,111,239
35106,"York West/York-Ouest"," 404-1","North York",4,14,3,52,2,75,208
35106,"York West/York-Ouest"," 405","North York",2,22,14,64,0,102,302
35106,"York West/York-Ouest"," 406","North York",10,37,32,141,4,224,411
35106,"York West/York-Ouest"," 407","North York",1,26,21,49,1,98,338
35106,"York West/York-Ouest"," 408","North York",7,13,21,138,1,180,301
35106,"York West/York-Ouest"," 409","North York",6,9,15,132,3,165,305
35106,"York West/York-Ouest"," 410","North York",1,5,6,18,0,30,133
35106,"York West/York-Ouest"," 411","North York",4,5,9,35,0,53,207
35106,"York West/York-Ouest"," 412","North York",1,7,9,41,0,58,195
35106,"York West/York-Ouest"," 413","North York",0,9,13,28,0,50,144
35106,"York West/York-Ouest"," 414","North York",0,12,12,41,3,68,222
35106,"York West/York-Ouest"," 415","North York",4,12,17,55,0,88,261
35106,"York West/York-Ouest"," 416","North York",3,8,9,53,0,73,209
35106,"York West/York-Ouest"," 417","North York",2,16,5,33,0,56,206
35106,"York West/York-Ouest"," 418","North York",1,34,10,138,2,185,403
35106,"York West/York-Ouest"," 419","North York",4,15,17,75,2,113,400
35106,"York West/York-Ouest"," 420","North York",4,17,9,67,2,99,269
35106,"York West/York-Ouest"," 421","North York",6,20,2,40,0,68,233
35106,"York West/York-Ouest"," 422","North York",0,11,9,26,0,46,144
35106,"York West/York-Ouest"," 423","North York",2,4,7,31,0,44,139
35106,"York West/York-Ouest"," 424","North York",1,6,2,195,2,206,313
35106,"York West/York-Ouest"," 425","North York",4,19,19,79,1,122,325
35106,"York West/York-Ouest"," 500","Mobile poll/Bureau itinérant",6,12,15,28,0,61,154
35106,"York West/York-Ouest"," 600","North York",12,36,61,201,0,310,
35106,"York West/York-Ouest"," 601","North York",10,31,30,135,0,206,
35106,"York West/York-Ouest"," 602","North York",12,31,35,133,3,214,
35106,"York West/York-Ouest"," 603","North York",19,60,44,193,1,317,
35106,"York West/York-Ouest"," 604","North York",8,14,37,117,7,183,
35106,"York West/York-Ouest"," 605","North York",12,30,52,118,1,213,
35106,"York West/York-Ouest"," 606","North York",9,25,42,157,2,235,
35106,"York West/York-Ouest"," 607","North York",11,24,23,91,1,150,
35106,"York West/York-Ouest",,Group 1/Groupe 1,5,7,7,35,0,54,91
35106,"York West/York-Ouest",,Group 2/Groupe 2,12,24,25,101,4,166,

