Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Annie Durette,Sylvie Lavallée,Pierre Paquette,Francine Raynault,Suzie St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Joliette/Joliette"," 44","Saint-Côme",1,56,131,31,28,6,253,451
24025,"Joliette/Joliette"," 45","Saint-Alphonse-Rodriguez",10,36,142,22,31,5,246,507
24025,"Joliette/Joliette"," 46","Saint-Alphonse-Rodriguez",12,30,136,20,26,1,225,435
24025,"Joliette/Joliette"," 47","Saint-Alphonse-Rodriguez",14,18,122,42,40,2,238,435
24025,"Joliette/Joliette"," 48","Sainte-Béatrix",11,45,159,17,41,3,276,456
24025,"Joliette/Joliette"," 49","Sainte-Béatrix",20,33,186,36,38,5,318,534
24025,"Joliette/Joliette"," 50","Saint-Alphonse-Rodriguez",11,41,160,25,64,4,305,596
24025,"Joliette/Joliette"," 51A","Saint-Alphonse-Rodriguez",6,20,86,23,15,5,155,307
24025,"Joliette/Joliette"," 51B","Saint-Alphonse-Rodriguez",5,17,104,14,21,1,162,335
24025,"Joliette/Joliette"," 52A","Sainte-Marcelline-de-Kildare",24,30,103,17,32,4,210,329
24025,"Joliette/Joliette"," 52B","Sainte-Marcelline-de-Kildare",16,31,113,31,29,3,223,334
24025,"Joliette/Joliette"," 53","Sainte-Marcelline-de-Kildare",27,41,151,41,33,3,296,501
24025,"Joliette/Joliette"," 54","Rawdon",6,39,104,26,29,4,208,470
24025,"Joliette/Joliette"," 55","Rawdon",17,62,110,22,44,1,256,521
24025,"Joliette/Joliette"," 56A","Rawdon",9,24,53,30,31,0,147,319
24025,"Joliette/Joliette"," 56B","Rawdon",6,19,80,17,25,3,150,298
24025,"Joliette/Joliette"," 57","Rawdon",16,27,88,24,31,5,191,393
24025,"Joliette/Joliette"," 58","Rawdon",11,21,111,26,27,4,200,456
24025,"Joliette/Joliette"," 59","Rawdon",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 60","Rawdon",15,29,112,39,33,7,235,450
24025,"Joliette/Joliette"," 61A","Rawdon",9,20,86,14,18,5,152,310
24025,"Joliette/Joliette"," 61B","Rawdon",8,17,63,22,24,1,135,322
24025,"Joliette/Joliette"," 62","Rawdon",10,22,73,20,40,2,167,364
24025,"Joliette/Joliette"," 63","Rawdon",7,37,105,34,39,2,224,523
24025,"Joliette/Joliette"," 64","Rawdon",10,40,122,14,40,2,228,532
24025,"Joliette/Joliette"," 65","Rawdon",22,38,142,27,65,5,299,599
24025,"Joliette/Joliette"," 66","Rawdon",22,38,100,36,66,0,262,549
24025,"Joliette/Joliette"," 67","Rawdon",12,36,77,16,28,1,170,441
24025,"Joliette/Joliette"," 68","Rawdon",17,46,94,34,54,5,250,520
24025,"Joliette/Joliette"," 69","Rawdon",16,22,135,17,20,4,214,423
24025,"Joliette/Joliette"," 70","Rawdon",5,29,106,26,29,4,199,417
24025,"Joliette/Joliette"," 71A","Sainte-Mélanie",22,25,95,14,21,4,181,306
24025,"Joliette/Joliette"," 71B","Sainte-Mélanie",20,25,110,12,29,6,202,368
24025,"Joliette/Joliette"," 72","Sainte-Mélanie",24,43,102,22,20,2,213,410
24025,"Joliette/Joliette"," 73A","Sainte-Mélanie",12,34,104,24,28,4,206,344
24025,"Joliette/Joliette"," 73B","Sainte-Mélanie",14,34,77,15,25,3,168,273
24025,"Joliette/Joliette"," 74","Sainte-Mélanie",20,44,149,23,27,6,269,490
24025,"Joliette/Joliette"," 75","Notre-Dame-de-Lourdes",20,50,166,32,19,6,293,475
24025,"Joliette/Joliette"," 76","Lourdes-de-Joliette",9,52,163,26,38,2,290,483
24025,"Joliette/Joliette"," 76-1","Lourdes-de-Joliette",7,32,128,23,14,3,207,395
24025,"Joliette/Joliette"," 77","Lourdes-de-Joliette",5,11,106,16,8,2,148,338
24025,"Joliette/Joliette"," 78","Notre-Dame-de-Lourdes",9,27,100,11,17,3,167,278
24025,"Joliette/Joliette"," 79","Saint-Ambroise-de-Kildare",20,22,152,19,23,2,238,407
24025,"Joliette/Joliette"," 80","Saint-Ambroise-de-Kildare",15,46,180,36,29,10,316,524
24025,"Joliette/Joliette"," 81","Saint-Ambroise-de-Kildare",17,33,160,38,33,10,291,523
24025,"Joliette/Joliette"," 82","Saint-Ambroise-de-Kildare",15,64,166,36,45,4,330,541
24025,"Joliette/Joliette"," 83","Saint-Ambroise-de-Kildare",20,32,149,18,16,5,240,430
24025,"Joliette/Joliette"," 84","Saint-Ambroise-de-Kildare",12,57,96,16,36,2,219,384
24025,"Joliette/Joliette"," 85","Saint-Félix-de-Valois",13,36,123,34,27,3,236,390
24025,"Joliette/Joliette"," 86A","Saint-Félix-de-Valois",9,33,77,21,26,2,168,304
24025,"Joliette/Joliette"," 86B","Saint-Félix-de-Valois",11,35,71,25,24,6,172,286
24025,"Joliette/Joliette"," 87","Saint-Félix-de-Valois",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 88","Saint-Félix-de-Valois",9,22,80,19,31,3,164,343
24025,"Joliette/Joliette"," 89","Saint-Félix-de-Valois",6,29,77,21,20,4,157,328
24025,"Joliette/Joliette"," 90","Saint-Félix-de-Valois",16,16,102,23,29,4,190,369
24025,"Joliette/Joliette"," 91","Saint-Félix-de-Valois",13,32,106,27,33,6,217,427
24025,"Joliette/Joliette"," 92","Saint-Félix-de-Valois",10,26,119,30,23,3,211,426
24025,"Joliette/Joliette"," 93A","Saint-Félix-de-Valois",8,23,81,25,19,2,158,303
24025,"Joliette/Joliette"," 93B","Saint-Félix-de-Valois",5,22,68,17,15,3,130,283
24025,"Joliette/Joliette"," 94","Saint-Félix-de-Valois",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 95","Saint-Félix-de-Valois",11,35,154,50,35,7,292,504
24025,"Joliette/Joliette"," 96A","Saint-Félix-de-Valois",5,26,84,14,15,4,148,286
24025,"Joliette/Joliette"," 96B","Saint-Félix-de-Valois",11,28,76,20,14,3,152,296
24025,"Joliette/Joliette"," 97","Saint-Charles-Borromée",7,42,126,16,38,1,230,424
24025,"Joliette/Joliette"," 98A","Saint-Charles-Borromée",15,27,130,25,22,3,222,387
24025,"Joliette/Joliette"," 98B","Saint-Charles-Borromée",5,25,113,27,38,1,209,386
24025,"Joliette/Joliette"," 99A","Saint-Charles-Borromée",5,35,87,22,25,0,174,319
24025,"Joliette/Joliette"," 99B","Saint-Charles-Borromée",5,29,96,15,21,3,169,313
24025,"Joliette/Joliette"," 99-1","Saint-Charles-Borromée",2,42,43,4,23,1,115,170
24025,"Joliette/Joliette"," 100","Saint-Charles-Borromée",20,60,173,44,36,4,337,576
24025,"Joliette/Joliette"," 101","Saint-Charles-Borromée",18,50,134,32,30,3,267,500
24025,"Joliette/Joliette"," 102","Saint-Charles-Borromée",7,34,120,19,17,1,198,346
24025,"Joliette/Joliette"," 103","Saint-Charles-Borromée",12,32,148,25,20,4,241,428
24025,"Joliette/Joliette"," 104","Saint-Charles-Borromée",4,45,149,31,30,4,263,463
24025,"Joliette/Joliette"," 105","Saint-Charles-Borromée",9,46,105,20,29,3,212,375
24025,"Joliette/Joliette"," 106","Saint-Charles-Borromée",13,51,143,37,29,5,278,475
24025,"Joliette/Joliette"," 107A","Saint-Charles-Borromée",3,30,60,17,18,5,133,356
24025,"Joliette/Joliette"," 107B","Saint-Charles-Borromée",5,37,60,5,18,7,132,353
24025,"Joliette/Joliette"," 108","Saint-Charles-Borromée",10,55,102,20,53,1,241,420
24025,"Joliette/Joliette"," 109","Saint-Charles-Borromée",9,20,119,21,23,2,194,419
24025,"Joliette/Joliette"," 110","Saint-Charles-Borromée",Merged with No. 112B/Fusionné avec le nº 112B,,,,,,,283
24025,"Joliette/Joliette"," 111","Saint-Charles-Borromée",9,34,52,12,29,3,139,323
24025,"Joliette/Joliette"," 112A","Saint-Charles-Borromée",4,17,23,5,18,7,74,193
24025,"Joliette/Joliette"," 112B","Saint-Charles-Borromée",12,46,116,18,39,7,238,343
24025,"Joliette/Joliette"," 113","Saint-Charles-Borromée",12,43,113,15,32,6,221,480
24025,"Joliette/Joliette"," 114","Saint-Charles-Borromée",12,21,104,23,20,2,182,326
24025,"Joliette/Joliette"," 115","Saint-Charles-Borromée",13,41,149,39,31,5,278,464
24025,"Joliette/Joliette"," 116","Saint-Charles-Borromée",15,60,165,54,43,2,339,563
24025,"Joliette/Joliette"," 117","Saint-Charles-Borromée",24,40,160,24,37,6,291,553
24025,"Joliette/Joliette"," 118A","Joliette",9,30,96,34,35,4,208,458
24025,"Joliette/Joliette"," 118B","Joliette",8,27,105,22,35,4,201,444
24025,"Joliette/Joliette"," 118-1","Joliette",2,74,70,9,64,3,222,294
24025,"Joliette/Joliette"," 119","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 120","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 121A","Joliette",9,14,51,12,14,4,104,288
24025,"Joliette/Joliette"," 121B","Joliette",9,9,59,8,15,2,102,292
24025,"Joliette/Joliette"," 122","Joliette",16,23,115,26,32,7,219,506
24025,"Joliette/Joliette"," 123","Joliette",16,23,75,18,19,5,156,439
24025,"Joliette/Joliette"," 124","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 125","Joliette",19,38,96,10,31,1,195,384
24025,"Joliette/Joliette"," 126","Joliette",13,46,122,20,54,1,256,453
24025,"Joliette/Joliette"," 127","Joliette",25,68,144,27,60,1,325,301
24025,"Joliette/Joliette"," 128","Joliette",Merged with No. 127/Fusionné avec le nº 127,,,,,,,293
24025,"Joliette/Joliette"," 129","Joliette",14,26,105,15,35,2,197,363
24025,"Joliette/Joliette"," 130","Joliette",18,53,115,23,53,3,265,522
24025,"Joliette/Joliette"," 131","Joliette",5,13,58,10,13,5,104,369
24025,"Joliette/Joliette"," 132","Joliette",6,25,81,12,23,1,148,307
24025,"Joliette/Joliette"," 133","Joliette",11,41,115,18,36,1,222,385
24025,"Joliette/Joliette"," 134","Joliette",13,29,82,27,20,2,173,517
24025,"Joliette/Joliette"," 135","Joliette",11,40,80,14,24,1,170,323
24025,"Joliette/Joliette"," 136","Joliette",16,65,148,22,61,5,317,549
24025,"Joliette/Joliette"," 137","Joliette",11,51,141,42,41,3,289,511
24025,"Joliette/Joliette"," 138","Notre-Dame-des-Prairies",18,46,170,34,30,3,301,521
24025,"Joliette/Joliette"," 139","Notre-Dame-des-Prairies",12,48,175,55,40,3,333,567
24025,"Joliette/Joliette"," 140","Notre-Dame-des-Prairies",22,60,211,57,43,2,395,671
24025,"Joliette/Joliette"," 141","Notre-Dame-des-Prairies",10,40,106,18,30,0,204,379
24025,"Joliette/Joliette"," 142","Notre-Dame-des-Prairies",14,29,84,12,16,1,156,290
24025,"Joliette/Joliette"," 143","Notre-Dame-des-Prairies",10,62,110,41,65,3,291,509
24025,"Joliette/Joliette"," 144","Notre-Dame-des-Prairies",11,41,109,23,45,4,233,456
24025,"Joliette/Joliette"," 145","Notre-Dame-des-Prairies",4,40,89,19,30,2,184,339
24025,"Joliette/Joliette"," 146","Notre-Dame-des-Prairies",18,33,116,19,20,5,211,359
24025,"Joliette/Joliette"," 147","Notre-Dame-des-Prairies",9,50,101,21,30,5,216,365
24025,"Joliette/Joliette"," 148","Notre-Dame-des-Prairies",11,18,105,21,19,2,176,341
24025,"Joliette/Joliette"," 149","Notre-Dame-des-Prairies",7,33,93,29,31,2,195,373
24025,"Joliette/Joliette"," 150","Notre-Dame-des-Prairies",28,31,185,34,35,6,319,481
24025,"Joliette/Joliette"," 151","Notre-Dame-des-Prairies",6,46,128,36,17,5,238,411
24025,"Joliette/Joliette"," 151-1","Notre-Dame-des-Prairies",16,50,149,29,33,2,279,488
24025,"Joliette/Joliette"," 152","Notre-Dame-des-Prairies",9,52,88,24,28,3,204,406
24025,"Joliette/Joliette"," 153","Saint-Thomas",15,52,189,44,38,3,341,539
24025,"Joliette/Joliette"," 154","Saint-Thomas",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 155","Saint-Thomas",12,64,136,34,46,7,299,467
24025,"Joliette/Joliette"," 156","Saint-Thomas",23,46,184,39,37,5,334,490
24025,"Joliette/Joliette"," 157","Saint-Thomas",5,42,158,37,47,5,294,527
24025,"Joliette/Joliette"," 158","Saint-Thomas",5,33,107,12,25,0,182,356
24025,"Joliette/Joliette"," 159","Joliette",15,35,96,25,34,5,210,369
24025,"Joliette/Joliette"," 159-1","Joliette",2,23,88,9,32,3,157,234
24025,"Joliette/Joliette"," 160A","Joliette",7,17,78,16,12,0,130,312
24025,"Joliette/Joliette"," 160B","Joliette",8,17,78,13,7,10,133,299
24025,"Joliette/Joliette"," 161","Joliette",10,43,110,26,22,4,215,355
24025,"Joliette/Joliette"," 162","Joliette",12,48,133,24,37,3,257,498
24025,"Joliette/Joliette"," 163","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 164","Joliette",17,28,104,18,20,2,189,376
24025,"Joliette/Joliette"," 165","Joliette",18,47,143,24,29,4,265,590
24025,"Joliette/Joliette"," 166","Joliette",10,24,75,21,24,2,156,416
24025,"Joliette/Joliette"," 167","Joliette",10,27,66,20,27,3,153,339
24025,"Joliette/Joliette"," 168","Joliette",4,18,71,13,11,4,121,325
24025,"Joliette/Joliette"," 169","Joliette",4,24,78,20,35,0,161,292
24025,"Joliette/Joliette"," 170","Joliette",10,25,78,11,21,4,149,364
24025,"Joliette/Joliette"," 171","Joliette",Void/Supprimé,,,,,,,
24025,"Joliette/Joliette"," 172","Joliette",9,22,108,19,37,4,199,364
24025,"Joliette/Joliette"," 173","Joliette",24,53,191,52,55,2,377,646
24025,"Joliette/Joliette"," 174","Joliette",14,38,168,33,35,7,295,527
24025,"Joliette/Joliette"," 174-1","Joliette",18,32,140,20,20,4,234,430
24025,"Joliette/Joliette"," 175","Joliette",20,60,159,44,39,7,329,511
24025,"Joliette/Joliette"," 176","Saint-Pierre",Merged with No. 179/Fusionné avec le nº 179,,,,,,,186
24025,"Joliette/Joliette"," 177A","Saint-Paul",4,33,108,29,25,4,203,396
24025,"Joliette/Joliette"," 177B","Saint-Paul",6,23,135,17,25,2,208,422
24025,"Joliette/Joliette"," 178","Saint-Paul",5,48,178,57,36,5,329,524
24025,"Joliette/Joliette"," 179","Saint-Paul",9,39,134,33,17,5,237,308
24025,"Joliette/Joliette"," 180","Saint-Paul",1,36,85,25,26,4,177,356
24025,"Joliette/Joliette"," 181","Saint-Paul",18,38,108,37,30,10,241,435
24025,"Joliette/Joliette"," 182","Crabtree",10,45,80,28,30,9,202,324
24025,"Joliette/Joliette"," 183","Crabtree",15,30,133,17,25,11,231,417
24025,"Joliette/Joliette"," 184A","Crabtree",12,27,122,26,25,10,222,327
24025,"Joliette/Joliette"," 184B","Crabtree",15,35,94,24,23,3,194,289
24025,"Joliette/Joliette"," 185","Crabtree",13,50,129,24,34,14,264,406
24025,"Joliette/Joliette"," 186","Crabtree",15,69,88,29,34,5,240,439
24025,"Joliette/Joliette"," 187","Crabtree",19,39,159,41,41,8,307,512
24025,"Joliette/Joliette"," 188","Saint-Paul",8,46,153,34,28,3,272,475
24025,"Joliette/Joliette"," 189","Saint-Paul",5,35,107,26,18,11,202,372
24025,"Joliette/Joliette"," 400","Saint-Charles-Borromée",2,31,20,6,19,5,83,99
24025,"Joliette/Joliette"," 500","Mobile poll/Bureau itinérant",2,8,20,1,21,2,54,85
24025,"Joliette/Joliette"," 501","Mobile poll/Bureau itinérant",3,20,21,0,23,3,70,125
24025,"Joliette/Joliette"," 502","Mobile poll/Bureau itinérant",6,23,29,3,16,1,78,191
24025,"Joliette/Joliette"," 503","Mobile poll/Bureau itinérant",5,44,42,4,28,4,127,161
24025,"Joliette/Joliette"," 600","Manawan",0,2,10,2,2,0,16,
24025,"Joliette/Joliette"," 601","Saint-Michel-des-Saints--Saint-Zénon",4,76,199,23,41,4,347,
24025,"Joliette/Joliette"," 602","Saint-Donat--Notre-Dame-de-la-Merci",14,146,270,39,96,4,569,
24025,"Joliette/Joliette"," 603","Saint-Jean-de-Matha--Saint-Damien",12,104,326,29,59,8,538,
24025,"Joliette/Joliette"," 604","Rawdon",22,86,159,34,87,1,389,
24025,"Joliette/Joliette"," 605","Rawdon",32,129,220,51,167,8,607,
24025,"Joliette/Joliette"," 606","Chertsey--Entrelacs",12,104,345,42,66,10,579,
24025,"Joliette/Joliette"," 607","Saint-Ambroise-de-Kildare--Sainte-Mélanie",26,96,266,27,47,3,465,
24025,"Joliette/Joliette"," 608","Saint-Félix-de-Valois",12,86,212,43,58,9,420,
24025,"Joliette/Joliette"," 609","Saint-Alphonse-Rodriguez--Saint-Côme",19,82,243,26,65,2,437,
24025,"Joliette/Joliette"," 610","Saint-Thomas",11,25,50,8,16,0,110,
24025,"Joliette/Joliette"," 611","Crabtree--Saint-Paul",8,94,179,27,29,8,345,
24025,"Joliette/Joliette"," 612","Saint-Charles-Borromée",12,75,197,24,46,3,357,
24025,"Joliette/Joliette"," 613","Saint-Charles-Borromée",20,77,170,23,57,4,351,
24025,"Joliette/Joliette"," 614","Saint-Charles-Borromée",9,189,237,42,133,6,616,
24025,"Joliette/Joliette"," 615","Notre-Dame-des-Prairies",13,106,179,26,57,5,386,
24025,"Joliette/Joliette"," 616","Notre-Dame-des-Prairies",7,69,180,36,39,4,335,
24025,"Joliette/Joliette"," 617","Joliette",19,108,329,53,71,5,585,
24025,"Joliette/Joliette"," 618","Joliette",24,136,223,35,108,10,536,
24025,"Joliette/Joliette",,Group 1/Groupe 1,3,32,26,10,23,7,101,200
24025,"Joliette/Joliette",,Group 2/Groupe 2,19,130,313,27,97,7,593,

