Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nao Fernando,Nina Grewal,Brenda Locke,Brian Newbold,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15-1B","Surrey",26,123,42,5,0,196,322
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 16","Surrey",41,207,62,8,1,319,584
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 17","Surrey",27,144,44,23,1,239,472
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 18","Barnston Island",31,98,23,17,1,170,336
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 19","Surrey",71,100,31,14,1,217,463
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 20","Surrey",75,79,53,14,0,221,463
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 21","Surrey",37,52,23,16,0,128,312
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 22A","Surrey",51,78,38,10,0,177,459
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 22B","Surrey",33,82,51,11,0,177,430
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 23","Surrey",51,54,27,16,0,148,321
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 24","Surrey",49,86,82,19,3,239,440
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 25","Surrey",31,44,36,17,1,129,250
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 26","Surrey",49,91,48,20,0,208,389
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 27","Surrey",42,58,43,10,1,154,300
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 28","Surrey",43,41,58,5,0,147,331
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 29","Surrey",66,82,76,10,0,234,475
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 30","Surrey",44,60,35,7,1,147,305
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 31","Surrey",72,108,46,24,1,251,589
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 32","Surrey",31,91,27,15,1,165,403
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 33","Surrey",57,81,77,14,1,230,499
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 34","Surrey",32,28,19,3,0,82,354
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 35","Surrey",61,98,41,13,1,214,478
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 36","Surrey",48,79,61,12,0,200,435
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 37","Surrey",43,51,40,2,0,136,319
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 38","Surrey",78,87,51,9,2,227,471
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 39","Surrey",73,98,52,19,2,244,483
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 40","Surrey",65,113,61,15,2,256,528
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 41","Surrey",47,102,54,13,0,216,396
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 42","Surrey",51,72,53,15,0,191,394
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 43","Surrey",71,97,75,17,1,261,504
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 44","Surrey",38,72,32,4,1,147,305
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 44-1","Surrey",46,81,29,8,3,167,317
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 45","Surrey",31,66,49,11,1,158,298
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 46","Surrey",60,136,62,17,1,276,481
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 47","Surrey",37,54,32,7,1,131,280
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 47-1","Surrey",42,77,28,7,1,155,321
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 48","Surrey",49,85,39,12,0,185,392
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 49","Surrey",72,155,61,6,1,295,659
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 49-1","Surrey",49,44,39,9,2,143,312
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 50","Surrey",57,119,67,11,4,258,525
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 51","Surrey",59,136,29,9,0,233,634
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 52","Surrey",42,117,83,15,1,258,500
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 53A","Surrey",45,97,44,14,1,201,379
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 53B","Surrey",44,86,43,12,1,186,334
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 54","Surrey",56,135,62,16,0,269,496
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 55","Surrey",52,70,38,15,1,176,263
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 56","Surrey",49,142,90,19,1,301,578
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 57","Surrey",39,142,117,13,0,311,593
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 58","Surrey",22,79,39,9,1,150,273
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 59","Surrey",31,118,67,16,0,232,377
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 60","Surrey",22,42,15,6,0,85,207
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 61","Surrey",38,133,63,25,0,259,551
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 62","Surrey",30,100,78,3,2,213,456
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 62-1","Surrey",35,89,45,8,3,180,341
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 63","Surrey",64,135,76,16,1,292,617
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 63-1","Surrey",52,100,66,14,0,232,476
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 64","Surrey",32,65,35,9,0,141,274
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 65","Surrey",23,68,32,10,0,133,311
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 66","Surrey",26,95,27,18,0,166,371
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 67","Surrey",7,12,13,5,1,38,148
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 68","Surrey",40,95,46,29,1,211,445
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 69","Surrey",27,98,54,7,1,187,376
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 70","Surrey",28,77,26,13,0,144,306
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 71","Surrey",19,71,30,16,0,136,256
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 72","Surrey",32,123,41,23,1,220,381
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73A","Surrey",72,168,70,35,0,345,661
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73B","Surrey",63,196,47,34,0,340,654
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73C","Surrey",48,179,53,26,0,306,609
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73-1","Surrey",24,61,30,10,0,125,213
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73-2","Surrey",51,130,43,29,0,253,511
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 74A","Surrey",66,147,63,28,0,304,595
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 74B","Surrey",57,124,62,26,0,269,543
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 74C","Surrey",69,176,34,36,1,316,609
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 75","Surrey",29,117,24,26,0,196,409
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 76","Surrey",94,75,52,19,1,241,458
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 77","Surrey",63,84,39,26,2,214,412
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 78","Surrey",37,80,75,14,0,206,431
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 79","Surrey",48,78,81,6,2,215,518
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 80","Surrey",17,40,50,8,3,118,272
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 81","Surrey",67,81,105,6,3,262,527
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 82","Surrey",26,42,28,11,0,107,197
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 82-1","Surrey",77,134,56,16,3,286,564
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 83","Surrey",30,66,25,8,0,129,306
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 84A","Surrey",58,89,58,18,0,223,488
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 84B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,55
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 85","Surrey",55,82,50,16,2,205,399
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86A","Surrey",20,78,31,23,0,152,322
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86B","Surrey",35,77,41,10,0,163,328
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 87","Surrey",45,73,65,16,1,200,425
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 88","Surrey",42,125,50,13,0,230,429
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 89","Surrey",38,100,52,8,3,201,438
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 89-1","Surrey",12,22,25,3,0,62,121
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 90","Surrey",75,82,104,10,0,271,502
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 91","Surrey",31,94,52,14,2,193,321
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 91-1","Surrey",38,60,54,9,0,161,332
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 92","Surrey",15,76,52,6,0,149,270
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 93","Surrey",80,80,104,9,0,273,532
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 94","Surrey",51,139,64,26,0,280,484
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 95","Surrey",28,164,63,23,2,280,507
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 96","Surrey",39,102,64,12,0,217,396
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 97","Surrey",23,77,51,19,0,170,330
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 98","Surrey",37,63,36,23,0,159,319
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 99","Surrey",Merged with No. 106/Fusionné avec le nº 106,,,,,,3
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 100A","Surrey",52,56,53,10,0,171,440
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 100B","Surrey",48,62,39,15,0,164,420
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 101","Surrey",52,72,55,15,0,194,384
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 102","Surrey",36,61,61,6,0,164,336
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 103","Surrey",46,64,79,2,4,195,378
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 103-1","Surrey",49,49,89,0,6,193,387
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 104","Surrey",58,93,82,10,0,243,487
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 105","Surrey",67,95,78,20,0,260,474
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 106","Surrey",67,76,64,6,0,213,410
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 107","Surrey",90,90,93,12,3,288,494
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 108","Surrey",45,79,65,13,0,202,376
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 109","Surrey",44,75,50,17,0,186,371
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 110","Surrey",68,99,99,15,0,281,498
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 110-1","Surrey",43,45,55,7,0,150,321
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 111","Surrey",16,46,36,6,1,105,208
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 112","Surrey",65,86,82,20,2,255,540
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 113","Surrey",55,100,83,6,0,244,498
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 114","Surrey",43,53,58,8,0,162,368
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 115","Surrey",77,99,78,15,0,269,556
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 116","Surrey",61,96,68,7,0,232,478
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 117","Surrey",54,86,36,24,1,201,450
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 118","Surrey",49,61,14,8,0,132,262
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 119","Surrey",103,97,52,24,1,277,619
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 120","Surrey",110,77,45,11,1,244,404
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 121","Surrey",79,81,43,14,3,220,499
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 122","Surrey",57,98,47,18,0,220,577
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 123","Surrey",36,63,30,11,1,141,306
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 124","Surrey",33,32,33,10,0,108,248
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 125","Surrey",66,74,58,12,0,210,491
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 126","Surrey",72,87,38,21,0,218,483
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 127","Surrey",85,65,45,19,2,216,479
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 128A","Surrey",60,74,46,12,2,194,383
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 128B","Surrey",51,57,44,9,1,162,336
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 129","Surrey",24,38,33,6,0,101,212
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 129-1","Surrey",62,80,37,17,3,199,393
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 130","Surrey",75,93,57,14,1,240,478
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 131","Surrey",64,98,75,23,0,260,515
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132","Surrey",63,98,80,10,0,251,541
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132-1A","Surrey",55,53,43,4,1,156,369
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132-1B","Surrey",31,55,65,5,1,157,375
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133","Surrey",71,87,113,15,2,288,582
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133-1","Surrey",68,99,69,16,2,254,533
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 134","Surrey",75,147,89,11,1,323,508
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 135","Surrey",21,72,55,8,0,156,277
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 135-1","Surrey",62,80,171,9,2,324,617
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 136","Surrey",45,63,71,4,1,184,391
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 136-1","Surrey",54,125,58,21,3,261,460
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 137","Surrey",39,51,27,8,0,125,224
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 138","Surrey",49,58,24,14,0,145,372
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 139","Surrey",31,62,27,13,0,133,331
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 140","Surrey",59,84,46,21,1,211,435
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 141","Surrey",33,54,18,5,1,111,211
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 142","Surrey",46,164,50,21,2,283,479
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 143","Surrey",80,85,40,25,1,231,501
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 144","Surrey",49,52,24,9,0,134,315
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 145","Surrey",105,89,59,15,2,270,470
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 146","Surrey",79,80,92,24,2,277,605
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 147","Surrey",61,110,61,16,1,249,518
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 148","Surrey",73,122,92,21,5,313,587
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 149","Surrey",54,70,68,9,0,201,406
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 150A","Surrey",64,73,80,11,1,229,494
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 150B","Surrey",36,58,49,6,0,149,403
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 151A","Surrey",44,55,93,4,4,200,444
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 151B","Surrey",56,69,71,4,0,200,458
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 151C","Surrey",50,85,82,5,8,230,500
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 152","Surrey",8,5,18,3,0,34,71
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 152-1A","Surrey",65,137,85,13,1,301,524
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 152-1B","Surrey",52,102,74,8,1,237,495
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 153","Surrey",36,90,80,23,5,234,502
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 154","Surrey",26,48,24,23,1,122,231
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 154-1","Surrey",65,126,145,23,2,361,670
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155A","Surrey",68,124,96,18,2,308,532
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155B","Surrey",41,96,76,23,0,236,453
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155C","Surrey",53,107,57,26,1,244,506
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155-1","Surrey",49,121,54,16,1,241,386
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 156","Surrey",24,77,37,9,0,147,257
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 157","Surrey",18,78,37,10,1,144,274
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 157-1","Surrey",31,128,48,22,0,229,485
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 158","Surrey",38,111,50,16,0,215,389
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 158-1","Surrey",48,175,75,28,1,327,565
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 159","Surrey",59,130,71,36,1,297,527
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 159-1","Surrey",26,56,30,15,0,127,205
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 160","Surrey",15,71,42,12,0,140,307
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 500A","Mobile poll/Bureau itinérant",15,15,9,3,2,44,114
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 500B","Mobile poll/Bureau itinérant",22,27,28,8,4,89,76
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 600","Surrey--Barnston Island",98,326,116,16,1,557,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 601","Surrey",104,214,129,20,0,467,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 602","Surrey",132,382,136,32,2,684,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 603","Surrey",120,171,97,20,2,410,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 604","Surrey",102,286,152,26,1,567,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 605","Surrey",116,200,138,20,3,477,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 606","Surrey",157,252,186,39,1,635,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 607","Surrey",110,202,118,15,2,447,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 608","Surrey",55,248,102,27,1,433,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 609","Surrey",95,239,76,28,0,438,
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 1/Groupe 1,19,31,27,6,4,87,134
59009,"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 2/Groupe 2,86,209,86,13,17,411,

