Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brent Bouteiller,Bruce Bowser,Michael Chong,Noel Duignan,Jeffrey Streutker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 78","Erin",35,44,162,23,1,1,266,559
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 79","Erin",25,55,143,28,1,0,252,458
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 80","Erin",17,34,128,15,7,0,201,424
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 81","Erin",21,47,83,7,1,0,159,304
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 82","Erin",26,37,142,18,0,0,223,345
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 83","Halton Hills",30,68,172,18,1,1,290,490
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 83-1","Halton Hills",7,28,68,3,0,0,106,191
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 84","Halton Hills",18,52,102,11,0,0,183,319
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 84-1","Halton Hills",14,32,101,10,0,0,157,306
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 85","Halton Hills",26,55,148,14,2,0,245,390
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 86","Halton Hills",26,48,183,24,0,4,285,530
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 87","Halton Hills",14,45,83,24,1,0,167,318
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 87-1","Halton Hills",14,30,83,14,4,0,145,330
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 88","Halton Hills",13,36,88,22,2,0,161,334
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 89","Halton Hills",15,46,99,11,0,0,171,319
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 90","Halton Hills",13,60,140,7,1,0,221,395
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 90-1","Halton Hills",14,24,67,7,0,0,112,210
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 91","Halton Hills",17,50,99,17,2,0,185,376
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 92","Halton Hills",21,66,151,21,4,1,264,503
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 93","Halton Hills",5,47,63,12,1,0,128,240
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 94","Halton Hills",13,63,115,13,1,0,205,393
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 95","Halton Hills",19,76,151,11,4,0,261,432
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 96","Halton Hills",24,44,114,16,1,1,200,438
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 97","Halton Hills",17,45,147,16,0,1,226,430
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 98","Halton Hills",11,41,156,17,2,0,227,401
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 99","Halton Hills",12,35,111,28,0,1,187,321
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 99-1","Halton Hills",25,42,162,25,1,0,255,426
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 100","Halton Hills",17,25,66,19,3,0,130,273
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 101","Halton Hills",28,51,166,35,2,1,283,496
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 102","Halton Hills",9,43,115,24,0,0,191,319
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 103","Halton Hills",17,43,96,29,1,0,186,353
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 103-1","Halton Hills",14,20,104,10,2,0,150,296
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 104","Halton Hills",14,27,87,27,3,1,159,356
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 105","Halton Hills",22,43,68,22,2,1,158,372
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 106","Halton Hills",21,45,102,27,1,1,197,373
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 106-1","Halton Hills",9,18,59,13,0,0,99,232
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 107","Halton Hills",12,38,75,18,1,0,144,344
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 108","Halton Hills",7,32,126,22,2,2,191,317
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 109","Halton Hills",8,23,70,23,2,1,127,321
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 110","Halton Hills",12,27,94,15,2,0,150,288
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 111","Halton Hills",15,24,97,33,2,0,171,401
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 112","Halton Hills",14,22,90,32,1,2,161,335
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 113","Halton Hills",21,46,110,20,0,0,197,349
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 114","Halton Hills",23,84,170,36,1,1,315,545
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 115","Halton Hills",6,33,68,6,1,1,115,203
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 116","Halton Hills",13,34,89,27,1,0,164,326
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 117","Halton Hills",26,34,112,41,0,0,213,503
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 118","Halton Hills",26,52,124,30,4,0,236,447
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 119","Halton Hills",13,24,69,18,6,1,131,284
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 120A","Halton Hills",20,40,98,5,2,0,165,341
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 120B","Halton Hills",15,44,96,18,1,0,174,341
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 121","Halton Hills",21,101,178,16,0,0,316,493
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 122","Halton Hills",21,65,106,25,1,0,218,404
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 123","Halton Hills",23,61,136,31,2,0,253,445
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 124","Halton Hills",21,67,153,49,0,0,290,521
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 125","Halton Hills",31,48,131,39,3,0,252,459
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 126","Halton Hills",Void/Supprimé,,,,,,,
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 127","Halton Hills",16,71,85,26,0,1,199,330
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 128","Halton Hills",21,46,53,16,0,1,137,335
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 129","Halton Hills",8,15,52,12,1,1,89,316
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 130","Halton Hills",12,32,58,6,0,0,108,316
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 131","Halton Hills",21,55,124,32,0,0,232,385
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 132","Halton Hills",17,48,122,20,5,2,214,319
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 133","Halton Hills",8,15,33,7,0,0,63,334
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 134","Halton Hills",7,40,141,14,1,1,204,403
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 135","Halton Hills",17,38,157,30,1,0,243,453
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 136","Halton Hills",14,50,130,20,2,1,217,382
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 137","Halton Hills",16,50,117,17,0,0,200,369
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 138","Halton Hills",34,80,116,18,0,0,248,417
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 139","Halton Hills",34,87,120,8,1,2,252,436
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 140","Halton Hills",14,67,131,12,0,0,224,402
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 141","Halton Hills",11,34,102,23,1,1,172,331
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 142","Halton Hills",9,17,75,17,1,1,120,260
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 143","Halton Hills",15,26,88,19,0,1,149,344
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 144","Halton Hills",12,48,128,13,0,2,203,402
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 145","Halton Hills",9,30,97,14,0,2,152,314
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 146","Halton Hills",24,45,94,25,1,0,189,366
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 147","Halton Hills",19,47,115,23,1,3,208,335
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 148","Halton Hills",14,35,95,17,2,1,164,310
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 149","Halton Hills",18,105,180,29,1,2,335,535
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 150","Halton Hills",20,73,136,8,2,1,240,378
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 151","Halton Hills",20,69,88,11,1,0,189,337
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 152","Halton Hills",20,63,106,14,2,0,205,343
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 153","Halton Hills",22,60,162,16,2,0,262,475
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 154","Halton Hills",18,48,133,29,1,1,230,434
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 155","Halton Hills",13,47,136,16,0,0,212,402
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 156","Halton Hills",18,46,128,12,0,0,204,323
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 157","Halton Hills",18,59,127,8,0,2,214,334
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 157-1","Halton Hills",24,97,177,11,1,0,310,538
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 158","Halton Hills",13,50,144,13,1,0,221,359
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 159","Halton Hills",13,52,114,11,0,1,191,322
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 160","Halton Hills",19,48,137,10,0,0,214,393
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 160-1A","Halton Hills",15,65,153,14,0,0,247,420
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 160-1B","Halton Hills",10,63,135,15,0,0,223,367
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 161","Halton Hills",10,53,125,12,0,0,200,349
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 161-1","Halton Hills",8,42,71,8,1,0,130,243
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 162","Halton Hills",13,38,92,17,0,0,160,282
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 163","Halton Hills",10,47,126,14,1,1,199,369
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 164","Halton Hills",18,82,144,20,1,0,265,418
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 164-1","Halton Hills",17,43,97,17,2,0,176,289
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 165A","Halton Hills",15,76,130,34,0,0,255,438
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 165B","Halton Hills",14,43,152,14,1,0,224,379
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 166","Halton Hills",26,32,138,13,1,1,211,363
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 167","Halton Hills",19,80,158,20,2,0,279,470
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 168","Halton Hills",24,61,130,33,3,2,253,446
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 169","Halton Hills",20,57,118,12,0,0,207,339
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 169-1","Halton Hills",10,57,107,8,0,2,184,295
