Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nicole Champagne,Jean-R. Guernon,Christian Paradis,Pierre Turcotte,Bruno Vézina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 42","Inverness",25,5,89,54,17,3,193,286
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 43","Saint-Pierre-Baptiste",31,4,114,67,30,5,251,406
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 44","Saint-Ferdinand",41,7,135,59,53,2,297,492
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 45","Saint-Ferdinand",26,5,84,36,33,1,185,310
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 46","Saint-Ferdinand",14,2,95,36,26,5,178,298
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 47","Saint-Ferdinand",20,0,68,31,24,1,144,251
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 48","Saint-Ferdinand",29,5,110,45,47,5,241,384
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 49A","Saint-Jacques-de-Leeds",26,3,126,27,24,4,210,326
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 49B","Saint-Jacques-de-Leeds",15,2,100,29,14,4,164,265
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 50","Saint-Jacques-de-Leeds",Void/Supprimé,,,,,,,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 51","Saint-Pierre-de-Broughton",26,4,70,42,11,5,158,231
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 52","Saint-Pierre-de-Broughton",53,7,111,72,24,7,274,451
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 53","Sacré-Coeur-de-Jésus",16,5,121,56,26,0,224,379
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 54","East Broughton",19,11,103,51,22,3,209,416
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 55","East Broughton",17,4,121,44,24,2,212,395
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 56","East Broughton",28,1,131,40,13,8,221,339
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 57","East Broughton",39,7,129,44,17,9,245,419
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 58","East Broughton",25,1,97,36,16,3,178,344
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 59","Kinnear's Mills",15,3,83,45,15,1,162,263
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 60","Pontbriand",22,2,111,55,20,4,214,326
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 61","Pontbriand",11,7,101,65,20,1,205,352
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 62","Robertsonville",32,6,105,48,22,5,218,378
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 63","Robertsonville",20,4,88,49,21,5,187,341
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 64","Robertsonville",19,2,86,33,13,1,154,304
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 65","Robertsonville",15,3,97,23,7,3,148,285
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 66A","Adstock",20,2,100,42,19,3,186,327
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 66B","Adstock",19,7,113,58,18,5,220,409
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 67","Adstock",19,3,136,33,11,5,207,299
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 68","Adstock",23,3,98,32,18,2,176,268
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 69","Adstock",48,3,121,25,10,6,213,327
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 70","Adstock",35,5,120,61,19,0,240,380
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 71","Thetford-Partie-Sud",25,5,137,68,27,0,262,477
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 72","Thetford-Partie-Sud",52,2,166,74,19,1,314,502
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 72-1","Thetford-Partie-Sud",16,2,79,36,10,2,145,222
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 73","Thetford-Partie-Sud",22,2,109,63,27,0,223,372
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 74","Thetford Mines",22,3,105,60,27,3,220,339
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 75","Thetford Mines",20,0,110,72,14,1,217,375
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 76","Thetford Mines",25,2,69,53,20,1,170,359
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 77","Thetford Mines",22,1,81,42,12,5,163,342
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 78","Thetford Mines",22,5,118,65,14,2,226,405
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 79","Thetford Mines",25,0,82,48,15,1,171,304
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 80","Thetford Mines",26,2,104,54,30,0,216,380
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 81","Thetford Mines",24,2,70,40,24,2,162,337
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 82","Thetford Mines",28,4,59,52,10,1,154,357
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 83","Thetford Mines",17,2,90,46,23,3,181,401
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 84","Thetford Mines",23,9,75,59,16,4,186,407
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 85","Thetford Mines",22,5,81,41,17,3,169,318
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 86","Thetford-Partie-Sud",18,4,125,66,17,0,230,429
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 87","Thetford-Partie-Sud",12,2,107,30,23,4,178,304
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 88","Thetford Mines",23,1,179,79,24,2,308,473
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 89","Thetford Mines",14,2,108,66,22,1,213,344
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 90","Thetford Mines",18,9,88,48,15,7,185,336
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 91","Thetford Mines",14,1,95,46,22,1,179,333
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 92","Thetford Mines",23,3,83,59,5,5,178,346
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 93","Thetford Mines",17,1,78,43,11,8,158,312
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 94","Thetford Mines",28,3,94,51,14,3,193,377
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 95","Thetford Mines",15,2,47,21,17,2,104,202
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 96","Thetford Mines",21,7,90,51,18,2,189,368
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 97","Thetford Mines",17,3,82,56,13,3,174,330
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 98","Thetford Mines",36,4,82,41,11,4,178,352
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 99","Thetford Mines",25,2,73,40,16,0,156,279
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 100","Thetford Mines",28,2,79,53,15,3,180,324
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 101","Thetford Mines",18,2,61,62,24,2,169,340
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 102","Thetford Mines",23,1,115,51,20,1,211,339
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 103","Thetford Mines",22,1,101,63,26,4,217,349
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 104","Thetford Mines",21,3,125,74,21,7,251,362
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 105","Thetford Mines",22,2,104,46,14,2,190,311
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 106","Thetford Mines",16,3,82,44,30,1,176,323
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 107","Thetford Mines",26,4,93,54,18,5,200,378
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 108","Thetford Mines",27,1,82,40,25,2,177,336
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 109","Thetford Mines",16,0,90,58,16,4,184,305
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 110","Thetford-Partie-Sud",25,2,147,60,24,2,260,483
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 111","Thetford Mines",18,2,74,50,10,1,155,311
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 112","Thetford Mines",12,6,81,47,22,2,170,391
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 113","Thetford Mines",17,2,78,48,13,0,158,361
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 114","Saint-Jean-de-Brébeuf",21,6,108,23,10,3,171,270
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 115","Saint-Adrien-d'Irlande",13,5,82,42,34,2,178,303
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 116","Irlande",8,3,81,45,34,2,173,327
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 117","Irlande",17,3,84,36,60,2,202,355
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 118","Black Lake",18,3,87,47,19,5,179,309
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 119","Black Lake",17,5,95,53,14,5,189,342
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 120","Black Lake",12,2,144,67,22,0,247,389
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 121","Black Lake",12,3,88,46,16,4,169,292
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 122","Black Lake",11,4,83,41,24,3,166,381
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 123","Black Lake",33,4,82,59,29,1,208,377
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 124","Black Lake",17,6,83,33,31,9,179,357
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 125","Black Lake",9,9,97,57,18,0,190,374
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 126","Black Lake",14,4,76,60,25,7,186,378
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 127","Thetford-Partie-Sud",16,2,74,52,23,2,169,314
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 128","Saint-Julien",26,4,65,59,30,0,184,306
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 129","Saint-Joseph-de-Coleraine",11,4,93,50,14,5,177,337
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 130","Saint-Joseph-de-Coleraine",19,5,75,59,15,3,176,311
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 131","Saint-Joseph-de-Coleraine",18,6,81,61,12,3,181,376
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 132","Saint-Joseph-de-Coleraine",29,3,105,70,20,3,230,408
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 133","Sainte-Praxède",18,1,72,42,4,0,137,236
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 134","Stratford",24,4,68,68,15,1,180,291
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 135","Stratford",60,7,125,101,38,5,336,534
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 136","Garthby",41,4,48,65,16,2,176,362
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 137","Beaulac",48,4,88,66,21,3,230,389
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 138","Disraëli",33,6,84,58,9,7,197,433
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 139","Disraëli",31,3,88,64,17,2,205,371
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 140","Disraëli",25,9,112,49,16,3,214,440
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 141","Disraëli",35,4,86,57,12,2,196,429
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 142","Disraëli",23,5,64,42,27,3,164,395
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 143","Disraëli",33,7,74,55,21,4,194,438
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 144","Disraëli",33,1,106,66,19,4,229,482
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 145","Saint-Jacques-le-Majeur-de-Wolfestown",8,4,24,45,6,1,88,127
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 146","Saint-Fortunat",25,5,37,55,25,2,149,216
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 147","Lambton",43,1,98,50,15,2,209,354
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 148","Courcelles",31,4,98,20,14,1,168,265
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 149","Courcelles",49,10,190,62,24,4,339,475
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 150","Saint-Sébastien",40,7,67,52,14,5,185,297
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 151","Lac-Drolet",56,9,105,84,21,4,279,457
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 152","Lac-Drolet",48,11,110,79,25,4,277,409
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 153","Audet",19,2,57,38,15,1,132,247
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 154","Sainte-Clotilde-de-Beauce",59,10,152,32,28,7,288,440
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 155","Audet",24,4,98,51,17,2,196,282
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 156","Frontenac",42,9,110,84,21,0,266,451
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 157A","Sainte-Cécile-de-Whitton",44,5,57,58,29,6,199,331
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 157B","Sainte-Cécile-de-Whitton",28,4,64,58,16,1,171,288
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 158","Saint-Sébastien",36,4,89,39,17,2,187,281
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 159","Lambton",30,6,86,53,13,1,189,420
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 160","Lambton",32,3,111,61,19,1,227,439
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 161","Saint-Romain",24,11,92,61,11,2,201,329
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 162","Saint-Romain",18,7,54,53,5,2,139,198
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 163","Stornoway",57,10,116,89,23,2,297,490
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 164","Nantes",19,0,67,49,25,4,164,325
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 165","Nantes",27,7,45,51,22,0,152,337
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 166","Nantes",22,4,71,46,26,2,171,361
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 167","Lac-Mégantic",45,6,85,112,30,1,279,478
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 168","Lac-Mégantic",55,6,99,84,36,3,283,569
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 169","Lac-Mégantic",28,6,104,62,17,2,219,370
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 170","Lac-Mégantic",18,3,73,70,18,6,188,377
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 171","Lac-Mégantic",33,7,65,67,23,5,200,375
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 172","Lac-Mégantic",32,10,77,64,17,1,201,375
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 173","Lac-Mégantic",16,4,48,37,15,1,121,342
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 174","Lac-Mégantic",23,2,72,43,19,5,164,349
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 175","Lac-Mégantic",27,8,49,56,12,1,153,343
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 176","Lac-Mégantic",33,6,64,45,13,1,162,297
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 177","Lac-Mégantic",27,1,81,55,17,0,181,384
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 178A","Lac-Mégantic",49,6,73,70,24,0,222,373
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 178B","Mobile poll/Bureau itinérant",Merged with No. 506B/Fusionné avec le nº 506B,,,,,,,120
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 179","Milan",17,6,50,47,9,1,130,225
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 180","Marsboro",31,13,96,66,23,9,238,528
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 181","Frontenac",46,5,91,74,19,2,237,401
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 182","Frontenac",32,9,82,89,33,2,247,428
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 183","Saint-Augustin-de-Woburn",24,5,43,60,6,3,141,235
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 184","Piopolis",23,4,60,96,22,1,206,316
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 185","Val-Racine",6,1,28,17,7,1,60,103
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 186A","Notre-Dame-des-Bois",15,7,102,68,16,5,213,347
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 186B","Notre-Dame-des-Bois",15,3,77,57,12,2,166,308
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 187","Saint-Augustin-de-Woburn",30,7,47,51,11,1,147,292
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 500","Mobile poll/Bureau itinérant",36,3,51,30,6,1,127,95
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 501","Mobile poll/Bureau itinérant",12,1,27,10,1,0,51,71
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 502","Mobile poll/Bureau itinérant",15,2,53,20,3,0,93,145
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 503","Mobile poll/Bureau itinérant",35,0,51,29,3,9,127,172
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 504A","Mobile poll/Bureau itinérant",37,2,35,11,1,1,87,130
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 504B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,44
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 505","Mobile poll/Bureau itinérant",29,0,32,9,1,0,71,104
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 506A","Mobile poll/Bureau itinérant",20,0,33,10,0,3,66,101
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 506B","Mobile poll/Bureau itinérant",29,2,59,24,4,2,120,48
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 507","Mobile poll/Bureau itinérant",23,0,27,17,1,0,68,104
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 600","Princeville",48,5,125,52,13,4,247,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 601","Plessisville",67,10,140,78,22,5,322,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 602","Plessisville",45,7,173,107,20,2,354,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 603","Saint-Ferdinand",31,6,99,36,24,3,199,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 604","East Broughton",27,0,147,70,9,2,255,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 605","Thetford Mines",44,3,128,91,19,0,285,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 606","Thetford Mines",63,5,249,106,28,5,456,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 607","Thetford Mines",23,4,61,44,9,3,144,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 608","Thetford Mines",52,4,186,87,15,5,349,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 609","Thetford Mines",45,8,191,122,23,2,391,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 610","Thetford Mines--Saint-Joseph-de-Coleraine",40,1,183,74,26,2,326,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 611","Thetford Mines--Saint-Joseph-de-Coleraine",28,7,85,36,11,2,169,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 612","Disraëli",18,4,100,61,15,4,202,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 613","Disraëli",40,6,123,82,20,6,277,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 614","Lambton",51,1,95,93,11,1,252,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 615","Lac-Mégantic",73,7,156,154,22,5,417,
24042,"Mégantic--L'Érable/Mégantic--L'Érable"," 616","Lac-Mégantic",53,9,160,148,14,1,385,
24042,"Mégantic--L'Érable/Mégantic--L'Érable",,Group 1/Groupe 1,10,5,64,28,4,1,112,234
24042,"Mégantic--L'Érable/Mégantic--L'Érable",,Group 2/Groupe 2,90,14,395,202,49,14,764,

