Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Burkhart,Peter Johnston,Brent Rathgeber,Sam Sleiman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 63","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 64","St. Albert",37,34,101,28,0,200,443
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 65","St. Albert",39,26,122,25,2,214,390
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 66","St. Albert",27,17,130,16,1,191,360
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 67","St. Albert",18,6,162,25,0,211,427
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 68","St. Albert",23,8,94,25,2,152,332
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 69","St. Albert",30,15,78,23,0,146,392
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 70","St. Albert",30,17,120,17,0,184,325
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 71","St. Albert",43,22,146,29,0,240,473
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 72","St. Albert",21,9,104,17,0,151,292
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 73","St. Albert",21,13,137,14,0,185,323
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 74","St. Albert",12,6,139,15,1,173,321
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 75","St. Albert",32,16,146,16,0,210,357
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 76","St. Albert",27,10,140,15,0,192,323
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 77","St. Albert",40,14,95,20,0,169,365
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 78","St. Albert",25,18,150,19,0,212,366
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 79","St. Albert",35,20,108,32,0,195,347
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 80","St. Albert",38,28,120,16,1,203,358
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 81","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 82","St. Albert",65,27,159,28,0,279,466
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 83","St. Albert",31,18,117,27,0,193,341
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 84","St. Albert",43,28,163,21,0,255,424
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 85","St. Albert",32,24,216,70,1,343,538
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 86","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 87","St. Albert",43,23,145,22,0,233,452
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 88","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 89","St. Albert",48,23,177,27,0,275,461
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 90","St. Albert",Void/Supprimé,,,,,,
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 91","St. Albert",26,22,116,29,1,194,331
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 92","St. Albert",33,14,131,18,0,196,394
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 93","St. Albert",45,20,160,30,0,255,460
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 94","St. Albert",31,13,98,15,0,157,309
