Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nigel Barriffe,Anna Di Carlo,Kirsty Duncan,Ali Naqvi,Bob Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Etobicoke North/Etobicoke-Nord"," 26","Etobicoke",8,2,183,19,61,0,273,508
35024,"Etobicoke North/Etobicoke-Nord"," 27","Etobicoke",5,4,134,26,51,0,220,438
35024,"Etobicoke North/Etobicoke-Nord"," 28","Etobicoke",12,1,126,25,55,0,219,385
35024,"Etobicoke North/Etobicoke-Nord"," 29","Etobicoke",13,1,122,35,48,1,220,438
35024,"Etobicoke North/Etobicoke-Nord"," 30","Etobicoke",4,4,114,30,69,2,223,502
35024,"Etobicoke North/Etobicoke-Nord"," 31","Etobicoke",16,1,128,32,62,2,241,530
35024,"Etobicoke North/Etobicoke-Nord"," 32","Etobicoke",4,1,122,19,47,3,196,371
35024,"Etobicoke North/Etobicoke-Nord"," 33","Etobicoke",3,1,111,34,40,0,189,404
35024,"Etobicoke North/Etobicoke-Nord"," 34","Etobicoke",8,3,59,25,83,2,180,377
35024,"Etobicoke North/Etobicoke-Nord"," 35","Etobicoke",10,1,75,23,54,2,165,381
35024,"Etobicoke North/Etobicoke-Nord"," 36","Etobicoke",4,2,57,35,55,2,155,466
35024,"Etobicoke North/Etobicoke-Nord"," 37","Etobicoke",1,0,49,12,26,2,90,316
35024,"Etobicoke North/Etobicoke-Nord"," 38","Etobicoke",6,3,79,26,24,0,138,394
35024,"Etobicoke North/Etobicoke-Nord"," 39","Etobicoke",7,3,105,20,61,0,196,522
35024,"Etobicoke North/Etobicoke-Nord"," 40","Etobicoke",0,2,67,16,60,1,146,387
35024,"Etobicoke North/Etobicoke-Nord"," 41","Etobicoke",7,0,62,21,59,1,150,518
35024,"Etobicoke North/Etobicoke-Nord"," 42","Etobicoke",8,6,193,69,84,3,363,977
35024,"Etobicoke North/Etobicoke-Nord"," 43","Etobicoke",6,0,119,31,55,2,213,593
35024,"Etobicoke North/Etobicoke-Nord"," 44","Etobicoke",4,0,70,6,26,1,107,269
35024,"Etobicoke North/Etobicoke-Nord"," 45","Etobicoke",4,0,118,32,37,1,192,552
35024,"Etobicoke North/Etobicoke-Nord"," 46","Etobicoke",7,4,89,32,38,0,170,452
35024,"Etobicoke North/Etobicoke-Nord"," 47","Etobicoke",7,0,83,53,41,2,186,406
35024,"Etobicoke North/Etobicoke-Nord"," 48","Etobicoke",6,0,94,33,50,1,184,401
35024,"Etobicoke North/Etobicoke-Nord"," 49","Etobicoke",11,2,104,17,90,2,226,463
35024,"Etobicoke North/Etobicoke-Nord"," 50","Etobicoke",4,0,43,17,24,1,89,248
35024,"Etobicoke North/Etobicoke-Nord"," 51","Etobicoke",4,1,98,27,46,0,176,353
35024,"Etobicoke North/Etobicoke-Nord"," 52","Etobicoke",5,2,127,24,50,0,208,672
35024,"Etobicoke North/Etobicoke-Nord"," 53","Etobicoke",3,0,76,25,24,0,128,376
35024,"Etobicoke North/Etobicoke-Nord"," 54","Etobicoke",10,2,90,46,58,2,208,478
35024,"Etobicoke North/Etobicoke-Nord"," 55","Etobicoke",12,2,105,39,56,4,218,473
35024,"Etobicoke North/Etobicoke-Nord"," 56","Etobicoke",4,0,66,44,32,0,146,483
35024,"Etobicoke North/Etobicoke-Nord"," 57","Etobicoke",7,3,74,9,29,2,124,285
35024,"Etobicoke North/Etobicoke-Nord"," 58","Etobicoke",2,1,75,37,44,0,159,387
35024,"Etobicoke North/Etobicoke-Nord"," 59","Etobicoke",7,1,125,53,63,7,256,486
35024,"Etobicoke North/Etobicoke-Nord"," 60","Etobicoke",6,4,82,28,56,0,176,367
35024,"Etobicoke North/Etobicoke-Nord"," 61","Etobicoke",8,4,75,26,80,0,193,365
35024,"Etobicoke North/Etobicoke-Nord"," 62","Etobicoke",11,2,102,33,82,1,231,418
35024,"Etobicoke North/Etobicoke-Nord"," 63","Etobicoke",14,1,122,24,63,1,225,416
35024,"Etobicoke North/Etobicoke-Nord"," 64","Etobicoke",12,6,111,31,64,3,227,496
35024,"Etobicoke North/Etobicoke-Nord"," 65","Etobicoke",5,2,78,19,55,0,159,368
35024,"Etobicoke North/Etobicoke-Nord"," 66","Etobicoke",12,3,85,30,88,1,219,365
35024,"Etobicoke North/Etobicoke-Nord"," 67","Etobicoke",16,0,97,26,63,1,203,372
35024,"Etobicoke North/Etobicoke-Nord"," 68","Etobicoke",12,1,83,22,66,2,186,364
35024,"Etobicoke North/Etobicoke-Nord"," 69","Etobicoke",11,2,116,31,67,4,231,423
35024,"Etobicoke North/Etobicoke-Nord"," 70","Etobicoke",13,0,93,23,91,1,221,404
35024,"Etobicoke North/Etobicoke-Nord"," 71","Etobicoke",13,1,81,35,59,0,189,332
35024,"Etobicoke North/Etobicoke-Nord"," 72","Etobicoke",6,2,97,20,54,1,180,332
35024,"Etobicoke North/Etobicoke-Nord"," 73","Etobicoke",4,2,83,24,64,0,177,343
35024,"Etobicoke North/Etobicoke-Nord"," 74","Etobicoke",10,4,121,22,106,0,263,451
35024,"Etobicoke North/Etobicoke-Nord"," 75","Etobicoke",7,3,80,30,49,2,171,374
35024,"Etobicoke North/Etobicoke-Nord"," 76","Etobicoke",8,2,120,32,70,1,233,544
35024,"Etobicoke North/Etobicoke-Nord"," 77","Etobicoke",9,5,103,23,70,4,214,451
35024,"Etobicoke North/Etobicoke-Nord"," 78","North York",Void/Supprimé,,,,,,,
35024,"Etobicoke North/Etobicoke-Nord"," 79","Etobicoke",19,3,99,39,48,7,215,404
35024,"Etobicoke North/Etobicoke-Nord"," 80","Etobicoke",12,4,88,24,75,2,205,356
35024,"Etobicoke North/Etobicoke-Nord"," 81","Etobicoke",12,6,108,30,74,0,230,389
35024,"Etobicoke North/Etobicoke-Nord"," 82","Etobicoke",15,3,99,37,59,3,216,367
35024,"Etobicoke North/Etobicoke-Nord"," 83","Etobicoke",11,0,84,16,46,0,157,302
35024,"Etobicoke North/Etobicoke-Nord"," 84","Etobicoke",7,4,84,12,52,0,159,327
35024,"Etobicoke North/Etobicoke-Nord"," 85","Etobicoke",7,1,50,23,31,0,112,253
35024,"Etobicoke North/Etobicoke-Nord"," 86","Etobicoke",6,0,82,36,39,0,163,425
35024,"Etobicoke North/Etobicoke-Nord"," 87","Etobicoke",3,1,47,22,39,1,113,327
35024,"Etobicoke North/Etobicoke-Nord"," 88","Etobicoke",9,5,88,25,41,0,168,385
35024,"Etobicoke North/Etobicoke-Nord"," 89","Etobicoke",23,2,102,29,85,1,242,368
35024,"Etobicoke North/Etobicoke-Nord"," 90","Etobicoke",26,3,86,29,71,0,215,387
35024,"Etobicoke North/Etobicoke-Nord"," 91","Etobicoke",18,0,104,30,86,2,240,408
35024,"Etobicoke North/Etobicoke-Nord"," 92","Etobicoke",18,1,77,48,53,2,199,404
35024,"Etobicoke North/Etobicoke-Nord"," 93","Etobicoke",10,4,79,40,58,1,192,355
35024,"Etobicoke North/Etobicoke-Nord"," 94","Etobicoke",11,0,80,45,106,0,242,504
35024,"Etobicoke North/Etobicoke-Nord"," 95","Etobicoke",13,0,91,28,105,1,238,458
35024,"Etobicoke North/Etobicoke-Nord"," 96","Etobicoke",16,3,75,23,68,0,185,354
35024,"Etobicoke North/Etobicoke-Nord"," 97","Etobicoke",20,1,65,36,82,1,205,389
35024,"Etobicoke North/Etobicoke-Nord"," 98","Etobicoke",12,2,108,15,62,0,199,385
35024,"Etobicoke North/Etobicoke-Nord"," 99","Etobicoke",5,0,56,32,42,0,135,326
35024,"Etobicoke North/Etobicoke-Nord"," 100","Etobicoke",10,3,53,21,35,1,123,396
35024,"Etobicoke North/Etobicoke-Nord"," 101","Etobicoke",6,4,76,18,49,0,153,307
35024,"Etobicoke North/Etobicoke-Nord"," 102","Etobicoke",5,2,97,28,54,2,188,416
35024,"Etobicoke North/Etobicoke-Nord"," 103","Etobicoke",5,0,64,29,50,0,148,336
35024,"Etobicoke North/Etobicoke-Nord"," 104","Etobicoke",5,0,68,11,37,0,121,243
35024,"Etobicoke North/Etobicoke-Nord"," 105","Etobicoke",5,0,29,30,24,1,89,292
35024,"Etobicoke North/Etobicoke-Nord"," 106","Etobicoke",14,3,71,34,62,1,185,342
35024,"Etobicoke North/Etobicoke-Nord"," 107","Etobicoke",12,2,67,27,39,1,148,313
35024,"Etobicoke North/Etobicoke-Nord"," 108","Etobicoke",11,2,69,20,46,0,148,237
35024,"Etobicoke North/Etobicoke-Nord"," 109","Etobicoke",16,3,83,40,74,4,220,356
35024,"Etobicoke North/Etobicoke-Nord"," 110","Etobicoke",20,3,70,30,71,2,196,406
35024,"Etobicoke North/Etobicoke-Nord"," 111","Etobicoke",3,1,22,8,44,1,79,222
35024,"Etobicoke North/Etobicoke-Nord"," 112","Etobicoke",11,2,123,105,24,4,269,670
35024,"Etobicoke North/Etobicoke-Nord"," 113","Etobicoke",5,1,56,23,18,0,103,313
35024,"Etobicoke North/Etobicoke-Nord"," 114","Etobicoke",5,0,124,57,41,5,232,749
35024,"Etobicoke North/Etobicoke-Nord"," 115","Etobicoke",3,0,84,28,33,4,152,446
35024,"Etobicoke North/Etobicoke-Nord"," 116","Etobicoke",19,1,75,35,70,3,203,431
35024,"Etobicoke North/Etobicoke-Nord"," 117","Etobicoke",5,2,114,23,51,2,197,406
35024,"Etobicoke North/Etobicoke-Nord"," 118","Etobicoke",15,4,110,52,72,1,254,626
35024,"Etobicoke North/Etobicoke-Nord"," 119","Etobicoke",10,3,79,38,20,1,151,347
35024,"Etobicoke North/Etobicoke-Nord"," 120","Etobicoke",5,0,13,14,13,1,46,101
35024,"Etobicoke North/Etobicoke-Nord"," 121","Etobicoke",12,5,114,34,66,4,235,438
35024,"Etobicoke North/Etobicoke-Nord"," 122","Etobicoke",12,4,124,40,88,0,268,574
35024,"Etobicoke North/Etobicoke-Nord"," 123","Etobicoke",12,0,50,15,66,1,144,256
35024,"Etobicoke North/Etobicoke-Nord"," 124","Etobicoke",19,2,87,17,72,1,198,407
35024,"Etobicoke North/Etobicoke-Nord"," 125","Etobicoke",7,0,78,12,40,0,137,304
35024,"Etobicoke North/Etobicoke-Nord"," 126","Etobicoke",7,4,102,25,54,0,192,327
35024,"Etobicoke North/Etobicoke-Nord"," 127","Etobicoke",5,7,120,19,51,1,203,388
35024,"Etobicoke North/Etobicoke-Nord"," 128","Etobicoke",8,6,87,22,52,0,175,363
35024,"Etobicoke North/Etobicoke-Nord"," 129","Etobicoke",7,0,55,15,24,1,102,257
35024,"Etobicoke North/Etobicoke-Nord"," 130","Etobicoke",14,2,50,26,45,0,137,302
35024,"Etobicoke North/Etobicoke-Nord"," 131","Etobicoke",7,2,40,15,32,1,97,317
35024,"Etobicoke North/Etobicoke-Nord"," 132","Etobicoke",5,1,51,19,28,1,105,271
35024,"Etobicoke North/Etobicoke-Nord"," 400","Etobicoke",0,1,45,16,15,0,77,245
35024,"Etobicoke North/Etobicoke-Nord"," 401","Etobicoke",3,3,91,25,19,2,143,380
35024,"Etobicoke North/Etobicoke-Nord"," 402","Etobicoke",9,1,79,33,53,1,176,409
35024,"Etobicoke North/Etobicoke-Nord"," 403","Etobicoke",0,3,69,23,38,0,133,373
35024,"Etobicoke North/Etobicoke-Nord"," 404","Etobicoke",7,2,90,45,55,1,200,482
35024,"Etobicoke North/Etobicoke-Nord"," 405","Etobicoke",8,4,65,23,19,1,120,306
35024,"Etobicoke North/Etobicoke-Nord"," 406","Etobicoke",3,3,36,10,25,0,77,307
35024,"Etobicoke North/Etobicoke-Nord"," 407","Etobicoke",4,0,72,22,38,3,139,320
35024,"Etobicoke North/Etobicoke-Nord"," 408","Etobicoke",0,2,79,25,53,1,160,396
35024,"Etobicoke North/Etobicoke-Nord"," 409","Etobicoke",Void/Supprimé,,,,,,,
35024,"Etobicoke North/Etobicoke-Nord"," 410","Etobicoke",4,2,37,11,14,4,72,177
35024,"Etobicoke North/Etobicoke-Nord"," 411","Etobicoke",Void/Supprimé,,,,,,,
35024,"Etobicoke North/Etobicoke-Nord"," 412","Etobicoke",5,0,42,20,23,1,91,242
35024,"Etobicoke North/Etobicoke-Nord"," 413","Etobicoke",66,2,80,80,45,2,275,381
35024,"Etobicoke North/Etobicoke-Nord"," 414","Etobicoke",6,2,50,38,46,1,143,210
35024,"Etobicoke North/Etobicoke-Nord"," 415","Etobicoke",10,2,47,21,36,0,116,316
35024,"Etobicoke North/Etobicoke-Nord"," 416","Etobicoke",3,0,43,18,30,0,94,289
35024,"Etobicoke North/Etobicoke-Nord"," 417","Etobicoke",3,0,35,18,5,1,62,197
35024,"Etobicoke North/Etobicoke-Nord"," 418","Etobicoke",3,0,47,4,72,2,128,259
35024,"Etobicoke North/Etobicoke-Nord"," 419","Etobicoke",7,0,67,4,48,1,127,241
35024,"Etobicoke North/Etobicoke-Nord"," 420","Etobicoke",4,2,134,102,32,0,274,690
35024,"Etobicoke North/Etobicoke-Nord"," 421","Etobicoke",2,1,43,20,23,2,91,286
35024,"Etobicoke North/Etobicoke-Nord"," 422","Etobicoke",10,2,136,77,68,2,295,743
35024,"Etobicoke North/Etobicoke-Nord"," 423","Etobicoke",3,3,117,97,42,3,265,685
35024,"Etobicoke North/Etobicoke-Nord"," 424","Etobicoke",4,0,47,26,38,3,118,289
35024,"Etobicoke North/Etobicoke-Nord"," 425","Etobicoke",5,1,141,72,45,1,265,661
35024,"Etobicoke North/Etobicoke-Nord"," 426","Etobicoke",28,0,153,83,79,1,344,655
35024,"Etobicoke North/Etobicoke-Nord"," 500","Mobile poll/Bureau itinérant",1,1,30,8,20,1,61,231
35024,"Etobicoke North/Etobicoke-Nord"," 501","Mobile poll/Bureau itinérant",2,0,44,15,43,1,105,215
35024,"Etobicoke North/Etobicoke-Nord"," 600","Etobicoke",12,2,242,52,289,1,598,
35024,"Etobicoke North/Etobicoke-Nord"," 601","Etobicoke",18,0,174,41,118,2,353,
35024,"Etobicoke North/Etobicoke-Nord"," 602","Etobicoke",19,2,179,47,156,0,403,
35024,"Etobicoke North/Etobicoke-Nord"," 603","Etobicoke",17,1,126,34,113,2,293,
35024,"Etobicoke North/Etobicoke-Nord"," 604","Etobicoke",11,3,159,56,157,1,387,
35024,"Etobicoke North/Etobicoke-Nord"," 605","Etobicoke",19,7,194,39,225,3,487,
35024,"Etobicoke North/Etobicoke-Nord"," 606","Etobicoke",4,0,157,37,133,3,334,
35024,"Etobicoke North/Etobicoke-Nord",,Group 1/Groupe 1,3,0,40,2,13,1,59,92
35024,"Etobicoke North/Etobicoke-Nord",,Group 2/Groupe 2,6,0,83,20,44,5,158,

