Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sue Barnes,Leslie Bartley,Peter Lawrence Ferguson,Ed Holder,Steve Hunter,Monica Jarabek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"London West/London-Ouest"," 59","London",95,3,12,119,3,16,0,248,383
35044,"London West/London-Ouest"," 60","London",75,1,23,80,3,21,0,203,328
35044,"London West/London-Ouest"," 61","London",44,1,26,63,1,22,1,158,303
35044,"London West/London-Ouest"," 62","London",86,0,23,85,1,28,1,224,340
35044,"London West/London-Ouest"," 63","London",58,0,20,82,0,25,0,185,298
35044,"London West/London-Ouest"," 64","London",70,0,20,80,3,18,1,192,315
35044,"London West/London-Ouest"," 65","London",91,0,16,111,2,33,0,253,427
35044,"London West/London-Ouest"," 65-1","London",79,0,32,76,2,16,1,206,353
35044,"London West/London-Ouest"," 66","London",78,0,26,68,1,11,3,187,346
35044,"London West/London-Ouest"," 66-1","London",41,0,17,58,1,12,2,131,244
35044,"London West/London-Ouest"," 67","London",89,3,32,155,0,30,0,309,540
35044,"London West/London-Ouest"," 68","London",54,3,20,105,2,29,0,213,345
35044,"London West/London-Ouest"," 69","London",65,0,24,72,1,23,2,187,303
35044,"London West/London-Ouest"," 70","London",97,0,26,136,2,43,0,304,431
35044,"London West/London-Ouest"," 71","London",56,0,19,49,1,10,0,135,272
35044,"London West/London-Ouest"," 72","London",71,1,27,64,2,20,1,186,410
35044,"London West/London-Ouest"," 73","London",78,0,10,108,1,22,2,221,388
35044,"London West/London-Ouest"," 74","London",139,1,24,149,0,38,0,351,556
35044,"London West/London-Ouest"," 75","London",101,0,12,165,2,26,1,307,488
35044,"London West/London-Ouest"," 76","London",82,0,8,123,0,19,1,233,396
35044,"London West/London-Ouest"," 77","London",110,2,25,127,2,25,1,292,479
35044,"London West/London-Ouest"," 78","London",88,1,26,91,0,47,1,254,412
35044,"London West/London-Ouest"," 79","London",98,0,18,87,0,46,0,249,387
35044,"London West/London-Ouest"," 80","London",83,1,36,91,0,30,0,241,379
35044,"London West/London-Ouest"," 81","London",71,1,12,73,3,9,0,169,268
35044,"London West/London-Ouest"," 82","London",110,1,23,132,0,38,2,306,438
35044,"London West/London-Ouest"," 83","London",78,0,8,135,1,28,0,250,443
35044,"London West/London-Ouest"," 84","London",88,0,11,87,0,25,0,211,366
35044,"London West/London-Ouest"," 85","London",97,0,70,92,0,27,2,288,722
35044,"London West/London-Ouest"," 86","London",67,0,44,57,1,20,0,189,416
35044,"London West/London-Ouest"," 87","London",83,0,24,75,3,14,1,200,300
35044,"London West/London-Ouest"," 88","London",77,0,51,45,2,19,1,195,375
35044,"London West/London-Ouest"," 89","London",64,0,33,31,2,33,1,164,338
35044,"London West/London-Ouest"," 90","London",55,0,30,41,4,22,0,152,297
35044,"London West/London-Ouest"," 91","London",52,3,27,33,6,30,0,151,300
35044,"London West/London-Ouest"," 92","London",35,0,27,36,2,24,0,124,271
35044,"London West/London-Ouest"," 93","London",34,1,44,33,3,18,0,133,263
35044,"London West/London-Ouest"," 94","London",91,4,36,43,2,45,0,221,405
35044,"London West/London-Ouest"," 95","London",107,0,24,121,2,34,1,289,472
35044,"London West/London-Ouest"," 96","London",86,1,54,106,4,34,0,285,483
35044,"London West/London-Ouest"," 97","London",61,0,30,71,2,39,4,207,335
35044,"London West/London-Ouest"," 98","London",58,0,32,35,1,25,1,152,307
35044,"London West/London-Ouest"," 99","London",59,1,51,52,3,15,0,181,382
35044,"London West/London-Ouest"," 100","London",81,1,35,64,1,13,1,196,392
35044,"London West/London-Ouest"," 101","London",63,3,32,72,0,19,1,190,288
35044,"London West/London-Ouest"," 102","London",47,1,39,42,1,22,0,152,368
35044,"London West/London-Ouest"," 103","London",59,2,44,89,1,12,0,207,380
35044,"London West/London-Ouest"," 104","London",47,1,31,51,2,5,0,137,290
35044,"London West/London-Ouest"," 105","London",81,4,51,77,1,15,1,230,425
35044,"London West/London-Ouest"," 106","London",38,0,31,20,0,6,2,97,288
35044,"London West/London-Ouest"," 107","London",105,3,46,126,2,29,0,311,491
35044,"London West/London-Ouest"," 108","London",48,2,42,74,1,18,1,186,444
35044,"London West/London-Ouest"," 109","London",50,1,35,26,1,44,0,157,312
35044,"London West/London-Ouest"," 110","London",42,0,28,30,1,28,0,129,284
35044,"London West/London-Ouest"," 111","London",87,0,60,40,4,37,0,228,426
35044,"London West/London-Ouest"," 112","London",71,1,45,52,0,29,0,198,349
35044,"London West/London-Ouest"," 113","London",65,0,36,31,0,24,0,156,281
35044,"London West/London-Ouest"," 114","London",96,2,46,47,1,40,1,233,394
35044,"London West/London-Ouest"," 115","London",90,0,39,48,1,25,1,204,371
35044,"London West/London-Ouest"," 116","London",68,1,37,26,1,28,1,162,360
35044,"London West/London-Ouest"," 117","London",31,0,25,29,1,21,0,107,204
35044,"London West/London-Ouest"," 118","London",47,2,45,39,5,29,0,167,375
35044,"London West/London-Ouest"," 119","London",31,1,36,47,3,18,0,136,328
35044,"London West/London-Ouest"," 120","London",67,3,42,44,0,30,0,186,374
35044,"London West/London-Ouest"," 121","London",71,0,40,48,4,41,1,205,346
35044,"London West/London-Ouest"," 122","London",137,0,46,62,1,36,0,282,451
35044,"London West/London-Ouest"," 123","London",81,1,29,34,2,39,2,188,326
35044,"London West/London-Ouest"," 124","London",121,0,43,59,2,33,0,258,407
35044,"London West/London-Ouest"," 125","London",60,2,43,31,0,24,1,161,381
35044,"London West/London-Ouest"," 126","London",65,4,51,45,0,26,0,191,397
35044,"London West/London-Ouest"," 127","London",67,2,70,45,4,16,0,204,532
35044,"London West/London-Ouest"," 128","London",73,0,42,83,1,22,0,221,440
35044,"London West/London-Ouest"," 129","London",42,1,44,68,1,25,2,183,424
35044,"London West/London-Ouest"," 130","London",23,0,26,50,2,11,0,112,294
35044,"London West/London-Ouest"," 131","London",34,3,54,33,4,16,4,148,271
35044,"London West/London-Ouest"," 132","London",59,0,31,61,0,5,0,156,371
35044,"London West/London-Ouest"," 133","London",57,0,45,83,1,11,2,199,471
35044,"London West/London-Ouest"," 134","London",129,0,27,89,1,42,0,288,420
35044,"London West/London-Ouest"," 135","London",119,0,22,120,2,19,0,282,452
35044,"London West/London-Ouest"," 136","London",116,0,34,64,2,35,1,252,400
35044,"London West/London-Ouest"," 137","London",77,0,20,119,0,13,0,229,322
35044,"London West/London-Ouest"," 138","London",78,2,48,53,2,38,2,223,374
35044,"London West/London-Ouest"," 139","London",87,0,50,40,4,25,0,206,404
35044,"London West/London-Ouest"," 140","London",60,3,30,28,0,16,0,137,322
35044,"London West/London-Ouest"," 141","London",63,0,41,40,1,35,1,181,352
35044,"London West/London-Ouest"," 142","London",65,0,26,44,1,41,0,177,285
35044,"London West/London-Ouest"," 143","London",39,1,28,22,1,21,0,112,303
35044,"London West/London-Ouest"," 144","London",64,0,17,19,0,8,0,108,190
35044,"London West/London-Ouest"," 145","London",47,2,40,34,0,19,0,142,282
35044,"London West/London-Ouest"," 146","London",141,1,42,56,4,23,0,267,398
35044,"London West/London-Ouest"," 147","London",110,0,43,24,2,50,0,229,322
35044,"London West/London-Ouest"," 148","London",98,0,23,63,0,25,1,210,334
35044,"London West/London-Ouest"," 149","London",65,1,30,32,0,20,1,149,278
35044,"London West/London-Ouest"," 150","London",80,0,58,51,1,28,1,219,397
35044,"London West/London-Ouest"," 151","London",29,0,25,32,0,12,3,101,274
35044,"London West/London-Ouest"," 152","London",46,2,72,41,2,20,2,185,437
35044,"London West/London-Ouest"," 153","London",26,0,34,34,2,14,1,111,230
35044,"London West/London-Ouest"," 154","London",51,0,53,67,5,24,0,200,385
35044,"London West/London-Ouest"," 155","London",73,1,51,45,1,24,1,196,360
35044,"London West/London-Ouest"," 156","London",80,0,24,46,2,18,0,170,272
35044,"London West/London-Ouest"," 157","London",86,1,21,79,0,20,1,208,323
35044,"London West/London-Ouest"," 158","London",40,0,41,44,3,14,1,143,405
35044,"London West/London-Ouest"," 159","London",85,0,29,92,2,18,1,227,414
35044,"London West/London-Ouest"," 159-1","London",65,1,14,60,0,7,0,147,293
35044,"London West/London-Ouest"," 160","London",68,0,5,87,0,15,0,175,338
35044,"London West/London-Ouest"," 161","London",96,0,15,117,0,12,1,241,410
35044,"London West/London-Ouest"," 162","London",62,3,12,75,3,6,1,162,237
35044,"London West/London-Ouest"," 163","London",90,0,22,111,1,9,0,233,431
35044,"London West/London-Ouest"," 164","London",53,3,65,56,1,27,1,206,478
35044,"London West/London-Ouest"," 165","London",56,0,53,53,2,28,1,193,357
35044,"London West/London-Ouest"," 166","London",25,0,37,27,0,12,0,101,312
35044,"London West/London-Ouest"," 167","London",34,0,16,33,1,12,1,97,257
35044,"London West/London-Ouest"," 168","London",46,0,31,66,1,17,0,161,350
35044,"London West/London-Ouest"," 169","London",56,2,43,60,0,14,0,175,323
35044,"London West/London-Ouest"," 170","London",25,0,48,33,1,11,1,119,289
35044,"London West/London-Ouest"," 171","London",56,2,37,108,0,7,0,210,342
35044,"London West/London-Ouest"," 172","London",51,0,56,66,0,14,0,187,412
35044,"London West/London-Ouest"," 173","London",137,1,21,137,1,28,0,325,495
35044,"London West/London-Ouest"," 174","London",73,0,21,93,1,19,1,208,432
35044,"London West/London-Ouest"," 175","London",103,2,19,170,2,17,1,314,588
35044,"London West/London-Ouest"," 176","London",76,1,20,96,0,11,0,204,375
35044,"London West/London-Ouest"," 177","London",110,0,13,148,4,23,4,302,542
35044,"London West/London-Ouest"," 178","London",100,0,18,108,0,14,1,241,426
35044,"London West/London-Ouest"," 179","London",80,3,23,73,0,14,0,193,421
35044,"London West/London-Ouest"," 180","London",75,0,29,88,3,17,1,213,360
35044,"London West/London-Ouest"," 181","London",47,0,42,44,4,9,0,146,389
35044,"London West/London-Ouest"," 182","London",55,1,40,39,0,20,1,156,535
35044,"London West/London-Ouest"," 183","London",79,0,11,85,1,14,1,191,347
35044,"London West/London-Ouest"," 184","London",105,2,33,156,0,19,0,315,546
35044,"London West/London-Ouest"," 184-1","London",29,0,20,29,1,12,0,91,223
35044,"London West/London-Ouest"," 185","London",65,1,50,62,2,14,1,195,392
35044,"London West/London-Ouest"," 186","London",46,2,22,57,2,18,1,148,325
35044,"London West/London-Ouest"," 187","London",63,2,35,68,2,15,0,185,390
35044,"London West/London-Ouest"," 188","London",105,1,28,148,2,29,2,315,425
35044,"London West/London-Ouest"," 189","London",70,1,28,92,3,15,2,211,352
35044,"London West/London-Ouest"," 190","London",42,1,37,100,3,20,0,203,386
35044,"London West/London-Ouest"," 191","London",53,1,28,61,0,12,0,155,329
35044,"London West/London-Ouest"," 192","London",33,0,33,37,3,3,2,111,318
35044,"London West/London-Ouest"," 193","London",81,2,43,128,3,28,0,285,503
35044,"London West/London-Ouest"," 194","London",78,1,33,74,2,23,0,211,340
35044,"London West/London-Ouest"," 195","London",68,0,27,66,3,17,1,182,372
35044,"London West/London-Ouest"," 196","London",86,2,28,97,1,9,2,225,395
35044,"London West/London-Ouest"," 197","London",123,0,50,115,5,17,2,312,486
35044,"London West/London-Ouest"," 198","London",77,1,56,85,0,11,1,231,529
35044,"London West/London-Ouest"," 199","London",45,1,16,50,0,10,2,124,340
35044,"London West/London-Ouest"," 200","London",44,0,13,61,1,8,2,129,294
35044,"London West/London-Ouest"," 201","London",51,3,38,71,3,17,2,185,489
35044,"London West/London-Ouest"," 202","London",86,1,10,117,2,10,1,227,356
35044,"London West/London-Ouest"," 203","London",91,0,31,79,1,14,1,217,391
35044,"London West/London-Ouest"," 204","London",65,0,49,60,3,19,0,196,390
35044,"London West/London-Ouest"," 205","London",90,3,33,92,2,17,0,237,389
35044,"London West/London-Ouest"," 206","London",35,3,38,29,1,10,0,116,236
35044,"London West/London-Ouest"," 207","London",93,4,62,81,6,18,1,265,567
35044,"London West/London-Ouest"," 208","London",60,0,37,69,1,15,0,182,379
35044,"London West/London-Ouest"," 209","London",116,1,41,79,4,19,1,261,417
35044,"London West/London-Ouest"," 210","London",51,1,71,69,1,18,2,213,471
35044,"London West/London-Ouest"," 211","London",32,0,22,67,2,7,0,130,227
35044,"London West/London-Ouest"," 212","London",60,0,16,80,1,17,0,174,321
35044,"London West/London-Ouest"," 213","London",97,0,21,93,1,10,3,225,394
35044,"London West/London-Ouest"," 400","London",Void/Supprimé,,,,,,,,
35044,"London West/London-Ouest"," 401","London",33,0,16,27,1,14,0,91,266
35044,"London West/London-Ouest"," 402","London",38,0,24,29,1,15,0,107,292
35044,"London West/London-Ouest"," 403","London",39,0,23,26,1,10,0,99,272
35044,"London West/London-Ouest"," 404","London",51,0,29,22,0,14,2,118,292
35044,"London West/London-Ouest"," 405","London",32,0,10,14,1,0,0,57,189
35044,"London West/London-Ouest"," 406","London",56,4,40,18,2,14,0,134,219
35044,"London West/London-Ouest"," 407","London",44,0,7,48,2,5,2,108,144
35044,"London West/London-Ouest"," 408","London",17,2,4,21,3,2,1,50,137
35044,"London West/London-Ouest"," 409","London",28,2,19,28,2,8,2,89,122
35044,"London West/London-Ouest"," 410","London",42,0,26,36,3,12,0,119,177
35044,"London West/London-Ouest"," 411","London",44,0,24,36,1,10,0,115,181
35044,"London West/London-Ouest"," 412","London",38,1,17,11,2,4,0,73,179
35044,"London West/London-Ouest"," 500","Mobile poll/Bureau itinérant",28,3,10,23,3,3,1,71,115
35044,"London West/London-Ouest"," 501","Mobile poll/Bureau itinérant",43,3,11,54,2,6,2,121,171
35044,"London West/London-Ouest"," 600","London",174,2,28,202,3,33,0,442,
35044,"London West/London-Ouest"," 601","London",94,2,27,107,0,19,1,250,
35044,"London West/London-Ouest"," 602","London",163,1,35,209,3,34,1,446,
35044,"London West/London-Ouest"," 603","London",205,1,25,341,1,37,1,611,
35044,"London West/London-Ouest"," 604","London",105,3,23,152,0,23,0,306,
35044,"London West/London-Ouest"," 605","London",127,1,28,195,1,36,3,391,
35044,"London West/London-Ouest"," 606","London",243,1,24,331,3,43,0,645,
35044,"London West/London-Ouest"," 607","London",228,1,21,278,0,43,0,571,
35044,"London West/London-Ouest"," 608","London",103,1,26,103,0,26,0,259,
35044,"London West/London-Ouest"," 609","London",168,5,73,203,3,30,1,483,
35044,"London West/London-Ouest"," 610","London",220,1,62,129,0,39,1,452,
35044,"London West/London-Ouest"," 611","London",188,0,47,190,4,55,3,487,
35044,"London West/London-Ouest"," 612","London",145,1,26,296,1,24,2,495,
35044,"London West/London-Ouest"," 613","London",195,2,34,226,3,32,1,493,
35044,"London West/London-Ouest"," 614","London",113,3,54,184,1,23,2,380,
35044,"London West/London-Ouest"," 615","London",143,1,41,224,2,20,1,432,
35044,"London West/London-Ouest",,Group 1/Groupe 1,53,2,18,70,0,13,7,163,296
35044,"London West/London-Ouest",,Group 2/Groupe 2,370,4,62,514,3,66,23,1042,

