Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Greg Crompton,Stefan Dixon,Alamgir Hussain,M. H. Fatique Chowdhury Kabir,Michelle Simson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25A","Scarborough",41,14,30,0,49,1,135,175
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25B","Scarborough",50,13,44,1,99,0,207,464
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 26","Scarborough",60,28,16,0,86,0,190,343
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 27","Scarborough",70,17,40,2,65,0,194,312
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 28","Scarborough",43,16,47,3,71,1,181,407
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 29A","Scarborough",45,11,47,1,64,1,169,432
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 29B","Scarborough",36,8,24,1,74,1,144,351
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 30","Scarborough",35,6,22,0,64,1,128,277
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 31","Scarborough",15,5,47,2,78,3,150,329
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 32","Scarborough",56,10,26,1,44,0,137,307
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 33","Scarborough",50,14,33,0,77,0,174,381
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 34","Scarborough",68,21,32,0,66,1,188,400
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 35","Scarborough",29,2,11,0,47,1,90,219
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 36","Scarborough",42,9,73,0,70,2,196,440
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 37","Scarborough",22,5,16,1,63,0,107,158
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 38A","Scarborough",35,7,34,1,79,1,157,280
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 38B","Scarborough",24,6,40,0,38,1,109,190
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 39","Scarborough",51,8,28,0,52,0,139,274
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 40","Scarborough",44,6,40,1,72,4,167,503
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 41A","Scarborough",43,12,44,1,67,1,168,337
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 41B","Scarborough",24,5,13,0,53,0,95,185
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 42","Scarborough",56,5,24,1,89,1,176,401
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 43","Scarborough",47,9,34,0,69,1,160,384
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 44","Scarborough",44,9,48,0,48,0,149,335
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 45A","Scarborough",62,15,37,0,77,2,193,377
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 45B","Scarborough",19,1,22,0,38,0,80,161
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 46A","Scarborough",47,2,33,3,88,2,175,324
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 46B","Scarborough",21,7,19,1,57,1,106,212
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 47","Scarborough",49,18,56,2,93,1,219,410
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 48","Scarborough",46,8,31,0,78,2,165,336
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 49","Scarborough",38,20,62,1,109,3,233,478
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 50","Scarborough",40,6,38,0,60,5,149,329
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 51","Scarborough",14,3,73,2,112,5,209,512
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 52","Scarborough",44,10,31,0,54,0,139,312
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 53","Scarborough",22,11,51,2,99,6,191,466
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 54","Scarborough",58,14,33,1,63,1,170,350
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 55","Scarborough",70,17,34,2,70,2,195,522
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 56A","Scarborough",37,3,29,1,88,1,159,307
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 56B","Scarborough",21,3,24,1,53,0,102,215
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 57","Scarborough",75,20,31,0,71,0,197,363
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 58","Scarborough",59,28,25,0,41,1,154,270
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 59","Scarborough",70,17,28,0,53,1,169,306
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 60","Scarborough",69,21,52,1,65,4,212,370
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 61","Scarborough",38,8,32,1,58,2,139,338
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 62","Scarborough",72,11,37,0,106,0,226,368
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 63","Scarborough",46,9,24,1,60,1,141,266
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 64","Scarborough",85,22,29,1,82,2,221,362
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 65","Scarborough",72,25,38,0,101,1,237,398
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 66","Scarborough",52,27,14,0,49,1,143,247
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 67","Scarborough",88,20,32,0,79,0,219,393
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 68","Scarborough",36,11,21,0,27,0,95,251
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 69","Scarborough",39,2,24,0,34,0,99,261
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 70","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 71","Scarborough",73,22,28,2,75,1,201,350
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 72","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 73","Scarborough",73,19,28,0,70,0,190,332
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 74","Scarborough",41,6,47,0,89,3,186,327
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 75","Scarborough",129,15,19,0,80,1,244,410
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 76","Scarborough",106,24,11,1,89,0,231,377
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 77","Scarborough",89,27,25,0,95,0,236,346
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 78","Scarborough",92,29,17,1,61,1,201,333
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 79","Scarborough",79,22,31,1,88,0,221,370
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 80","Scarborough",59,26,20,1,49,0,155,288
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 81","Scarborough",63,21,16,1,66,0,167,287
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 82A","Scarborough",55,28,22,1,50,1,157,390
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 82B","Scarborough",38,9,18,0,37,0,102,222
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 83","Scarborough",68,23,45,0,73,1,210,398
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 84","Scarborough",57,23,29,1,78,1,189,340
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 85","Scarborough",65,27,26,1,72,4,195,402
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 86A","Scarborough",38,15,29,2,64,0,148,307
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 86B","Scarborough",17,8,19,0,42,0,86,183
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 87A","Scarborough",66,22,38,0,55,0,181,339
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 87B","Scarborough",27,10,13,1,37,0,88,158
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 88","Scarborough",43,24,56,2,62,2,189,328
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 89","Scarborough",61,29,32,1,67,0,190,334
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 90","Scarborough",61,37,52,2,51,3,206,402
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 91","Scarborough",72,16,33,0,79,0,200,469
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 92","Scarborough",50,25,27,2,33,1,138,252
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 93","Scarborough",88,26,39,2,77,1,233,480
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 94","Scarborough",82,38,47,0,71,0,238,447
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 95","Scarborough",45,23,26,0,58,0,152,297
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 96","Scarborough",66,28,19,0,64,0,177,313
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 97","Scarborough",97,32,17,1,118,1,266,380
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 98","Scarborough",115,29,28,1,125,0,298,736
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 99","Scarborough",59,28,49,0,54,1,191,386
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 100","Scarborough",58,23,55,0,59,1,196,364
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 101","Scarborough",43,19,17,0,48,0,127,243
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 102","Scarborough",39,20,51,0,45,0,155,419
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 103","Scarborough",58,21,40,0,130,4,253,481
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 104","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 105","Scarborough",62,28,38,4,100,3,235,467
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 106","Scarborough",52,23,64,2,109,1,251,472
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 107","Scarborough",45,11,57,0,92,0,205,561
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 108A","Scarborough",51,10,49,1,117,3,231,502
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 108B","Scarborough",33,8,44,0,97,0,182,404
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 109","Scarborough",24,4,38,1,51,1,119,371
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 110","Scarborough",48,10,39,1,114,1,213,412
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 111","Scarborough",53,21,32,1,82,2,191,394
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 112","Scarborough",46,16,45,0,57,0,164,345
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 113","Scarborough",28,11,44,0,73,4,160,327
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 114","Scarborough",52,17,51,1,81,1,203,421
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 115","Scarborough",55,12,46,4,93,3,213,445
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 116","Scarborough",49,17,30,0,63,2,161,395
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 117","Scarborough",68,20,25,1,67,0,181,382
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 118","Scarborough",52,34,35,1,89,0,211,414
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 119","Scarborough",59,43,38,1,72,0,213,364
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 120","Scarborough",39,21,29,0,54,1,144,247
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 121","Scarborough",44,36,39,0,51,1,171,354
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 122","Scarborough",59,35,38,0,99,1,232,386
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 123","Scarborough",72,44,16,0,108,0,240,423
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 124","Scarborough",87,28,20,0,110,0,245,383
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 125","Scarborough",66,28,10,0,89,0,193,315
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 126","Scarborough",48,28,38,2,61,1,178,400
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 127","Scarborough",80,12,52,0,97,0,241,401
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 128A","Scarborough",65,15,27,0,72,0,179,352
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 128B","Scarborough",33,11,13,0,36,0,93,171
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 129","Scarborough",52,22,28,1,64,0,167,348
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 130A","Scarborough",51,13,11,0,79,0,154,268
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 130B","Scarborough",17,7,17,0,45,0,86,196
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 131","Scarborough",30,15,26,3,61,0,135,332
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 132","Scarborough",43,11,30,1,50,2,137,313
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 133","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 134","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 135","Scarborough",27,6,32,2,67,0,134,314
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 136","Scarborough",67,20,25,0,71,2,185,349
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 137","Scarborough",22,5,69,1,96,2,195,532
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 138","Scarborough",37,10,46,2,124,1,220,534
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 139","Scarborough",48,10,40,0,72,0,170,305
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 140","Scarborough",48,16,59,0,110,2,235,447
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 141","Scarborough",29,14,32,1,35,0,111,305
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 142","Scarborough",42,8,46,1,100,2,199,359
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 143","Scarborough",44,16,34,0,55,1,150,316
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 144","Scarborough",32,21,74,7,108,0,242,506
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 145","Scarborough",24,22,45,0,53,0,144,290
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 146","Scarborough",42,14,45,2,76,5,184,341
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 147","Scarborough",64,34,45,0,74,0,217,352
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 148","Scarborough",63,40,30,2,88,0,223,353
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 149","Scarborough",79,36,17,0,126,0,258,417
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 150","Scarborough",81,27,31,1,92,0,232,387
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 151","Scarborough",98,33,36,0,93,0,260,420
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 152","Scarborough",49,42,26,1,62,1,181,315
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 153","Scarborough",55,27,28,1,61,0,172,310
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 154","Scarborough",57,30,20,1,75,0,183,331
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 155","Scarborough",43,23,16,0,71,2,155,266
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 156","Scarborough",56,26,41,0,54,2,179,385
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 157","Scarborough",58,29,21,2,119,2,231,329
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 158","Scarborough",44,32,17,0,81,0,174,254
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 159","Scarborough",78,38,21,0,98,0,235,347
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 160","Scarborough",86,32,19,0,126,1,264,368
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 161","Scarborough",28,33,30,0,67,1,159,283
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 162","Scarborough",28,33,20,0,46,0,127,248
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 163","Scarborough",80,22,15,0,83,0,200,334
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 400","Scarborough",16,6,11,0,43,1,77,196
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 401","Scarborough",35,14,54,1,136,2,242,516
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 402","Scarborough",14,9,24,0,52,0,99,282
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 403","Scarborough",70,26,45,3,118,0,262,523
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 404","Scarborough",71,17,45,2,131,0,266,526
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 405","Scarborough",90,11,51,0,115,1,268,472
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 406","Scarborough",31,2,9,1,61,3,107,344
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 407","Scarborough",21,9,28,1,47,1,107,315
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 408","Scarborough",14,4,38,1,55,0,112,301
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 409","Scarborough",30,13,24,0,78,0,145,357
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 410","Scarborough",9,5,46,1,58,0,119,213
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 411","Scarborough",14,3,48,0,62,3,130,333
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 412","Scarborough",10,3,37,1,54,0,105,328
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 413","Scarborough",18,2,42,0,56,0,118,340
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 414","Scarborough",75,20,31,0,81,0,207,292
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 415","Scarborough",41,14,20,1,39,0,115,233
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 416","Scarborough",37,9,26,0,42,1,115,268
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 417","Scarborough",14,2,25,1,17,0,59,155
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 418","Scarborough",12,1,48,1,72,0,134,358
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 419","Scarborough",12,8,48,1,58,1,128,310
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 420","Scarborough",25,3,12,1,15,0,56,197
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 421","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 422","Scarborough",Void/Supprimé,,,,,,,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 600","Scarborough",89,25,35,0,136,1,286,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 601","Scarborough",142,30,70,1,158,3,404,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 602","Scarborough",94,10,45,0,107,0,256,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 603","Scarborough",176,37,40,3,154,0,410,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 604","Scarborough",103,44,45,1,120,1,314,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 605","Scarborough",153,43,76,0,178,0,450,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 606","Scarborough",110,33,53,1,141,0,338,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 607","Scarborough",126,26,46,0,134,2,334,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest"," 608","Scarborough",62,6,45,1,80,1,195,
35084,"Scarborough Southwest/Scarborough-Sud-Ouest",,Group 1/Groupe 1,14,4,8,0,34,3,63,91
35084,"Scarborough Southwest/Scarborough-Sud-Ouest",,Group 2/Groupe 2,151,42,53,3,180,12,441,

