Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,André Côté,Véronique Poulin,Nicolas Rochette,René Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 87","Beauceville",102,14,23,10,20,5,174,293
24005,"Beauce/Beauce"," 88","Beauceville",86,28,11,12,19,3,159,315
24005,"Beauce/Beauce"," 88-1","Beauceville",93,18,23,9,15,6,164,280
24005,"Beauce/Beauce"," 89","Beauceville",115,38,16,10,13,0,192,338
24005,"Beauce/Beauce"," 90","Saint-Alfred",130,46,18,9,23,4,230,339
24005,"Beauce/Beauce"," 91","Saint-Victor-Station",70,9,15,6,12,2,114,207
24005,"Beauce/Beauce"," 91-1","Saint-Victor",105,18,8,5,11,1,148,223
24005,"Beauce/Beauce"," 92","Saint-Victor",223,28,40,4,22,3,320,475
24005,"Beauce/Beauce"," 93","Saint-Victor",102,12,14,6,15,3,152,261
24005,"Beauce/Beauce"," 94","Saint-Victor",92,14,7,2,20,3,138,234
24005,"Beauce/Beauce"," 95","Saint-Victor",144,27,21,16,19,4,231,417
24005,"Beauce/Beauce"," 96","Saint-Benjamin",142,40,21,10,25,1,239,428
24005,"Beauce/Beauce"," 97","Saint-Benjamin",108,21,19,8,24,2,182,294
24005,"Beauce/Beauce"," 98","Saint-Prosper",116,24,23,10,18,5,196,400
24005,"Beauce/Beauce"," 99","Saint-Prosper",151,18,26,17,24,6,242,437
24005,"Beauce/Beauce"," 100","Saint-Prosper",137,30,25,11,21,1,225,472
24005,"Beauce/Beauce"," 101","Saint-Prosper",153,31,17,8,24,5,238,454
24005,"Beauce/Beauce"," 102","Saint-Prosper",74,24,8,6,15,1,128,265
24005,"Beauce/Beauce"," 103","Saint-Prosper",135,28,21,6,24,4,218,475
24005,"Beauce/Beauce"," 104","Saint-Prosper",133,24,19,12,9,1,198,384
24005,"Beauce/Beauce"," 105","Sainte-Aurélie",57,16,13,12,9,0,107,211
24005,"Beauce/Beauce"," 106","Sainte-Aurélie",181,43,29,8,27,0,288,497
24005,"Beauce/Beauce"," 107","Saint-Éphrem-de-Beauce",131,12,11,5,14,1,174,283
24005,"Beauce/Beauce"," 107-1","Saint-Éphrem-de-Beauce",70,18,10,7,15,2,122,255
24005,"Beauce/Beauce"," 108","Saint-Éphrem-de-Beauce",161,42,27,14,33,6,283,474
24005,"Beauce/Beauce"," 109","Saint-Éphrem-de-Beauce",126,29,15,3,12,5,190,302
24005,"Beauce/Beauce"," 110","Saint-Éphrem-de-Beauce",85,14,5,2,21,0,127,211
24005,"Beauce/Beauce"," 111","Saint-Éphrem-de-Beauce",165,39,22,7,22,1,256,403
24005,"Beauce/Beauce"," 112","Saint-Benoît-Labre",105,20,17,7,9,4,162,296
24005,"Beauce/Beauce"," 113","Saint-Benoît-Labre",128,45,18,13,27,7,238,432
24005,"Beauce/Beauce"," 114","Saint-Benoît-Labre",49,20,10,4,9,0,92,177
24005,"Beauce/Beauce"," 114-1","Saint-Benoît-Labre",126,21,33,10,11,8,209,354
24005,"Beauce/Beauce"," 115","Aubert-Gallion",157,31,46,22,30,8,294,532
24005,"Beauce/Beauce"," 116","Aubert-Gallion",121,25,25,10,17,3,201,368
24005,"Beauce/Beauce"," 116-1","Saint-Georges",65,15,9,7,11,4,111,218
24005,"Beauce/Beauce"," 117","Aubert-Gallion",214,54,46,22,28,7,371,689
24005,"Beauce/Beauce"," 117-1","Saint-Georges",42,15,9,1,7,1,75,158
24005,"Beauce/Beauce"," 118","Saint-Georges",94,23,22,10,15,3,167,357
24005,"Beauce/Beauce"," 119","Saint-Georges",162,32,26,7,37,2,266,436
24005,"Beauce/Beauce"," 120","Saint-Georges",95,40,21,13,23,3,195,312
24005,"Beauce/Beauce"," 121","Saint-Georges",112,19,20,11,28,2,192,375
24005,"Beauce/Beauce"," 122","Saint-Georges",50,25,14,14,13,2,118,263
24005,"Beauce/Beauce"," 123","Saint-Georges",93,29,18,6,20,6,172,343
24005,"Beauce/Beauce"," 124","Saint-Georges",91,43,19,13,25,7,198,406
24005,"Beauce/Beauce"," 125","Saint-Georges",97,32,13,10,14,3,169,331
24005,"Beauce/Beauce"," 126","Saint-Georges",112,42,14,14,16,0,198,374
24005,"Beauce/Beauce"," 127","Saint-Georges",117,19,11,2,10,2,161,304
24005,"Beauce/Beauce"," 128","Saint-Georges",89,32,22,9,15,3,170,289
24005,"Beauce/Beauce"," 129","Saint-Georges",107,28,17,15,13,5,185,365
24005,"Beauce/Beauce"," 130","Saint-Georges",117,16,12,12,18,2,177,293
24005,"Beauce/Beauce"," 131","Saint-Georges",90,29,28,7,16,5,175,303
24005,"Beauce/Beauce"," 132","Saint-Georges",193,53,42,26,28,2,344,579
24005,"Beauce/Beauce"," 133","Aubert-Gallion",95,20,22,13,21,1,172,290
24005,"Beauce/Beauce"," 134","Saint-Jean-de-la-Lande",115,26,24,12,12,4,193,279
24005,"Beauce/Beauce"," 135","Saint-Jean-de-la-Lande",109,24,23,11,14,3,184,281
24005,"Beauce/Beauce"," 136","Saint-Simon-les-Mines",141,15,16,16,20,3,211,336
24005,"Beauce/Beauce"," 137","Notre-Dame-des-Pins",130,44,17,38,20,2,251,416
24005,"Beauce/Beauce"," 138A","Notre-Dame-des-Pins",127,21,31,10,17,4,210,329
24005,"Beauce/Beauce"," 138B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,73
24005,"Beauce/Beauce"," 139","Notre-Dame-des-Pins",37,11,4,11,10,2,75,100
24005,"Beauce/Beauce"," 140","Saint-Georges-Est",158,46,18,15,28,6,271,483
24005,"Beauce/Beauce"," 141","Saint-Georges-Est",129,29,23,15,28,1,225,406
24005,"Beauce/Beauce"," 142","Saint-Georges-Est",182,28,18,12,18,3,261,539
24005,"Beauce/Beauce"," 143","Saint-Georges-Est",136,34,38,11,15,4,238,486
24005,"Beauce/Beauce"," 144","Saint-Georges",112,39,22,17,31,4,225,410
24005,"Beauce/Beauce"," 144-1","Saint-Georges",80,11,7,7,14,5,124,243
24005,"Beauce/Beauce"," 145","Saint-Georges",142,47,21,12,31,5,258,515
24005,"Beauce/Beauce"," 146","Saint-Georges",96,18,17,5,20,2,158,336
24005,"Beauce/Beauce"," 147","Saint-Georges",120,33,32,10,26,7,228,481
24005,"Beauce/Beauce"," 148","Saint-Georges",103,37,21,8,21,2,192,400
24005,"Beauce/Beauce"," 149","Saint-Georges",111,26,20,16,16,3,192,391
