Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Allaire,François Boucher,Denis Coderre,Samira Laouni,Daniel Mailhot,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bourassa/Bourassa"," 32B","Montréal-Nord",14,2,48,10,19,0,0,93,209
24009,"Bourassa/Bourassa"," 33","Montréal-Nord",13,5,36,12,33,0,1,100,284
24009,"Bourassa/Bourassa"," 34","Montréal-Nord",22,5,60,21,63,1,7,179,361
24009,"Bourassa/Bourassa"," 35A","Montréal-Nord",12,7,36,9,18,1,6,89,234
24009,"Bourassa/Bourassa"," 35B","Montréal-Nord",10,3,29,3,18,1,2,66,198
24009,"Bourassa/Bourassa"," 36A","Montréal-Nord",5,1,28,7,24,0,1,66,204
24009,"Bourassa/Bourassa"," 36B","Montréal-Nord",2,2,39,8,26,0,2,79,207
24009,"Bourassa/Bourassa"," 37","Montréal-Nord",14,5,57,15,35,0,2,128,324
24009,"Bourassa/Bourassa"," 38","Montréal-Nord",18,3,41,12,26,0,3,103,327
24009,"Bourassa/Bourassa"," 39","Montréal-Nord",18,3,83,14,21,0,6,145,329
24009,"Bourassa/Bourassa"," 40","Montréal-Nord",9,3,66,17,19,0,3,117,283
24009,"Bourassa/Bourassa"," 41","Montréal-Nord",11,3,46,6,45,0,4,115,272
24009,"Bourassa/Bourassa"," 42","Montréal-Nord",22,7,78,16,53,0,4,180,382
24009,"Bourassa/Bourassa"," 43","Montréal-Nord",17,6,114,7,34,0,9,187,352
24009,"Bourassa/Bourassa"," 44","Montréal-Nord",23,6,102,8,51,0,3,193,389
24009,"Bourassa/Bourassa"," 45","Montréal-Nord",32,5,109,10,35,0,0,191,320
24009,"Bourassa/Bourassa"," 46","Montréal-Nord",33,7,103,13,24,2,4,186,360
24009,"Bourassa/Bourassa"," 47","Montréal-Nord",24,7,64,16,34,1,0,146,341
24009,"Bourassa/Bourassa"," 48","Montréal-Nord",15,3,73,15,42,1,0,149,401
24009,"Bourassa/Bourassa"," 49","Montréal-Nord",14,3,66,16,33,0,6,138,371
24009,"Bourassa/Bourassa"," 50","Montréal-Nord",17,4,66,13,40,1,2,143,392
24009,"Bourassa/Bourassa"," 51","Montréal-Nord",23,6,146,17,21,0,6,219,338
24009,"Bourassa/Bourassa"," 52","Montréal-Nord",32,6,111,18,43,1,3,214,346
24009,"Bourassa/Bourassa"," 53","Montréal-Nord",30,3,114,13,44,1,1,206,336
24009,"Bourassa/Bourassa"," 54","Montréal-Nord",14,14,74,19,46,1,2,170,339
24009,"Bourassa/Bourassa"," 55","Montréal-Nord",17,6,82,15,30,0,4,154,320
24009,"Bourassa/Bourassa"," 56","Montréal-Nord",22,4,96,11,42,1,2,178,374
24009,"Bourassa/Bourassa"," 57","Montréal-Nord",10,4,99,8,30,0,2,153,409
24009,"Bourassa/Bourassa"," 58","Montréal-Nord",19,3,92,7,31,0,3,155,364
24009,"Bourassa/Bourassa"," 59","Montréal-Nord",18,7,101,16,26,0,1,169,309
24009,"Bourassa/Bourassa"," 60","Montréal-Nord",20,5,144,13,46,2,2,232,399
24009,"Bourassa/Bourassa"," 61","Montréal-Nord",36,7,128,17,30,0,5,223,430
24009,"Bourassa/Bourassa"," 62","Montréal-Nord",29,2,119,10,23,0,1,184,397
24009,"Bourassa/Bourassa"," 63A","Montréal-Nord",9,1,23,6,37,1,0,77,214
24009,"Bourassa/Bourassa"," 63B","Montréal-Nord",11,1,17,8,35,1,0,73,209
24009,"Bourassa/Bourassa"," 64A","Montréal-Nord",15,3,72,16,22,0,0,128,245
24009,"Bourassa/Bourassa"," 64B","Montréal-Nord",23,0,72,8,15,0,0,118,216
24009,"Bourassa/Bourassa"," 65","Montréal-Nord",45,4,106,15,44,0,4,218,344
24009,"Bourassa/Bourassa"," 66","Montréal-Nord",27,8,106,15,23,0,2,181,393
24009,"Bourassa/Bourassa"," 67","Montréal-Nord",39,12,101,15,57,0,2,226,329
24009,"Bourassa/Bourassa"," 68","Montréal-Nord",36,17,134,25,51,0,5,268,373
24009,"Bourassa/Bourassa"," 69","Montréal-Nord",21,6,116,19,46,0,5,213,426
24009,"Bourassa/Bourassa"," 70A","Montréal-Nord",11,5,67,10,26,0,1,120,241
24009,"Bourassa/Bourassa"," 70B","Montréal-Nord",9,4,57,11,33,0,1,115,240
24009,"Bourassa/Bourassa"," 71A","Montréal-Nord",11,1,54,12,49,0,1,128,221
24009,"Bourassa/Bourassa"," 71B","Montréal-Nord",21,4,48,15,38,0,1,127,224
24009,"Bourassa/Bourassa"," 72A","Montréal-Nord",13,9,49,14,49,0,1,135,249
24009,"Bourassa/Bourassa"," 72B","Montréal-Nord",23,8,49,8,33,1,1,123,246
24009,"Bourassa/Bourassa"," 73","Montréal-Nord",29,9,102,16,98,0,8,262,414
24009,"Bourassa/Bourassa"," 74","Montréal-Nord",19,6,78,16,54,2,6,181,360
24009,"Bourassa/Bourassa"," 75","Montréal-Nord",36,1,84,15,65,1,2,204,346
24009,"Bourassa/Bourassa"," 76","Montréal-Nord",14,4,104,20,54,0,6,202,373
24009,"Bourassa/Bourassa"," 77","Montréal-Nord",26,8,64,27,83,0,2,210,346
24009,"Bourassa/Bourassa"," 78","Montréal-Nord",17,5,68,26,62,1,3,182,419
24009,"Bourassa/Bourassa"," 79A","Montréal-Nord",15,5,59,3,49,0,0,131,242
24009,"Bourassa/Bourassa"," 79B","Montréal-Nord",19,3,46,7,54,0,2,131,244
24009,"Bourassa/Bourassa"," 80","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 81A","Montréal-Nord",13,2,54,15,34,1,0,119,247
24009,"Bourassa/Bourassa"," 81B","Montréal-Nord",13,1,47,8,29,0,0,98,214
24009,"Bourassa/Bourassa"," 82","Montréal-Nord",27,2,76,19,67,2,2,195,410
24009,"Bourassa/Bourassa"," 83","Montréal-Nord",23,6,84,13,93,1,1,221,436
24009,"Bourassa/Bourassa"," 84","Montréal-Nord",29,6,94,16,25,0,1,171,393
24009,"Bourassa/Bourassa"," 85","Montréal-Nord",10,4,39,18,38,0,3,112,383
24009,"Bourassa/Bourassa"," 86","Montréal-Nord",24,2,66,11,23,0,2,128,301
24009,"Bourassa/Bourassa"," 87","Montréal-Nord",22,2,62,20,30,0,2,138,340
24009,"Bourassa/Bourassa"," 88","Montréal-Nord",21,4,82,14,40,2,3,166,333
24009,"Bourassa/Bourassa"," 89","Montréal-Nord",22,2,61,12,35,0,4,136,320
24009,"Bourassa/Bourassa"," 90","Montréal-Nord",28,6,98,21,39,0,2,194,304
24009,"Bourassa/Bourassa"," 91","Montréal-Nord",22,7,80,21,34,1,5,170,329
24009,"Bourassa/Bourassa"," 92","Montréal-Nord",12,5,120,30,58,1,3,229,463
24009,"Bourassa/Bourassa"," 93","Montréal-Nord",21,4,73,11,65,0,1,175,376
24009,"Bourassa/Bourassa"," 94","Montréal-Nord",33,4,109,14,57,0,4,221,418
24009,"Bourassa/Bourassa"," 95","Montréal-Nord",29,2,88,12,64,0,3,198,415
24009,"Bourassa/Bourassa"," 96","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 97","Montréal-Nord",19,10,83,11,62,1,2,188,388
24009,"Bourassa/Bourassa"," 98","Montréal-Nord",21,3,107,39,71,1,4,246,417
24009,"Bourassa/Bourassa"," 99","Montréal-Nord",30,2,79,13,50,0,1,175,377
24009,"Bourassa/Bourassa"," 100","Montréal-Nord",18,4,75,22,49,1,2,171,387
24009,"Bourassa/Bourassa"," 101","Montréal-Nord",18,6,83,21,50,0,3,181,390
24009,"Bourassa/Bourassa"," 102","Montréal-Nord",16,10,87,22,43,0,2,180,409
24009,"Bourassa/Bourassa"," 102-1","Montréal-Nord",34,4,103,14,47,0,1,203,413
24009,"Bourassa/Bourassa"," 103","Montréal-Nord",20,5,71,13,50,1,3,163,389
24009,"Bourassa/Bourassa"," 104","Montréal-Nord",29,4,123,12,28,0,1,197,366
24009,"Bourassa/Bourassa"," 105","Montréal-Nord",24,6,96,19,39,0,0,184,374
24009,"Bourassa/Bourassa"," 106","Montréal-Nord",29,5,74,9,41,1,4,163,357
24009,"Bourassa/Bourassa"," 107A","Montréal-Nord",16,1,54,9,37,0,0,117,229
24009,"Bourassa/Bourassa"," 107B","Montréal-Nord",16,3,55,8,25,0,3,110,238
24009,"Bourassa/Bourassa"," 108","Montréal-Nord",21,4,89,13,32,2,1,162,284
24009,"Bourassa/Bourassa"," 109","Montréal-Nord",10,10,75,10,54,0,0,159,341
24009,"Bourassa/Bourassa"," 110A","Montréal-Nord",16,1,66,4,33,0,2,122,229
24009,"Bourassa/Bourassa"," 110B","Montréal-Nord",17,4,75,8,44,0,4,152,221
24009,"Bourassa/Bourassa"," 111","Montréal-Nord",15,7,92,13,43,0,0,170,326
24009,"Bourassa/Bourassa"," 112","Montréal-Nord",23,6,66,11,50,3,6,165,366
24009,"Bourassa/Bourassa"," 113","Montréal-Nord",19,8,73,11,47,1,0,159,291
24009,"Bourassa/Bourassa"," 114","Montréal-Nord",29,7,100,21,41,1,5,204,371
24009,"Bourassa/Bourassa"," 115","Montréal-Nord",30,10,88,10,38,0,4,180,391
24009,"Bourassa/Bourassa"," 116","Montréal-Nord",21,4,99,10,64,1,1,200,386
24009,"Bourassa/Bourassa"," 117","Montréal-Nord",20,6,106,33,51,1,4,221,426
24009,"Bourassa/Bourassa"," 118","Montréal-Nord",26,3,73,24,61,1,1,189,359
24009,"Bourassa/Bourassa"," 119","Montréal-Nord",20,2,98,16,45,0,4,185,367
24009,"Bourassa/Bourassa"," 120","Montréal-Nord",27,7,79,10,41,0,6,170,416
24009,"Bourassa/Bourassa"," 121","Montréal-Nord",23,7,119,11,50,0,3,213,408
24009,"Bourassa/Bourassa"," 122A","Montréal-Nord",13,3,67,8,27,0,0,118,229
24009,"Bourassa/Bourassa"," 122B","Montréal-Nord",13,3,73,12,19,1,2,123,244
24009,"Bourassa/Bourassa"," 123","Montréal-Nord",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 124","Montréal-Nord",51,4,95,6,59,1,1,217,321
24009,"Bourassa/Bourassa"," 124-1","Montréal-Nord",39,4,79,18,36,1,0,177,327
24009,"Bourassa/Bourassa"," 125","Montréal-Nord",14,5,85,24,67,2,8,205,420
24009,"Bourassa/Bourassa"," 126","Montréal-Nord",27,8,69,28,55,3,3,193,358
24009,"Bourassa/Bourassa"," 127","Montréal-Nord",33,7,80,15,58,0,1,194,356
24009,"Bourassa/Bourassa"," 128A","Montréal-Nord",12,3,58,15,27,0,4,119,225
24009,"Bourassa/Bourassa"," 128B","Montréal-Nord",16,5,49,10,28,0,4,112,226
24009,"Bourassa/Bourassa"," 129A","Montréal-Nord",19,8,79,9,35,0,3,153,229
24009,"Bourassa/Bourassa"," 129B","Montréal-Nord",20,7,56,9,33,1,1,127,220
24009,"Bourassa/Bourassa"," 130","Montréal-Nord",24,8,84,18,106,1,5,246,419
24009,"Bourassa/Bourassa"," 131","Montréal-Nord",12,7,64,17,60,0,1,161,384
24009,"Bourassa/Bourassa"," 132","Montréal-Nord",28,10,85,11,57,0,3,194,431
24009,"Bourassa/Bourassa"," 133A","Montréal-Nord",13,6,39,13,44,0,1,116,225
24009,"Bourassa/Bourassa"," 133B","Montréal-Nord",21,1,47,11,42,0,0,122,221
24009,"Bourassa/Bourassa"," 134","Montréal-Nord",29,5,78,21,48,0,3,184,350
24009,"Bourassa/Bourassa"," 135","Montréal-Nord",26,7,82,24,60,0,5,204,401
24009,"Bourassa/Bourassa"," 136","Montréal-Nord",35,6,88,9,53,0,3,194,367
24009,"Bourassa/Bourassa"," 137","Montréal-Nord",39,3,97,9,38,0,1,187,424
24009,"Bourassa/Bourassa"," 138","Montréal-Nord",21,4,59,8,32,0,4,128,164
24009,"Bourassa/Bourassa"," 139","Montréal-Nord",23,8,74,9,75,0,5,194,408
24009,"Bourassa/Bourassa"," 140A","Montréal-Nord",24,4,104,9,39,2,1,183,255
24009,"Bourassa/Bourassa"," 140B","Montréal-Nord",21,2,104,8,48,2,4,189,272
24009,"Bourassa/Bourassa"," 141","Montréal-Nord",19,11,88,12,41,1,9,181,355
24009,"Bourassa/Bourassa"," 142A","Montréal-Nord",21,8,66,11,60,0,6,172,303
24009,"Bourassa/Bourassa"," 142B","Mobile poll/Bureau itinérant",Merged with No. 18B/Fusionné avec le nº 18B,,,,,,,,35
24009,"Bourassa/Bourassa"," 143A","Montréal-Nord",11,2,51,8,15,0,6,93,233
24009,"Bourassa/Bourassa"," 143B","Montréal-Nord",6,4,39,5,22,0,6,82,226
24009,"Bourassa/Bourassa"," 144","Montréal-Nord",31,3,67,29,41,0,0,171,369
24009,"Bourassa/Bourassa"," 145","Montréal-Nord",22,5,79,21,52,0,4,183,326
24009,"Bourassa/Bourassa"," 146","Montréal-Nord",20,5,102,27,66,1,4,225,420
24009,"Bourassa/Bourassa"," 147","Montréal-Nord",22,13,80,26,56,1,2,200,428
24009,"Bourassa/Bourassa"," 148","Montréal-Nord",37,3,125,32,46,1,5,249,380
24009,"Bourassa/Bourassa"," 149","Montréal-Nord",24,10,103,46,45,1,5,234,417
24009,"Bourassa/Bourassa"," 150","Montréal-Nord",33,8,134,20,38,1,7,241,403
24009,"Bourassa/Bourassa"," 151","Montréal-Nord",17,4,108,47,56,1,5,238,444
24009,"Bourassa/Bourassa"," 152","Montréal-Nord",23,13,97,58,15,1,4,211,370
24009,"Bourassa/Bourassa"," 153A","Montréal-Nord",21,3,78,12,21,0,2,137,227
24009,"Bourassa/Bourassa"," 153B","Montréal-Nord",21,3,68,26,18,0,6,142,225
24009,"Bourassa/Bourassa"," 154","Montréal-Nord",23,5,118,24,33,0,0,203,405
24009,"Bourassa/Bourassa"," 155","Montréal-Nord",14,4,143,22,39,0,0,222,407
24009,"Bourassa/Bourassa"," 156","Montréal-Nord",10,4,77,25,38,0,4,158,346
24009,"Bourassa/Bourassa"," 157","Montréal-Nord",27,4,104,33,39,0,3,210,433
24009,"Bourassa/Bourassa"," 158","Montréal-Nord",12,8,75,17,71,0,2,185,383
24009,"Bourassa/Bourassa"," 159","Montréal-Nord",29,6,80,14,86,2,5,222,399
24009,"Bourassa/Bourassa"," 160","Montréal-Nord",16,5,71,27,35,0,6,160,340
24009,"Bourassa/Bourassa"," 161","Montréal",27,11,101,10,100,0,1,250,444
24009,"Bourassa/Bourassa"," 161-1","Montréal",27,13,79,27,107,0,0,253,430
24009,"Bourassa/Bourassa"," 162","Montréal",23,10,77,21,105,1,9,246,395
24009,"Bourassa/Bourassa"," 163","Montréal",15,12,108,18,71,0,5,229,412
24009,"Bourassa/Bourassa"," 164A","Montréal",19,4,87,15,23,0,0,148,248
24009,"Bourassa/Bourassa"," 164B","Montréal",16,1,84,13,28,0,1,143,238
24009,"Bourassa/Bourassa"," 165","Montréal",28,11,134,21,30,3,7,234,366
24009,"Bourassa/Bourassa"," 166","Montréal",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 167","Montréal",16,6,107,11,62,0,4,206,405
24009,"Bourassa/Bourassa"," 168","Montréal",21,14,86,26,86,2,4,239,412
24009,"Bourassa/Bourassa"," 169","Montréal",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 170A","Montréal",10,6,55,14,50,2,4,141,242
24009,"Bourassa/Bourassa"," 170B","Montréal",20,7,43,8,51,0,4,133,228
24009,"Bourassa/Bourassa"," 171","Montréal",Void/Supprimé,,,,,,,,
24009,"Bourassa/Bourassa"," 172A","Montréal",22,4,43,10,24,2,4,109,221
24009,"Bourassa/Bourassa"," 172B","Montréal",16,10,59,8,30,1,1,125,238
24009,"Bourassa/Bourassa"," 400","Montréal",20,0,44,1,31,0,0,96,347
24009,"Bourassa/Bourassa"," 401","Montréal",10,1,41,5,30,1,1,89,353
24009,"Bourassa/Bourassa"," 402","Montréal",20,0,40,2,26,0,1,89,342
24009,"Bourassa/Bourassa"," 403","Montréal",48,1,128,7,44,2,4,234,328
24009,"Bourassa/Bourassa"," 404","Montréal",59,4,187,9,55,0,6,320,399
24009,"Bourassa/Bourassa"," 405","Montréal-Nord",35,3,135,2,41,2,9,227,289
24009,"Bourassa/Bourassa"," 406","Montréal-Nord",16,4,86,3,32,0,2,143,287
24009,"Bourassa/Bourassa"," 500","Mobile poll/Bureau itinérant",8,3,36,2,11,2,4,66,131
24009,"Bourassa/Bourassa"," 501","Mobile poll/Bureau itinérant",9,2,66,4,4,0,4,89,182
24009,"Bourassa/Bourassa"," 502","Mobile poll/Bureau itinérant",16,4,43,5,18,2,5,93,136
24009,"Bourassa/Bourassa"," 600","Montréal",188,8,446,17,164,1,10,834,
24009,"Bourassa/Bourassa"," 601","Montréal-Nord",44,4,189,12,67,0,4,320,
24009,"Bourassa/Bourassa"," 602","Montréal-Nord",21,9,112,8,77,1,4,232,
24009,"Bourassa/Bourassa"," 603","Montréal-Nord",44,9,171,8,77,0,0,309,
24009,"Bourassa/Bourassa"," 604","Montréal-Nord",85,10,216,16,153,0,8,488,
24009,"Bourassa/Bourassa"," 605","Montréal-Nord",60,9,195,16,110,1,1,392,
24009,"Bourassa/Bourassa"," 606","Montréal-Nord",51,9,219,7,97,1,4,388,
24009,"Bourassa/Bourassa"," 607","Montréal-Nord",62,6,141,16,111,0,5,341,
24009,"Bourassa/Bourassa"," 608","Montréal-Nord",33,3,78,8,64,0,5,191,
24009,"Bourassa/Bourassa"," 609","Montréal",58,10,166,17,128,2,12,393,
24009,"Bourassa/Bourassa",,Group 1/Groupe 1,28,5,40,8,18,1,8,108,184
24009,"Bourassa/Bourassa",,Group 2/Groupe 2,75,11,375,36,203,1,32,733,

