Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Abbott,Martha Dennis,Shaun MacDonald,Dave MacKenzie,Cathy Mott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Oxford/Oxford"," 71B","Woodstock",26,11,4,44,8,0,93,239
35067,"Oxford/Oxford"," 72","Woodstock",30,50,4,66,23,0,173,360
35067,"Oxford/Oxford"," 73","Woodstock",40,27,4,40,10,3,124,290
35067,"Oxford/Oxford"," 74","Woodstock",33,24,3,49,10,1,120,335
35067,"Oxford/Oxford"," 75","Woodstock",32,42,3,59,21,2,159,444
35067,"Oxford/Oxford"," 76","Woodstock",27,68,4,75,17,1,192,363
35067,"Oxford/Oxford"," 77","Woodstock",35,47,2,131,14,0,229,423
35067,"Oxford/Oxford"," 78","Woodstock",48,51,0,101,28,0,228,420
35067,"Oxford/Oxford"," 79","Woodstock",29,35,9,74,10,1,158,265
35067,"Oxford/Oxford"," 80","Woodstock",45,23,4,51,3,1,127,408
35067,"Oxford/Oxford"," 81","Woodstock",36,19,1,62,6,1,125,334
35067,"Oxford/Oxford"," 82","Woodstock",45,37,1,99,8,1,191,347
35067,"Oxford/Oxford"," 83","Woodstock",40,37,8,116,11,0,212,370
35067,"Oxford/Oxford"," 84","Woodstock",57,37,3,126,15,0,238,401
35067,"Oxford/Oxford"," 85","Woodstock",42,26,7,90,13,1,179,400
35067,"Oxford/Oxford"," 86","Woodstock",36,27,4,104,14,0,185,373
35067,"Oxford/Oxford"," 87","Woodstock",39,31,7,92,17,0,186,403
35067,"Oxford/Oxford"," 88","Woodstock",22,68,3,85,7,1,186,364
35067,"Oxford/Oxford"," 89","Woodstock",26,33,5,85,7,1,157,378
35067,"Oxford/Oxford"," 90","Woodstock",39,19,0,54,8,0,120,308
35067,"Oxford/Oxford"," 91","Woodstock",32,22,5,71,15,2,147,303
35067,"Oxford/Oxford"," 92","Woodstock",52,18,4,59,9,0,142,325
35067,"Oxford/Oxford"," 93","Woodstock",31,37,3,103,4,0,178,327
35067,"Oxford/Oxford"," 94","Woodstock",37,41,5,87,20,0,190,377
35067,"Oxford/Oxford"," 95A","Woodstock",38,26,2,90,11,0,167,308
35067,"Oxford/Oxford"," 95B","Woodstock",35,23,2,76,13,1,150,305
35067,"Oxford/Oxford"," 95-1","Woodstock",27,35,4,92,11,0,169,276
35067,"Oxford/Oxford"," 95-2","Woodstock",31,32,2,77,10,0,152,306
35067,"Oxford/Oxford"," 96A","Woodstock",33,34,1,69,11,1,149,274
35067,"Oxford/Oxford"," 96B","Woodstock",38,31,4,73,14,0,160,294
35067,"Oxford/Oxford"," 97","Woodstock",39,31,1,55,9,1,136,347
35067,"Oxford/Oxford"," 98","Woodstock",34,20,8,51,8,1,122,341
35067,"Oxford/Oxford"," 99","Woodstock",34,15,1,63,18,0,131,355
35067,"Oxford/Oxford"," 100","Woodstock",45,22,5,56,9,1,138,383
35067,"Oxford/Oxford"," 101","Woodstock",55,31,2,84,5,1,178,381
35067,"Oxford/Oxford"," 102","Woodstock",30,13,10,51,9,0,113,245
35067,"Oxford/Oxford"," 103","Woodstock",51,27,8,75,17,0,178,374
35067,"Oxford/Oxford"," 104","Woodstock",Void/Supprimé,,,,,,,
35067,"Oxford/Oxford"," 105","Woodstock",50,24,6,95,8,2,185,412
35067,"Oxford/Oxford"," 106","Woodstock",45,29,4,93,17,2,190,445
35067,"Oxford/Oxford"," 107","Woodstock",52,15,4,52,14,0,137,444
35067,"Oxford/Oxford"," 108","Woodstock",47,39,5,106,11,2,210,428
35067,"Oxford/Oxford"," 109","Woodstock",40,9,4,88,15,2,158,384
35067,"Oxford/Oxford"," 110","Woodstock",49,31,1,96,11,1,189,396
35067,"Oxford/Oxford"," 111","Woodstock",83,35,6,118,18,0,260,487
35067,"Oxford/Oxford"," 112","Ingersoll",62,47,5,103,23,0,240,487
35067,"Oxford/Oxford"," 112-1","Ingersoll",42,24,5,81,16,0,168,363
35067,"Oxford/Oxford"," 113","Ingersoll",57,39,0,83,20,0,199,350
35067,"Oxford/Oxford"," 113-1","Ingersoll",47,36,5,63,21,0,172,311
35067,"Oxford/Oxford"," 114","Ingersoll",38,11,1,46,16,0,112,361
35067,"Oxford/Oxford"," 115","Ingersoll",47,18,1,61,22,0,149,364
35067,"Oxford/Oxford"," 116","Ingersoll",63,23,3,89,21,1,200,414
35067,"Oxford/Oxford"," 117","Ingersoll",55,36,3,69,30,1,194,418
35067,"Oxford/Oxford"," 118","Ingersoll",43,19,1,55,15,1,134,334
35067,"Oxford/Oxford"," 119","Ingersoll",56,39,2,94,39,0,230,437
35067,"Oxford/Oxford"," 120","Ingersoll",59,45,1,116,33,0,254,486
35067,"Oxford/Oxford"," 121","Ingersoll",53,20,0,49,17,0,139,403
35067,"Oxford/Oxford"," 122","Ingersoll",42,34,5,86,22,0,189,435
35067,"Oxford/Oxford"," 123","Ingersoll",56,42,6,61,26,0,191,391
35067,"Oxford/Oxford"," 124A","Ingersoll",36,24,2,71,8,1,142,244
35067,"Oxford/Oxford"," 124B","Ingersoll",31,31,3,85,12,0,162,266
35067,"Oxford/Oxford"," 125","Ingersoll",26,58,5,94,27,1,211,406
35067,"Oxford/Oxford"," 126","Ingersoll",60,26,0,88,34,0,208,429
35067,"Oxford/Oxford"," 127","Ingersoll",49,37,1,91,27,2,207,374
35067,"Oxford/Oxford"," 128","Ingersoll",51,50,6,133,27,0,267,481
35067,"Oxford/Oxford"," 129","Ingersoll",88,27,8,113,16,0,252,496
35067,"Oxford/Oxford"," 130","Dorland",30,16,3,98,11,1,159,324
35067,"Oxford/Oxford"," 131","Beachville",43,28,0,94,15,0,180,337
35067,"Oxford/Oxford"," 132","Beachville",55,34,5,79,20,1,194,369
35067,"Oxford/Oxford"," 133","Centreville",31,33,23,101,17,1,206,341
35067,"Oxford/Oxford"," 134","Foldens",18,25,4,87,13,0,147,248
35067,"Oxford/Oxford"," 135","Sweaburg",33,59,7,148,15,0,262,434
35067,"Oxford/Oxford"," 136","Sweaburg",30,32,0,93,11,0,166,285
35067,"Oxford/Oxford"," 137","Salford",14,24,18,72,17,0,145,329
35067,"Oxford/Oxford"," 138","South-West Oxford",21,32,2,63,10,0,128,251
35067,"Oxford/Oxford"," 139","Ingersoll",44,38,6,110,36,1,235,390
35067,"Oxford/Oxford"," 140","Verschoyle",21,19,3,86,7,1,137,263
35067,"Oxford/Oxford"," 141","Verschoyle",30,4,14,96,11,2,157,294
35067,"Oxford/Oxford"," 142","Mount Elgin",32,31,9,97,16,1,186,328
35067,"Oxford/Oxford"," 143","Ostrander",25,28,10,97,13,0,173,302
35067,"Oxford/Oxford"," 144","Delmer",13,18,7,127,4,0,169,281
35067,"Oxford/Oxford"," 145","Brownsville Station",33,23,7,100,17,1,181,381
35067,"Oxford/Oxford"," 146","Brownsville",21,12,4,90,7,0,134,206
35067,"Oxford/Oxford"," 147","Tillsonburg",57,27,5,72,8,0,169,375
35067,"Oxford/Oxford"," 147-1","Tillsonburg",32,40,0,89,14,0,175,309
35067,"Oxford/Oxford"," 148","Tillsonburg",48,22,3,70,6,0,149,352
35067,"Oxford/Oxford"," 148-1","Tillsonburg",12,35,4,49,9,0,109,215
35067,"Oxford/Oxford"," 149","Tillsonburg",31,53,5,99,15,1,204,394
35067,"Oxford/Oxford"," 150","Tillsonburg",21,19,6,57,14,0,117,249
35067,"Oxford/Oxford"," 151A","Tillsonburg",31,28,0,57,12,1,129,269
35067,"Oxford/Oxford"," 151B","Tillsonburg",41,22,2,64,10,0,139,287
35067,"Oxford/Oxford"," 152","Tillsonburg",23,29,2,57,9,1,121,310
35067,"Oxford/Oxford"," 153","Tillsonburg",35,22,2,58,13,2,132,427
35067,"Oxford/Oxford"," 154","Tillsonburg",42,44,5,45,13,0,149,404
35067,"Oxford/Oxford"," 155","Tillsonburg",31,12,0,40,6,1,90,271
35067,"Oxford/Oxford"," 156","Tillsonburg",43,30,1,79,16,0,169,413
35067,"Oxford/Oxford"," 157","Tillsonburg",32,64,6,115,9,1,227,417
35067,"Oxford/Oxford"," 157-1","Tillsonburg",33,42,1,87,10,1,174,335
35067,"Oxford/Oxford"," 158","Tillsonburg",25,32,3,110,10,0,180,435
35067,"Oxford/Oxford"," 159","Tillsonburg",34,42,3,81,10,2,172,423
35067,"Oxford/Oxford"," 160","Tillsonburg",51,35,2,80,10,0,178,381
35067,"Oxford/Oxford"," 160-1","Tillsonburg",9,20,0,60,4,0,93,189
35067,"Oxford/Oxford"," 161","Tillsonburg",19,37,4,122,8,2,192,418
35067,"Oxford/Oxford"," 162","Tillsonburg",19,58,3,120,13,1,214,463
35067,"Oxford/Oxford"," 163","Tillsonburg",19,20,1,71,14,0,125,385
35067,"Oxford/Oxford"," 164","Tillsonburg",27,39,1,73,13,1,154,392
35067,"Oxford/Oxford"," 165","Tillsonburg",38,32,2,65,2,0,139,341
35067,"Oxford/Oxford"," 166","Tillsonburg",14,61,2,115,8,1,201,317
35067,"Oxford/Oxford"," 167","Tillsonburg",26,75,1,161,12,0,275,467
35067,"Oxford/Oxford"," 168","Tillsonburg",35,41,5,95,12,1,189,309
35067,"Oxford/Oxford"," 169","Tillsonburg",19,63,3,131,8,0,224,322
35067,"Oxford/Oxford"," 170A","Tillsonburg",16,39,1,99,15,0,170,278
35067,"Oxford/Oxford"," 170B","Tillsonburg",19,40,1,98,2,1,161,275
35067,"Oxford/Oxford"," 171","Tillsonburg",39,28,3,38,14,0,122,357
35067,"Oxford/Oxford"," 172","Tillsonburg",39,23,5,86,4,1,158,454
35067,"Oxford/Oxford"," 173","Tillsonburg",53,34,4,74,19,0,184,437
35067,"Oxford/Oxford"," 174","Oxford Centre",30,35,9,184,17,0,275,387
35067,"Oxford/Oxford"," 175","Curries",29,35,7,116,22,0,209,381
35067,"Oxford/Oxford"," 176","Vandecar",24,17,7,116,8,0,172,275
35067,"Oxford/Oxford"," 177","Holbrook",10,24,29,112,8,0,183,326
35067,"Oxford/Oxford"," 178","Burgessville",19,38,27,178,15,0,277,461
35067,"Oxford/Oxford"," 179","Norwich",20,15,10,112,9,0,166,293
35067,"Oxford/Oxford"," 180","Norwich",18,25,30,143,8,0,224,380
35067,"Oxford/Oxford"," 181","Norwich",18,29,12,113,14,1,187,396
35067,"Oxford/Oxford"," 182","Norwich",41,24,5,118,16,2,206,374
35067,"Oxford/Oxford"," 183","Norwich",29,12,8,86,17,0,152,292
35067,"Oxford/Oxford"," 184","Norwich",28,22,13,84,11,1,159,351
35067,"Oxford/Oxford"," 185","Norwich",39,19,2,114,9,1,184,398
35067,"Oxford/Oxford"," 186","Norwich",18,13,6,94,3,1,135,231
35067,"Oxford/Oxford"," 187","Springford",33,23,5,116,13,1,191,332
35067,"Oxford/Oxford"," 188","Norwich",20,27,12,130,18,1,208,370
35067,"Oxford/Oxford"," 189","Otterville",36,49,6,148,13,0,252,445
35067,"Oxford/Oxford"," 190","Otterville",11,25,0,74,7,0,117,188
35067,"Oxford/Oxford"," 191","Otterville",21,15,6,88,9,0,139,242
35067,"Oxford/Oxford"," 192","Hawtrey",19,30,8,90,8,0,155,301
35067,"Oxford/Oxford"," 400","Woodstock",9,27,2,57,4,1,100,270
35067,"Oxford/Oxford"," 401","Woodstock",6,11,1,26,0,0,44,155
35067,"Oxford/Oxford"," 402","Woodstock",14,24,1,76,6,2,123,175
35067,"Oxford/Oxford"," 403","Woodstock",17,20,1,85,5,0,128,186
35067,"Oxford/Oxford"," 404","Woodstock",18,31,9,67,7,1,133,168
35067,"Oxford/Oxford"," 500","Mobile poll/Bureau itinérant",4,25,4,32,3,4,72,155
35067,"Oxford/Oxford"," 501","Mobile poll/Bureau itinérant",4,21,2,56,6,0,89,151
35067,"Oxford/Oxford"," 502","Mobile poll/Bureau itinérant",6,23,5,39,7,1,81,135
35067,"Oxford/Oxford"," 503","Mobile poll/Bureau itinérant",3,12,1,25,1,0,42,117
35067,"Oxford/Oxford"," 504","Mobile poll/Bureau itinérant",5,22,1,19,1,2,50,89
35067,"Oxford/Oxford"," 600","Zorra",30,59,9,152,17,1,268,
35067,"Oxford/Oxford"," 601","East Zorra-Tavistock",24,37,2,159,12,0,234,
35067,"Oxford/Oxford"," 602","Blandford-Blenheim",27,54,1,185,18,0,285,
35067,"Oxford/Oxford"," 603","Woodstock",67,113,0,272,29,2,483,
35067,"Oxford/Oxford"," 604","Woodstock",52,114,10,203,27,2,408,
35067,"Oxford/Oxford"," 605","Woodstock",81,104,5,234,19,1,444,
35067,"Oxford/Oxford"," 606","Ingersoll",101,111,8,314,52,0,586,
35067,"Oxford/Oxford"," 607","South-West Oxford",43,47,12,214,35,0,351,
35067,"Oxford/Oxford"," 608","Tillsonburg",57,124,5,354,28,2,570,
35067,"Oxford/Oxford"," 609","Tillsonburg",48,145,5,308,18,0,524,
35067,"Oxford/Oxford"," 610","Norwich",48,67,19,259,15,1,409,
35067,"Oxford/Oxford",,Group 1/Groupe 1,10,29,3,55,12,6,115,185
35067,"Oxford/Oxford",,Group 2/Groupe 2,95,192,11,507,46,7,858,

