Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Andrea Matrosovs,Caley McKibbin,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Simcoe--Grey/Simcoe--Grey"," 79","Wasaga Beach",17,15,73,41,0,1,0,147,357
35085,"Simcoe--Grey/Simcoe--Grey"," 80","Wasaga Beach",19,12,70,30,2,4,0,137,263
35085,"Simcoe--Grey/Simcoe--Grey"," 81","Wasaga Beach",28,24,132,79,0,2,0,265,472
35085,"Simcoe--Grey/Simcoe--Grey"," 82","Wasaga Beach",49,24,144,60,2,0,0,279,535
35085,"Simcoe--Grey/Simcoe--Grey"," 83","Wasaga Beach",26,7,94,55,0,0,2,184,389
35085,"Simcoe--Grey/Simcoe--Grey"," 84","Wasaga Beach",27,12,50,28,0,1,0,118,252
35085,"Simcoe--Grey/Simcoe--Grey"," 85","Wasaga Beach",43,18,95,53,1,1,2,213,514
35085,"Simcoe--Grey/Simcoe--Grey"," 86","Wasaga Beach",27,20,74,33,0,1,0,155,340
35085,"Simcoe--Grey/Simcoe--Grey"," 87","Wasaga Beach",13,3,57,31,0,0,0,104,277
35085,"Simcoe--Grey/Simcoe--Grey"," 88","Wasaga Beach",24,30,140,58,0,7,0,259,507
35085,"Simcoe--Grey/Simcoe--Grey"," 89","Wasaga Beach",21,19,150,82,0,2,1,275,506
35085,"Simcoe--Grey/Simcoe--Grey"," 90","Wasaga Beach",22,15,66,29,0,4,1,137,368
35085,"Simcoe--Grey/Simcoe--Grey"," 91","Wasaga Beach",29,10,94,44,1,2,0,180,419
35085,"Simcoe--Grey/Simcoe--Grey"," 92","Wasaga Beach",24,16,110,41,0,0,0,191,376
35085,"Simcoe--Grey/Simcoe--Grey"," 93","Wasaga Beach",39,15,95,28,1,0,0,178,396
35085,"Simcoe--Grey/Simcoe--Grey"," 94","Wasaga Beach",27,22,100,53,0,3,3,208,472
35085,"Simcoe--Grey/Simcoe--Grey"," 95","Wasaga Beach",24,13,106,31,1,3,2,180,367
35085,"Simcoe--Grey/Simcoe--Grey"," 96","Wasaga Beach",26,11,99,40,1,0,1,178,365
35085,"Simcoe--Grey/Simcoe--Grey"," 97","Wasaga Beach",32,13,133,49,0,1,1,229,440
35085,"Simcoe--Grey/Simcoe--Grey"," 98","Wasaga Beach",38,24,106,44,0,10,1,223,498
35085,"Simcoe--Grey/Simcoe--Grey"," 99","Wasaga Beach",34,23,86,45,0,8,0,196,387
35085,"Simcoe--Grey/Simcoe--Grey"," 100","Wasaga Beach",18,13,138,55,1,1,1,227,392
35085,"Simcoe--Grey/Simcoe--Grey"," 101","Wasaga Beach",20,12,69,29,1,1,0,132,389
