Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fernand Deschamps,Stéphane Dion,Dennis Galiatsatos,Jacques Lachaîne,Jerome Rodrigues,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 31","Saint-Laurent",0,118,20,17,17,0,172,374
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 32","Saint-Laurent",1,158,29,14,23,2,227,398
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 33","Saint-Laurent",2,93,29,14,20,1,159,314
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 34","Saint-Laurent",1,49,15,5,11,0,81,147
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 35","Saint-Laurent",3,150,22,61,31,1,268,424
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 36","Saint-Laurent",2,136,39,25,18,3,223,435
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 37","Saint-Laurent",4,186,35,43,30,3,301,452
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 38","Saint-Laurent",4,171,22,28,20,5,250,471
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 39","Saint-Laurent",4,238,34,21,34,14,345,849
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 40","Saint-Laurent",0,127,27,49,18,6,227,338
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 41","Saint-Laurent",1,149,16,56,29,4,255,396
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 42","Saint-Laurent",0,111,20,28,21,9,189,345
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 43","Saint-Laurent",2,135,18,48,36,2,241,419
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 44","Saint-Laurent",4,105,29,42,27,3,210,459
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 45","Saint-Laurent",3,112,26,15,22,1,179,416
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 46","Saint-Laurent",0,175,29,13,25,1,243,528
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 47","Saint-Laurent",5,137,20,25,23,3,213,456
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 48","Saint-Laurent",1,136,20,9,25,1,192,476
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 49","Saint-Laurent",0,57,15,8,3,0,83,228
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 50","Saint-Laurent",0,104,20,10,15,0,149,360
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 51","Saint-Laurent",1,95,18,13,14,1,142,350
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 52","Saint-Laurent",4,129,39,26,40,8,246,489
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 53","Saint-Laurent",0,129,12,10,16,4,171,373
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 54","Saint-Laurent",0,48,7,17,4,1,77,187
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 55","Saint-Laurent",4,75,15,10,11,1,116,255
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 56","Saint-Laurent",2,100,31,4,14,2,153,399
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 57","Saint-Laurent",1,78,16,4,7,3,109,328
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 58","Saint-Laurent",0,113,27,30,13,2,185,425
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 59","Saint-Laurent",0,130,24,28,19,1,202,322
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 60","Saint-Laurent",2,166,34,16,18,1,237,402
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 61","Saint-Laurent",4,165,49,11,21,5,255,446
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 62","Saint-Laurent",7,155,21,33,15,1,232,465
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 63","Saint-Laurent",0,127,25,23,37,7,219,424
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 64","Saint-Laurent",1,172,49,29,26,0,277,591
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 65","Saint-Laurent",1,65,26,7,15,3,117,211
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 66","Saint-Laurent",1,286,69,50,18,2,426,679
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 67","Saint-Laurent",0,116,33,23,16,4,192,399
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 68","Saint-Laurent",4,134,26,25,25,1,215,486
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 69","Saint-Laurent",4,141,32,21,23,5,226,480
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 70","Saint-Laurent",0,115,46,26,25,0,212,382
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 71","Saint-Laurent",0,110,23,22,18,0,173,335
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 72","Saint-Laurent",0,100,38,27,13,1,179,414
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 73","Saint-Laurent",2,126,9,35,27,2,201,314
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 74","Saint-Laurent",1,91,17,21,14,2,146,350
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 74-1","Saint-Laurent",1,60,19,16,16,0,112,255
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 75","Saint-Laurent",0,147,20,21,16,6,210,512
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 76","Saint-Laurent",1,98,14,13,8,0,134,463
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 77","Saint-Laurent",2,77,32,12,12,2,137,413
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 78","Saint-Laurent",1,46,10,7,8,2,74,240
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 79","Saint-Laurent",0,112,18,20,20,1,171,509
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 80","Saint-Laurent",0,33,6,4,4,2,49,170
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 81","Saint-Laurent",1,125,31,6,17,4,184,582
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 82","Saint-Laurent",2,115,20,13,16,1,167,346
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 83","Saint-Laurent",1,144,31,14,27,4,221,428
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 84","Saint-Laurent",2,162,40,11,16,3,234,446
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 85","Saint-Laurent",0,110,19,11,13,1,154,318
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 86","Saint-Laurent",0,109,25,8,14,4,160,507
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 87","Saint-Laurent",0,53,13,3,7,0,76,270
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 88","Saint-Laurent",3,113,29,18,15,0,178,395
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 88-1","Saint-Laurent",0,34,10,18,7,1,70,192
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 89","Saint-Laurent",0,167,47,29,18,4,265,844
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 90","Saint-Laurent",Merged with No. 91/Fusionné avec le nº 91,,,,,,,3
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 91","Saint-Laurent",1,117,27,16,26,1,188,340
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 92","Saint-Laurent",1,116,50,12,10,0,189,376
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 93","Saint-Laurent",0,150,36,33,11,1,231,374
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 94","Saint-Laurent",0,81,21,44,29,1,176,406
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 95","Saint-Laurent",1,115,19,69,32,5,241,494
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 96","Saint-Laurent",2,24,6,16,2,0,50,83
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 97","Saint-Laurent",3,77,28,68,39,2,217,414
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 98","Saint-Laurent",5,172,48,56,45,6,332,645
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 98-1","Saint-Laurent",2,72,25,10,11,4,124,276
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 99","Saint-Laurent",3,97,28,21,22,2,173,361
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 100","Saint-Laurent",1,96,24,41,15,3,180,326
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 101","Saint-Laurent",3,150,33,60,46,5,297,463
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 102","Saint-Laurent",6,158,29,75,40,0,308,506
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 103","Saint-Laurent",3,138,27,33,27,2,230,451
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 104","Saint-Laurent",1,160,41,15,15,0,232,494
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 104-1","Saint-Laurent",0,118,26,10,24,0,178,420
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 104-2","Saint-Laurent",4,125,40,7,26,3,205,418
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 105","Saint-Laurent",0,205,74,33,46,2,360,660
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 105-1","Saint-Laurent",1,212,64,54,28,2,361,738
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 106","Saint-Laurent",0,195,56,30,26,5,312,641
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 107","Saint-Laurent",2,116,60,4,21,3,206,553
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 108","Saint-Laurent",0,94,66,10,9,3,182,447
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 109","Saint-Laurent",2,171,64,12,19,5,273,582
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 110","Saint-Laurent",0,185,60,50,35,3,333,728
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 111","Saint-Laurent",1,58,10,3,18,0,90,264
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 112","Saint-Laurent",1,90,39,5,10,2,147,354
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 113","Saint-Laurent",0,77,16,6,11,1,111,291
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 114","Saint-Laurent",3,163,59,20,26,2,273,561
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 115","Saint-Laurent",1,97,45,11,16,4,174,434
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 116","Saint-Laurent",4,129,31,39,41,0,244,486
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 117","Saint-Laurent",1,109,30,11,13,0,164,383
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 118","Saint-Laurent",2,82,51,7,10,2,154,432
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 119","Saint-Laurent",1,84,22,13,15,1,136,332
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 120","Saint-Laurent",1,103,33,3,17,0,157,386
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 121","Saint-Laurent",0,71,22,6,14,4,117,429
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 122","Saint-Laurent",0,85,29,9,16,3,142,351
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 123","Saint-Laurent",2,56,30,7,13,2,110,272
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 124","Saint-Laurent",0,103,44,3,18,5,173,430
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 125","Saint-Laurent",0,103,40,10,22,2,177,433
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 126","Saint-Laurent",1,73,52,4,9,0,139,259
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 127","Saint-Laurent",2,87,75,0,12,1,177,417
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 128","Saint-Laurent",0,74,55,8,7,0,144,402
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 129","Saint-Laurent",1,86,53,6,10,0,156,369
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 130","Saint-Laurent",0,44,44,0,3,0,91,369
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 131","Saint-Laurent",1,92,22,7,8,2,132,369
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 132","Saint-Laurent",0,47,17,4,7,0,75,321
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 133","Saint-Laurent",1,54,10,9,13,0,87,317
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 134","Saint-Laurent",0,73,40,8,13,0,134,485
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 135","Saint-Laurent",0,76,27,9,13,3,128,360
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 136","Saint-Laurent",0,101,30,7,10,0,148,322
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 137","Saint-Laurent",3,102,42,8,21,2,178,388
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 138","Saint-Laurent",1,51,27,3,3,0,85,283
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 139","Saint-Laurent",0,125,64,6,15,1,211,584
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 140","Saint-Laurent",0,61,32,10,12,1,116,281
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 141","Saint-Laurent",0,23,17,5,9,0,54,220
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 142","Saint-Laurent",0,120,60,6,20,0,206,550
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 143","Saint-Laurent",0,72,42,2,6,1,123,323
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 144","Saint-Laurent",2,154,74,10,15,0,255,708
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 145","Saint-Laurent",2,104,96,0,10,2,214,570
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 146","Montréal",2,157,35,61,34,4,293,621
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 147","Montréal",2,112,25,29,14,2,184,447
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 148","Saint-Laurent",1,86,32,26,25,6,176,312
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 149","Saint-Laurent",3,133,21,12,11,1,181,364
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 150","Montréal",1,133,36,14,19,2,205,484
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 151","Saint-Laurent",2,157,21,13,17,3,213,443
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 152","Saint-Laurent",2,126,24,9,17,2,180,356
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 153","Saint-Laurent",2,153,34,11,29,4,233,479
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 154","Saint-Laurent",1,144,22,9,25,0,201,380
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 155","Saint-Laurent",9,130,30,0,20,2,191,410
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 156","Montréal",4,132,16,11,12,2,177,330
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 157","Montréal",1,206,32,38,28,2,307,499
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 158","Montréal",0,131,42,20,8,2,203,379
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 159","Montréal",1,170,27,32,21,1,252,425
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 160","Saint-Laurent",1,154,37,41,28,0,261,379
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 161","Saint-Laurent",0,159,57,20,12,1,249,384
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 162","Saint-Laurent",3,162,22,40,15,4,246,394
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 163","Montréal",2,183,53,25,29,4,296,594
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 164","Montréal",3,195,32,38,14,4,286,357
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 165","Montréal",0,147,31,48,29,5,260,452
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 166","Saint-Laurent",3,148,18,38,29,3,239,497
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 167","Saint-Laurent",1,112,39,41,23,3,219,462
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 168","Saint-Laurent",0,97,19,8,21,4,149,306
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 169","Saint-Laurent",1,128,35,18,15,1,198,406
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 170","Saint-Laurent",1,157,32,19,15,2,226,489
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 171A","Saint-Laurent",1,203,59,11,14,1,289,569
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 171B","Saint-Laurent",0,167,37,14,18,0,236,538
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 171C","Saint-Laurent",3,181,53,11,15,0,263,530
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 171-1","Saint-Laurent",0,89,30,17,14,1,151,381
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 400","Saint-Laurent",4,155,40,10,10,1,220,334
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 401","Saint-Laurent",2,151,41,21,9,2,226,367
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 402","Saint-Laurent",0,97,33,23,15,0,168,289
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 403","Saint-Laurent",3,161,43,14,3,1,225,393
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 404","Saint-Laurent",5,172,41,22,7,0,247,295
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 405","Saint-Laurent",2,72,12,9,7,1,103,163
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 406","Montréal",2,66,16,17,11,5,117,138
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 407","Montréal",4,38,11,10,1,5,69,172
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 408","Saint-Laurent",2,111,13,14,5,4,149,215
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 500","Mobile poll/Bureau itinérant",0,176,27,9,6,5,223,284
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 501","Mobile poll/Bureau itinérant",4,45,5,3,2,1,60,228
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 502","Mobile poll/Bureau itinérant",1,56,14,9,3,0,83,97
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 503","Mobile poll/Bureau itinérant",4,88,36,13,6,4,151,230
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 600","Montréal",1,251,45,49,17,1,364,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 601","Saint-Laurent",2,167,31,37,21,6,264,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 602","Saint-Laurent",2,508,91,101,41,4,747,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 603","Saint-Laurent",1,165,45,15,19,0,245,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 604","Saint-Laurent",5,375,170,77,33,2,662,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 605","Saint-Laurent",0,294,390,34,27,0,745,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 606","Saint-Laurent",0,226,188,9,20,0,443,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 607","Saint-Laurent--Montréal",2,218,56,37,12,5,330,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville"," 608","Saint-Laurent--Montréal",3,187,39,51,17,2,299,
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville",,Group 1/Groupe 1,1,55,14,12,3,2,87,126
24066,"Saint-Laurent--Cartierville/Saint-Laurent--Cartierville",,Group 2/Groupe 2,2,344,100,67,40,12,565,

