Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Heinrichs,Trevor Kennerd,Anita Neville,Vere Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 137","Winnipeg",34,88,57,7,0,186,354
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 138","Winnipeg",39,84,41,5,0,169,351
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 139","Winnipeg",32,117,61,15,0,225,383
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 140","Winnipeg",28,84,49,12,0,173,338
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 141","Winnipeg",37,78,73,10,1,199,331
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 142","Winnipeg",26,85,93,13,0,217,304
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 143","Winnipeg",48,93,99,18,1,259,409
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 144","Winnipeg",26,85,122,24,1,258,388
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 145","Winnipeg",20,87,143,28,0,278,402
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 146","Winnipeg",19,72,89,7,0,187,280
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 147","Winnipeg",33,103,79,18,0,233,388
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 148","Winnipeg",43,75,77,17,2,214,390
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 149","Winnipeg",21,137,104,16,1,279,407
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 150","Winnipeg",33,75,74,14,0,196,341
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 151","Winnipeg",30,84,102,12,0,228,372
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 152","Winnipeg",41,67,48,12,1,169,415
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 400","Winnipeg",Void/Supprimé,,,,,,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 500","Mobile poll/Bureau itinérant",24,60,71,1,1,157,266
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 501","Mobile poll/Bureau itinérant",15,74,54,2,2,147,202
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 502","Mobile poll/Bureau itinérant",27,78,57,5,2,169,249
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 503","Mobile poll/Bureau itinérant",16,22,16,2,0,56,119
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 504","Mobile poll/Bureau itinérant",29,44,41,3,6,123,222
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 505","Mobile poll/Bureau itinérant",34,83,64,2,2,185,245
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 506","Mobile poll/Bureau itinérant",30,104,68,7,2,211,295
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 600","Winnipeg",27,331,227,14,0,599,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 601","Winnipeg",43,247,286,23,3,602,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 602","Winnipeg",48,208,346,24,2,628,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 603","Winnipeg",61,162,206,31,1,461,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 604","Winnipeg",70,155,165,25,0,415,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 605","Winnipeg",40,108,107,24,0,279,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 606","Winnipeg",51,227,164,23,0,465,
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 1/Groupe 1,14,78,61,7,13,173,349
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud",,Group 2/Groupe 2,123,394,418,73,15,1023,

