Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Butler,David Allan Hrushka,Mike Lake,Naomi Rankin,Indira Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-5A","Edmonton",24,9,66,1,22,0,122,342
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-5B","Edmonton",18,3,57,1,13,0,92,318
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-6A","Edmonton",20,13,82,0,26,0,141,394
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-6B","Edmonton",20,5,88,0,34,1,148,356
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-7","Edmonton",34,7,99,0,34,1,175,519
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130-8","Edmonton",25,8,105,0,34,0,172,503
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 131","Edmonton",46,12,145,1,22,2,228,411
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 132","Edmonton",35,5,149,3,39,0,231,431
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 133","Edmonton",43,13,82,0,21,1,160,416
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 134","Edmonton",45,13,183,1,39,1,282,531
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 135","Edmonton",29,16,89,0,24,0,158,302
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 136","Edmonton",38,18,180,1,24,1,262,343
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 137","Edmonton",38,9,156,1,33,0,237,439
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 138","Edmonton",27,13,124,2,32,0,198,424
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 139","Edmonton",28,6,92,1,35,0,162,331
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 140","Edmonton",38,10,98,0,29,0,175,358
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 141","Edmonton",23,9,115,0,24,1,172,399
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 142","Edmonton",28,13,138,1,22,0,202,352
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 143","Edmonton",38,10,108,2,51,0,209,462
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 144","Edmonton",34,16,103,0,31,0,184,415
