Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mary Lou Ambrogio,Jacquie Gauthier,Irene Mathyssen,Daniel O'Neail,Leonard Vanderhoeven,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35042,"London--Fanshawe/London--Fanshawe"," 25","London",55,26,84,10,0,1,176,417
35042,"London--Fanshawe/London--Fanshawe"," 26","London",36,21,74,14,1,0,146,387
35042,"London--Fanshawe/London--Fanshawe"," 27A","London",56,29,112,16,2,0,215,278
35042,"London--Fanshawe/London--Fanshawe"," 27B","London",79,37,92,55,2,4,269,276
35042,"London--Fanshawe/London--Fanshawe"," 28","London",35,33,104,18,0,0,190,550
35042,"London--Fanshawe/London--Fanshawe"," 29","London",23,40,30,6,1,2,102,345
35042,"London--Fanshawe/London--Fanshawe"," 30A","London",28,22,42,15,2,0,109,124
35042,"London--Fanshawe/London--Fanshawe"," 30B","London",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,68
35042,"London--Fanshawe/London--Fanshawe"," 31","London",31,41,101,10,6,0,189,334
35042,"London--Fanshawe/London--Fanshawe"," 32","London",56,33,116,15,1,0,221,399
35042,"London--Fanshawe/London--Fanshawe"," 33","London",56,35,114,6,1,0,212,389
35042,"London--Fanshawe/London--Fanshawe"," 34","London",24,10,68,9,1,2,114,351
35042,"London--Fanshawe/London--Fanshawe"," 35","London",57,18,81,9,1,0,166,327
35042,"London--Fanshawe/London--Fanshawe"," 36","London",45,18,106,11,1,2,183,327
35042,"London--Fanshawe/London--Fanshawe"," 37","London",58,38,82,9,0,0,187,319
35042,"London--Fanshawe/London--Fanshawe"," 38","London",33,32,84,10,0,1,160,327
35042,"London--Fanshawe/London--Fanshawe"," 39","London",49,32,85,9,0,0,175,369
35042,"London--Fanshawe/London--Fanshawe"," 40","London",30,18,76,9,1,4,138,285
35042,"London--Fanshawe/London--Fanshawe"," 41","London",58,39,111,16,0,0,224,441
35042,"London--Fanshawe/London--Fanshawe"," 42","London",33,18,55,10,2,0,118,276
35042,"London--Fanshawe/London--Fanshawe"," 43","London",52,37,104,22,0,0,215,442
35042,"London--Fanshawe/London--Fanshawe"," 44","London",47,32,86,17,0,0,182,362
35042,"London--Fanshawe/London--Fanshawe"," 45","London",55,37,80,7,3,2,184,388
35042,"London--Fanshawe/London--Fanshawe"," 46","London",38,16,101,10,0,2,167,353
35042,"London--Fanshawe/London--Fanshawe"," 47","London",54,30,100,9,1,2,196,403
35042,"London--Fanshawe/London--Fanshawe"," 48","London",33,14,93,6,0,2,148,399
35042,"London--Fanshawe/London--Fanshawe"," 49A","London",31,14,71,6,0,0,122,302
35042,"London--Fanshawe/London--Fanshawe"," 49B","London",52,15,64,10,0,0,141,308
35042,"London--Fanshawe/London--Fanshawe"," 50","London",47,24,65,9,0,1,146,298
35042,"London--Fanshawe/London--Fanshawe"," 51","London",56,34,102,14,4,0,210,394
35042,"London--Fanshawe/London--Fanshawe"," 52","London",59,30,97,1,6,0,193,406
35042,"London--Fanshawe/London--Fanshawe"," 53","London",46,42,115,10,0,1,214,410
35042,"London--Fanshawe/London--Fanshawe"," 54","London",62,25,121,12,1,0,221,459
35042,"London--Fanshawe/London--Fanshawe"," 55","London",68,42,160,17,1,2,290,534
35042,"London--Fanshawe/London--Fanshawe"," 56","London",68,26,142,18,2,2,258,514
35042,"London--Fanshawe/London--Fanshawe"," 57","London",35,30,56,6,1,0,128,237
35042,"London--Fanshawe/London--Fanshawe"," 58","London",76,26,63,2,0,3,170,329
35042,"London--Fanshawe/London--Fanshawe"," 59","London",50,33,77,15,0,0,175,366
35042,"London--Fanshawe/London--Fanshawe"," 60","London",59,19,103,7,1,1,190,421
35042,"London--Fanshawe/London--Fanshawe"," 61","London",35,28,86,9,2,0,160,345
35042,"London--Fanshawe/London--Fanshawe"," 62","London",50,23,97,10,0,0,180,378
35042,"London--Fanshawe/London--Fanshawe"," 63","London",60,31,98,10,2,1,202,356
35042,"London--Fanshawe/London--Fanshawe"," 64","London",31,7,25,4,2,0,69,145
35042,"London--Fanshawe/London--Fanshawe"," 65A","London",40,25,119,18,1,0,203,407
35042,"London--Fanshawe/London--Fanshawe"," 65B","London",33,17,84,8,1,0,143,322
35042,"London--Fanshawe/London--Fanshawe"," 66","London",56,30,78,20,5,1,190,418
35042,"London--Fanshawe/London--Fanshawe"," 67","London",39,24,122,6,0,1,192,514
35042,"London--Fanshawe/London--Fanshawe"," 68","London",64,36,123,24,3,1,251,547
35042,"London--Fanshawe/London--Fanshawe"," 69","London",39,7,51,8,1,0,106,165
35042,"London--Fanshawe/London--Fanshawe"," 70","London",71,30,70,15,3,0,189,334
35042,"London--Fanshawe/London--Fanshawe"," 71","London",77,39,125,16,2,0,259,551
35042,"London--Fanshawe/London--Fanshawe"," 72","London",41,24,81,16,0,0,162,344
35042,"London--Fanshawe/London--Fanshawe"," 73A","London",43,29,86,8,0,2,168,340
35042,"London--Fanshawe/London--Fanshawe"," 73B","London",48,18,86,8,0,0,160,275
35042,"London--Fanshawe/London--Fanshawe"," 74A","London",50,23,92,13,2,0,180,351
35042,"London--Fanshawe/London--Fanshawe"," 74B","London",38,9,70,7,1,1,126,287
35042,"London--Fanshawe/London--Fanshawe"," 75","London",59,27,75,10,2,0,173,469
35042,"London--Fanshawe/London--Fanshawe"," 76","London",38,16,14,10,2,0,80,158
35042,"London--Fanshawe/London--Fanshawe"," 77","London",85,31,58,17,3,0,194,361
35042,"London--Fanshawe/London--Fanshawe"," 78","London",66,33,49,10,1,0,159,343
35042,"London--Fanshawe/London--Fanshawe"," 79","London",26,12,52,4,0,0,94,188
35042,"London--Fanshawe/London--Fanshawe"," 80","London",96,41,116,6,2,6,267,482
35042,"London--Fanshawe/London--Fanshawe"," 81","London",68,40,134,19,4,2,267,559
35042,"London--Fanshawe/London--Fanshawe"," 82","London",73,47,103,20,0,2,245,398
35042,"London--Fanshawe/London--Fanshawe"," 83","London",62,44,100,17,2,2,227,396
35042,"London--Fanshawe/London--Fanshawe"," 84","London",64,38,128,23,1,1,255,396
35042,"London--Fanshawe/London--Fanshawe"," 85","London",59,33,97,5,1,1,196,375
35042,"London--Fanshawe/London--Fanshawe"," 86","London",80,42,96,19,1,0,238,386
35042,"London--Fanshawe/London--Fanshawe"," 87","London",43,61,75,13,4,0,196,377
35042,"London--Fanshawe/London--Fanshawe"," 88","London",67,30,107,14,4,1,223,399
35042,"London--Fanshawe/London--Fanshawe"," 89","London",80,27,108,15,1,0,231,524
35042,"London--Fanshawe/London--Fanshawe"," 90A","London",65,46,72,13,0,0,196,330
35042,"London--Fanshawe/London--Fanshawe"," 90B","London",52,34,63,14,5,2,170,307
35042,"London--Fanshawe/London--Fanshawe"," 91","London",68,41,84,13,1,1,208,402
35042,"London--Fanshawe/London--Fanshawe"," 92A","London",109,70,103,20,1,0,303,530
35042,"London--Fanshawe/London--Fanshawe"," 92B","London",150,56,110,16,2,1,335,585
35042,"London--Fanshawe/London--Fanshawe"," 92C","London",88,71,117,26,0,1,303,550
35042,"London--Fanshawe/London--Fanshawe"," 93","London",68,28,57,9,0,0,162,304
35042,"London--Fanshawe/London--Fanshawe"," 94","London",75,39,117,7,1,1,240,499
35042,"London--Fanshawe/London--Fanshawe"," 95","London",85,34,69,15,0,1,204,377
35042,"London--Fanshawe/London--Fanshawe"," 96","London",26,18,40,8,0,0,92,214
35042,"London--Fanshawe/London--Fanshawe"," 97","London",15,14,26,5,0,0,60,180
35042,"London--Fanshawe/London--Fanshawe"," 98","London",51,52,88,14,4,2,211,432
35042,"London--Fanshawe/London--Fanshawe"," 99","London",61,21,72,6,1,2,163,322
35042,"London--Fanshawe/London--Fanshawe"," 100","London",65,47,51,8,0,2,173,346
35042,"London--Fanshawe/London--Fanshawe"," 101","London",36,31,68,15,2,5,157,354
35042,"London--Fanshawe/London--Fanshawe"," 102","London",74,36,77,19,1,2,209,404
35042,"London--Fanshawe/London--Fanshawe"," 103","London",29,30,64,7,1,1,132,429
35042,"London--Fanshawe/London--Fanshawe"," 104","London",54,26,66,13,2,1,162,316
35042,"London--Fanshawe/London--Fanshawe"," 105","London",52,31,92,17,6,3,201,509
35042,"London--Fanshawe/London--Fanshawe"," 106","London",46,36,81,30,3,0,196,374
35042,"London--Fanshawe/London--Fanshawe"," 107","London",31,23,75,8,0,0,137,372
35042,"London--Fanshawe/London--Fanshawe"," 108","London",37,26,66,10,2,0,141,365
35042,"London--Fanshawe/London--Fanshawe"," 109","London",56,27,69,9,1,1,163,366
35042,"London--Fanshawe/London--Fanshawe"," 110","London",51,25,62,9,2,1,150,314
35042,"London--Fanshawe/London--Fanshawe"," 111","London",66,36,83,11,2,2,200,477
35042,"London--Fanshawe/London--Fanshawe"," 112","London",69,49,95,18,0,0,231,546
35042,"London--Fanshawe/London--Fanshawe"," 113","London",46,31,104,17,0,0,198,421
35042,"London--Fanshawe/London--Fanshawe"," 114","London",57,42,95,12,0,0,206,352
35042,"London--Fanshawe/London--Fanshawe"," 115","London",31,26,53,13,0,0,123,251
35042,"London--Fanshawe/London--Fanshawe"," 116","London",64,51,84,15,0,3,217,400
35042,"London--Fanshawe/London--Fanshawe"," 117","London",47,32,73,16,0,0,168,364
35042,"London--Fanshawe/London--Fanshawe"," 118","London",62,24,53,13,1,2,155,232
35042,"London--Fanshawe/London--Fanshawe"," 119","London",95,39,64,11,1,2,212,364
35042,"London--Fanshawe/London--Fanshawe"," 120","London",61,40,58,6,1,0,166,290
35042,"London--Fanshawe/London--Fanshawe"," 121","London",93,64,81,27,1,0,266,481
35042,"London--Fanshawe/London--Fanshawe"," 122","London",52,46,78,11,0,0,187,415
35042,"London--Fanshawe/London--Fanshawe"," 123","London",46,27,77,12,1,0,163,394
35042,"London--Fanshawe/London--Fanshawe"," 124","London",60,43,46,9,3,2,163,388
35042,"London--Fanshawe/London--Fanshawe"," 125","London",66,58,65,12,2,2,205,344
35042,"London--Fanshawe/London--Fanshawe"," 126","London",76,44,79,13,1,1,214,360
35042,"London--Fanshawe/London--Fanshawe"," 127","London",31,19,36,6,1,2,95,190
35042,"London--Fanshawe/London--Fanshawe"," 128A","London",39,39,53,13,1,0,145,323
35042,"London--Fanshawe/London--Fanshawe"," 128B","London",37,15,75,7,3,0,137,288
35042,"London--Fanshawe/London--Fanshawe"," 129","London",51,48,80,14,1,1,195,368
35042,"London--Fanshawe/London--Fanshawe"," 130","London",84,44,101,12,1,1,243,430
35042,"London--Fanshawe/London--Fanshawe"," 131","London",51,24,55,12,0,0,142,256
35042,"London--Fanshawe/London--Fanshawe"," 132","London",85,49,108,5,0,2,249,460
35042,"London--Fanshawe/London--Fanshawe"," 133","London",71,50,79,15,4,4,223,403
35042,"London--Fanshawe/London--Fanshawe"," 134","London",62,36,92,17,2,1,210,421
35042,"London--Fanshawe/London--Fanshawe"," 135","London",42,29,78,8,0,1,158,278
35042,"London--Fanshawe/London--Fanshawe"," 136","London",79,39,104,12,3,1,238,429
35042,"London--Fanshawe/London--Fanshawe"," 137","London",75,42,66,10,0,0,193,333
35042,"London--Fanshawe/London--Fanshawe"," 138","London",66,34,61,20,0,1,182,283
35042,"London--Fanshawe/London--Fanshawe"," 139","London",87,43,111,13,1,1,256,424
35042,"London--Fanshawe/London--Fanshawe"," 140","London",51,25,86,10,0,1,173,311
35042,"London--Fanshawe/London--Fanshawe"," 141","London",94,37,106,19,1,1,258,512
35042,"London--Fanshawe/London--Fanshawe"," 142","London",23,15,15,7,3,0,63,240
35042,"London--Fanshawe/London--Fanshawe"," 143A","London",67,43,75,22,2,0,209,289
35042,"London--Fanshawe/London--Fanshawe"," 143B","London",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,117
35042,"London--Fanshawe/London--Fanshawe"," 144","London",96,59,76,18,3,0,252,402
35042,"London--Fanshawe/London--Fanshawe"," 145","London",100,68,58,15,0,0,241,411
35042,"London--Fanshawe/London--Fanshawe"," 146","London",101,65,42,7,1,1,217,400
35042,"London--Fanshawe/London--Fanshawe"," 147","London",80,57,95,20,1,0,253,512
35042,"London--Fanshawe/London--Fanshawe"," 148","London",58,36,53,11,0,1,159,320
35042,"London--Fanshawe/London--Fanshawe"," 149","London",70,83,77,20,1,3,254,443
35042,"London--Fanshawe/London--Fanshawe"," 150","London",77,51,55,15,0,1,199,374
35042,"London--Fanshawe/London--Fanshawe"," 151","London",35,40,69,12,0,3,159,289
35042,"London--Fanshawe/London--Fanshawe"," 152","London",47,37,57,8,0,0,149,320
35042,"London--Fanshawe/London--Fanshawe"," 153","London",82,60,84,11,2,0,239,387
35042,"London--Fanshawe/London--Fanshawe"," 154","London",36,27,87,18,1,0,169,392
35042,"London--Fanshawe/London--Fanshawe"," 155","London",63,37,96,24,1,1,222,490
35042,"London--Fanshawe/London--Fanshawe"," 156A","London",44,38,56,11,1,0,150,345
35042,"London--Fanshawe/London--Fanshawe"," 156B","London",30,22,48,10,1,0,111,303
35042,"London--Fanshawe/London--Fanshawe"," 157","London",Void/Supprimé,,,,,,,
35042,"London--Fanshawe/London--Fanshawe"," 158","London",73,66,98,17,1,3,258,499
35042,"London--Fanshawe/London--Fanshawe"," 159","London",69,38,77,11,1,1,197,382
35042,"London--Fanshawe/London--Fanshawe"," 160","London",67,52,114,24,2,1,260,446
35042,"London--Fanshawe/London--Fanshawe"," 161","London",55,38,95,11,0,0,199,384
35042,"London--Fanshawe/London--Fanshawe"," 162","London",33,19,45,15,0,0,112,388
35042,"London--Fanshawe/London--Fanshawe"," 163","London",85,59,88,12,3,0,247,490
35042,"London--Fanshawe/London--Fanshawe"," 164","London",121,69,108,26,1,0,325,555
35042,"London--Fanshawe/London--Fanshawe"," 165","London",46,28,80,6,0,0,160,315
35042,"London--Fanshawe/London--Fanshawe"," 166","London",60,81,78,10,3,1,233,488
35042,"London--Fanshawe/London--Fanshawe"," 167","London",48,60,47,13,1,0,169,358
35042,"London--Fanshawe/London--Fanshawe"," 168","London",43,31,96,11,1,2,184,389
35042,"London--Fanshawe/London--Fanshawe"," 169","London",51,36,96,13,7,1,204,421
35042,"London--Fanshawe/London--Fanshawe"," 170","London",35,25,61,4,1,1,127,226
35042,"London--Fanshawe/London--Fanshawe"," 171","London",38,17,31,6,1,1,94,254
35042,"London--Fanshawe/London--Fanshawe"," 172","London",76,37,119,14,0,0,246,539
35042,"London--Fanshawe/London--Fanshawe"," 173","London",53,56,100,5,2,1,217,446
35042,"London--Fanshawe/London--Fanshawe"," 174","London",89,65,82,13,0,2,251,481
35042,"London--Fanshawe/London--Fanshawe"," 175","London",56,41,90,16,2,1,206,389
35042,"London--Fanshawe/London--Fanshawe"," 176","London",10,12,48,7,1,0,78,305
35042,"London--Fanshawe/London--Fanshawe"," 177A","London",38,30,69,6,3,2,148,337
35042,"London--Fanshawe/London--Fanshawe"," 177B","London",29,36,45,8,2,1,121,299
35042,"London--Fanshawe/London--Fanshawe"," 178","London",60,49,88,17,0,2,216,481
35042,"London--Fanshawe/London--Fanshawe"," 179","London",86,61,124,15,3,2,291,509
35042,"London--Fanshawe/London--Fanshawe"," 180","London",41,27,70,9,0,0,147,411
35042,"London--Fanshawe/London--Fanshawe"," 181","London",24,9,72,6,1,0,112,379
35042,"London--Fanshawe/London--Fanshawe"," 182","London",76,93,109,16,0,0,294,578
35042,"London--Fanshawe/London--Fanshawe"," 183","London",43,23,66,5,2,0,139,312
35042,"London--Fanshawe/London--Fanshawe"," 184","London",70,30,119,15,0,1,235,496
35042,"London--Fanshawe/London--Fanshawe"," 185A","London",49,34,75,12,3,0,173,347
35042,"London--Fanshawe/London--Fanshawe"," 185B","London",34,29,48,13,1,0,125,282
35042,"London--Fanshawe/London--Fanshawe"," 400","London",43,37,67,4,1,0,152,236
35042,"London--Fanshawe/London--Fanshawe"," 500A","London",20,25,32,9,4,3,93,58
35042,"London--Fanshawe/London--Fanshawe"," 500B","London",39,20,32,11,1,2,105,154
35042,"London--Fanshawe/London--Fanshawe"," 600","London",135,97,160,16,1,3,412,
35042,"London--Fanshawe/London--Fanshawe"," 601","London",48,27,54,4,0,0,133,
35042,"London--Fanshawe/London--Fanshawe"," 602","London",112,82,142,12,1,0,349,
35042,"London--Fanshawe/London--Fanshawe"," 603","London",163,88,227,29,2,1,510,
35042,"London--Fanshawe/London--Fanshawe"," 604","London",165,55,134,16,4,2,376,
35042,"London--Fanshawe/London--Fanshawe"," 605","London",73,40,94,14,1,3,225,
35042,"London--Fanshawe/London--Fanshawe"," 606","London",104,48,116,26,1,3,298,
35042,"London--Fanshawe/London--Fanshawe"," 607","London",143,56,107,20,0,0,326,
35042,"London--Fanshawe/London--Fanshawe"," 608","London",228,152,161,21,2,1,565,
35042,"London--Fanshawe/London--Fanshawe"," 609","London",156,98,197,19,2,2,474,
35042,"London--Fanshawe/London--Fanshawe",,Group 1/Groupe 1,87,29,26,8,3,3,156,284
35042,"London--Fanshawe/London--Fanshawe",,Group 2/Groupe 2,143,79,205,22,5,1,455,

