Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Matt Kadioglu,Donna Petersen,Salomon Rayek,Doug Warkentin,Wendy Yuan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Vancouver Kingsway/Vancouver Kingsway"," 114","Vancouver",0,80,2,2,88,9,46,1,228,509
59032,"Vancouver Kingsway/Vancouver Kingsway"," 115","Vancouver",0,59,0,0,73,10,71,2,215,411
59032,"Vancouver Kingsway/Vancouver Kingsway"," 116","Vancouver",1,71,4,0,89,3,66,4,238,417
59032,"Vancouver Kingsway/Vancouver Kingsway"," 117","Vancouver",4,66,0,0,99,18,77,3,267,506
59032,"Vancouver Kingsway/Vancouver Kingsway"," 118","Vancouver",1,48,1,1,74,8,71,4,208,449
59032,"Vancouver Kingsway/Vancouver Kingsway"," 119","Vancouver",1,94,0,0,88,18,73,1,275,477
59032,"Vancouver Kingsway/Vancouver Kingsway"," 120","Vancouver",0,44,1,0,23,8,38,2,116,284
59032,"Vancouver Kingsway/Vancouver Kingsway"," 121","Vancouver",2,67,2,2,59,7,89,2,230,417
59032,"Vancouver Kingsway/Vancouver Kingsway"," 122","Vancouver",0,89,0,0,63,6,70,1,229,445
59032,"Vancouver Kingsway/Vancouver Kingsway"," 123","Vancouver",3,72,4,1,67,9,68,2,226,451
59032,"Vancouver Kingsway/Vancouver Kingsway"," 124","Vancouver",3,104,2,0,59,10,57,1,236,464
59032,"Vancouver Kingsway/Vancouver Kingsway"," 125","Vancouver",0,71,4,1,67,8,68,0,219,404
59032,"Vancouver Kingsway/Vancouver Kingsway"," 126","Vancouver",2,49,2,0,68,7,56,0,184,382
59032,"Vancouver Kingsway/Vancouver Kingsway"," 127","Vancouver",3,91,1,0,89,3,65,4,256,459
59032,"Vancouver Kingsway/Vancouver Kingsway"," 128","Vancouver",2,42,1,0,67,11,57,2,182,362
59032,"Vancouver Kingsway/Vancouver Kingsway"," 129","Vancouver",3,108,2,0,81,9,75,1,279,535
59032,"Vancouver Kingsway/Vancouver Kingsway"," 130","Vancouver",1,86,1,1,81,9,62,1,242,450
59032,"Vancouver Kingsway/Vancouver Kingsway"," 131","Vancouver",0,55,0,0,61,7,86,2,211,448
59032,"Vancouver Kingsway/Vancouver Kingsway"," 132","Vancouver",3,77,2,4,75,14,68,3,246,469
59032,"Vancouver Kingsway/Vancouver Kingsway"," 133","Vancouver",4,77,4,0,66,6,57,1,215,494
59032,"Vancouver Kingsway/Vancouver Kingsway"," 134","Vancouver",0,55,1,1,72,6,81,1,217,454
59032,"Vancouver Kingsway/Vancouver Kingsway"," 135","Vancouver",0,92,5,4,90,22,108,4,325,528
59032,"Vancouver Kingsway/Vancouver Kingsway"," 136","Vancouver",2,94,2,1,46,10,50,2,207,400
59032,"Vancouver Kingsway/Vancouver Kingsway"," 136-1","Vancouver",1,57,1,0,73,12,49,1,194,405
59032,"Vancouver Kingsway/Vancouver Kingsway"," 137","Vancouver",1,84,4,1,75,9,54,1,229,472
59032,"Vancouver Kingsway/Vancouver Kingsway"," 138","Vancouver",1,51,3,0,60,7,77,2,201,433
59032,"Vancouver Kingsway/Vancouver Kingsway"," 138-1","Vancouver",5,62,6,0,59,10,75,7,224,474
59032,"Vancouver Kingsway/Vancouver Kingsway"," 139","Vancouver",3,54,2,1,73,10,71,1,215,447
59032,"Vancouver Kingsway/Vancouver Kingsway"," 140","Vancouver",3,66,0,1,73,9,91,2,245,455
59032,"Vancouver Kingsway/Vancouver Kingsway"," 140-1","Vancouver",2,55,2,0,72,8,71,3,213,396
59032,"Vancouver Kingsway/Vancouver Kingsway"," 141","Vancouver",1,53,2,1,62,10,103,4,236,508
59032,"Vancouver Kingsway/Vancouver Kingsway"," 142","Vancouver",0,84,2,0,70,14,58,3,231,462
59032,"Vancouver Kingsway/Vancouver Kingsway"," 143","Vancouver",3,71,3,1,58,7,42,3,188,442
59032,"Vancouver Kingsway/Vancouver Kingsway"," 144","Vancouver",2,84,1,0,54,9,32,1,183,434
59032,"Vancouver Kingsway/Vancouver Kingsway"," 145","Vancouver",1,86,2,0,67,6,53,3,218,464
59032,"Vancouver Kingsway/Vancouver Kingsway"," 146","Vancouver",4,82,1,1,44,13,41,2,188,469
59032,"Vancouver Kingsway/Vancouver Kingsway"," 147","Vancouver",2,101,0,0,64,5,21,0,193,480
59032,"Vancouver Kingsway/Vancouver Kingsway"," 148","Vancouver",2,61,2,0,76,12,60,2,215,463
59032,"Vancouver Kingsway/Vancouver Kingsway"," 149","Vancouver",3,114,3,0,55,11,40,2,228,482
59032,"Vancouver Kingsway/Vancouver Kingsway"," 150","Vancouver",1,79,0,3,61,6,39,0,189,432
59032,"Vancouver Kingsway/Vancouver Kingsway"," 151","Vancouver",3,102,2,0,58,11,40,4,220,488
59032,"Vancouver Kingsway/Vancouver Kingsway"," 152","Vancouver",3,33,2,0,28,3,41,0,110,336
59032,"Vancouver Kingsway/Vancouver Kingsway"," 153","Vancouver",0,57,1,0,50,10,45,1,164,479
