Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mohamed Alli,Candice Hoeppner,Charlie Howatt,Ted Klassen,Len Lodder,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 19","High Bluff",12,131,12,27,3,0,185,425
46007,"Portage--Lisgar/Portage--Lisgar"," 20","Portage la Prairie",12,78,7,26,2,0,125,299
46007,"Portage--Lisgar/Portage--Lisgar"," 21","Southport",25,130,27,20,4,0,206,479
46007,"Portage--Lisgar/Portage--Lisgar"," 22","Newton",8,86,1,16,0,0,111,280
46007,"Portage--Lisgar/Portage--Lisgar"," 23","Oakville",17,89,16,21,1,0,144,302
46007,"Portage--Lisgar/Portage--Lisgar"," 24","Oakville",5,90,18,16,5,0,134,252
46007,"Portage--Lisgar/Portage--Lisgar"," 25","Layland",5,83,7,11,1,1,108,405
46007,"Portage--Lisgar/Portage--Lisgar"," 26","Portage la Prairie",28,87,14,24,0,0,153,422
46007,"Portage--Lisgar/Portage--Lisgar"," 27","Portage la Prairie",26,116,13,23,1,1,180,385
46007,"Portage--Lisgar/Portage--Lisgar"," 28","Portage la Prairie",25,109,17,25,3,3,182,401
46007,"Portage--Lisgar/Portage--Lisgar"," 29","Portage la Prairie",31,96,13,21,8,0,169,400
46007,"Portage--Lisgar/Portage--Lisgar"," 30","Portage la Prairie",23,67,17,22,1,1,131,370
46007,"Portage--Lisgar/Portage--Lisgar"," 31","Portage la Prairie",6,6,2,2,0,1,17,349
46007,"Portage--Lisgar/Portage--Lisgar"," 32","Portage la Prairie",37,94,10,17,4,0,162,441
46007,"Portage--Lisgar/Portage--Lisgar"," 33","Portage la Prairie",28,53,6,15,1,0,103,388
46007,"Portage--Lisgar/Portage--Lisgar"," 34","Portage la Prairie",11,76,8,18,3,0,116,400
46007,"Portage--Lisgar/Portage--Lisgar"," 35","Portage la Prairie",22,83,10,18,6,0,139,388
46007,"Portage--Lisgar/Portage--Lisgar"," 36","Portage la Prairie",18,96,11,17,1,0,143,358
46007,"Portage--Lisgar/Portage--Lisgar"," 37","Portage la Prairie",19,72,15,25,5,0,136,320
46007,"Portage--Lisgar/Portage--Lisgar"," 38","Portage la Prairie",15,45,9,21,0,0,90,285
46007,"Portage--Lisgar/Portage--Lisgar"," 39","Portage la Prairie",20,67,17,18,3,0,125,343
46007,"Portage--Lisgar/Portage--Lisgar"," 40","Portage la Prairie",18,130,12,38,4,1,203,409
46007,"Portage--Lisgar/Portage--Lisgar"," 41","Portage la Prairie",22,96,19,27,4,0,168,356
46007,"Portage--Lisgar/Portage--Lisgar"," 42","Portage la Prairie",21,89,23,40,3,1,177,420
46007,"Portage--Lisgar/Portage--Lisgar"," 43","Portage la Prairie",23,87,16,13,1,2,142,351
46007,"Portage--Lisgar/Portage--Lisgar"," 44","Portage la Prairie",21,100,12,35,1,0,169,355
46007,"Portage--Lisgar/Portage--Lisgar"," 45A","Portage la Prairie",17,105,9,37,2,0,170,337
46007,"Portage--Lisgar/Portage--Lisgar"," 45B","Mobile poll/Bureau itinérant",Merged with No. 500C/Fusionné avec le nº 500C,,,,,,,122
46007,"Portage--Lisgar/Portage--Lisgar"," 46A","Portage la Prairie",15,114,16,17,2,0,164,264
46007,"Portage--Lisgar/Portage--Lisgar"," 46B","Portage la Prairie",12,86,17,14,1,0,130,239
46007,"Portage--Lisgar/Portage--Lisgar"," 47","Portage la Prairie",10,125,19,29,0,1,184,331
46007,"Portage--Lisgar/Portage--Lisgar"," 48","Portage la Prairie",24,110,23,17,1,1,176,339
46007,"Portage--Lisgar/Portage--Lisgar"," 49","Portage la Prairie",6,100,11,47,1,1,166,296
46007,"Portage--Lisgar/Portage--Lisgar"," 50A","Portage la Prairie",29,148,12,33,3,0,225,466
46007,"Portage--Lisgar/Portage--Lisgar"," 50B","Mobile poll/Bureau itinérant",Merged with No. 500C/Fusionné avec le nº 500C,,,,,,,52
46007,"Portage--Lisgar/Portage--Lisgar"," 51","St. Eustache",8,69,11,14,4,0,106,185
46007,"Portage--Lisgar/Portage--Lisgar"," 52","Rosser",28,132,17,41,1,0,219,355
46007,"Portage--Lisgar/Portage--Lisgar"," 53","St. François Xavier",31,98,12,34,0,1,176,278
46007,"Portage--Lisgar/Portage--Lisgar"," 54","St. Eustache",31,130,17,32,4,2,216,399
46007,"Portage--Lisgar/Portage--Lisgar"," 55","Elie",3,54,5,3,6,0,71,161
46007,"Portage--Lisgar/Portage--Lisgar"," 56","Elie",36,174,15,42,1,1,269,455
46007,"Portage--Lisgar/Portage--Lisgar"," 57","Lido Plage",27,114,17,22,0,0,180,415
46007,"Portage--Lisgar/Portage--Lisgar"," 58","Dacotah",9,105,7,13,0,0,134,355
46007,"Portage--Lisgar/Portage--Lisgar"," 59","Springstein",27,100,16,30,3,2,178,317
46007,"Portage--Lisgar/Portage--Lisgar"," 60","Starbuck",30,173,30,36,3,1,273,465
46007,"Portage--Lisgar/Portage--Lisgar"," 61","Ferndale",3,118,7,26,1,0,155,296
46007,"Portage--Lisgar/Portage--Lisgar"," 62","Oak Bluff",12,113,20,14,6,0,165,310
46007,"Portage--Lisgar/Portage--Lisgar"," 63A","Sanford",27,130,23,17,1,2,200,325
46007,"Portage--Lisgar/Portage--Lisgar"," 63B","Sanford",22,115,16,20,3,0,176,288
46007,"Portage--Lisgar/Portage--Lisgar"," 64A","Oak Bluff",18,161,9,33,1,1,223,369
46007,"Portage--Lisgar/Portage--Lisgar"," 64B","Oak Bluff",20,129,22,24,3,1,199,310
46007,"Portage--Lisgar/Portage--Lisgar"," 65A","La Salle",12,74,8,18,0,0,112,226
46007,"Portage--Lisgar/Portage--Lisgar"," 65B","La Salle",16,82,17,21,1,0,137,260
46007,"Portage--Lisgar/Portage--Lisgar"," 65C","La Salle",19,67,5,12,3,1,107,211
46007,"Portage--Lisgar/Portage--Lisgar"," 66A","La Salle",32,151,14,24,0,0,221,399
46007,"Portage--Lisgar/Portage--Lisgar"," 66B","La Salle",19,111,12,19,1,0,162,384
46007,"Portage--Lisgar/Portage--Lisgar"," 67","Brunkild",5,113,7,9,0,0,134,223
46007,"Portage--Lisgar/Portage--Lisgar"," 68","Domain",7,90,10,10,1,0,118,142
46007,"Portage--Lisgar/Portage--Lisgar"," 69","Cypress River",5,69,26,18,1,2,121,221
46007,"Portage--Lisgar/Portage--Lisgar"," 70","Holland",6,88,15,16,6,2,133,202
46007,"Portage--Lisgar/Portage--Lisgar"," 71","Holland",14,127,17,24,4,2,188,294
46007,"Portage--Lisgar/Portage--Lisgar"," 72","Treherne",1,106,5,7,1,0,120,320
46007,"Portage--Lisgar/Portage--Lisgar"," 73","Treherne",14,112,16,18,3,2,165,320
46007,"Portage--Lisgar/Portage--Lisgar"," 74","Treherne",6,62,8,25,0,0,101,197
46007,"Portage--Lisgar/Portage--Lisgar"," 75","Rathwell",18,149,20,32,6,0,225,388
46007,"Portage--Lisgar/Portage--Lisgar"," 76","Notre-Dame-de-Lourdes",19,75,24,55,2,0,175,291
46007,"Portage--Lisgar/Portage--Lisgar"," 77","Notre-Dame-de-Lourdes",18,100,29,94,4,0,245,434
46007,"Portage--Lisgar/Portage--Lisgar"," 78","Bruxelles",3,106,16,17,0,0,142,194
46007,"Portage--Lisgar/Portage--Lisgar"," 79","Mariapolis",8,61,12,14,0,0,95,160
46007,"Portage--Lisgar/Portage--Lisgar"," 80","Swan Lake",28,15,5,23,2,0,73,160
46007,"Portage--Lisgar/Portage--Lisgar"," 81","Swan Lake",14,123,27,20,5,1,190,370
46007,"Portage--Lisgar/Portage--Lisgar"," 82","Somerset",6,40,17,19,4,0,86,277
46007,"Portage--Lisgar/Portage--Lisgar"," 83","Somerset",26,101,17,53,2,0,199,295
46007,"Portage--Lisgar/Portage--Lisgar"," 84","St. Leon",13,94,16,22,3,3,151,250
46007,"Portage--Lisgar/Portage--Lisgar"," 85","Altamont",Void/Supprimé,,,,,,,
46007,"Portage--Lisgar/Portage--Lisgar"," 86","St. Claude",11,69,15,43,5,0,143,228
46007,"Portage--Lisgar/Portage--Lisgar"," 87","St. Claude",10,47,12,35,2,1,107,166
46007,"Portage--Lisgar/Portage--Lisgar"," 88","St. Claude",37,63,10,42,5,2,159,297
46007,"Portage--Lisgar/Portage--Lisgar"," 89","Haywood",8,67,7,27,9,1,119,277
46007,"Portage--Lisgar/Portage--Lisgar"," 90","Elm Creek",4,125,10,17,12,1,169,314
46007,"Portage--Lisgar/Portage--Lisgar"," 91","Elm Creek",21,193,15,25,21,2,277,430
46007,"Portage--Lisgar/Portage--Lisgar"," 92","Fannystelle",9,65,11,20,5,0,110,178
46007,"Portage--Lisgar/Portage--Lisgar"," 93","Roseisle",9,97,16,11,11,0,144,277
46007,"Portage--Lisgar/Portage--Lisgar"," 94","Graysville",13,90,9,23,17,1,153,418
46007,"Portage--Lisgar/Portage--Lisgar"," 95","Barnsley",11,90,11,8,33,0,153,287
46007,"Portage--Lisgar/Portage--Lisgar"," 96","Carman",7,144,17,29,47,1,245,370
46007,"Portage--Lisgar/Portage--Lisgar"," 97","Homewood",7,91,10,8,10,0,126,199
46007,"Portage--Lisgar/Portage--Lisgar"," 98","Carman",17,143,19,25,9,0,213,332
46007,"Portage--Lisgar/Portage--Lisgar"," 99","Carman",13,112,9,19,20,0,173,296
46007,"Portage--Lisgar/Portage--Lisgar"," 100","Carman",12,81,11,14,14,0,132,256
46007,"Portage--Lisgar/Portage--Lisgar"," 101","Carman",13,127,24,20,17,3,204,388
46007,"Portage--Lisgar/Portage--Lisgar"," 102A","Carman",7,92,16,24,9,0,148,233
46007,"Portage--Lisgar/Portage--Lisgar"," 102B","Carman",8,79,11,18,11,0,127,220
46007,"Portage--Lisgar/Portage--Lisgar"," 103","Carman",17,150,27,20,28,0,242,444
46007,"Portage--Lisgar/Portage--Lisgar"," 104","Miami",7,148,32,18,2,0,207,451
46007,"Portage--Lisgar/Portage--Lisgar"," 105","Miami",24,147,30,20,5,0,226,387
46007,"Portage--Lisgar/Portage--Lisgar"," 106","Rosebank",1,66,7,3,4,0,81,159
46007,"Portage--Lisgar/Portage--Lisgar"," 107A","Roland",13,122,11,19,7,2,174,275
46007,"Portage--Lisgar/Portage--Lisgar"," 107B","Roland",5,126,14,12,6,0,163,280
46007,"Portage--Lisgar/Portage--Lisgar"," 108","Myrtle",Void/Supprimé,,,,,,,
46007,"Portage--Lisgar/Portage--Lisgar"," 109","Pilot Mound",14,79,17,20,2,0,132,198
46007,"Portage--Lisgar/Portage--Lisgar"," 110","Pilot Mound",18,79,12,18,1,0,128,268
46007,"Portage--Lisgar/Portage--Lisgar"," 111","Crystal City",17,143,18,20,3,2,203,329
46007,"Portage--Lisgar/Portage--Lisgar"," 112","Pilot Mound",8,88,15,18,2,2,133,262
46007,"Portage--Lisgar/Portage--Lisgar"," 113","Clearwater ",6,55,28,9,3,0,101,163
46007,"Portage--Lisgar/Portage--Lisgar"," 114","Crystal City",3,59,7,15,1,0,85,135
46007,"Portage--Lisgar/Portage--Lisgar"," 115","La Rivière",16,101,35,14,2,1,169,319
46007,"Portage--Lisgar/Portage--Lisgar"," 116","Snowflake",0,61,16,4,0,0,81,126
46007,"Portage--Lisgar/Portage--Lisgar"," 117","Manitou",10,77,35,3,2,0,127,224
46007,"Portage--Lisgar/Portage--Lisgar"," 118","Manitou",10,140,43,20,2,0,215,349
46007,"Portage--Lisgar/Portage--Lisgar"," 119","Manitou",3,89,69,4,1,0,166,319
46007,"Portage--Lisgar/Portage--Lisgar"," 120","Darlingford",10,115,24,12,4,1,166,292
46007,"Portage--Lisgar/Portage--Lisgar"," 121","Darlingford",4,39,14,5,0,0,62,164
46007,"Portage--Lisgar/Portage--Lisgar"," 122A","Morden",11,159,19,36,1,1,227,433
46007,"Portage--Lisgar/Portage--Lisgar"," 122B","Morden",13,113,20,15,2,1,164,318
46007,"Portage--Lisgar/Portage--Lisgar"," 123","Morden",4,121,14,12,3,0,154,282
46007,"Portage--Lisgar/Portage--Lisgar"," 124","Morden",19,164,33,18,3,0,237,438
46007,"Portage--Lisgar/Portage--Lisgar"," 125A","Morden",8,167,17,42,1,0,235,408
46007,"Portage--Lisgar/Portage--Lisgar"," 125B","Morden",10,144,28,22,5,1,210,358
46007,"Portage--Lisgar/Portage--Lisgar"," 126","Morden",16,127,29,12,7,1,192,421
46007,"Portage--Lisgar/Portage--Lisgar"," 127A","Morden",9,97,19,17,4,0,146,353
46007,"Portage--Lisgar/Portage--Lisgar"," 127B","Morden",11,102,24,13,1,0,151,315
46007,"Portage--Lisgar/Portage--Lisgar"," 128A","Morden",3,138,11,25,5,0,182,314
46007,"Portage--Lisgar/Portage--Lisgar"," 128B","Mobile poll/Bureau itinérant",Merged with No. 128D/Fusionné avec le nº 128D,,,,,,,16
46007,"Portage--Lisgar/Portage--Lisgar"," 128C","Mobile poll/Bureau itinérant",Merged with No. 128D/Fusionné avec le nº 128D,,,,,,,26
46007,"Portage--Lisgar/Portage--Lisgar"," 128D","Mobile poll/Bureau itinérant",4,36,2,13,3,0,58,41
46007,"Portage--Lisgar/Portage--Lisgar"," 128E","Mobile poll/Bureau itinérant",Merged with No. 128D/Fusionné avec le nº 128D,,,,,,,32
46007,"Portage--Lisgar/Portage--Lisgar"," 129A","Morden",14,123,15,23,1,0,176,322
46007,"Portage--Lisgar/Portage--Lisgar"," 129B","Morden",5,65,15,18,3,1,107,232
46007,"Portage--Lisgar/Portage--Lisgar"," 130","Morden",11,104,16,14,4,0,149,326
46007,"Portage--Lisgar/Portage--Lisgar"," 131","Morden",15,130,22,25,6,0,198,424
46007,"Portage--Lisgar/Portage--Lisgar"," 132","Thornhill",8,145,20,23,7,1,204,382
46007,"Portage--Lisgar/Portage--Lisgar"," 133","Morden",4,105,10,13,12,0,144,267
46007,"Portage--Lisgar/Portage--Lisgar"," 134","Morden",0,108,10,12,2,0,132,223
46007,"Portage--Lisgar/Portage--Lisgar"," 135","Brown",6,116,11,18,6,0,157,288
46007,"Portage--Lisgar/Portage--Lisgar"," 136A","Winkler",1,132,4,6,10,0,153,346
46007,"Portage--Lisgar/Portage--Lisgar"," 136B","Winkler",0,99,4,8,5,0,116,287
46007,"Portage--Lisgar/Portage--Lisgar"," 137","Chortitz",0,50,2,3,1,0,56,134
46007,"Portage--Lisgar/Portage--Lisgar"," 138A","Schanzenfeld",2,130,0,2,8,2,144,334
46007,"Portage--Lisgar/Portage--Lisgar"," 138B","Schanzenfeld",0,111,2,3,1,0,117,250
46007,"Portage--Lisgar/Portage--Lisgar"," 139","Hochfeld",1,113,2,9,10,1,136,327
46007,"Portage--Lisgar/Portage--Lisgar"," 140","Blumenfeld",0,125,3,14,5,0,147,381
46007,"Portage--Lisgar/Portage--Lisgar"," 141","Winkler",1,146,6,21,4,1,179,350
46007,"Portage--Lisgar/Portage--Lisgar"," 142A","Winkler",3,137,4,17,7,1,169,337
46007,"Portage--Lisgar/Portage--Lisgar"," 142B","Winkler",9,81,4,11,2,0,107,229
46007,"Portage--Lisgar/Portage--Lisgar"," 142C","Winkler",0,102,6,9,1,1,119,204
46007,"Portage--Lisgar/Portage--Lisgar"," 143","Winkler",3,120,10,10,4,0,147,419
46007,"Portage--Lisgar/Portage--Lisgar"," 144","Winkler",6,136,8,13,4,0,167,360
46007,"Portage--Lisgar/Portage--Lisgar"," 145","Winkler",9,192,7,11,2,2,223,441
46007,"Portage--Lisgar/Portage--Lisgar"," 146A","Winkler",3,194,6,8,2,0,213,351
46007,"Portage--Lisgar/Portage--Lisgar"," 146B","Winkler",3,121,3,10,2,0,139,300
46007,"Portage--Lisgar/Portage--Lisgar"," 146C","Winkler",4,124,3,6,5,0,142,264
46007,"Portage--Lisgar/Portage--Lisgar"," 147","Winkler",2,118,7,33,4,0,164,354
46007,"Portage--Lisgar/Portage--Lisgar"," 148","Winkler",1,193,6,34,6,0,240,443
46007,"Portage--Lisgar/Portage--Lisgar"," 149","Winkler",2,131,10,16,6,0,165,345
46007,"Portage--Lisgar/Portage--Lisgar"," 150A","Winkler",0,90,3,12,0,0,105,326
46007,"Portage--Lisgar/Portage--Lisgar"," 150B","Winkler",1,58,1,15,3,1,79,202
46007,"Portage--Lisgar/Portage--Lisgar"," 151","Winkler",2,159,3,14,7,0,185,420
46007,"Portage--Lisgar/Portage--Lisgar"," 152","Winkler",8,119,3,6,3,0,139,382
46007,"Portage--Lisgar/Portage--Lisgar"," 153","Winkler",3,91,9,5,6,1,115,350
46007,"Portage--Lisgar/Portage--Lisgar"," 154","Winkler",3,77,1,0,2,0,83,341
46007,"Portage--Lisgar/Portage--Lisgar"," 155","Plum Coulee",8,125,4,11,7,0,155,285
46007,"Portage--Lisgar/Portage--Lisgar"," 156","Plum Coulee",4,188,3,7,12,2,216,464
46007,"Portage--Lisgar/Portage--Lisgar"," 157","Horndean",1,84,3,18,8,1,115,244
46007,"Portage--Lisgar/Portage--Lisgar"," 158","Rosenfeld",3,143,8,33,13,0,200,412
46007,"Portage--Lisgar/Portage--Lisgar"," 159","Gnadenthal",1,114,2,2,9,0,128,321
46007,"Portage--Lisgar/Portage--Lisgar"," 160","Altbergthal",1,119,3,10,7,0,140,238
46007,"Portage--Lisgar/Portage--Lisgar"," 161A","Altona",9,138,8,81,10,1,247,393
46007,"Portage--Lisgar/Portage--Lisgar"," 161B","Altona",2,74,3,29,3,0,111,185
46007,"Portage--Lisgar/Portage--Lisgar"," 162A","Altona",1,108,5,40,4,1,159,298
46007,"Portage--Lisgar/Portage--Lisgar"," 162B","Altona",5,70,3,22,4,1,105,184
46007,"Portage--Lisgar/Portage--Lisgar"," 163","Altona",7,127,5,40,11,2,192,374
46007,"Portage--Lisgar/Portage--Lisgar"," 164A","Altona",4,127,7,32,8,0,178,379
46007,"Portage--Lisgar/Portage--Lisgar"," 164B","Altona",6,92,6,38,3,0,145,292
46007,"Portage--Lisgar/Portage--Lisgar"," 165","Altona",5,181,12,95,2,2,297,486
46007,"Portage--Lisgar/Portage--Lisgar"," 166","Altona",5,175,4,58,11,4,257,395
46007,"Portage--Lisgar/Portage--Lisgar"," 167","Gretna",0,87,0,15,6,0,108,230
46007,"Portage--Lisgar/Portage--Lisgar"," 168","Gretna",23,91,22,34,5,0,175,329
46007,"Portage--Lisgar/Portage--Lisgar"," 169","Halbstadt",4,51,5,21,5,0,86,168
46007,"Portage--Lisgar/Portage--Lisgar"," 500A","Mobile poll/Bureau itinérant",3,28,5,13,0,4,53,160
46007,"Portage--Lisgar/Portage--Lisgar"," 500B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,26
46007,"Portage--Lisgar/Portage--Lisgar"," 500C","Mobile poll/Bureau itinérant",5,33,4,11,0,0,53,5
46007,"Portage--Lisgar/Portage--Lisgar"," 501A","Mobile poll/Bureau itinérant",6,35,6,10,1,0,58,161
46007,"Portage--Lisgar/Portage--Lisgar"," 501B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,18
46007,"Portage--Lisgar/Portage--Lisgar"," 502A","Mobile poll/Bureau itinérant",6,24,6,11,2,3,52,70
46007,"Portage--Lisgar/Portage--Lisgar"," 502B","Mobile poll/Bureau itinérant",3,16,2,19,1,1,42,23
46007,"Portage--Lisgar/Portage--Lisgar"," 502C","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,42
46007,"Portage--Lisgar/Portage--Lisgar"," 503","Mobile poll/Bureau itinérant",3,33,2,17,2,0,57,131
46007,"Portage--Lisgar/Portage--Lisgar"," 600","North Norfolk--Victoria",2,81,5,5,1,0,94,
46007,"Portage--Lisgar/Portage--Lisgar"," 601","Portage la Prairie--Long Plain",20,154,17,28,3,0,222,
46007,"Portage--Lisgar/Portage--Lisgar"," 602","Portage la Prairie",24,308,42,75,5,1,455,
46007,"Portage--Lisgar/Portage--Lisgar"," 603","Cartier--Macdonald",7,92,6,22,0,0,127,
46007,"Portage--Lisgar/Portage--Lisgar"," 604","Treherne--Lorne",2,57,8,17,0,0,84,
46007,"Portage--Lisgar/Portage--Lisgar"," 605","Carman--St. Claude",12,159,18,28,21,1,239,
46007,"Portage--Lisgar/Portage--Lisgar"," 606","Manitou--Pilot Mound",1,47,9,7,2,0,66,
46007,"Portage--Lisgar/Portage--Lisgar"," 607","Morden",16,289,18,56,14,0,393,
46007,"Portage--Lisgar/Portage--Lisgar"," 608","Winkler",4,400,10,31,5,0,450,
46007,"Portage--Lisgar/Portage--Lisgar"," 609","Rhineland",3,107,8,39,4,1,162,
46007,"Portage--Lisgar/Portage--Lisgar",,Group 1/Groupe 1,6,31,5,21,0,1,64,135
46007,"Portage--Lisgar/Portage--Lisgar",,Group 2/Groupe 2,18,209,29,59,7,7,329,

