Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arpin,Jean-Claude JC D'Amours,Jean-Pierre Ouellet,Thérèse Tremblay-Philippe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 84","Edmundston",10,75,59,28,4,176,383
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 85","Edmundston",1,80,45,15,0,141,271
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 86","Edmundston",8,97,64,16,1,186,400
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 87","Edmundston",4,89,77,21,1,192,350
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 88","Edmundston",4,80,66,17,1,168,310
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 89","Edmundston",Void/Supprimé,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 90","Edmundston",6,130,56,23,2,217,405
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 91","Edmundston",0,115,103,25,2,245,479
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 92A","Edmundston",5,141,102,23,2,273,443
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 92B","Edmundston",3,119,69,34,1,226,240
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 93","Edmundston",Merged with No. 92B/Fusionné avec le nº 92B,,,,,,188
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 94A","Edmundston",9,111,52,15,4,191,439
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 94B","Mobile poll/Bureau itinérant",Merged with No. 506A/Fusionné avec le nº 506A,,,,,,48
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 95","Edmundston",Void/Supprimé,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 96","Edmundston",7,110,78,19,2,216,460
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 97","Edmundston",5,64,55,16,2,142,267
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 98","Edmundston",3,103,67,8,2,183,377
