Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Joslin,Ben Lobb,Greg McClinchey,Tony McQuail,Glen Smith,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Huron--Bruce/Huron--Bruce"," 181A","Hay",3,135,66,29,10,3,0,246,217
35034,"Huron--Bruce/Huron--Bruce"," 181B","Hay",10,142,90,35,10,2,1,290,236
35034,"Huron--Bruce/Huron--Bruce"," 181C","Hay",6,129,77,41,16,2,1,272,214
35034,"Huron--Bruce/Huron--Bruce"," 181-1A","Bluewater",Merged with No. 181A/Fusionné avec le nº 181A,,,,,,,,26
35034,"Huron--Bruce/Huron--Bruce"," 181-1B","Bluewater",Merged with No. 181B/Fusionné avec le nº 181B,,,,,,,,33
35034,"Huron--Bruce/Huron--Bruce"," 181-1C","Bluewater",Merged with No. 181C/Fusionné avec le nº 181C,,,,,,,,21
35034,"Huron--Bruce/Huron--Bruce"," 181-2A","Bluewater",Merged with No. 181A/Fusionné avec le nº 181A,,,,,,,,233
35034,"Huron--Bruce/Huron--Bruce"," 181-2B","Bluewater",Merged with No. 181B/Fusionné avec le nº 181B,,,,,,,,214
35034,"Huron--Bruce/Huron--Bruce"," 181-2C","Bluewater",Merged with No. 181C/Fusionné avec le nº 181C,,,,,,,,245
35034,"Huron--Bruce/Huron--Bruce"," 182","Zurich",6,98,64,28,11,1,0,208,336
35034,"Huron--Bruce/Huron--Bruce"," 183","Zurich",1,84,61,37,9,0,1,193,323
35034,"Huron--Bruce/Huron--Bruce"," 184","Hay",3,103,40,19,3,0,1,169,273
35034,"Huron--Bruce/Huron--Bruce"," 185","Hensall",1,118,42,45,11,1,4,222,433
35034,"Huron--Bruce/Huron--Bruce"," 186","Hensall",3,126,51,39,20,2,1,242,388
35034,"Huron--Bruce/Huron--Bruce"," 187","Stephen",1,165,88,41,9,0,2,306,512
35034,"Huron--Bruce/Huron--Bruce"," 188","Stephen",1,174,80,53,12,0,0,320,435
35034,"Huron--Bruce/Huron--Bruce"," 189","Stephen",1,47,39,18,4,2,2,113,126
35034,"Huron--Bruce/Huron--Bruce"," 190","Stephen",2,67,43,9,6,0,0,127,241
35034,"Huron--Bruce/Huron--Bruce"," 191","Stephen",1,107,65,31,10,0,0,214,385
35034,"Huron--Bruce/Huron--Bruce"," 192","Stephen",0,35,14,7,3,0,0,59,130
35034,"Huron--Bruce/Huron--Bruce"," 193","Exeter",5,73,24,19,3,1,0,125,267
35034,"Huron--Bruce/Huron--Bruce"," 194","Exeter",1,142,51,15,5,2,0,216,392
35034,"Huron--Bruce/Huron--Bruce"," 195","Exeter",3,97,46,37,4,2,1,190,404
35034,"Huron--Bruce/Huron--Bruce"," 196","Exeter",1,97,42,41,10,1,0,192,369
35034,"Huron--Bruce/Huron--Bruce"," 197","Exeter",2,150,57,18,6,0,0,233,399
35034,"Huron--Bruce/Huron--Bruce"," 198","Exeter",4,133,54,19,5,1,1,217,389
35034,"Huron--Bruce/Huron--Bruce"," 199","Exeter",2,145,48,50,9,1,1,256,520
