Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mahmood Raza Baig,Vivian Barbot,Ingrid Hein,Mustaque Sarker,Justin Trudeau,Costa Zafiropoulos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Papineau/Papineau"," 31","Montréal",1,88,6,16,76,21,2,210,452
24048,"Papineau/Papineau"," 32","Montréal",1,65,8,19,87,14,3,197,365
24048,"Papineau/Papineau"," 33","Montréal",1,85,3,18,122,15,7,251,361
24048,"Papineau/Papineau"," 34","Montréal",1,84,6,9,100,19,2,221,367
24048,"Papineau/Papineau"," 35A","Montréal",1,52,1,7,53,7,1,122,221
24048,"Papineau/Papineau"," 35B","Montréal",0,43,4,9,43,6,0,105,212
24048,"Papineau/Papineau"," 36","Montréal",0,69,7,13,74,22,0,185,361
24048,"Papineau/Papineau"," 37","Montréal",0,117,8,9,53,23,2,212,359
24048,"Papineau/Papineau"," 38","Montréal",2,156,6,6,53,35,5,263,406
24048,"Papineau/Papineau"," 39A","Montréal",1,67,6,5,41,10,2,132,226
24048,"Papineau/Papineau"," 39B","Montréal",0,64,3,12,43,17,2,141,229
24048,"Papineau/Papineau"," 40","Montréal",3,97,4,19,61,15,1,200,339
24048,"Papineau/Papineau"," 41A","Montréal",1,62,5,7,46,14,3,138,231
24048,"Papineau/Papineau"," 41B","Montréal",1,47,8,1,47,14,0,118,213
24048,"Papineau/Papineau"," 42A","Montréal",0,32,4,9,41,9,2,97,187
24048,"Papineau/Papineau"," 42B","Montréal",0,46,1,8,69,6,1,131,243
24048,"Papineau/Papineau"," 43","Montréal",1,41,2,21,93,18,7,183,379
24048,"Papineau/Papineau"," 44A","Montréal",1,41,3,4,76,15,1,141,220
24048,"Papineau/Papineau"," 44B","Montréal",0,39,1,9,64,8,1,122,227
24048,"Papineau/Papineau"," 45","Montréal",0,85,6,16,80,15,6,208,364
24048,"Papineau/Papineau"," 46","Montréal",0,81,9,23,76,16,2,207,378
24048,"Papineau/Papineau"," 47A","Montréal",2,33,1,4,47,9,0,96,217
24048,"Papineau/Papineau"," 47B","Montréal",0,22,1,8,50,7,2,90,195
24048,"Papineau/Papineau"," 48","Montréal",2,47,7,24,104,11,7,202,419
24048,"Papineau/Papineau"," 49","Montréal",1,38,7,13,90,16,2,167,342
24048,"Papineau/Papineau"," 50","Montréal",2,46,3,21,99,18,3,192,437
24048,"Papineau/Papineau"," 51A","Montréal",0,17,2,12,56,13,3,103,219
24048,"Papineau/Papineau"," 51B","Montréal",0,34,4,13,55,11,1,118,224
24048,"Papineau/Papineau"," 52","Montréal",2,106,11,16,102,23,1,261,422
24048,"Papineau/Papineau"," 53","Montréal",0,103,4,11,59,7,0,184,296
24048,"Papineau/Papineau"," 54","Montréal",0,83,3,12,58,19,0,175,330
24048,"Papineau/Papineau"," 55","Montréal",2,63,2,16,71,27,1,182,368
24048,"Papineau/Papineau"," 56","Montréal",4,66,3,12,83,15,3,186,379
24048,"Papineau/Papineau"," 57","Montréal",1,42,7,19,97,8,9,183,397
24048,"Papineau/Papineau"," 58A","Montréal",1,55,2,6,52,15,4,135,239
24048,"Papineau/Papineau"," 58B","Montréal",1,51,4,13,67,9,5,150,258
24048,"Papineau/Papineau"," 59A","Montréal",1,56,4,5,42,22,1,131,246
24048,"Papineau/Papineau"," 59B","Montréal",0,65,8,9,43,14,4,143,240
24048,"Papineau/Papineau"," 60","Montréal",0,54,3,18,101,17,1,194,376
24048,"Papineau/Papineau"," 61","Montréal",4,64,9,11,108,25,2,223,394
24048,"Papineau/Papineau"," 62","Montréal",1,103,11,11,85,25,9,245,359
24048,"Papineau/Papineau"," 63","Montréal",5,63,6,13,131,18,3,239,458
24048,"Papineau/Papineau"," 64","Montréal",1,102,8,18,81,17,2,229,414
24048,"Papineau/Papineau"," 65A","Montréal",0,57,5,3,32,21,4,122,236
24048,"Papineau/Papineau"," 65B","Montréal",1,63,3,6,31,17,1,122,223
24048,"Papineau/Papineau"," 66","Montréal",0,93,7,17,67,9,2,195,400
24048,"Papineau/Papineau"," 67","Montréal",0,129,5,16,60,24,1,235,413
24048,"Papineau/Papineau"," 68","Montréal",0,64,7,12,114,13,3,213,360
24048,"Papineau/Papineau"," 69","Montréal",0,48,1,12,63,13,2,139,251
24048,"Papineau/Papineau"," 70","Montréal",3,41,0,13,45,7,3,112,296
24048,"Papineau/Papineau"," 71","Montréal",0,53,2,6,49,14,6,130,265
24048,"Papineau/Papineau"," 72","Montréal",1,146,8,10,63,21,3,252,377
24048,"Papineau/Papineau"," 73A","Montréal",0,48,4,8,37,7,0,104,199
24048,"Papineau/Papineau"," 73B","Montréal",1,40,4,10,45,7,2,109,203
24048,"Papineau/Papineau"," 74A","Montréal",0,71,3,7,39,11,4,135,248
24048,"Papineau/Papineau"," 74B","Montréal",1,72,1,11,32,19,9,145,260
24048,"Papineau/Papineau"," 75","Montréal",1,139,8,7,46,16,3,220,337
24048,"Papineau/Papineau"," 76","Montréal",2,101,9,10,70,15,1,208,414
24048,"Papineau/Papineau"," 77","Montréal",0,91,3,2,72,21,3,192,342
24048,"Papineau/Papineau"," 78A","Montréal",2,85,4,2,28,13,1,135,240
24048,"Papineau/Papineau"," 78B","Montréal",0,78,4,6,33,7,2,130,221
24048,"Papineau/Papineau"," 79","Montréal",1,126,5,16,48,30,1,227,375
24048,"Papineau/Papineau"," 80","Montréal",1,126,6,6,59,21,1,220,377
24048,"Papineau/Papineau"," 81","Montréal",0,118,7,9,50,23,4,211,373
24048,"Papineau/Papineau"," 82A","Montréal",1,77,10,9,40,14,2,153,280
24048,"Papineau/Papineau"," 82B","Montréal",1,92,7,6,51,14,1,172,300
24048,"Papineau/Papineau"," 83","Montréal",3,127,11,7,65,37,4,254,441
24048,"Papineau/Papineau"," 84A","Montréal",2,86,3,7,24,19,6,147,244
24048,"Papineau/Papineau"," 84B","Montréal",1,92,3,9,42,20,0,167,242
24048,"Papineau/Papineau"," 85","Montréal",1,136,6,10,67,23,1,244,432
24048,"Papineau/Papineau"," 86","Montréal",0,130,12,9,54,22,3,230,423
24048,"Papineau/Papineau"," 87A","Montréal",0,78,5,5,35,15,0,138,236
24048,"Papineau/Papineau"," 87B","Montréal",Merged with No. 90A/Fusionné avec le nº 90A,,,,,,,,97
24048,"Papineau/Papineau"," 88","Montréal",1,97,3,6,54,12,0,173,376
24048,"Papineau/Papineau"," 89","Montréal",0,75,9,9,83,19,0,195,367
24048,"Papineau/Papineau"," 90A","Montréal",1,85,4,12,73,25,3,203,240
24048,"Papineau/Papineau"," 90B","Montréal",0,76,7,10,61,17,4,175,281
24048,"Papineau/Papineau"," 91","Montréal",0,137,11,7,49,17,1,222,361
24048,"Papineau/Papineau"," 92","Montréal",0,130,11,7,78,23,2,251,411
24048,"Papineau/Papineau"," 93","Montréal",0,127,3,11,57,18,4,220,332
24048,"Papineau/Papineau"," 94","Montréal",0,151,5,10,50,29,0,245,423
24048,"Papineau/Papineau"," 95","Montréal",0,114,7,9,41,21,2,194,316
24048,"Papineau/Papineau"," 96","Montréal",0,140,12,7,50,23,5,237,319
24048,"Papineau/Papineau"," 97","Montréal",0,118,7,5,39,22,2,193,309
24048,"Papineau/Papineau"," 98","Montréal",1,170,5,2,51,11,1,241,383
24048,"Papineau/Papineau"," 99","Montréal",1,113,2,2,42,22,2,184,284
24048,"Papineau/Papineau"," 100","Montréal",0,141,12,6,57,17,4,237,366
24048,"Papineau/Papineau"," 101A","Montréal",0,44,8,6,41,22,1,122,223
24048,"Papineau/Papineau"," 101B","Montréal",0,64,3,7,32,10,2,118,226
24048,"Papineau/Papineau"," 102","Montréal",0,108,9,10,50,21,10,208,366
24048,"Papineau/Papineau"," 103","Montréal",2,132,8,22,68,29,1,262,402
24048,"Papineau/Papineau"," 104","Montréal",1,104,9,3,40,22,3,182,273
24048,"Papineau/Papineau"," 105","Montréal",1,112,8,3,41,21,1,187,324
24048,"Papineau/Papineau"," 106","Montréal",0,151,12,5,51,21,0,240,396
24048,"Papineau/Papineau"," 107","Montréal",0,122,14,4,41,31,0,212,385
24048,"Papineau/Papineau"," 108","Montréal",2,109,9,4,43,24,2,193,298
24048,"Papineau/Papineau"," 109","Montréal",0,120,5,8,38,30,1,202,349
24048,"Papineau/Papineau"," 110","Montréal",0,122,13,11,67,35,2,250,385
24048,"Papineau/Papineau"," 111","Montréal",0,115,1,6,24,31,1,178,305
24048,"Papineau/Papineau"," 112","Montréal",4,113,6,9,49,22,2,205,433
24048,"Papineau/Papineau"," 113A","Montréal",0,65,6,20,38,17,1,147,287
24048,"Papineau/Papineau"," 113B","Montréal",0,72,5,9,65,17,3,171,330
24048,"Papineau/Papineau"," 114","Montréal",0,92,10,7,67,26,4,206,312
24048,"Papineau/Papineau"," 115","Montréal",0,101,3,9,36,23,0,172,304
24048,"Papineau/Papineau"," 116","Montréal",0,102,7,3,42,16,0,170,345
24048,"Papineau/Papineau"," 117","Montréal",1,174,7,14,45,25,3,269,403
24048,"Papineau/Papineau"," 118","Montréal",1,153,10,4,78,22,1,269,402
24048,"Papineau/Papineau"," 119","Montréal",1,114,9,3,58,17,1,203,342
24048,"Papineau/Papineau"," 120","Montréal",1,110,7,13,62,20,3,216,309
24048,"Papineau/Papineau"," 121","Montréal",0,147,17,13,58,23,1,259,335
24048,"Papineau/Papineau"," 122A","Montréal",1,72,9,2,48,14,1,147,235
24048,"Papineau/Papineau"," 122B","Montréal",2,70,1,3,43,15,2,136,238
24048,"Papineau/Papineau"," 123","Montréal",0,149,6,9,58,22,1,245,373
24048,"Papineau/Papineau"," 124","Montréal",1,104,8,2,55,21,1,192,307
24048,"Papineau/Papineau"," 125","Montréal",0,123,12,9,65,26,3,238,356
24048,"Papineau/Papineau"," 126","Montréal",0,144,3,3,79,16,1,246,371
24048,"Papineau/Papineau"," 127","Montréal",1,119,6,7,55,25,4,217,397
24048,"Papineau/Papineau"," 128","Montréal",0,134,9,3,47,13,3,209,309
24048,"Papineau/Papineau"," 129","Montréal",1,129,10,7,65,26,0,238,341
24048,"Papineau/Papineau"," 130","Montréal",0,103,7,18,72,16,1,217,373
24048,"Papineau/Papineau"," 131A","Montréal",0,59,2,4,41,8,1,115,237
24048,"Papineau/Papineau"," 131B","Montréal",0,61,7,10,51,14,2,145,235
24048,"Papineau/Papineau"," 132","Montréal",1,119,8,10,57,21,5,221,367
24048,"Papineau/Papineau"," 133","Montréal",2,85,5,6,70,21,0,189,342
24048,"Papineau/Papineau"," 134A","Montréal",0,79,8,7,44,13,1,152,243
24048,"Papineau/Papineau"," 134B","Montréal",0,73,15,1,31,22,4,146,233
24048,"Papineau/Papineau"," 135","Montréal",0,82,4,16,100,17,2,221,352
24048,"Papineau/Papineau"," 136","Montréal",0,66,5,24,111,5,0,211,331
24048,"Papineau/Papineau"," 137","Montréal",0,70,6,19,105,14,4,218,382
24048,"Papineau/Papineau"," 138","Montréal",2,79,7,10,56,13,3,170,327
24048,"Papineau/Papineau"," 139A","Montréal",1,72,9,6,81,21,0,190,334
24048,"Papineau/Papineau"," 139B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,11
24048,"Papineau/Papineau"," 139-1A","Montréal",1,71,5,4,62,13,0,156,283
24048,"Papineau/Papineau"," 139-1B","Montréal",0,73,7,10,74,8,0,172,301
24048,"Papineau/Papineau"," 140","Montréal",1,9,5,25,127,19,2,188,419
24048,"Papineau/Papineau"," 141A","Montréal",3,5,5,18,65,11,5,112,293
24048,"Papineau/Papineau"," 141B","Montréal",1,7,3,20,88,13,0,132,324
24048,"Papineau/Papineau"," 142","Montréal",1,7,1,18,104,21,6,158,431
24048,"Papineau/Papineau"," 143A","Montréal",1,10,1,14,55,10,0,91,226
24048,"Papineau/Papineau"," 143B","Montréal",3,4,4,11,90,9,0,121,253
24048,"Papineau/Papineau"," 144","Montréal",2,18,0,21,116,22,5,184,420
24048,"Papineau/Papineau"," 145","Montréal",2,14,6,12,139,9,0,182,416
24048,"Papineau/Papineau"," 146A","Montréal",1,13,2,16,85,7,1,125,215
24048,"Papineau/Papineau"," 146B","Montréal",1,7,0,16,86,7,1,118,225
24048,"Papineau/Papineau"," 147A","Montréal",0,12,1,25,85,13,3,139,222
24048,"Papineau/Papineau"," 147B","Montréal",1,4,1,19,92,9,0,126,229
24048,"Papineau/Papineau"," 148A","Montréal",2,12,1,24,84,9,4,136,282
24048,"Papineau/Papineau"," 148B","Montréal",3,4,2,20,86,8,0,123,276
24048,"Papineau/Papineau"," 149A","Montréal",2,3,2,16,81,7,2,113,265
24048,"Papineau/Papineau"," 149B","Montréal",1,3,3,14,91,5,1,118,239
24048,"Papineau/Papineau"," 150A","Montréal",0,4,3,22,80,11,0,120,243
24048,"Papineau/Papineau"," 150B","Montréal",1,5,1,13,102,18,1,141,258
24048,"Papineau/Papineau"," 151","Montréal",2,10,2,24,151,26,4,219,438
24048,"Papineau/Papineau"," 152A","Montréal",2,5,3,9,70,13,2,104,250
24048,"Papineau/Papineau"," 152B","Montréal",0,6,4,16,80,11,2,119,255
24048,"Papineau/Papineau"," 153A","Montréal",2,1,1,13,67,6,2,92,211
24048,"Papineau/Papineau"," 153B","Montréal",2,8,0,11,77,11,1,110,234
24048,"Papineau/Papineau"," 153-1A","Montréal",0,2,0,14,90,4,4,114,256
24048,"Papineau/Papineau"," 153-1B","Montréal",0,4,1,18,98,19,2,142,296
24048,"Papineau/Papineau"," 153-2A","Montréal",2,9,3,20,68,8,0,110,244
24048,"Papineau/Papineau"," 153-2B","Montréal",0,3,1,9,68,7,2,90,232
24048,"Papineau/Papineau"," 154A","Montréal",3,2,0,17,76,4,1,103,222
24048,"Papineau/Papineau"," 154B","Montréal",0,2,2,19,64,8,3,98,214
24048,"Papineau/Papineau"," 155A","Montréal",0,10,1,13,63,7,1,95,231
24048,"Papineau/Papineau"," 155B","Montréal",5,10,0,13,74,14,0,116,214
24048,"Papineau/Papineau"," 156","Montréal",3,5,1,37,127,11,3,187,302
24048,"Papineau/Papineau"," 157A","Montréal",5,20,1,13,80,7,3,129,281
24048,"Papineau/Papineau"," 157B","Montréal",2,19,2,21,77,18,4,143,305
24048,"Papineau/Papineau"," 158","Montréal",1,36,8,19,77,13,0,154,371
24048,"Papineau/Papineau"," 159A","Montréal",2,20,4,18,48,11,5,108,252
24048,"Papineau/Papineau"," 159B","Montréal",1,10,2,19,59,7,2,100,256
24048,"Papineau/Papineau"," 160A","Montréal",2,15,3,12,72,18,0,122,221
24048,"Papineau/Papineau"," 160B","Montréal",3,9,2,13,70,12,0,109,231
24048,"Papineau/Papineau"," 161","Montréal",7,13,1,13,120,13,0,167,384
24048,"Papineau/Papineau"," 162","Montréal",0,15,4,18,93,19,5,154,390
24048,"Papineau/Papineau"," 163A","Montréal",2,9,2,9,58,15,1,96,271
24048,"Papineau/Papineau"," 163B","Montréal",2,6,1,5,58,15,0,87,238
24048,"Papineau/Papineau"," 164","Montréal",3,22,4,41,146,17,1,234,439
24048,"Papineau/Papineau"," 165","Montréal",3,10,3,29,107,20,0,172,374
24048,"Papineau/Papineau"," 166","Montréal",1,10,3,40,174,18,3,249,461
24048,"Papineau/Papineau"," 167","Montréal",0,5,6,24,157,29,3,224,444
24048,"Papineau/Papineau"," 167-1A","Montréal",4,4,2,15,63,8,0,96,221
24048,"Papineau/Papineau"," 167-1B","Montréal",2,7,2,12,78,7,1,109,237
24048,"Papineau/Papineau"," 168","Montréal",3,13,6,13,117,15,3,170,384
24048,"Papineau/Papineau"," 168-1","Montréal",2,8,3,30,103,19,0,165,372
24048,"Papineau/Papineau"," 500","Mobile poll/Bureau itinérant",1,15,1,7,45,0,5,74,154
24048,"Papineau/Papineau"," 501","Mobile poll/Bureau itinérant",0,5,0,4,21,2,0,32,98
24048,"Papineau/Papineau"," 502","Mobile poll/Bureau itinérant",3,24,3,10,45,1,4,90,113
24048,"Papineau/Papineau"," 600","Montréal",0,79,4,27,153,15,3,281,
24048,"Papineau/Papineau"," 601","Montréal",5,188,12,25,192,16,5,443,
24048,"Papineau/Papineau"," 602","Montréal",1,120,6,14,114,8,2,265,
24048,"Papineau/Papineau"," 603","Montréal",3,114,14,23,155,24,3,336,
24048,"Papineau/Papineau"," 604","Montréal",1,231,10,19,139,18,5,423,
24048,"Papineau/Papineau"," 605","Montréal",1,268,10,25,117,33,6,460,
24048,"Papineau/Papineau"," 606","Montréal",0,362,9,31,124,27,4,557,
24048,"Papineau/Papineau"," 607","Montréal",1,299,17,28,161,20,5,531,
24048,"Papineau/Papineau"," 608","Montréal",0,308,13,23,113,25,8,490,
24048,"Papineau/Papineau"," 609","Montréal",2,247,11,16,107,30,2,415,
24048,"Papineau/Papineau"," 610","Montréal",1,28,6,55,263,10,9,372,
24048,"Papineau/Papineau"," 611","Montréal",4,33,7,50,299,29,6,428,
24048,"Papineau/Papineau",,Group 1/Groupe 1,1,36,5,14,40,4,8,108,145
24048,"Papineau/Papineau",,Group 2/Groupe 2,0,179,5,145,124,29,10,492,

