Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Jody Di Bartolomeo,Alf Kiers,John Maloney,Jennifer Mooradian,Ron Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Welland/Welland"," 17-1","St. Catharines",16,0,92,61,6,1,0,176,318
35097,"Welland/Welland"," 17-2","St. Catharines",21,1,101,53,15,0,0,191,310
35097,"Welland/Welland"," 18","St. Catharines",41,3,119,61,21,0,0,245,450
35097,"Welland/Welland"," 19A","St. Catharines",39,1,60,44,9,1,1,155,285
35097,"Welland/Welland"," 19B","St. Catharines",39,1,60,50,18,0,0,168,307
35097,"Welland/Welland"," 20","St. Catharines",15,0,61,75,12,1,2,166,313
35097,"Welland/Welland"," 20-1A","St. Catharines",70,0,55,73,40,2,0,240,404
35097,"Welland/Welland"," 20-1B","St. Catharines",84,0,67,75,53,2,2,283,397
35097,"Welland/Welland"," 21","St. Catharines",42,0,76,55,23,0,0,196,317
35097,"Welland/Welland"," 22","St. Catharines",42,0,91,71,11,0,2,217,387
35097,"Welland/Welland"," 23","St. Catharines",31,1,105,103,17,0,1,258,411
35097,"Welland/Welland"," 24","St. Catharines",46,1,44,42,14,0,0,147,276
35097,"Welland/Welland"," 25","St. Catharines",41,0,92,91,24,0,2,250,396
35097,"Welland/Welland"," 26","St. Catharines",50,4,76,57,14,2,0,203,361
35097,"Welland/Welland"," 27","St. Catharines",38,0,73,32,15,2,0,160,371
35097,"Welland/Welland"," 28","St. Catharines",41,4,83,104,7,0,1,240,452
35097,"Welland/Welland"," 29","St. Catharines",69,4,85,71,11,1,3,244,382
35097,"Welland/Welland"," 30","St. Catharines",66,4,52,37,5,0,1,165,302
35097,"Welland/Welland"," 31","St. Catharines",60,1,59,57,25,0,1,203,380
35097,"Welland/Welland"," 32","St. Catharines",82,1,65,26,20,0,0,194,367
35097,"Welland/Welland"," 33","St. Catharines",105,2,66,32,16,0,0,221,458
35097,"Welland/Welland"," 34","Thorold",54,1,96,67,13,0,0,231,401
35097,"Welland/Welland"," 35","Thorold",97,1,55,44,8,0,2,207,386
35097,"Welland/Welland"," 35-1","Thorold",113,3,90,57,24,0,0,287,517
35097,"Welland/Welland"," 36","Thorold",66,3,68,45,15,0,1,198,317
35097,"Welland/Welland"," 37","Thorold",61,1,61,33,12,0,2,170,293
35097,"Welland/Welland"," 38","Thorold",57,2,74,62,21,0,1,217,426
35097,"Welland/Welland"," 38-1","Thorold",73,0,74,55,20,0,0,222,442
35097,"Welland/Welland"," 39","Thorold",31,0,55,33,9,0,1,129,252
35097,"Welland/Welland"," 40","Thorold",76,0,49,39,18,1,1,184,348
35097,"Welland/Welland"," 41","Thorold",78,6,55,59,12,0,1,211,404
35097,"Welland/Welland"," 42","Thorold",70,1,51,68,13,0,1,204,327
35097,"Welland/Welland"," 43","Thorold",75,3,95,102,15,0,1,291,434
35097,"Welland/Welland"," 44","Thorold",102,5,56,62,9,2,0,236,383
35097,"Welland/Welland"," 45","Thorold",69,3,53,63,3,0,2,193,326
35097,"Welland/Welland"," 46","Thorold",59,4,35,74,5,0,1,178,329
35097,"Welland/Welland"," 47","Thorold",78,2,56,67,6,0,2,211,334
35097,"Welland/Welland"," 48","Thorold",78,4,31,38,7,1,3,162,335
35097,"Welland/Welland"," 49","Thorold",59,4,30,33,10,1,2,139,305
35097,"Welland/Welland"," 50","Thorold",54,2,32,52,10,0,4,154,301
35097,"Welland/Welland"," 51","Thorold",55,1,33,48,5,1,0,143,293
35097,"Welland/Welland"," 52","Thorold",79,3,56,33,10,0,2,183,350
35097,"Welland/Welland"," 53","Thorold",66,1,50,33,22,1,1,174,378
35097,"Welland/Welland"," 54","Thorold",69,2,55,24,15,0,2,167,319
35097,"Welland/Welland"," 55","Thorold",55,3,36,23,19,1,0,137,350
35097,"Welland/Welland"," 56","Thorold",59,1,31,29,8,0,1,129,280
35097,"Welland/Welland"," 57","Thorold",49,0,32,33,9,0,0,123,315
35097,"Welland/Welland"," 58","Thorold",85,2,51,57,25,0,0,220,398
35097,"Welland/Welland"," 59","Thorold",34,0,49,23,9,0,0,115,245
35097,"Welland/Welland"," 60","Thorold",85,2,57,37,10,0,0,191,437
35097,"Welland/Welland"," 61","Thorold",90,3,46,27,6,1,0,173,393
35097,"Welland/Welland"," 62","Thorold",102,0,48,34,15,0,1,200,417
35097,"Welland/Welland"," 63","Thorold",76,0,63,17,14,0,1,171,286
35097,"Welland/Welland"," 64","Thorold",90,6,65,30,12,0,2,205,413
35097,"Welland/Welland"," 65","Thorold",61,0,77,43,5,1,0,187,398
35097,"Welland/Welland"," 66","Thorold",45,1,96,35,6,0,1,184,340
35097,"Welland/Welland"," 67","Thorold",39,0,83,23,9,1,1,156,281
35097,"Welland/Welland"," 68","Thorold",62,0,64,24,5,0,1,156,299
35097,"Welland/Welland"," 69A","Thorold",39,2,32,17,9,0,0,99,256
35097,"Welland/Welland"," 69B","Thorold",39,0,33,16,6,0,0,94,254
35097,"Welland/Welland"," 70","Welland",62,4,96,74,17,0,0,253,429
35097,"Welland/Welland"," 71","Welland",47,3,103,78,11,2,0,244,452
35097,"Welland/Welland"," 72","Welland",44,4,64,62,13,1,1,189,376
35097,"Welland/Welland"," 73","Welland",63,0,76,53,11,1,4,208,358
35097,"Welland/Welland"," 73-1","Welland",25,2,44,26,3,0,0,100,213
35097,"Welland/Welland"," 74","Welland",32,0,42,50,5,0,1,130,238
35097,"Welland/Welland"," 74-1","Welland",42,3,46,43,8,0,0,142,363
35097,"Welland/Welland"," 75","Welland",59,1,38,58,13,1,0,170,341
35097,"Welland/Welland"," 76","Welland",81,0,70,39,21,2,1,214,415
35097,"Welland/Welland"," 77","Welland",78,0,74,91,14,1,3,261,435
35097,"Welland/Welland"," 78","Welland",83,3,93,88,16,0,1,284,451
35097,"Welland/Welland"," 79","Welland",51,1,56,65,17,2,3,195,334
35097,"Welland/Welland"," 80","Welland",49,2,33,47,10,1,3,145,267
35097,"Welland/Welland"," 81","Welland",79,1,79,86,16,0,0,261,448
35097,"Welland/Welland"," 82","Welland",73,1,77,56,14,0,0,221,410
35097,"Welland/Welland"," 83","Welland",98,2,82,58,24,1,1,266,473
35097,"Welland/Welland"," 84","Welland",60,4,69,59,10,0,1,203,324
35097,"Welland/Welland"," 85","Welland",78,1,72,55,7,0,1,214,366
35097,"Welland/Welland"," 86","Welland",93,2,63,30,7,1,0,196,391
35097,"Welland/Welland"," 87A","Welland",33,0,35,50,10,0,0,128,251
35097,"Welland/Welland"," 87B","Welland",32,1,53,55,8,0,0,149,297
35097,"Welland/Welland"," 88","Welland",57,2,63,72,7,1,1,203,361
35097,"Welland/Welland"," 89","Welland",44,0,55,70,9,0,1,179,345
35097,"Welland/Welland"," 90","Welland",68,3,85,74,17,0,2,249,465
35097,"Welland/Welland"," 91","Welland",48,3,52,55,17,0,1,176,314
35097,"Welland/Welland"," 92","Welland",67,1,70,50,13,1,0,202,354
35097,"Welland/Welland"," 93","Welland",62,1,54,49,9,0,1,176,404
35097,"Welland/Welland"," 94","Welland",76,1,83,43,16,0,1,220,451
35097,"Welland/Welland"," 95","Welland",47,1,51,47,13,1,0,160,345
35097,"Welland/Welland"," 96","Welland",87,2,37,34,6,0,3,169,358
35097,"Welland/Welland"," 97A","Welland",42,3,44,22,5,0,2,118,211
35097,"Welland/Welland"," 97B","Welland",50,3,48,51,6,1,0,159,243
35097,"Welland/Welland"," 98","Welland",77,1,77,48,15,2,0,220,460
35097,"Welland/Welland"," 99","Welland",66,1,75,78,17,0,4,241,466
35097,"Welland/Welland"," 100","Welland",46,3,92,47,10,1,0,199,355
35097,"Welland/Welland"," 101","Welland",76,2,90,62,4,0,2,236,379
35097,"Welland/Welland"," 102","Welland",44,2,73,70,6,2,3,200,342
35097,"Welland/Welland"," 103","Welland",42,2,47,53,7,0,0,151,282
35097,"Welland/Welland"," 104A","Welland",59,2,51,52,12,0,0,176,323
35097,"Welland/Welland"," 104B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,28
35097,"Welland/Welland"," 105","Welland",70,2,46,59,8,0,0,185,371
35097,"Welland/Welland"," 106","Welland",84,1,75,81,11,2,1,255,451
35097,"Welland/Welland"," 107","Welland",70,2,69,37,17,0,1,196,353
35097,"Welland/Welland"," 108","Welland",66,0,53,69,5,0,2,195,380
35097,"Welland/Welland"," 109","Welland",46,0,71,58,11,0,0,186,383
35097,"Welland/Welland"," 110","Welland",56,2,50,46,12,0,0,166,412
35097,"Welland/Welland"," 111","Welland",19,0,29,31,3,0,0,82,188
35097,"Welland/Welland"," 112","Welland",43,0,55,40,5,2,0,145,291
35097,"Welland/Welland"," 113","Welland",49,1,106,95,11,2,1,265,477
35097,"Welland/Welland"," 114","Welland",60,2,47,63,1,0,0,173,368
35097,"Welland/Welland"," 115","Welland",81,4,90,68,8,1,2,254,451
35097,"Welland/Welland"," 116","Welland",71,5,94,70,9,2,5,256,474
35097,"Welland/Welland"," 117","Welland",72,1,82,62,15,1,1,234,452
35097,"Welland/Welland"," 118","Welland",83,2,38,27,12,1,3,166,335
35097,"Welland/Welland"," 119","Welland",62,1,50,45,11,0,0,169,381
35097,"Welland/Welland"," 120","Welland",109,1,33,29,14,0,1,187,453
35097,"Welland/Welland"," 121","Welland",81,3,28,20,6,1,0,139,377
35097,"Welland/Welland"," 122","Welland",75,1,24,33,5,0,0,138,335
35097,"Welland/Welland"," 123","Welland",62,3,21,23,7,1,0,117,347
35097,"Welland/Welland"," 124","Welland",74,2,66,65,10,0,3,220,505
35097,"Welland/Welland"," 125","Welland",73,0,35,25,9,1,0,143,358
35097,"Welland/Welland"," 126","Welland",95,2,39,38,8,0,2,184,352
35097,"Welland/Welland"," 127","Welland",67,0,52,44,9,0,0,172,353
35097,"Welland/Welland"," 128","Welland",49,0,53,30,5,1,0,138,276
35097,"Welland/Welland"," 129","Welland",96,0,64,54,9,0,1,224,441
35097,"Welland/Welland"," 130","Welland",75,3,41,33,5,0,0,157,356
35097,"Welland/Welland"," 131","Welland",59,5,16,28,3,0,1,112,350
35097,"Welland/Welland"," 132","Welland",70,2,39,50,4,0,0,165,397
35097,"Welland/Welland"," 133","Welland",93,2,57,33,9,0,1,195,375
35097,"Welland/Welland"," 134","Welland",93,2,27,25,8,1,0,156,318
35097,"Welland/Welland"," 135","Welland",104,0,57,52,8,0,2,223,404
35097,"Welland/Welland"," 136","Welland",51,1,21,18,2,1,1,95,237
35097,"Welland/Welland"," 137","Welland",102,2,41,52,4,2,0,203,351
35097,"Welland/Welland"," 138","Welland",94,1,63,45,5,0,1,209,323
35097,"Welland/Welland"," 139","Welland",108,4,61,39,7,1,1,221,405
35097,"Welland/Welland"," 140A","Welland",66,6,44,29,5,0,0,150,280
35097,"Welland/Welland"," 140B","Welland",57,1,32,35,10,0,0,135,309
35097,"Welland/Welland"," 141","Welland",77,1,28,23,9,0,0,138,271
35097,"Welland/Welland"," 142","Welland",71,0,37,50,5,0,0,163,365
35097,"Welland/Welland"," 143","Welland",79,3,64,27,10,0,1,184,329
35097,"Welland/Welland"," 144","Welland",82,1,52,42,7,0,1,185,384
35097,"Welland/Welland"," 145","Welland",66,0,91,66,12,0,0,235,515
35097,"Welland/Welland"," 146","Welland",89,1,26,23,2,1,3,145,397
35097,"Welland/Welland"," 147","Welland",60,1,42,20,8,1,2,134,396
35097,"Welland/Welland"," 148","Welland",81,0,32,49,3,0,0,165,399
35097,"Welland/Welland"," 149","Welland",39,0,21,34,7,0,0,101,258
35097,"Welland/Welland"," 150","Welland",95,0,33,35,11,2,1,177,408
35097,"Welland/Welland"," 151","Welland",93,2,26,50,9,0,0,180,371
35097,"Welland/Welland"," 152","Welland",72,4,48,94,9,0,0,227,377
35097,"Welland/Welland"," 153","Welland",61,1,33,74,5,0,4,178,390
35097,"Welland/Welland"," 154","Welland",47,4,41,63,6,0,1,162,306
35097,"Welland/Welland"," 155","Welland",58,0,18,29,5,0,1,111,208
35097,"Welland/Welland"," 156","Welland",80,4,29,36,7,1,0,157,350
35097,"Welland/Welland"," 157","Welland",55,0,18,31,10,0,0,114,252
35097,"Welland/Welland"," 158","Welland",80,3,36,39,5,1,2,166,414
35097,"Welland/Welland"," 159","Welland",66,0,32,43,8,1,5,155,308
35097,"Welland/Welland"," 160","Welland",54,1,37,74,5,0,3,174,305
35097,"Welland/Welland"," 161","Welland",90,1,48,74,5,0,0,218,356
35097,"Welland/Welland"," 162","Welland",49,1,38,39,2,0,1,130,239
35097,"Welland/Welland"," 163","Welland",75,0,33,27,6,0,1,142,277
35097,"Welland/Welland"," 164","Welland",77,4,29,45,9,3,1,168,405
35097,"Welland/Welland"," 165","Welland",66,2,32,26,7,0,2,135,288
35097,"Welland/Welland"," 166","Welland",72,1,36,26,6,2,1,144,254
35097,"Welland/Welland"," 167","Welland",45,2,27,24,2,0,0,100,241
35097,"Welland/Welland"," 168","Welland",45,1,78,36,10,1,0,171,317
35097,"Welland/Welland"," 169","Welland",72,9,82,81,10,0,3,257,418
35097,"Welland/Welland"," 170","Welland",101,0,62,52,8,0,0,223,447
35097,"Welland/Welland"," 171","Wainfleet",33,2,165,22,13,0,2,237,314
35097,"Welland/Welland"," 172","Wainfleet",21,1,121,29,9,0,0,181,308
35097,"Welland/Welland"," 173","Wainfleet",38,4,161,43,9,0,0,255,395
35097,"Welland/Welland"," 174","Wainfleet",43,1,120,47,12,0,0,223,390
35097,"Welland/Welland"," 175A","Wainfleet",26,0,51,29,1,1,0,108,233
35097,"Welland/Welland"," 175B","Wainfleet",34,0,67,31,6,1,0,139,265
35097,"Welland/Welland"," 176","Wainfleet",45,2,115,30,19,0,0,211,395
35097,"Welland/Welland"," 177","Wainfleet",23,0,88,26,8,0,1,146,287
35097,"Welland/Welland"," 178","Wainfleet",34,2,93,27,10,0,0,166,298
35097,"Welland/Welland"," 179A","Wainfleet",25,2,61,13,2,0,0,103,196
35097,"Welland/Welland"," 179B","Wainfleet",20,1,44,33,13,0,1,112,194
35097,"Welland/Welland"," 180","Wainfleet",38,0,56,41,3,0,0,138,315
35097,"Welland/Welland"," 181","Wainfleet",59,4,100,56,14,1,2,236,423
35097,"Welland/Welland"," 182","Wainfleet",49,2,49,33,10,0,0,143,258
35097,"Welland/Welland"," 183","Wainfleet",37,3,66,48,8,0,0,162,318
35097,"Welland/Welland"," 184","Port Colborne",45,5,44,54,8,2,2,160,284
35097,"Welland/Welland"," 185","Port Colborne",70,8,87,78,10,0,3,256,492
35097,"Welland/Welland"," 186","Port Colborne",76,0,40,33,13,0,1,163,374
35097,"Welland/Welland"," 187","Port Colborne",56,4,45,36,5,0,8,154,304
35097,"Welland/Welland"," 188","Port Colborne",77,7,40,60,5,0,1,190,375
35097,"Welland/Welland"," 189","Port Colborne",42,4,42,62,7,0,4,161,282
35097,"Welland/Welland"," 190","Port Colborne",27,0,91,79,3,0,3,203,355
35097,"Welland/Welland"," 191","Port Colborne",41,1,44,42,5,1,1,135,255
35097,"Welland/Welland"," 192","Port Colborne",58,4,48,71,8,0,0,189,407
35097,"Welland/Welland"," 193","Port Colborne",46,6,40,34,13,0,0,139,350
35097,"Welland/Welland"," 194","Port Colborne",40,0,18,25,7,0,1,91,201
35097,"Welland/Welland"," 195","Port Colborne",49,5,16,33,7,0,2,112,216
35097,"Welland/Welland"," 196","Port Colborne",73,7,36,50,5,0,0,171,319
35097,"Welland/Welland"," 197","Port Colborne",73,7,27,85,9,1,2,204,312
35097,"Welland/Welland"," 198","Port Colborne",78,2,32,24,6,1,0,143,323
35097,"Welland/Welland"," 199","Port Colborne",80,5,20,43,8,0,1,157,317
35097,"Welland/Welland"," 200","Port Colborne",75,2,31,40,4,0,2,154,338
35097,"Welland/Welland"," 201","Port Colborne",72,3,23,20,6,0,2,126,285
35097,"Welland/Welland"," 202","Port Colborne",46,2,47,41,9,0,0,145,285
35097,"Welland/Welland"," 203","Port Colborne",45,4,21,36,6,0,1,113,272
35097,"Welland/Welland"," 204","Port Colborne",26,2,31,43,5,0,0,107,268
35097,"Welland/Welland"," 205","Port Colborne",47,2,36,68,4,0,0,157,340
35097,"Welland/Welland"," 206","Port Colborne",62,1,50,56,12,0,1,182,311
35097,"Welland/Welland"," 207","Port Colborne",67,6,52,59,11,0,0,195,316
35097,"Welland/Welland"," 208","Port Colborne",78,10,49,71,8,0,2,218,335
35097,"Welland/Welland"," 209","Port Colborne",68,2,46,56,8,0,0,180,333
35097,"Welland/Welland"," 210","Port Colborne",49,8,78,145,11,0,1,292,438
35097,"Welland/Welland"," 211","Port Colborne",34,3,51,121,13,0,2,224,354
35097,"Welland/Welland"," 212A","Port Colborne",18,1,39,49,4,0,0,111,197
35097,"Welland/Welland"," 212B","Port Colborne",24,0,29,49,7,0,0,109,184
35097,"Welland/Welland"," 213","Port Colborne",37,1,48,85,9,0,0,180,320
35097,"Welland/Welland"," 214","Port Colborne",81,4,102,84,11,0,1,283,552
35097,"Welland/Welland"," 215","Port Colborne",58,9,52,92,11,0,5,227,389
35097,"Welland/Welland"," 216","Port Colborne",49,1,26,37,6,0,0,119,300
35097,"Welland/Welland"," 217","Port Colborne",86,4,99,55,23,1,0,268,423
35097,"Welland/Welland"," 218","Port Colborne",33,0,70,44,10,0,0,157,315
35097,"Welland/Welland"," 219","Port Colborne",90,5,23,42,3,0,0,163,298
35097,"Welland/Welland"," 220","Port Colborne",84,8,32,42,4,0,5,175,313
35097,"Welland/Welland"," 221","Port Colborne",76,2,15,23,2,0,4,122,248
35097,"Welland/Welland"," 222","Port Colborne",42,1,47,48,7,0,1,146,291
35097,"Welland/Welland"," 223","Port Colborne",66,3,83,75,12,2,0,241,462
35097,"Welland/Welland"," 224","Port Colborne",73,2,56,64,13,0,1,209,368
35097,"Welland/Welland"," 225","Port Colborne",59,4,83,50,13,0,0,209,409
35097,"Welland/Welland"," 500","Mobile poll/Bureau itinérant",15,1,12,19,0,1,2,50,152
35097,"Welland/Welland"," 501","Mobile poll/Bureau itinérant",24,0,13,42,0,1,4,84,117
35097,"Welland/Welland"," 502","Mobile poll/Bureau itinérant",18,5,18,36,6,1,4,88,108
35097,"Welland/Welland"," 503","Mobile poll/Bureau itinérant",10,1,31,32,1,0,0,75,63
35097,"Welland/Welland"," 504","Mobile poll/Bureau itinérant",31,1,17,30,4,0,1,84,138
35097,"Welland/Welland"," 505","Mobile poll/Bureau itinérant",9,2,30,52,3,0,0,96,153
35097,"Welland/Welland"," 506","Mobile poll/Bureau itinérant",2,0,6,44,2,1,1,56,135
35097,"Welland/Welland"," 507","Mobile poll/Bureau itinérant",12,0,12,34,2,0,2,62,113
35097,"Welland/Welland"," 600","St. Catharines",60,3,215,91,20,1,1,391,
35097,"Welland/Welland"," 601","St. Catharines",57,0,75,31,13,0,1,177,
35097,"Welland/Welland"," 602","St. Catharines",48,3,131,99,11,0,1,293,
35097,"Welland/Welland"," 603","Thorold",76,2,85,70,17,0,0,250,
35097,"Welland/Welland"," 604","Thorold",110,3,101,74,21,1,1,311,
35097,"Welland/Welland"," 605","Thorold",61,0,72,20,6,1,0,160,
35097,"Welland/Welland"," 606","Welland",135,10,206,177,18,0,3,549,
35097,"Welland/Welland"," 607","Welland",133,4,227,151,18,1,1,535,
35097,"Welland/Welland"," 608","Welland",136,4,171,207,31,1,2,552,
35097,"Welland/Welland"," 609","Welland",167,6,114,106,14,2,3,412,
35097,"Welland/Welland"," 610","Wainfleet",141,3,127,93,16,2,1,383,
35097,"Welland/Welland"," 611","Welland",124,4,84,137,5,0,2,356,
35097,"Welland/Welland"," 612","Wainfleet",59,1,208,81,6,0,0,355,
35097,"Welland/Welland"," 613","Port Colborne",157,2,126,157,14,0,0,456,
35097,"Welland/Welland"," 614","Port Colborne",85,3,134,212,12,0,1,447,
35097,"Welland/Welland"," 615","Port Colborne",112,12,85,116,14,1,2,342,
35097,"Welland/Welland",,Group 1/Groupe 1,25,3,48,31,8,1,4,120,240
35097,"Welland/Welland",,Group 2/Groupe 2,176,8,237,330,32,2,19,804,

