Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Orlando Da Silva,Jamie Kropf,Rod McNeil,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 51","Wilmot",99,53,14,5,0,171,324
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 52","Wilmot",91,31,22,16,0,160,318
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 53A","Wilmot",139,62,24,39,0,264,472
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 53B","Wilmot",138,53,35,32,2,260,472
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 54","Wilmot",172,97,28,13,0,310,406
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 55","St. Agatha",96,62,30,33,0,221,392
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 56","Wilmot",104,54,20,21,0,199,322
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 57","Wilmot",119,56,19,29,2,225,379
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 58","Mannheim",176,94,22,27,1,320,564
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 59","Wilmot",92,44,29,15,1,181,365
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 60","Baden",168,52,43,41,0,304,572
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 61","Baden",106,35,28,26,1,196,371
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 61-1","Baden",135,50,20,34,1,240,408
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 62A","Baden",90,27,21,31,1,170,325
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 62B","Baden",86,28,26,20,0,160,293
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 63A","Haysville",127,51,37,12,0,227,363
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 63B","Haysville",111,59,30,13,0,213,350
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 64","Wilmot",134,39,17,17,0,207,320
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 65","New Dundee",193,50,36,40,0,319,477
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 66","New Dundee",47,33,20,14,1,115,183
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 67","New Dundee",166,37,23,26,1,253,383
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 67-1","Wilmot",109,47,27,23,0,206,338
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 68","New Hamburg",183,49,41,45,1,319,559
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 69A","New Hamburg",87,39,31,29,0,186,357
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 69B","New Hamburg",68,40,18,18,1,145,307
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 70","New Hamburg",101,18,29,40,1,189,351
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 71","New Hamburg",166,62,34,44,1,307,596
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 72","New Hamburg",96,60,22,17,0,195,354
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 73","New Hamburg",17,9,9,11,0,46,123
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 74","New Hamburg",124,42,19,19,1,205,396
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 75","New Hamburg",101,31,24,24,0,180,310
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 76","New Hamburg",93,40,45,32,1,211,417
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 77","New Hamburg",40,18,19,13,0,90,192
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 78","New Hamburg",160,55,58,46,0,319,569
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 79","New Hamburg",144,85,18,14,0,261,339
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 80","New Hamburg",107,54,13,12,1,187,241
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81A","Kitchener",79,42,18,22,0,161,342
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81B","Kitchener",53,30,15,28,0,126,301
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-1","Kitchener",99,67,31,38,2,237,573
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-2","Kitchener",105,64,14,47,0,230,559
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 81-3","Kitchener",122,66,25,40,0,253,607
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 82","Kitchener",91,50,18,55,0,214,510
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 82-1","Kitchener",85,41,20,39,0,185,428
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 82-2","Kitchener",88,58,20,41,2,209,484
