Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Fox,Jeff Horvath,Blake Richards,Jenn Turcott,Krista Zoobkoff,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Wild Rose/Wild Rose"," 178","Banff",50,37,55,13,3,0,158,312
48027,"Wild Rose/Wild Rose"," 179","Banff",45,25,43,27,2,0,142,157
48027,"Wild Rose/Wild Rose"," 180","Banff",27,23,25,20,1,0,96,239
48027,"Wild Rose/Wild Rose"," 181","Banff",108,74,126,70,1,1,380,662
48027,"Wild Rose/Wild Rose"," 182","Banff",48,30,52,13,1,0,144,362
48027,"Wild Rose/Wild Rose"," 183","Banff",33,27,39,23,3,0,125,303
48027,"Wild Rose/Wild Rose"," 184","Banff",50,24,67,24,1,0,166,345
48027,"Wild Rose/Wild Rose"," 185","Banff",Merged with No. 179/Fusionné avec le nº 179,,,,,,,150
48027,"Wild Rose/Wild Rose"," 186","Banff",42,30,85,20,0,1,178,402
48027,"Wild Rose/Wild Rose"," 187","Banff",58,49,58,23,3,1,192,597
48027,"Wild Rose/Wild Rose"," 400","Banff",26,27,21,11,1,1,87,89
48027,"Wild Rose/Wild Rose"," 401","Banff",Merged with No. 400/Fusionné avec le nº 400,,,,,,,86
48027,"Wild Rose/Wild Rose"," 500","Mobile poll/Bureau itinérant",2,3,39,0,0,1,45,58
48027,"Wild Rose/Wild Rose"," 501","Mobile poll/Bureau itinérant",6,4,69,6,1,1,87,132
48027,"Wild Rose/Wild Rose"," 502","Mobile poll/Bureau itinérant",2,4,53,4,0,0,63,71
48027,"Wild Rose/Wild Rose"," 503","Mobile poll/Bureau itinérant",8,6,56,5,2,2,79,83
48027,"Wild Rose/Wild Rose"," 504","Mobile poll/Bureau itinérant",4,5,101,13,2,0,125,127
48027,"Wild Rose/Wild Rose"," 600","Big Horn 144A",6,0,9,1,0,0,16,
48027,"Wild Rose/Wild Rose"," 601","Caroline",10,6,98,7,0,0,121,
48027,"Wild Rose/Wild Rose"," 602","Sundre",34,13,305,7,1,0,360,
48027,"Wild Rose/Wild Rose"," 603","Cremona--Didsbury",39,16,377,19,0,0,451,
48027,"Wild Rose/Wild Rose"," 604","Olds",35,14,395,27,2,0,473,
48027,"Wild Rose/Wild Rose"," 605","Airdrie--Collicutt",44,20,408,24,3,1,500,
48027,"Wild Rose/Wild Rose"," 606","Yankee Valley",25,15,268,12,2,0,322,
48027,"Wild Rose/Wild Rose"," 607","Big Springs",37,39,395,27,1,2,501,
48027,"Wild Rose/Wild Rose"," 608","Crossfield",91,36,615,32,0,1,775,
48027,"Wild Rose/Wild Rose"," 609","Cochrane--Big Hill",64,25,366,24,2,1,482,
48027,"Wild Rose/Wild Rose"," 610","Cochrane--Spray Lake",96,33,148,34,0,1,312,
48027,"Wild Rose/Wild Rose"," 611","Silver Tip",101,61,246,55,4,3,470,
48027,"Wild Rose/Wild Rose"," 612","Banff",102,51,219,51,7,2,432,
48027,"Wild Rose/Wild Rose",,Group 1/Groupe 1,11,3,53,19,0,4,90,150
48027,"Wild Rose/Wild Rose",,Group 2/Groupe 2,105,50,485,64,4,10,718,

