Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Blair,Russ Hiebert,Judy Higginbotham,Brian Marlatt,Peter Prontzos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 59","Surrey",7,87,29,0,10,0,133,254
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 60","Surrey",17,118,47,0,15,1,198,346
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 61A","Surrey",13,99,32,1,2,1,148,247
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 61B","Surrey",7,90,49,1,11,1,159,284
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62A","Surrey",15,137,39,1,9,0,201,363
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62B","Surrey",29,156,46,1,14,4,250,400
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62-1","Surrey",18,193,41,1,26,0,279,502
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63A","Surrey",13,63,34,0,16,0,126,299
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63B","Surrey",12,110,23,0,16,0,161,287
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63-1","Surrey",13,172,57,0,19,0,261,447
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 64","Surrey",22,137,62,0,43,1,265,486
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 65","Surrey",9,140,39,0,9,1,198,309
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 66","Surrey",14,156,40,1,10,1,222,422
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 67","Surrey",18,117,28,1,24,0,188,316
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 68","Surrey",14,159,53,1,13,0,240,434
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 69","Surrey",13,124,51,0,33,0,221,363
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 70A","Surrey",18,72,33,0,34,0,157,259
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 70B","Surrey",21,80,34,0,24,0,159,283
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 71","Surrey",17,104,27,35,1,0,184,307
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72A","Surrey",15,125,33,0,16,1,190,303
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72B","Surrey",12,123,37,0,9,0,181,309
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72C","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,1
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72-1A","Surrey",30,120,38,1,26,0,215,415
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72-1B","Surrey",15,126,30,0,17,0,188,352
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72-2","Surrey",9,123,27,1,15,0,175,276
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 73","Surrey",12,119,40,1,23,0,195,372
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 74","Surrey",11,74,21,0,14,1,121,204
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 75","Surrey",29,152,83,0,22,0,286,419
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 76","Surrey",34,140,81,0,27,0,282,392
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 77","Surrey",26,161,59,0,19,0,265,405
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 78","Surrey",20,140,67,0,24,0,251,368
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 79","Surrey",10,160,66,0,10,0,246,372
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 80","Surrey",21,124,69,2,35,1,252,343
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 81","Surrey",43,125,79,0,25,1,273,395
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 82","Surrey",35,78,39,0,20,0,172,277
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 83","Surrey",35,125,77,0,17,0,254,401
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 84","Surrey",38,124,60,3,30,0,255,406
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 85","Surrey",24,112,69,1,35,0,241,368
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 86","Surrey",20,137,52,0,21,0,230,345
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 87","Surrey",33,148,72,1,15,0,269,422
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 88","Surrey",13,162,63,0,13,1,252,476
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 89","Surrey",11,123,43,0,8,0,185,308
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 90","Surrey",18,168,62,0,21,0,269,408
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 91","Surrey",22,104,67,0,36,0,229,396
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 92","Surrey",27,181,42,0,14,1,265,466
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 93","Surrey",30,128,53,3,21,3,238,373
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 94","Surrey",18,143,66,0,18,3,248,381
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 95","Surrey",11,229,61,0,9,1,311,495
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 96","Surrey",12,170,52,3,11,1,249,421
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 97","Surrey",15,136,44,1,13,0,209,322
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 98","Surrey",7,62,22,0,12,0,103,152
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 99","Surrey",11,110,44,2,16,0,183,309
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 100","Surrey",19,184,49,0,35,2,289,446
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 101","Surrey",14,121,54,0,31,1,221,330
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 102","Surrey",33,111,56,0,44,0,244,341
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 103","Surrey",33,122,66,3,34,0,258,413
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 104","Surrey",25,117,86,1,30,0,259,411
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 105","Surrey",10,71,28,0,17,0,126,218
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 106","Surrey",6,61,39,0,25,1,132,257
