Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Bob Dechert,Richard Pietro,Mustafa Rizvi,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Mississauga--Erindale/Mississauga--Erindale"," 25","Mississauga",125,120,19,24,1,0,289,482
35049,"Mississauga--Erindale/Mississauga--Erindale"," 26","Mississauga",88,96,10,14,2,1,211,508
35049,"Mississauga--Erindale/Mississauga--Erindale"," 27","Mississauga",82,89,17,8,0,2,198,463
35049,"Mississauga--Erindale/Mississauga--Erindale"," 28","Mississauga",85,78,12,16,2,0,193,512
35049,"Mississauga--Erindale/Mississauga--Erindale"," 29","Mississauga",68,78,9,13,0,1,169,391
35049,"Mississauga--Erindale/Mississauga--Erindale"," 30","Mississauga",66,83,13,22,1,1,186,464
35049,"Mississauga--Erindale/Mississauga--Erindale"," 31A","Mississauga",69,41,4,12,1,1,128,299
35049,"Mississauga--Erindale/Mississauga--Erindale"," 31B","Mississauga",60,41,3,8,0,0,112,294
35049,"Mississauga--Erindale/Mississauga--Erindale"," 32","Mississauga",92,99,19,5,0,1,216,407
35049,"Mississauga--Erindale/Mississauga--Erindale"," 33","Mississauga",92,106,7,7,0,1,213,444
35049,"Mississauga--Erindale/Mississauga--Erindale"," 34","Mississauga",68,92,4,9,2,0,175,401
35049,"Mississauga--Erindale/Mississauga--Erindale"," 35","Mississauga",76,61,13,22,0,0,172,532
35049,"Mississauga--Erindale/Mississauga--Erindale"," 36","Mississauga",99,75,7,29,0,0,210,474
35049,"Mississauga--Erindale/Mississauga--Erindale"," 37A","Mississauga",52,64,14,3,0,1,134,260
35049,"Mississauga--Erindale/Mississauga--Erindale"," 37B","Mississauga",59,59,7,7,1,0,133,293
35049,"Mississauga--Erindale/Mississauga--Erindale"," 38","Mississauga",81,106,11,11,0,2,211,363
35049,"Mississauga--Erindale/Mississauga--Erindale"," 39","Mississauga",80,98,15,10,0,0,203,364
35049,"Mississauga--Erindale/Mississauga--Erindale"," 40","Mississauga",71,91,11,26,0,5,204,456
35049,"Mississauga--Erindale/Mississauga--Erindale"," 41","Mississauga",103,64,16,19,1,0,203,434
35049,"Mississauga--Erindale/Mississauga--Erindale"," 42","Mississauga",81,62,12,28,0,1,184,470
35049,"Mississauga--Erindale/Mississauga--Erindale"," 43","Mississauga",72,73,6,28,0,0,179,471
35049,"Mississauga--Erindale/Mississauga--Erindale"," 44","Mississauga",82,72,17,15,0,0,186,445
35049,"Mississauga--Erindale/Mississauga--Erindale"," 45","Mississauga",90,91,14,14,1,1,211,371
35049,"Mississauga--Erindale/Mississauga--Erindale"," 46","Mississauga",71,109,9,5,0,0,194,346
35049,"Mississauga--Erindale/Mississauga--Erindale"," 47","Mississauga",55,97,16,9,0,1,178,339
35049,"Mississauga--Erindale/Mississauga--Erindale"," 48","Mississauga",129,84,6,29,2,1,251,531
35049,"Mississauga--Erindale/Mississauga--Erindale"," 49A","Mississauga",74,38,1,9,0,1,123,360
35049,"Mississauga--Erindale/Mississauga--Erindale"," 49B","Mississauga",56,31,8,11,0,2,108,319
35049,"Mississauga--Erindale/Mississauga--Erindale"," 50","Mississauga",54,75,11,16,1,1,158,459
35049,"Mississauga--Erindale/Mississauga--Erindale"," 51","Mississauga",53,88,12,32,0,0,185,440
35049,"Mississauga--Erindale/Mississauga--Erindale"," 52","Mississauga",68,66,18,21,1,1,175,295
35049,"Mississauga--Erindale/Mississauga--Erindale"," 53","Mississauga",66,77,17,20,0,0,180,311
35049,"Mississauga--Erindale/Mississauga--Erindale"," 54","Mississauga",75,76,17,19,0,0,187,333
35049,"Mississauga--Erindale/Mississauga--Erindale"," 55","Mississauga",81,34,6,12,0,0,133,362
35049,"Mississauga--Erindale/Mississauga--Erindale"," 56","Mississauga",63,67,10,23,0,1,164,381
35049,"Mississauga--Erindale/Mississauga--Erindale"," 57","Mississauga",80,69,7,26,0,0,182,374
35049,"Mississauga--Erindale/Mississauga--Erindale"," 58","Mississauga",66,67,17,16,3,0,169,317
35049,"Mississauga--Erindale/Mississauga--Erindale"," 59","Mississauga",49,60,13,10,0,0,132,233
35049,"Mississauga--Erindale/Mississauga--Erindale"," 60","Mississauga",23,20,7,14,1,0,65,218
35049,"Mississauga--Erindale/Mississauga--Erindale"," 61A","Mississauga",34,50,3,7,0,0,94,325
35049,"Mississauga--Erindale/Mississauga--Erindale"," 61B","Mississauga",32,53,7,15,0,0,107,303
35049,"Mississauga--Erindale/Mississauga--Erindale"," 62","Mississauga",55,116,12,19,0,0,202,467
35049,"Mississauga--Erindale/Mississauga--Erindale"," 63","Mississauga",54,73,21,29,0,0,177,409
35049,"Mississauga--Erindale/Mississauga--Erindale"," 64","Mississauga",57,108,27,22,2,2,218,383
35049,"Mississauga--Erindale/Mississauga--Erindale"," 65","Mississauga",73,89,9,12,0,0,183,317
35049,"Mississauga--Erindale/Mississauga--Erindale"," 66","Mississauga",60,129,26,25,0,2,242,459
35049,"Mississauga--Erindale/Mississauga--Erindale"," 67","Mississauga",70,73,11,22,0,0,176,397
35049,"Mississauga--Erindale/Mississauga--Erindale"," 68","Mississauga",59,100,8,7,0,2,176,312
35049,"Mississauga--Erindale/Mississauga--Erindale"," 69","Mississauga",67,98,20,20,0,0,205,373
35049,"Mississauga--Erindale/Mississauga--Erindale"," 70","Mississauga",97,127,29,12,0,3,268,445
