Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Bob Dechert,Richard Pietro,Mustafa Rizvi,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Mississauga--Erindale/Mississauga--Erindale"," 236B","Mississauga",71,49,8,9,1,0,138,283
35049,"Mississauga--Erindale/Mississauga--Erindale"," 237A","Mississauga",73,56,6,15,0,0,150,255
35049,"Mississauga--Erindale/Mississauga--Erindale"," 237B","Mississauga",51,42,3,9,0,0,105,195
35049,"Mississauga--Erindale/Mississauga--Erindale"," 238","Mississauga",90,78,14,18,0,0,200,348
35049,"Mississauga--Erindale/Mississauga--Erindale"," 239","Mississauga",52,59,4,12,0,0,127,229
35049,"Mississauga--Erindale/Mississauga--Erindale"," 240A","Mississauga",79,95,10,11,0,1,196,318
35049,"Mississauga--Erindale/Mississauga--Erindale"," 240B","Mississauga",83,84,12,9,0,2,190,326
35049,"Mississauga--Erindale/Mississauga--Erindale"," 241","Mississauga",46,44,4,10,1,0,105,214
35049,"Mississauga--Erindale/Mississauga--Erindale"," 242","Mississauga",122,81,23,26,2,2,256,478
35049,"Mississauga--Erindale/Mississauga--Erindale"," 500","Mobile poll/Bureau itinérant",21,34,14,2,0,1,72,91
35049,"Mississauga--Erindale/Mississauga--Erindale"," 501","Mobile poll/Bureau itinérant",41,27,2,6,1,0,77,146
35049,"Mississauga--Erindale/Mississauga--Erindale"," 502","Mobile poll/Bureau itinérant",50,69,8,8,0,3,138,231
35049,"Mississauga--Erindale/Mississauga--Erindale"," 600","Mississauga",197,124,10,22,0,0,353,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 601","Mississauga",253,303,21,23,1,4,605,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 602","Mississauga",186,196,15,25,0,1,423,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 603","Mississauga",141,260,25,29,2,1,458,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 604","Mississauga",258,303,27,32,1,4,625,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 605","Mississauga",181,215,42,43,2,2,485,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 606","Mississauga",178,338,39,38,1,3,597,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 607","Mississauga",135,157,26,28,0,2,348,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 608","Mississauga",147,193,19,17,0,2,378,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 609","Mississauga",231,216,26,33,2,0,508,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 610","Mississauga",216,208,27,25,3,0,479,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 611","Mississauga",153,165,12,15,1,1,347,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 612","Mississauga",251,169,22,36,1,3,482,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 613","Mississauga",128,136,19,17,1,1,302,
35049,"Mississauga--Erindale/Mississauga--Erindale"," 614","Mississauga",202,195,29,31,1,0,458,
35049,"Mississauga--Erindale/Mississauga--Erindale",,Group 1/Groupe 1,27,47,4,6,0,4,88,158
35049,"Mississauga--Erindale/Mississauga--Erindale",,Group 2/Groupe 2,238,234,40,42,0,9,563,

