Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Craig Batley,Lou Doderai,Randy Hoback,Valerie Mushinski,Amanda Judith Marie Smytaniuk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Prince Albert/Prince Albert"," 19","Prince Albert",0,8,80,53,10,1,152,304
47006,"Prince Albert/Prince Albert"," 20","Prince Albert",1,25,53,67,11,0,157,422
47006,"Prince Albert/Prince Albert"," 21","Prince Albert",1,24,30,72,5,0,132,452
47006,"Prince Albert/Prince Albert"," 22","Prince Albert",2,21,42,63,2,0,130,392
47006,"Prince Albert/Prince Albert"," 23","Prince Albert",2,38,53,52,8,1,154,522
47006,"Prince Albert/Prince Albert"," 24","Prince Albert",0,35,35,47,3,0,120,306
47006,"Prince Albert/Prince Albert"," 25","Prince Albert",1,18,39,45,8,0,111,420
47006,"Prince Albert/Prince Albert"," 26","Prince Albert",0,22,30,43,1,2,98,313
47006,"Prince Albert/Prince Albert"," 27","Prince Albert",1,21,90,59,6,0,177,394
47006,"Prince Albert/Prince Albert"," 28","Prince Albert",1,25,101,63,11,1,202,461
47006,"Prince Albert/Prince Albert"," 29","Prince Albert",0,17,40,55,5,1,118,453
47006,"Prince Albert/Prince Albert"," 29-1","Prince Albert",1,16,90,48,4,0,159,310
47006,"Prince Albert/Prince Albert"," 30","Prince Albert",1,26,94,64,14,0,199,328
47006,"Prince Albert/Prince Albert"," 31","Prince Albert",3,24,112,80,13,0,232,393
47006,"Prince Albert/Prince Albert"," 32","Prince Albert",1,22,88,73,15,0,199,406
47006,"Prince Albert/Prince Albert"," 33","Prince Albert",1,13,96,58,13,0,181,307
47006,"Prince Albert/Prince Albert"," 34","Prince Albert",0,22,104,77,10,0,213,383
47006,"Prince Albert/Prince Albert"," 35","Prince Albert",2,38,126,71,6,2,245,448
47006,"Prince Albert/Prince Albert"," 36","Prince Albert",2,32,78,45,8,1,166,304
47006,"Prince Albert/Prince Albert"," 37","Prince Albert",4,24,81,72,5,1,187,297
47006,"Prince Albert/Prince Albert"," 38","Prince Albert",1,30,100,84,8,2,225,413
47006,"Prince Albert/Prince Albert"," 39","Prince Albert",0,20,59,41,17,1,138,337
47006,"Prince Albert/Prince Albert"," 40","Prince Albert",0,22,68,54,13,0,157,387
47006,"Prince Albert/Prince Albert"," 41","Prince Albert",2,20,72,85,19,0,198,511
47006,"Prince Albert/Prince Albert"," 42","Prince Albert",2,14,52,55,5,0,128,351
47006,"Prince Albert/Prince Albert"," 43","Prince Albert",0,17,70,57,6,1,151,380
47006,"Prince Albert/Prince Albert"," 44","Prince Albert",0,17,39,48,8,0,112,333
47006,"Prince Albert/Prince Albert"," 45","Prince Albert",1,14,65,62,9,1,152,335
47006,"Prince Albert/Prince Albert"," 46","Prince Albert",1,20,96,84,13,1,215,380
47006,"Prince Albert/Prince Albert"," 47","Prince Albert",0,17,90,68,10,0,185,389
47006,"Prince Albert/Prince Albert"," 48","Prince Albert",2,22,109,84,10,1,228,465
47006,"Prince Albert/Prince Albert"," 49","Prince Albert",1,11,72,55,15,0,154,397
47006,"Prince Albert/Prince Albert"," 50","Prince Albert",0,10,71,52,3,0,136,312
47006,"Prince Albert/Prince Albert"," 51","Prince Albert",1,16,87,45,15,0,164,387
47006,"Prince Albert/Prince Albert"," 52","Prince Albert",0,12,56,50,8,0,126,280
47006,"Prince Albert/Prince Albert"," 53","Prince Albert",0,19,141,78,15,0,253,498
47006,"Prince Albert/Prince Albert"," 54","Prince Albert",0,16,68,50,8,0,142,332
47006,"Prince Albert/Prince Albert"," 55","Prince Albert",1,18,94,70,12,0,195,346
47006,"Prince Albert/Prince Albert"," 56","Prince Albert",2,11,109,72,10,0,204,428
47006,"Prince Albert/Prince Albert"," 56-1","Prince Albert",2,12,76,38,3,0,131,371
47006,"Prince Albert/Prince Albert"," 57","Prince Albert",2,25,79,64,9,0,179,374
47006,"Prince Albert/Prince Albert"," 58","Prince Albert",3,20,69,68,12,1,173,433
47006,"Prince Albert/Prince Albert"," 59","Prince Albert",0,7,42,43,8,1,101,311
47006,"Prince Albert/Prince Albert"," 60","Prince Albert",0,17,62,61,11,0,151,338
47006,"Prince Albert/Prince Albert"," 61","Prince Albert",0,10,35,48,9,0,102,335
47006,"Prince Albert/Prince Albert"," 62","Prince Albert",1,14,49,34,10,0,108,275
47006,"Prince Albert/Prince Albert"," 63","Prince Albert",0,16,119,59,9,0,203,379
47006,"Prince Albert/Prince Albert"," 64","Prince Albert",0,7,87,50,13,0,157,350
47006,"Prince Albert/Prince Albert"," 65","Prince Albert",1,17,67,50,5,0,140,400
47006,"Prince Albert/Prince Albert"," 66","Prince Albert",0,18,110,68,15,0,211,368
47006,"Prince Albert/Prince Albert"," 67","Prince Albert",1,17,108,52,11,1,190,393
47006,"Prince Albert/Prince Albert"," 68","Prince Albert",0,23,123,60,6,1,213,454
47006,"Prince Albert/Prince Albert"," 69","Prince Albert",1,17,135,74,12,0,239,409
47006,"Prince Albert/Prince Albert"," 70","Prince Albert",0,11,117,49,14,0,191,359
47006,"Prince Albert/Prince Albert"," 71","Prince Albert",0,5,38,49,10,0,102,425
47006,"Prince Albert/Prince Albert"," 72","Prince Albert",1,28,131,91,25,1,277,433
47006,"Prince Albert/Prince Albert"," 73","Prince Albert",2,14,171,90,8,0,285,527
47006,"Prince Albert/Prince Albert"," 74","Prince Albert",1,19,162,54,16,0,252,462
47006,"Prince Albert/Prince Albert"," 74-1","Prince Albert",1,13,65,34,9,0,122,283
47006,"Prince Albert/Prince Albert"," 75","Prince Albert",0,25,174,56,17,2,274,470
47006,"Prince Albert/Prince Albert"," 76","Prince Albert",0,23,139,55,10,0,227,388
47006,"Prince Albert/Prince Albert"," 77","Clouston",3,5,134,42,9,0,193,337
47006,"Prince Albert/Prince Albert"," 78","Prince Albert",0,3,39,22,4,0,68,116
47006,"Prince Albert/Prince Albert"," 79","Red Deer Hill",3,22,224,76,11,0,336,709
47006,"Prince Albert/Prince Albert"," 80","Miller's Hill",2,9,119,42,8,0,180,308
47006,"Prince Albert/Prince Albert"," 81","Birson",1,11,137,61,16,0,226,338
47006,"Prince Albert/Prince Albert"," 82","Muskoday First Nation",0,27,27,77,7,0,138,333
47006,"Prince Albert/Prince Albert"," 83","Birch Hills",0,8,119,62,8,0,197,321
47006,"Prince Albert/Prince Albert"," 84","Brancepeth",0,5,75,21,4,0,105,160
47006,"Prince Albert/Prince Albert"," 85","Birch Hills",0,8,128,59,8,0,203,410
47006,"Prince Albert/Prince Albert"," 85-1","Birch Hills",1,3,45,17,1,0,67,126
47006,"Prince Albert/Prince Albert"," 86","Birch Hills",0,6,71,39,9,0,125,205
47006,"Prince Albert/Prince Albert"," 87","Weldon",0,9,142,42,11,0,204,338
47006,"Prince Albert/Prince Albert"," 88","James Smith 100",2,43,24,79,8,0,156,280
47006,"Prince Albert/Prince Albert"," 89","Brockington",0,2,27,22,2,1,54,86
47006,"Prince Albert/Prince Albert"," 90","Kinistino",0,3,131,35,7,1,177,318
47006,"Prince Albert/Prince Albert"," 91","Kinistino",0,9,72,31,4,0,116,515
47006,"Prince Albert/Prince Albert"," 91-1","Kinistino",2,2,53,13,3,0,73,114
47006,"Prince Albert/Prince Albert"," 92","Kinistino",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 93","Gronlid",1,7,154,65,18,0,245,392
47006,"Prince Albert/Prince Albert"," 94","Brooksby",1,3,56,15,8,0,83,160
47006,"Prince Albert/Prince Albert"," 95","Beatty",0,3,104,27,9,0,143,272
47006,"Prince Albert/Prince Albert"," 96","Flett's Springs",1,5,131,18,2,0,157,338
47006,"Prince Albert/Prince Albert"," 97","Melfort",0,1,143,28,4,0,176,291
47006,"Prince Albert/Prince Albert"," 98","Melfort",3,8,77,42,13,1,144,273
47006,"Prince Albert/Prince Albert"," 99","Melfort",3,3,67,24,1,1,99,220
47006,"Prince Albert/Prince Albert"," 100","Melfort",3,12,137,51,6,0,209,385
47006,"Prince Albert/Prince Albert"," 101","Melfort",0,4,73,22,4,0,103,212
47006,"Prince Albert/Prince Albert"," 101-1","Melfort",1,13,65,18,7,0,104,215
47006,"Prince Albert/Prince Albert"," 102","Melfort",0,8,109,37,5,0,159,340
47006,"Prince Albert/Prince Albert"," 103","Melfort",4,18,156,58,13,0,249,642
47006,"Prince Albert/Prince Albert"," 104","Melfort",1,5,79,39,6,0,130,315
47006,"Prince Albert/Prince Albert"," 105","Melfort",0,10,115,51,5,0,181,348
47006,"Prince Albert/Prince Albert"," 106","Melfort",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 107","Melfort",0,17,139,53,10,0,219,396
47006,"Prince Albert/Prince Albert"," 108","Melfort",2,8,86,35,12,0,143,249
47006,"Prince Albert/Prince Albert"," 109","Melfort",1,18,111,23,7,0,160,296
47006,"Prince Albert/Prince Albert"," 110","Ridgedale",1,6,136,22,9,1,175,306
47006,"Prince Albert/Prince Albert"," 111","Zenon Park",1,31,88,39,13,0,172,236
47006,"Prince Albert/Prince Albert"," 112","Star City",1,4,127,43,7,0,182,338
47006,"Prince Albert/Prince Albert"," 113","Star City",4,5,184,45,13,0,251,430
47006,"Prince Albert/Prince Albert"," 114","Tisdale",1,3,92,29,8,0,133,200
47006,"Prince Albert/Prince Albert"," 115","Tisdale",0,3,144,28,3,0,178,283
47006,"Prince Albert/Prince Albert"," 116","Sylvania",0,6,84,20,5,0,115,228
47006,"Prince Albert/Prince Albert"," 117A","Tisdale",2,7,128,54,8,1,200,477
47006,"Prince Albert/Prince Albert"," 117B","Tisdale",0,8,132,48,9,0,197,452
47006,"Prince Albert/Prince Albert"," 117-1","Tisdale",0,0,14,6,3,0,23,48
47006,"Prince Albert/Prince Albert"," 118","Tisdale",2,4,84,50,7,0,147,284
47006,"Prince Albert/Prince Albert"," 119","Tisdale",2,8,103,26,8,0,147,258
47006,"Prince Albert/Prince Albert"," 120","Tisdale",0,7,86,43,10,0,146,238
47006,"Prince Albert/Prince Albert"," 121","Tisdale",0,7,75,22,5,0,109,200
47006,"Prince Albert/Prince Albert"," 122","Tisdale",0,13,86,66,4,0,169,299
47006,"Prince Albert/Prince Albert"," 123","Tisdale",1,1,75,28,4,1,110,196
47006,"Prince Albert/Prince Albert"," 124","Nipawin",0,13,179,79,11,2,284,733
47006,"Prince Albert/Prince Albert"," 125","Codette",0,5,81,34,9,0,129,317
47006,"Prince Albert/Prince Albert"," 126","Codette",0,3,141,40,3,1,188,342
47006,"Prince Albert/Prince Albert"," 127","Aylsham",0,4,67,14,9,0,94,169
47006,"Prince Albert/Prince Albert"," 128","Nipawin",0,8,78,30,5,0,121,268
47006,"Prince Albert/Prince Albert"," 129","Nipawin",3,4,88,35,3,0,133,269
47006,"Prince Albert/Prince Albert"," 130","Nipawin",1,3,30,13,0,0,47,131
47006,"Prince Albert/Prince Albert"," 131","Nipawin",1,8,144,49,8,1,211,333
47006,"Prince Albert/Prince Albert"," 132","Nipawin",0,5,79,41,6,0,131,293
47006,"Prince Albert/Prince Albert"," 133","Nipawin",1,2,42,23,4,0,72,192
47006,"Prince Albert/Prince Albert"," 134","Nipawin",0,2,57,24,2,0,85,192
47006,"Prince Albert/Prince Albert"," 135","Nipawin",0,4,81,28,7,0,120,226
47006,"Prince Albert/Prince Albert"," 136","Nipawin",1,4,54,23,4,0,86,155
47006,"Prince Albert/Prince Albert"," 137","Nipawin",1,2,63,38,5,0,109,217
47006,"Prince Albert/Prince Albert"," 138","Nipawin",2,7,136,57,8,0,210,376
47006,"Prince Albert/Prince Albert"," 139","Petaigan",0,1,94,27,5,0,127,282
47006,"Prince Albert/Prince Albert"," 140","Moose Range",0,6,171,45,12,0,234,467
47006,"Prince Albert/Prince Albert"," 141","Arborfield",2,9,224,30,10,1,276,442
47006,"Prince Albert/Prince Albert"," 142","Arborfield",Void/Supprimé,,,,,,,
47006,"Prince Albert/Prince Albert"," 143","Carrot River",0,15,80,35,10,0,140,283
47006,"Prince Albert/Prince Albert"," 144","Carrot River",1,8,171,58,7,1,246,437
47006,"Prince Albert/Prince Albert"," 145","Arborfield",0,5,61,8,3,1,78,117
47006,"Prince Albert/Prince Albert"," 500","Mobile poll/Bureau itinérant",2,12,25,9,2,1,51,159
47006,"Prince Albert/Prince Albert"," 501","Mobile poll/Bureau itinérant",3,31,41,40,3,1,119,189
47006,"Prince Albert/Prince Albert"," 502","Mobile poll/Bureau itinérant",2,21,24,23,3,1,74,174
47006,"Prince Albert/Prince Albert"," 503","Mobile poll/Bureau itinérant",4,6,16,15,4,0,45,99
47006,"Prince Albert/Prince Albert"," 504","Mobile poll/Bureau itinérant",1,10,25,14,1,0,51,146
47006,"Prince Albert/Prince Albert"," 505","Mobile poll/Bureau itinérant",0,5,24,12,1,2,44,142
47006,"Prince Albert/Prince Albert"," 600","Shellbrook",1,9,101,32,8,0,151,
47006,"Prince Albert/Prince Albert"," 601","Buckland",0,14,119,57,9,0,199,
47006,"Prince Albert/Prince Albert"," 602","Prince Albert",2,37,124,91,9,1,264,
47006,"Prince Albert/Prince Albert"," 603","Prince Albert",4,23,161,123,17,0,328,
47006,"Prince Albert/Prince Albert"," 604","Prince Albert",1,32,279,116,17,0,445,
47006,"Prince Albert/Prince Albert"," 605","Birson",1,5,95,30,6,1,138,
47006,"Prince Albert/Prince Albert"," 606","Birch Hills",1,10,79,42,2,0,134,
47006,"Prince Albert/Prince Albert"," 607","Melfort",1,25,304,97,19,0,446,
47006,"Prince Albert/Prince Albert"," 608","Tisdale",0,7,152,80,13,0,252,
47006,"Prince Albert/Prince Albert"," 609","Nipawin",0,27,256,119,12,0,414,
47006,"Prince Albert/Prince Albert"," 610","Carrot River",0,3,71,27,3,0,104,
47006,"Prince Albert/Prince Albert",,Group 1/Groupe 1,3,56,29,39,14,4,145,202
47006,"Prince Albert/Prince Albert",,Group 2/Groupe 2,5,51,310,147,11,3,527,

