Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Harilaid,Mark Holland,Rick Johnson,Kevin Norng,Bala Thavarajasoorier,Stephanie Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax--Pickering/Ajax--Pickering"," 20","Pickering",9,114,87,0,5,0,2,217,365
35001,"Ajax--Pickering/Ajax--Pickering"," 21","Pickering",11,126,77,1,19,2,0,236,448
35001,"Ajax--Pickering/Ajax--Pickering"," 22","Pickering",11,97,91,1,16,0,0,216,494
35001,"Ajax--Pickering/Ajax--Pickering"," 23","Pickering",9,157,74,8,30,1,4,283,504
35001,"Ajax--Pickering/Ajax--Pickering"," 23-1","Pickering",11,108,82,1,16,0,1,219,461
35001,"Ajax--Pickering/Ajax--Pickering"," 24","Pickering",14,118,88,4,32,0,1,257,508
35001,"Ajax--Pickering/Ajax--Pickering"," 25","Pickering",24,118,142,2,33,0,3,322,542
35001,"Ajax--Pickering/Ajax--Pickering"," 26","Pickering",16,108,74,3,25,1,2,229,471
35001,"Ajax--Pickering/Ajax--Pickering"," 27","Pickering",9,124,74,2,13,0,2,224,498
35001,"Ajax--Pickering/Ajax--Pickering"," 28","Pickering",15,107,79,2,11,3,2,219,419
35001,"Ajax--Pickering/Ajax--Pickering"," 29","Pickering",7,119,40,2,24,0,0,192,416
35001,"Ajax--Pickering/Ajax--Pickering"," 30","Pickering",10,113,72,0,15,2,0,212,411
35001,"Ajax--Pickering/Ajax--Pickering"," 31","Pickering",7,130,62,2,24,2,2,229,492
35001,"Ajax--Pickering/Ajax--Pickering"," 32","Pickering",18,158,65,2,19,1,0,263,533
35001,"Ajax--Pickering/Ajax--Pickering"," 33","Pickering",12,82,65,0,21,1,1,182,447
35001,"Ajax--Pickering/Ajax--Pickering"," 33-1","Pickering",19,67,70,3,29,1,0,189,482
35001,"Ajax--Pickering/Ajax--Pickering"," 34","Pickering",16,118,45,1,27,1,0,208,501
35001,"Ajax--Pickering/Ajax--Pickering"," 35","Pickering",3,116,47,2,18,3,2,191,482
35001,"Ajax--Pickering/Ajax--Pickering"," 36","Pickering",14,51,56,4,29,0,0,154,439
35001,"Ajax--Pickering/Ajax--Pickering"," 37","Pickering",9,63,55,1,30,0,1,159,418
35001,"Ajax--Pickering/Ajax--Pickering"," 37-1","Pickering",14,125,75,5,31,1,1,252,506
35001,"Ajax--Pickering/Ajax--Pickering"," 38","Pickering",19,80,92,1,22,0,1,215,418
35001,"Ajax--Pickering/Ajax--Pickering"," 39","Pickering",18,101,59,0,23,0,0,201,420
35001,"Ajax--Pickering/Ajax--Pickering"," 40A","Pickering",11,43,44,0,25,0,0,123,320
35001,"Ajax--Pickering/Ajax--Pickering"," 40B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,53
35001,"Ajax--Pickering/Ajax--Pickering"," 41","Pickering",12,80,85,2,19,3,0,201,328
35001,"Ajax--Pickering/Ajax--Pickering"," 42","Pickering",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 43","Pickering",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 44","Pickering",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 45A","Ajax",15,158,86,1,28,1,1,290,698
35001,"Ajax--Pickering/Ajax--Pickering"," 45B","Ajax",10,127,47,2,16,0,0,202,455
35001,"Ajax--Pickering/Ajax--Pickering"," 45-1","Ajax",7,113,63,3,20,2,1,209,535
35001,"Ajax--Pickering/Ajax--Pickering"," 45-2A","Ajax",6,148,57,1,34,0,2,248,533
35001,"Ajax--Pickering/Ajax--Pickering"," 45-2B","Ajax",3,116,39,2,8,0,1,169,377
35001,"Ajax--Pickering/Ajax--Pickering"," 46A","Ajax",26,101,111,2,16,0,0,256,561
35001,"Ajax--Pickering/Ajax--Pickering"," 46B","Ajax",2,74,55,1,6,0,1,139,317
35001,"Ajax--Pickering/Ajax--Pickering"," 46-1A","Ajax",22,150,82,2,33,0,1,290,657
35001,"Ajax--Pickering/Ajax--Pickering"," 46-1B","Ajax",3,115,59,1,13,0,0,191,396
35001,"Ajax--Pickering/Ajax--Pickering"," 46-2","Ajax",14,112,81,1,24,1,1,234,554
35001,"Ajax--Pickering/Ajax--Pickering"," 46-3A","Ajax",17,82,51,0,21,0,1,172,510
35001,"Ajax--Pickering/Ajax--Pickering"," 46-3B","Ajax",5,68,53,0,11,0,0,137,263
35001,"Ajax--Pickering/Ajax--Pickering"," 47A","Ajax",12,117,76,1,16,0,0,222,512
35001,"Ajax--Pickering/Ajax--Pickering"," 47B","Ajax",6,96,74,1,19,0,2,198,411
35001,"Ajax--Pickering/Ajax--Pickering"," 47C","Ajax",8,88,57,1,24,2,0,180,381
35001,"Ajax--Pickering/Ajax--Pickering"," 47-1","Ajax",10,113,84,2,24,1,0,234,533
35001,"Ajax--Pickering/Ajax--Pickering"," 47-2","Ajax",9,108,70,1,22,0,2,212,481
35001,"Ajax--Pickering/Ajax--Pickering"," 47-3","Ajax",10,110,52,2,23,1,1,199,406
35001,"Ajax--Pickering/Ajax--Pickering"," 47-4","Ajax",10,71,49,1,10,2,0,143,358
35001,"Ajax--Pickering/Ajax--Pickering"," 47-5A","Ajax",13,180,112,1,23,1,0,330,685
35001,"Ajax--Pickering/Ajax--Pickering"," 47-5B","Ajax",2,141,64,1,15,1,2,226,480
35001,"Ajax--Pickering/Ajax--Pickering"," 48","Ajax",8,131,90,2,11,1,1,244,452
35001,"Ajax--Pickering/Ajax--Pickering"," 48-1","Ajax",11,101,91,1,15,1,1,221,451
35001,"Ajax--Pickering/Ajax--Pickering"," 48-2","Ajax",9,142,71,3,12,3,0,240,453
35001,"Ajax--Pickering/Ajax--Pickering"," 49","Ajax",4,150,78,2,16,0,0,250,510
35001,"Ajax--Pickering/Ajax--Pickering"," 50","Ajax",9,90,73,4,25,0,1,202,466
35001,"Ajax--Pickering/Ajax--Pickering"," 51","Ajax",18,126,119,2,12,5,1,283,508
35001,"Ajax--Pickering/Ajax--Pickering"," 52","Ajax",7,151,90,1,13,0,3,265,517
35001,"Ajax--Pickering/Ajax--Pickering"," 53","Ajax",13,148,74,1,17,0,2,255,504
35001,"Ajax--Pickering/Ajax--Pickering"," 54","Ajax",15,90,88,1,18,0,4,216,418
35001,"Ajax--Pickering/Ajax--Pickering"," 55","Ajax",19,122,100,0,37,1,1,280,537
35001,"Ajax--Pickering/Ajax--Pickering"," 56","Ajax",8,78,77,2,24,1,1,191,484
35001,"Ajax--Pickering/Ajax--Pickering"," 57","Ajax",17,77,75,1,17,0,1,188,466
35001,"Ajax--Pickering/Ajax--Pickering"," 58","Ajax",11,123,87,0,21,0,1,243,411
35001,"Ajax--Pickering/Ajax--Pickering"," 59","Ajax",16,75,74,1,11,1,0,178,349
35001,"Ajax--Pickering/Ajax--Pickering"," 60","Ajax",19,139,57,2,24,0,0,241,551
35001,"Ajax--Pickering/Ajax--Pickering"," 60-1","Ajax",23,81,46,2,28,0,1,181,507
35001,"Ajax--Pickering/Ajax--Pickering"," 61","Ajax",27,125,109,0,15,0,2,278,526
35001,"Ajax--Pickering/Ajax--Pickering"," 62","Ajax",13,97,63,2,27,1,0,203,436
35001,"Ajax--Pickering/Ajax--Pickering"," 63","Ajax",13,74,59,1,25,0,1,173,446
35001,"Ajax--Pickering/Ajax--Pickering"," 64A","Ajax",4,135,74,0,21,1,1,236,532
35001,"Ajax--Pickering/Ajax--Pickering"," 64B","Ajax",4,94,66,1,17,0,1,183,378
35001,"Ajax--Pickering/Ajax--Pickering"," 65","Ajax",10,88,69,0,15,2,1,185,418
35001,"Ajax--Pickering/Ajax--Pickering"," 66","Ajax",16,102,72,0,18,3,1,212,427
35001,"Ajax--Pickering/Ajax--Pickering"," 67","Ajax",10,137,66,4,31,0,1,249,546
35001,"Ajax--Pickering/Ajax--Pickering"," 68","Ajax",12,116,82,2,24,0,1,237,435
35001,"Ajax--Pickering/Ajax--Pickering"," 68-1","Ajax",10,80,104,8,22,0,1,225,431
35001,"Ajax--Pickering/Ajax--Pickering"," 69","Ajax",14,99,96,2,24,0,0,235,491
35001,"Ajax--Pickering/Ajax--Pickering"," 70","Ajax",11,85,97,4,34,0,2,233,516
35001,"Ajax--Pickering/Ajax--Pickering"," 71","Ajax",10,65,52,0,9,0,1,137,295
35001,"Ajax--Pickering/Ajax--Pickering"," 72","Ajax",17,59,73,1,21,2,0,173,359
35001,"Ajax--Pickering/Ajax--Pickering"," 73","Ajax",28,91,92,4,27,1,1,244,457
35001,"Ajax--Pickering/Ajax--Pickering"," 74","Ajax",14,85,86,0,19,0,0,204,434
35001,"Ajax--Pickering/Ajax--Pickering"," 75","Ajax",13,137,66,1,20,1,1,239,456
35001,"Ajax--Pickering/Ajax--Pickering"," 76","Ajax",16,160,74,1,34,0,0,285,527
35001,"Ajax--Pickering/Ajax--Pickering"," 77","Ajax",7,130,91,1,11,0,0,240,491
35001,"Ajax--Pickering/Ajax--Pickering"," 78","Ajax",11,144,115,5,15,1,2,293,446
35001,"Ajax--Pickering/Ajax--Pickering"," 79","Ajax",27,97,129,1,14,2,0,270,435
35001,"Ajax--Pickering/Ajax--Pickering"," 80","Ajax",15,131,89,2,8,0,0,245,433
35001,"Ajax--Pickering/Ajax--Pickering"," 81","Ajax",21,66,93,1,29,1,0,211,368
35001,"Ajax--Pickering/Ajax--Pickering"," 82","Ajax",18,76,80,3,20,0,2,199,457
35001,"Ajax--Pickering/Ajax--Pickering"," 83","Ajax",12,136,121,3,23,1,2,298,490
35001,"Ajax--Pickering/Ajax--Pickering"," 84","Ajax",15,140,100,2,32,1,1,291,540
35001,"Ajax--Pickering/Ajax--Pickering"," 85","Ajax",24,98,103,1,24,1,0,251,472
35001,"Ajax--Pickering/Ajax--Pickering"," 86","Ajax",12,105,96,0,13,0,0,226,491
35001,"Ajax--Pickering/Ajax--Pickering"," 87","Ajax",13,103,99,3,18,0,0,236,406
35001,"Ajax--Pickering/Ajax--Pickering"," 88","Ajax",15,68,76,1,15,1,0,176,371
35001,"Ajax--Pickering/Ajax--Pickering"," 89","Ajax",17,124,87,5,22,0,2,257,492
35001,"Ajax--Pickering/Ajax--Pickering"," 90","Ajax",24,78,98,0,16,0,3,219,466
35001,"Ajax--Pickering/Ajax--Pickering"," 91","Ajax",22,80,65,0,18,2,0,187,343
35001,"Ajax--Pickering/Ajax--Pickering"," 92","Ajax",16,94,67,6,21,0,0,204,399
35001,"Ajax--Pickering/Ajax--Pickering"," 93","Ajax",23,72,82,1,29,2,0,209,426
35001,"Ajax--Pickering/Ajax--Pickering"," 94","Ajax",7,89,93,3,16,0,0,208,448
35001,"Ajax--Pickering/Ajax--Pickering"," 95","Ajax",17,80,80,3,30,0,0,210,458
35001,"Ajax--Pickering/Ajax--Pickering"," 96","Ajax",10,92,74,3,33,3,2,217,557
35001,"Ajax--Pickering/Ajax--Pickering"," 97","Ajax",16,94,99,2,42,0,2,255,465
35001,"Ajax--Pickering/Ajax--Pickering"," 98","Ajax",11,92,89,2,23,0,1,218,515
35001,"Ajax--Pickering/Ajax--Pickering"," 99","Ajax",13,111,90,3,23,0,1,241,498
35001,"Ajax--Pickering/Ajax--Pickering"," 100","Ajax",13,77,72,2,18,0,0,182,481
35001,"Ajax--Pickering/Ajax--Pickering"," 101","Ajax",20,88,70,2,28,2,0,210,469
35001,"Ajax--Pickering/Ajax--Pickering"," 102","Ajax",25,80,75,1,34,0,0,215,504
35001,"Ajax--Pickering/Ajax--Pickering"," 103","Ajax",26,42,82,1,37,1,1,190,417
35001,"Ajax--Pickering/Ajax--Pickering"," 104","Ajax",24,39,63,2,21,0,0,149,339
35001,"Ajax--Pickering/Ajax--Pickering"," 105","Ajax",20,117,80,0,29,1,0,247,542
35001,"Ajax--Pickering/Ajax--Pickering"," 106","Ajax",18,112,97,2,30,0,4,263,518
35001,"Ajax--Pickering/Ajax--Pickering"," 107","Ajax",25,80,105,5,27,1,1,244,453
35001,"Ajax--Pickering/Ajax--Pickering"," 108","Ajax",28,111,105,0,19,0,0,263,532
35001,"Ajax--Pickering/Ajax--Pickering"," 109","Ajax",27,126,99,2,26,1,0,281,508
35001,"Ajax--Pickering/Ajax--Pickering"," 110","Ajax",17,102,75,3,38,0,0,235,478
35001,"Ajax--Pickering/Ajax--Pickering"," 111","Ajax",24,81,75,0,23,4,1,208,371
35001,"Ajax--Pickering/Ajax--Pickering"," 112","Ajax",16,69,85,0,19,1,1,191,295
35001,"Ajax--Pickering/Ajax--Pickering"," 113","Ajax",18,89,126,3,13,0,1,250,443
35001,"Ajax--Pickering/Ajax--Pickering"," 114","Ajax",19,86,69,2,7,1,0,184,374
35001,"Ajax--Pickering/Ajax--Pickering"," 115","Ajax",24,94,71,5,27,2,0,223,412
35001,"Ajax--Pickering/Ajax--Pickering"," 116","Ajax",22,89,89,4,40,1,0,245,642
35001,"Ajax--Pickering/Ajax--Pickering"," 117","Ajax",12,53,35,1,22,0,2,125,407
35001,"Ajax--Pickering/Ajax--Pickering"," 118","Ajax",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 119","Ajax",26,81,80,2,33,1,1,224,451
35001,"Ajax--Pickering/Ajax--Pickering"," 120","Ajax",24,75,85,2,33,3,1,223,393
35001,"Ajax--Pickering/Ajax--Pickering"," 121","Ajax",32,66,84,2,23,3,1,211,332
35001,"Ajax--Pickering/Ajax--Pickering"," 122","Ajax",32,67,81,1,20,0,1,202,399
35001,"Ajax--Pickering/Ajax--Pickering"," 123","Ajax",25,86,83,1,31,0,0,226,376
35001,"Ajax--Pickering/Ajax--Pickering"," 123-1","Ajax",23,129,97,2,31,3,0,285,502
35001,"Ajax--Pickering/Ajax--Pickering"," 123-2","Ajax",5,142,107,3,44,1,0,302,651
35001,"Ajax--Pickering/Ajax--Pickering"," 123-3","Ajax",19,92,49,0,30,2,1,193,543
35001,"Ajax--Pickering/Ajax--Pickering"," 124","Ajax",18,114,83,0,12,0,0,227,404
35001,"Ajax--Pickering/Ajax--Pickering"," 124-1","Ajax",19,127,74,2,28,1,0,251,456
35001,"Ajax--Pickering/Ajax--Pickering"," 124-2","Ajax",30,139,64,0,24,0,0,257,463
35001,"Ajax--Pickering/Ajax--Pickering"," 125","Ajax",11,107,104,4,20,1,0,247,414
35001,"Ajax--Pickering/Ajax--Pickering"," 125-1","Ajax",9,117,67,0,12,0,0,205,345
35001,"Ajax--Pickering/Ajax--Pickering"," 126","Ajax",27,117,137,4,24,3,1,313,524
35001,"Ajax--Pickering/Ajax--Pickering"," 127","Ajax",27,103,124,1,11,3,2,271,506
35001,"Ajax--Pickering/Ajax--Pickering"," 128","Ajax",24,101,99,1,20,0,0,245,495
35001,"Ajax--Pickering/Ajax--Pickering"," 129","Ajax",38,72,77,1,21,1,0,210,400
35001,"Ajax--Pickering/Ajax--Pickering"," 130","Ajax",12,90,86,3,34,0,0,225,461
35001,"Ajax--Pickering/Ajax--Pickering"," 131","Ajax",19,71,75,2,22,1,0,190,356
35001,"Ajax--Pickering/Ajax--Pickering"," 132","Ajax",21,101,101,1,16,0,1,241,392
35001,"Ajax--Pickering/Ajax--Pickering"," 133","Ajax",15,83,81,2,38,1,2,222,472
35001,"Ajax--Pickering/Ajax--Pickering"," 134","Ajax",14,76,94,5,31,1,1,222,464
35001,"Ajax--Pickering/Ajax--Pickering"," 135","Ajax",20,42,72,0,38,0,1,173,414
35001,"Ajax--Pickering/Ajax--Pickering"," 136","Ajax",22,63,62,2,30,0,0,179,411
35001,"Ajax--Pickering/Ajax--Pickering"," 137","Ajax",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 138","Ajax",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 139","Ajax",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 140","Ajax",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 141","Ajax",Void/Supprimé,,,,,,,,
35001,"Ajax--Pickering/Ajax--Pickering"," 142","Ajax",19,44,62,0,27,0,1,153,446
35001,"Ajax--Pickering/Ajax--Pickering"," 143","Ajax",20,71,51,1,19,2,0,164,390
35001,"Ajax--Pickering/Ajax--Pickering"," 144","Ajax",18,77,84,1,25,0,1,206,418
35001,"Ajax--Pickering/Ajax--Pickering"," 145","Ajax",27,85,130,0,21,0,0,263,424
35001,"Ajax--Pickering/Ajax--Pickering"," 146","Ajax",15,59,93,1,6,0,1,175,311
35001,"Ajax--Pickering/Ajax--Pickering"," 147","Ajax",18,90,85,1,14,2,1,211,370
35001,"Ajax--Pickering/Ajax--Pickering"," 148","Ajax",17,98,81,2,9,0,0,207,353
35001,"Ajax--Pickering/Ajax--Pickering"," 149","Ajax",22,113,95,1,45,2,0,278,460
35001,"Ajax--Pickering/Ajax--Pickering"," 150","Ajax",25,51,83,2,37,1,0,199,372
35001,"Ajax--Pickering/Ajax--Pickering"," 151","Ajax",22,73,91,0,23,0,0,209,389
35001,"Ajax--Pickering/Ajax--Pickering"," 152","Ajax",21,89,107,0,18,0,0,235,383
35001,"Ajax--Pickering/Ajax--Pickering"," 153","Ajax",23,114,78,1,13,1,0,230,420
35001,"Ajax--Pickering/Ajax--Pickering"," 154","Ajax",10,92,70,4,12,0,0,188,280
35001,"Ajax--Pickering/Ajax--Pickering"," 155","Ajax",28,105,122,5,17,0,0,277,449
35001,"Ajax--Pickering/Ajax--Pickering"," 156","Ajax",28,98,115,6,26,0,2,275,478
35001,"Ajax--Pickering/Ajax--Pickering"," 157","Ajax",34,70,98,1,38,2,0,243,438
35001,"Ajax--Pickering/Ajax--Pickering"," 158","Ajax",18,68,73,4,24,0,0,187,384
35001,"Ajax--Pickering/Ajax--Pickering"," 159","Ajax",19,115,121,4,20,0,2,281,457
35001,"Ajax--Pickering/Ajax--Pickering"," 160","Ajax",27,101,146,6,24,1,0,305,446
35001,"Ajax--Pickering/Ajax--Pickering"," 161","Ajax",18,93,123,3,13,0,0,250,397
35001,"Ajax--Pickering/Ajax--Pickering"," 162","Ajax",32,116,129,6,18,0,1,302,503
35001,"Ajax--Pickering/Ajax--Pickering"," 163","Ajax",21,109,117,1,22,1,0,271,469
35001,"Ajax--Pickering/Ajax--Pickering"," 164","Ajax",11,56,49,1,15,0,0,132,250
35001,"Ajax--Pickering/Ajax--Pickering"," 165","Ajax",16,75,71,0,16,0,0,178,381
35001,"Ajax--Pickering/Ajax--Pickering"," 400","Pickering",3,41,48,2,16,7,6,123,156
35001,"Ajax--Pickering/Ajax--Pickering"," 401","Ajax",11,76,55,2,31,4,0,179,317
35001,"Ajax--Pickering/Ajax--Pickering"," 402","Ajax",12,95,86,1,19,3,0,216,289
35001,"Ajax--Pickering/Ajax--Pickering"," 403","Ajax",21,65,37,1,17,2,3,146,308
35001,"Ajax--Pickering/Ajax--Pickering"," 404","Ajax",22,87,70,1,17,0,5,202,306
35001,"Ajax--Pickering/Ajax--Pickering"," 405","Ajax",12,72,52,0,29,2,0,167,322
35001,"Ajax--Pickering/Ajax--Pickering"," 500","Mobile poll/Bureau itinérant",14,82,75,0,20,2,4,197,301
35001,"Ajax--Pickering/Ajax--Pickering"," 501","Mobile poll/Bureau itinérant",3,41,47,2,13,2,7,115,186
35001,"Ajax--Pickering/Ajax--Pickering"," 600","Pickering",15,182,150,3,10,0,0,360,
35001,"Ajax--Pickering/Ajax--Pickering"," 601","Pickering",9,108,71,1,6,1,1,197,
35001,"Ajax--Pickering/Ajax--Pickering"," 602","Ajax--Pickering",22,204,140,4,29,0,0,399,
35001,"Ajax--Pickering/Ajax--Pickering"," 603","Ajax",30,190,164,0,18,0,3,405,
35001,"Ajax--Pickering/Ajax--Pickering"," 604","Ajax",32,214,162,2,24,1,1,436,
35001,"Ajax--Pickering/Ajax--Pickering"," 605","Ajax",26,151,179,3,27,0,0,386,
35001,"Ajax--Pickering/Ajax--Pickering"," 606","Ajax",17,162,162,5,9,0,0,355,
35001,"Ajax--Pickering/Ajax--Pickering"," 607","Ajax",32,159,193,2,38,3,5,432,
35001,"Ajax--Pickering/Ajax--Pickering"," 608","Ajax",15,147,151,2,17,1,0,333,
35001,"Ajax--Pickering/Ajax--Pickering"," 609","Ajax",61,248,311,3,24,0,0,647,
35001,"Ajax--Pickering/Ajax--Pickering"," 610","Ajax--Pickering",10,46,50,2,2,0,0,110,
35001,"Ajax--Pickering/Ajax--Pickering"," 611","Ajax",3,206,139,2,15,1,3,369,
35001,"Ajax--Pickering/Ajax--Pickering"," 612","Pickering",25,185,118,4,18,1,1,352,
35001,"Ajax--Pickering/Ajax--Pickering",,Group 1/Groupe 1,6,50,34,1,2,0,3,96,133
35001,"Ajax--Pickering/Ajax--Pickering",,Group 2/Groupe 2,23,266,223,5,26,4,2,549,

