Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wess Dowsett,Chungsen Leung,Dylan Marando,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 55","Richmond Hill",16,46,14,60,1,137,281
35075,"Richmond Hill/Richmond Hill"," 56","Richmond Hill",18,82,14,151,1,266,529
35075,"Richmond Hill/Richmond Hill"," 57","Richmond Hill",12,25,13,54,1,105,188
35075,"Richmond Hill/Richmond Hill"," 57-1","Richmond Hill",7,60,12,95,3,177,384
35075,"Richmond Hill/Richmond Hill"," 58","Richmond Hill",36,104,29,108,1,278,510
35075,"Richmond Hill/Richmond Hill"," 59","Richmond Hill",23,68,27,92,0,210,439
35075,"Richmond Hill/Richmond Hill"," 60","Richmond Hill",12,64,9,101,4,190,366
35075,"Richmond Hill/Richmond Hill"," 61","Richmond Hill",14,92,19,138,3,266,464
35075,"Richmond Hill/Richmond Hill"," 62","Richmond Hill",19,70,12,61,1,163,354
35075,"Richmond Hill/Richmond Hill"," 63","Richmond Hill",10,79,26,68,0,183,431
35075,"Richmond Hill/Richmond Hill"," 64","Richmond Hill",20,66,18,98,0,202,388
35075,"Richmond Hill/Richmond Hill"," 65","Richmond Hill",28,98,32,133,1,292,540
35075,"Richmond Hill/Richmond Hill"," 66","Richmond Hill",26,58,18,57,1,160,289
35075,"Richmond Hill/Richmond Hill"," 67","Richmond Hill",21,60,29,100,0,210,406
35075,"Richmond Hill/Richmond Hill"," 68","Richmond Hill",14,34,25,72,3,148,286
35075,"Richmond Hill/Richmond Hill"," 68-1","Richmond Hill",18,50,24,76,1,169,314
35075,"Richmond Hill/Richmond Hill"," 69","Richmond Hill",31,63,27,101,1,223,433
35075,"Richmond Hill/Richmond Hill"," 70","Richmond Hill",17,54,15,67,1,154,277
35075,"Richmond Hill/Richmond Hill"," 70-1","Richmond Hill",23,53,29,62,1,168,348
35075,"Richmond Hill/Richmond Hill"," 71A","Richmond Hill",22,97,18,136,1,274,425
35075,"Richmond Hill/Richmond Hill"," 71B","Richmond Hill",17,104,14,132,3,270,431
35075,"Richmond Hill/Richmond Hill"," 72","Richmond Hill",13,32,2,52,0,99,180
35075,"Richmond Hill/Richmond Hill"," 73","Richmond Hill",26,31,14,50,0,121,388
35075,"Richmond Hill/Richmond Hill"," 74","Richmond Hill",10,45,15,65,1,136,314
35075,"Richmond Hill/Richmond Hill"," 75","Richmond Hill",13,47,21,68,0,149,338
35075,"Richmond Hill/Richmond Hill"," 76","Richmond Hill",31,71,27,71,0,200,497
35075,"Richmond Hill/Richmond Hill"," 77","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 78","Richmond Hill",23,43,11,47,0,124,343
35075,"Richmond Hill/Richmond Hill"," 79","Richmond Hill",22,44,20,66,1,153,342
35075,"Richmond Hill/Richmond Hill"," 80","Richmond Hill",19,31,12,69,0,131,345
35075,"Richmond Hill/Richmond Hill"," 81","Richmond Hill",22,60,18,55,2,157,366
35075,"Richmond Hill/Richmond Hill"," 82","Richmond Hill",32,71,20,110,0,233,434
35075,"Richmond Hill/Richmond Hill"," 83","Richmond Hill",19,45,23,57,0,144,337
35075,"Richmond Hill/Richmond Hill"," 84","Richmond Hill",22,42,9,73,0,146,354
35075,"Richmond Hill/Richmond Hill"," 85","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 86","Richmond Hill",41,62,13,88,1,205,556
35075,"Richmond Hill/Richmond Hill"," 87","Richmond Hill",18,88,17,107,0,230,453
35075,"Richmond Hill/Richmond Hill"," 88","Richmond Hill",14,34,11,62,0,121,244
35075,"Richmond Hill/Richmond Hill"," 89","Richmond Hill",23,67,8,145,2,245,488
35075,"Richmond Hill/Richmond Hill"," 90","Richmond Hill",40,62,17,121,1,241,540
35075,"Richmond Hill/Richmond Hill"," 91A","Richmond Hill",18,25,3,49,0,95,274
35075,"Richmond Hill/Richmond Hill"," 91B","Richmond Hill",16,38,6,61,0,121,343
35075,"Richmond Hill/Richmond Hill"," 92","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 93","Richmond Hill",38,48,8,85,2,181,432
35075,"Richmond Hill/Richmond Hill"," 94","Richmond Hill",26,37,14,96,2,175,441
35075,"Richmond Hill/Richmond Hill"," 95","Richmond Hill",8,28,3,37,0,76,240
35075,"Richmond Hill/Richmond Hill"," 96","Richmond Hill",17,84,19,149,0,269,495
35075,"Richmond Hill/Richmond Hill"," 97","Richmond Hill",27,69,15,94,1,206,508
35075,"Richmond Hill/Richmond Hill"," 98","Richmond Hill",29,106,7,111,0,253,527
35075,"Richmond Hill/Richmond Hill"," 99","Richmond Hill",9,37,7,47,0,100,277
35075,"Richmond Hill/Richmond Hill"," 99-1A","Richmond Hill",14,38,4,73,0,129,314
35075,"Richmond Hill/Richmond Hill"," 99-1B","Richmond Hill",13,55,10,86,0,164,372
35075,"Richmond Hill/Richmond Hill"," 99-2A","Richmond Hill",17,49,6,50,0,122,295
35075,"Richmond Hill/Richmond Hill"," 99-2B","Richmond Hill",27,60,1,54,1,143,321
35075,"Richmond Hill/Richmond Hill"," 99-3A","Richmond Hill",18,49,9,66,0,142,313
35075,"Richmond Hill/Richmond Hill"," 99-3B","Richmond Hill",27,92,12,70,3,204,409
35075,"Richmond Hill/Richmond Hill"," 100","Richmond Hill",28,68,7,63,1,167,389
35075,"Richmond Hill/Richmond Hill"," 100-1","Richmond Hill",17,44,4,66,2,133,254
35075,"Richmond Hill/Richmond Hill"," 100-2","Richmond Hill",35,78,9,124,2,248,530
35075,"Richmond Hill/Richmond Hill"," 100-3A","Richmond Hill",5,47,6,49,0,107,244
35075,"Richmond Hill/Richmond Hill"," 100-3B","Richmond Hill",12,74,6,80,0,172,333
35075,"Richmond Hill/Richmond Hill"," 101","Richmond Hill",23,81,6,105,0,215,526
35075,"Richmond Hill/Richmond Hill"," 102","Richmond Hill",15,44,7,73,1,140,315
35075,"Richmond Hill/Richmond Hill"," 102-1","Richmond Hill",10,45,12,44,1,112,281
35075,"Richmond Hill/Richmond Hill"," 103","Richmond Hill",13,70,7,64,0,154,371
35075,"Richmond Hill/Richmond Hill"," 103-1","Richmond Hill",28,69,9,119,2,227,518
35075,"Richmond Hill/Richmond Hill"," 104","Richmond Hill",25,80,10,123,1,239,560
35075,"Richmond Hill/Richmond Hill"," 105","Richmond Hill",26,62,12,113,1,214,512
35075,"Richmond Hill/Richmond Hill"," 106","Richmond Hill",29,89,8,112,0,238,491
35075,"Richmond Hill/Richmond Hill"," 107","Richmond Hill",10,66,7,93,1,177,414
35075,"Richmond Hill/Richmond Hill"," 107-1","Richmond Hill",11,39,11,52,0,113,254
35075,"Richmond Hill/Richmond Hill"," 108","Richmond Hill",12,82,7,84,0,185,403
35075,"Richmond Hill/Richmond Hill"," 109","Richmond Hill",28,90,23,113,0,254,528
35075,"Richmond Hill/Richmond Hill"," 110","Richmond Hill",19,72,10,110,1,212,463
35075,"Richmond Hill/Richmond Hill"," 110-1","Richmond Hill",11,54,10,95,0,170,434
35075,"Richmond Hill/Richmond Hill"," 111","Richmond Hill",26,69,5,107,1,208,483
35075,"Richmond Hill/Richmond Hill"," 112","Richmond Hill",11,58,4,114,1,188,506
35075,"Richmond Hill/Richmond Hill"," 113","Richmond Hill",15,81,2,98,0,196,471
35075,"Richmond Hill/Richmond Hill"," 114","Richmond Hill",14,52,4,120,2,192,549
35075,"Richmond Hill/Richmond Hill"," 115","Richmond Hill",10,44,8,63,1,126,380
35075,"Richmond Hill/Richmond Hill"," 116","Richmond Hill",17,81,1,78,0,177,427
35075,"Richmond Hill/Richmond Hill"," 117","Richmond Hill",9,54,10,96,2,171,465
35075,"Richmond Hill/Richmond Hill"," 118","Richmond Hill",4,63,4,68,0,139,343
35075,"Richmond Hill/Richmond Hill"," 118-1","Richmond Hill",15,57,4,67,1,144,371
35075,"Richmond Hill/Richmond Hill"," 119","Richmond Hill",2,83,5,124,1,215,562
35075,"Richmond Hill/Richmond Hill"," 120","Richmond Hill",11,89,15,118,0,233,477
35075,"Richmond Hill/Richmond Hill"," 121","Richmond Hill",10,70,5,102,2,189,374
35075,"Richmond Hill/Richmond Hill"," 122","Richmond Hill",4,82,5,93,0,184,450
35075,"Richmond Hill/Richmond Hill"," 123","Richmond Hill",5,93,12,135,0,245,564
35075,"Richmond Hill/Richmond Hill"," 124","Richmond Hill",9,72,4,98,1,184,424
35075,"Richmond Hill/Richmond Hill"," 125","Richmond Hill",17,80,6,93,0,196,542
35075,"Richmond Hill/Richmond Hill"," 126","Richmond Hill",10,45,4,67,1,127,374
35075,"Richmond Hill/Richmond Hill"," 126-1","Richmond Hill",9,59,8,71,0,147,419
35075,"Richmond Hill/Richmond Hill"," 127","Richmond Hill",19,77,29,105,3,233,544
35075,"Richmond Hill/Richmond Hill"," 128","Richmond Hill",3,121,16,75,0,215,549
35075,"Richmond Hill/Richmond Hill"," 129A","Richmond Hill",9,58,14,85,1,167,291
35075,"Richmond Hill/Richmond Hill"," 129B","Richmond Hill",7,66,7,76,2,158,292
35075,"Richmond Hill/Richmond Hill"," 130","Richmond Hill",29,80,13,125,0,247,494
35075,"Richmond Hill/Richmond Hill"," 131","Richmond Hill",13,57,25,121,4,220,388
35075,"Richmond Hill/Richmond Hill"," 132","Richmond Hill",20,78,19,134,4,255,464
35075,"Richmond Hill/Richmond Hill"," 133","Richmond Hill",14,71,22,87,0,194,411
35075,"Richmond Hill/Richmond Hill"," 134","Richmond Hill",21,62,19,149,2,253,449
35075,"Richmond Hill/Richmond Hill"," 135","Richmond Hill",19,79,20,170,1,289,518
35075,"Richmond Hill/Richmond Hill"," 136","Richmond Hill",19,67,25,151,1,263,508
35075,"Richmond Hill/Richmond Hill"," 137","Richmond Hill",34,66,17,97,1,215,554
35075,"Richmond Hill/Richmond Hill"," 137-1","Richmond Hill",22,91,9,89,2,213,437
35075,"Richmond Hill/Richmond Hill"," 137-2","Richmond Hill",15,41,4,26,1,87,183
35075,"Richmond Hill/Richmond Hill"," 137-3A","Richmond Hill",20,51,5,42,0,118,279
35075,"Richmond Hill/Richmond Hill"," 137-3B","Richmond Hill",13,38,2,57,0,110,334
35075,"Richmond Hill/Richmond Hill"," 137-4A","Richmond Hill",26,40,17,56,0,139,378
35075,"Richmond Hill/Richmond Hill"," 137-4B","Richmond Hill",29,46,15,58,0,148,412
35075,"Richmond Hill/Richmond Hill"," 138","Richmond Hill",41,124,18,119,1,303,580
35075,"Richmond Hill/Richmond Hill"," 139A","Richmond Hill",14,48,9,86,1,158,439
35075,"Richmond Hill/Richmond Hill"," 139B","Mobile poll/Bureau itinérant",13,81,6,85,0,185,486
35075,"Richmond Hill/Richmond Hill"," 140","Richmond Hill",13,54,2,86,1,156,435
35075,"Richmond Hill/Richmond Hill"," 141","Richmond Hill",4,24,3,41,0,72,218
35075,"Richmond Hill/Richmond Hill"," 142","Richmond Hill",10,54,3,74,0,141,405
35075,"Richmond Hill/Richmond Hill"," 143","Richmond Hill",12,56,7,101,0,176,465
35075,"Richmond Hill/Richmond Hill"," 144","Richmond Hill",14,50,11,64,1,140,406
35075,"Richmond Hill/Richmond Hill"," 144-1","Richmond Hill",11,24,2,41,0,78,213
35075,"Richmond Hill/Richmond Hill"," 144-2","Richmond Hill",24,85,5,82,1,197,470
35075,"Richmond Hill/Richmond Hill"," 144-3","Richmond Hill",18,49,6,84,2,159,408
35075,"Richmond Hill/Richmond Hill"," 144-4","Richmond Hill",19,64,9,111,1,204,385
35075,"Richmond Hill/Richmond Hill"," 145","Richmond Hill",27,75,7,127,1,237,535
35075,"Richmond Hill/Richmond Hill"," 146","Richmond Hill",33,67,7,101,0,208,568
35075,"Richmond Hill/Richmond Hill"," 147","Richmond Hill",12,45,3,76,1,137,317
35075,"Richmond Hill/Richmond Hill"," 147-1","Richmond Hill",17,60,2,74,0,153,316
35075,"Richmond Hill/Richmond Hill"," 148","Richmond Hill",17,61,13,61,1,153,418
35075,"Richmond Hill/Richmond Hill"," 149","Richmond Hill",23,67,7,92,0,189,435
35075,"Richmond Hill/Richmond Hill"," 150","Richmond Hill",13,71,12,122,0,218,505
35075,"Richmond Hill/Richmond Hill"," 151","Richmond Hill",6,35,4,69,1,115,283
35075,"Richmond Hill/Richmond Hill"," 152","Richmond Hill",21,75,9,134,2,241,548
35075,"Richmond Hill/Richmond Hill"," 153","Richmond Hill",14,68,6,108,0,196,467
35075,"Richmond Hill/Richmond Hill"," 154","Richmond Hill",16,62,14,81,0,173,541
35075,"Richmond Hill/Richmond Hill"," 155","Richmond Hill",23,78,8,108,0,217,548
35075,"Richmond Hill/Richmond Hill"," 156A","Richmond Hill",7,33,5,53,1,99,257
35075,"Richmond Hill/Richmond Hill"," 156B","Richmond Hill",12,46,4,69,0,131,367
35075,"Richmond Hill/Richmond Hill"," 157","Richmond Hill",11,73,5,89,0,178,486
35075,"Richmond Hill/Richmond Hill"," 158","Richmond Hill",10,28,4,57,0,99,223
35075,"Richmond Hill/Richmond Hill"," 159","Richmond Hill",3,37,4,72,0,116,302
35075,"Richmond Hill/Richmond Hill"," 160","Richmond Hill",7,47,8,86,0,148,363
35075,"Richmond Hill/Richmond Hill"," 161","Richmond Hill",22,61,9,81,1,174,393
35075,"Richmond Hill/Richmond Hill"," 162","Richmond Hill",10,27,3,47,0,87,229
35075,"Richmond Hill/Richmond Hill"," 163","Richmond Hill",11,67,0,97,3,178,473
35075,"Richmond Hill/Richmond Hill"," 164","Richmond Hill",23,60,5,108,1,197,423
35075,"Richmond Hill/Richmond Hill"," 165","Richmond Hill",26,63,7,110,2,208,521
35075,"Richmond Hill/Richmond Hill"," 166A","Richmond Hill",10,34,5,58,1,108,297
35075,"Richmond Hill/Richmond Hill"," 166B","Richmond Hill",25,51,4,97,1,178,399
35075,"Richmond Hill/Richmond Hill"," 400","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 401","Richmond Hill",15,65,3,94,0,177,262
35075,"Richmond Hill/Richmond Hill"," 402","Richmond Hill",32,57,9,44,2,144,288
35075,"Richmond Hill/Richmond Hill"," 403","Richmond Hill",18,81,11,120,0,230,321
35075,"Richmond Hill/Richmond Hill"," 404","Richmond Hill",22,67,11,75,3,178,298
35075,"Richmond Hill/Richmond Hill"," 405","Richmond Hill",25,30,13,43,2,113,231
35075,"Richmond Hill/Richmond Hill"," 406","Richmond Hill",21,14,7,36,0,78,182
35075,"Richmond Hill/Richmond Hill"," 407","Richmond Hill",14,47,10,65,0,136,265
35075,"Richmond Hill/Richmond Hill"," 408","Richmond Hill",13,89,8,106,1,217,441
35075,"Richmond Hill/Richmond Hill"," 409","Richmond Hill",8,76,13,91,1,189,287
35075,"Richmond Hill/Richmond Hill"," 410","Richmond Hill",6,39,2,28,1,76,348
35075,"Richmond Hill/Richmond Hill"," 411","Richmond Hill",9,47,8,46,0,110,382
35075,"Richmond Hill/Richmond Hill"," 412","Richmond Hill",28,50,15,56,2,151,305
35075,"Richmond Hill/Richmond Hill"," 413","Richmond Hill",29,50,12,67,0,158,409
35075,"Richmond Hill/Richmond Hill"," 500A","Mobile poll/Bureau itinérant",7,16,2,43,1,69,194
35075,"Richmond Hill/Richmond Hill"," 500B","Mobile poll/Bureau itinérant",5,11,1,18,0,35,77
35075,"Richmond Hill/Richmond Hill"," 600","Richmond Hill",21,246,46,221,1,535,
35075,"Richmond Hill/Richmond Hill"," 601","Richmond Hill",36,223,55,292,4,610,
35075,"Richmond Hill/Richmond Hill"," 602","Richmond Hill",45,155,45,208,6,459,
35075,"Richmond Hill/Richmond Hill"," 603","Richmond Hill",44,201,41,218,1,505,
35075,"Richmond Hill/Richmond Hill"," 604","Richmond Hill",53,201,42,286,0,582,
35075,"Richmond Hill/Richmond Hill"," 605","Richmond Hill",21,189,14,273,1,498,
35075,"Richmond Hill/Richmond Hill"," 606","Richmond Hill",40,194,36,297,1,568,
35075,"Richmond Hill/Richmond Hill"," 607","Richmond Hill",34,197,35,312,3,581,
35075,"Richmond Hill/Richmond Hill"," 608","Richmond Hill",42,221,25,269,3,560,
35075,"Richmond Hill/Richmond Hill",,Group 1/Groupe 1,3,26,5,20,2,56,99
35075,"Richmond Hill/Richmond Hill",,Group 2/Groupe 2,43,199,37,256,2,537,

