Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Comartin,Denise Ghanam,Steve Mastroianni,Kyle Prestanski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 119","Windsor",97,14,23,11,0,145,327
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 120","Windsor",97,14,17,12,1,141,315
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 121","Windsor",84,28,25,10,4,151,327
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 122","Windsor",86,30,30,14,0,160,333
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 123","Windsor",88,22,7,7,1,125,344
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 124","Windsor",69,20,26,12,1,128,377
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 125","Windsor",89,19,24,6,0,138,369
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 126","Windsor",78,23,18,6,0,125,376
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 127","Windsor",76,25,19,8,2,130,271
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 128","Windsor",71,19,20,17,2,129,295
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 129","Windsor",74,23,18,8,2,125,295
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 130","Windsor",98,46,44,12,4,204,365
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 131A","Windsor",44,19,24,3,1,91,291
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 131B","Windsor",46,22,27,5,1,101,287
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 132","Windsor",54,28,21,11,0,114,355
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 133","Windsor",76,10,32,5,0,123,391
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 134","Windsor",61,31,14,4,0,110,328
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 135","Windsor",53,16,14,4,0,87,467
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 136","Windsor",21,10,9,8,1,49,199
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 137","Windsor",63,19,17,7,1,107,327
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 138","Windsor",49,16,14,8,0,87,263
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 139","Windsor",80,35,32,16,1,164,326
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 140","Windsor",72,36,20,3,0,131,253
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 141","Windsor",85,60,56,5,4,210,386
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 142","Windsor",110,74,72,15,0,271,476
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 143","Windsor",77,23,21,8,0,129,368
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 144","Windsor",101,39,39,14,6,199,387
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 145","Windsor",76,31,24,4,0,135,378
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 146","Windsor",111,46,37,17,2,213,398
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 147","Windsor",119,39,36,10,2,206,370
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 148","Windsor",69,21,25,7,1,123,264
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 149","Windsor",83,16,49,5,5,158,400
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 150","Windsor",91,49,44,5,0,189,419
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 151","Windsor",41,9,11,0,0,61,280
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 152A","Windsor",44,19,15,3,0,81,306
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 152B","Windsor",56,19,16,8,5,104,303
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 153","Windsor",75,42,35,8,1,161,380
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 154","Windsor",101,34,41,12,1,189,419
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 155","Windsor",116,41,34,1,3,195,418
