Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon S. Earle,Gerald Keddy,Joe Larkin,Michael Oddy,Bill Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 26","Seffernsville",19,70,1,5,26,1,122,220
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 27","Windsor Road",79,77,2,16,48,2,224,408
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 28","Chester Grant",93,100,1,15,40,1,250,462
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 29","Chester Basin--Borgels Point",93,102,0,22,54,1,272,455
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 30","Lower Grant Road--Shaw Island",86,103,6,18,59,2,274,463
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 31","Robinsons Corner",78,116,2,17,88,0,301,479
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 32","Chester",70,75,2,8,41,0,196,367
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 33","East Chester",79,83,1,20,61,1,245,364
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 34","Chester",76,67,0,14,86,3,246,486
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 35","Chester",54,55,0,9,68,0,186,338
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 36","Tancook Island",13,35,0,6,7,1,62,138
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 37","Gold River",72,72,0,6,38,0,188,390
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 38","Western Shore",92,93,1,16,41,2,245,463
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 39","Western Shore",57,58,4,7,29,2,157,251
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 40","Martins Point--Martins River",52,43,0,9,34,0,138,250
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 41","Simms Settlement",114,71,0,18,29,0,232,414
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 42","Fox Point",96,78,0,21,55,1,251,462
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 43","East River",44,61,1,9,57,2,174,244
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 44","Mill Cove",75,47,6,13,27,0,168,332
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 45","Northwest Cove--Aspotogen",75,31,3,15,53,1,178,254
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 46","Blandford--Bayswater",90,54,2,19,53,1,219,322
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 47","Barss Corner",78,81,8,13,46,0,226,408
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 48","Maplewood",48,84,6,8,36,0,182,328
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 49","Newburne",63,34,3,12,30,0,142,246
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 50","New Cornwall",100,93,1,25,32,1,252,435
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 51","North River",34,54,0,3,20,0,111,250
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 52","New Germany",54,69,0,10,18,0,151,280
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 53","Simpsons Corner",80,83,4,18,57,0,242,423
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 54","Stanley Section--Watford",45,82,1,12,40,0,180,313
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 55","Upper Northfield",56,105,2,15,51,0,229,398
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 56","Lower Northfield",43,72,1,7,46,1,170,278
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 57","Branch LaHave--New Canada",58,87,0,9,53,0,207,416
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 58","Hemford--Nineveh",83,94,5,9,46,2,239,464
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 59","Clearland",29,40,1,3,31,0,104,208
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 60","Martins River",67,90,0,11,42,0,210,367
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 61","Indian Point",43,72,0,15,68,0,198,296
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 62","Mahone Bay",92,79,1,19,91,0,282,471
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 63","Mahone Bay",64,73,3,19,59,2,220,417
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 64","Maders Cove",52,89,3,17,70,2,233,347
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 65","Blockhouse",42,73,0,12,47,1,175,301
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 66","Fauxburg",90,108,3,15,52,3,271,463
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 67","Maitland",87,84,1,14,54,1,241,426
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 68","West Northfield--Cookville",26,43,2,5,45,0,121,252
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 69","Pine Grove",108,103,0,12,58,3,284,517
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 70","Oak Hill",71,101,4,15,51,2,244,405
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 71","Lillydale--Northwest",27,58,0,4,24,1,114,217
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 72","First/Second Peninsula",51,48,5,5,29,0,138,196
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 73","Garden Lots--Heckmans Island",89,49,3,8,55,1,205,352
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 74","Blue Rock",85,48,0,10,28,0,171,322
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 75","Centre",100,95,1,14,37,0,247,427
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 76","Lunenburg",61,93,2,21,64,2,243,414
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 77","Lunenburg",90,113,0,22,87,3,315,407
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 78","Lunenburg",44,83,1,9,79,0,216,396
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 79","Lunenburg",73,62,0,16,43,2,196,316
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 80","Lunenburg",53,32,0,12,54,0,151,271
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 81","Masons Beach",67,59,0,12,49,0,187,325
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 82","Indian Path--Rosebay",57,50,0,2,38,0,147,273
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 83","Rhodes Corner",76,84,2,15,52,2,231,391
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 84","Dayspring",74,90,2,18,41,1,226,369
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 85","Upper LaHave--Crouses Settlement",57,70,7,11,39,1,185,329
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 86","Middle/East LaHave",67,40,1,11,39,0,158,243
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 87","Riverport",68,69,0,8,51,0,196,327
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 88","Upper Kingsburg",66,40,1,10,55,0,172,294
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 89","Bridgewater",67,46,2,7,30,0,152,350
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 90","Bridgewater",90,37,0,8,25,3,163,388
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 91","Bridgewater",109,49,0,13,51,2,224,424
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 92","Bridgewater",58,84,5,7,56,3,213,376
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 92-1","Bridgewater",74,80,1,11,44,3,213,383
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 93","Bridgewater",64,89,3,10,63,1,230,440
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 93-1","Bridgewater",51,55,0,2,44,0,152,263
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 94","Bridgewater",62,109,0,11,77,0,259,414
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 95","Bridgewater",35,19,2,6,29,0,91,216
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 96","Bridgewater",66,81,1,17,60,0,225,356
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 97","Bridgewater",74,48,2,14,41,0,179,398
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 98","Bridgewater",46,55,1,10,72,1,185,323
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 99","Bridgewater",91,45,3,8,50,1,198,465
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 100","Bridgewater",48,72,1,15,56,2,194,388
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 101","Bridgewater",71,41,1,14,64,1,192,370
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 102","Bridgewater",61,43,1,8,45,1,159,389
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 103","Bridgewater",67,54,1,11,48,1,182,370
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 104","Bridgewater",75,127,1,9,99,1,312,475
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 105","Auburndale--Upper Branch",87,88,2,20,40,1,238,482
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 106","Lower Branch",68,78,4,7,44,0,201,382
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 107","Wileville",45,61,0,4,43,0,153,308
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 108","Bakers Settlement",55,77,0,9,37,1,179,353
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 109","Newcombville",50,67,1,4,27,0,149,258
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 110","Wileville",72,67,1,12,52,2,206,432
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 111","Chelsea",61,124,2,6,27,0,220,374
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 112","Waterloo",24,42,2,10,22,1,101,162
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 113","Conquerall Bank",77,91,5,11,104,1,289,456
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 114","Pleasantville",67,61,2,12,46,0,188,306
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 115","Pleasantville--West LaHave",55,68,0,19,82,1,225,357
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 116","LaHave--Dublin Shore--Pentz",41,46,0,13,57,0,157,231
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 117","Hebbville",63,77,0,9,76,0,225,386
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 118","Fancy Lake",60,38,0,4,38,1,141,326
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 119","Conquerall Mills",56,105,1,9,80,2,253,454
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 120","Lake Centre--New Cumberland",39,22,3,10,25,0,99,241
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 121","West Dublin--LaHave Island",73,46,1,22,55,2,199,332
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 122","Hebbs Cross",59,69,2,6,42,0,178,313
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 123","Italy Cross",55,52,0,9,39,0,155,312
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 124","Petite Rivière--Crousetown",83,74,0,18,57,0,232,356
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 125","Camperdown",33,64,0,5,35,0,137,252
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 126","Middlewood",52,29,1,5,47,0,134,319
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 127","Voglers Cove--Broad Cove--Cherry Hill",69,85,0,9,45,0,208,340
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 128","North Brookfield",28,90,2,2,23,0,145,282
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 129","Kempt",33,41,0,6,38,0,118,227
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 130","Westfield--South Brookfield",73,54,0,4,24,2,157,343
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 131","Greenfield--Middlefield",79,110,1,15,94,0,299,499
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 132","Caledonia",58,89,2,13,49,3,214,396
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 133","Charleston",51,34,1,1,9,1,97,138
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 134","Mill Village--Danesville",113,89,3,11,22,2,240,449
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 135","Port Medway",39,51,0,7,25,0,122,198
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 136","West Berlin",32,31,0,8,23,0,94,181
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 137","Milton",64,56,1,9,13,1,144,270
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 138","Milton",104,89,1,8,22,0,224,400
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 139","Sandy Cove",92,87,1,6,23,0,209,375
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 140","Brooklyn",109,116,2,15,40,0,282,448
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 141","Beach Meadows",48,45,0,6,36,0,135,229
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 142","Milton",102,78,3,4,41,1,229,483
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 143","Liverpool Harbour",95,97,2,14,37,3,248,502
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 144","Liverpool",74,50,1,8,36,1,170,372
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 145","Mersey Point",92,74,1,10,46,1,224,338
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 146","Liverpool",76,61,1,6,13,2,159,346
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 147","Liverpool",107,73,1,7,48,3,239,437
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 148","Liverpool",91,70,0,4,32,0,197,398
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 149","Liverpool",73,75,0,7,24,0,179,372
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 150","Western Head",68,41,1,8,32,1,151,300
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 151","Hunts Point",38,44,2,3,15,1,103,242
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 152","Summerville Centre",34,47,0,4,28,1,114,208
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 153","Port Joli--Port Mouton",79,90,2,4,53,2,230,407
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 154","South West Port Mouton",38,16,2,3,14,0,73,162
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 155","Port Joli",Void/Supprimé,,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 156","Middle Ohio",57,86,3,4,89,0,239,406
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 157","Jordan Falls",99,100,5,5,72,0,281,518
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 158","Shelburne",80,89,3,2,81,0,255,417
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 159","Shelburne",65,73,3,11,59,0,211,417
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 160","Shelburne",Void/Supprimé,,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 161","Shelburne",56,55,1,3,59,1,175,303
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 162","Shelburne",71,56,0,3,48,0,178,434
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 163","Birchtown--Gunning Cove",74,100,7,4,54,2,241,422
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 164","Sandy Point",63,84,1,5,87,1,241,466
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 165","Jordan Bay",32,33,1,2,30,0,98,160
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 166","Clyde River--Port Saxon",40,41,4,5,36,0,126,223
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 167","North West Harbour--Ingomar",52,51,5,3,20,0,131,271
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 168","Sable River",50,43,1,5,43,1,143,245
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 169","Little Harbour",50,23,1,3,13,1,91,181
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 170","West Green Harbour",36,44,2,10,25,0,117,213
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 171","East Green Harbour",55,36,4,4,27,1,127,259
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 172","Lockeport",64,64,9,11,33,0,181,321
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 173","Lockeport",61,42,8,6,34,2,153,319
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 174","Thomasville",46,45,6,7,40,2,146,310
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 175","Charlesville--Upper/Central Woods Harbour",57,97,19,3,17,0,193,384
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 176","Central Woods Harbour",66,113,32,8,17,0,236,492
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 177","Lower Woods Harbour",Void/Supprimé,,,,,,,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 178","Shag Harbour",29,37,33,2,23,0,124,185
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 179","Lower Shag Harbour",53,73,8,5,17,1,157,403
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 180","Barrington Passage",47,70,11,5,30,1,164,373
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 181","Crowell",61,55,5,8,55,1,185,371
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 182","Barrington West",48,39,2,2,19,0,110,304
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 183","Barrington",54,78,4,12,45,1,194,438
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 184","Port La Tour",50,57,8,2,21,1,139,263
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 185","Baccaro",24,37,2,1,12,1,77,209
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 186","North East Point",40,77,8,10,37,1,173,334
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 186-1","Barrington",39,51,11,2,20,0,123,263
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 187","Stoney Island",52,100,18,4,34,0,208,436
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 188","Newellton",51,109,11,3,32,1,207,420
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 189","Lower Clarks Harbour",35,60,9,5,42,0,151,323
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 189-1","Barrington",29,48,7,3,21,0,108,217
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 190","West Head",32,66,12,3,46,1,160,333
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 191","Clark's Harbour",46,54,6,4,43,0,153,376
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 500A","Mobile poll/Bureau itinérant",9,33,0,3,12,1,58,154
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 500B","Mobile poll/Bureau itinérant",14,31,2,3,12,3,65,126
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 501A","Mobile poll/Bureau itinérant",10,25,3,4,16,1,59,77
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 501B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,64
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 502","Mobile poll/Bureau itinérant",12,33,2,3,19,7,76,126
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 600","Queensland",77,73,2,14,60,0,226,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 601","Tantallon--Bayside",55,51,0,12,33,0,151,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 602","Chester--Mill Road",19,86,0,0,17,0,122,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 603","Chester--Martins Point",91,151,2,20,117,0,381,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 604","Blandford",41,35,0,13,36,0,125,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 605","New Germany",47,63,1,5,44,0,160,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 606","Mahone Bay",46,65,0,12,63,1,187,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 607","Upper Kingsburg",65,81,0,16,51,1,214,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 608","Bridgewater",82,116,1,10,90,1,300,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 609","Auburndale--Waterloo",18,25,0,5,16,0,64,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 610","Hebbville--Cherry Hill",25,44,0,9,34,0,112,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 611","Pleasant River--Middlefield",12,30,1,5,16,1,65,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 612","Milton--Danesville",38,32,0,3,14,2,89,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 613","Liverpool--Port Jolie",67,106,1,2,43,1,220,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 614","Shelburne",40,55,6,5,57,1,164,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 615","Lockeport",19,31,2,1,14,0,67,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's"," 616","Barrington",30,56,4,2,35,0,127,
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's",,Group 1/Groupe 1,33,73,1,5,19,3,134,363
12009,"South Shore--St. Margaret's/South Shore--St. Margaret's",,Group 2/Groupe 2,246,268,5,25,200,15,759,

