Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude Bachand,Guy Berger,Marie-Josée Mercier,Philippe Refghi,Claire Ste-Marie,Pierre Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Saint-Jean/Saint-Jean"," 47","Saint-Athanase",97,1,42,19,37,3,1,200,341
24064,"Saint-Jean/Saint-Jean"," 48","Mont-Saint-Grégoire",122,0,48,24,54,17,3,268,398
24064,"Saint-Jean/Saint-Jean"," 49","Mont-Saint-Grégoire",126,2,34,25,35,26,2,250,354
24064,"Saint-Jean/Saint-Jean"," 50","Saint-Grégoire-le-Grand",166,0,33,38,55,9,9,310,427
24064,"Saint-Jean/Saint-Jean"," 51","Saint-Grégoire-le-Grand",111,37,1,5,20,56,4,234,391
24064,"Saint-Jean/Saint-Jean"," 52","Mont-Saint-Grégoire",94,4,23,11,23,4,10,169,279
24064,"Saint-Jean/Saint-Jean"," 53","Mont-Saint-Grégoire",136,1,37,15,28,30,8,255,410
24064,"Saint-Jean/Saint-Jean"," 54","Sainte-Brigide-d'Iberville",92,2,45,16,32,8,5,200,303
24064,"Saint-Jean/Saint-Jean"," 55","Sainte-Brigide-d'Iberville",129,2,46,22,46,7,5,257,428
24064,"Saint-Jean/Saint-Jean"," 56","Sainte-Brigide-d'Iberville",77,1,37,15,25,11,2,168,283
24064,"Saint-Jean/Saint-Jean"," 57","Saint-Alexandre",74,2,27,22,34,6,2,167,264
24064,"Saint-Jean/Saint-Jean"," 58","Saint-Alexandre",126,3,48,40,53,17,5,292,450
24064,"Saint-Jean/Saint-Jean"," 59","Saint-Alexandre",116,4,32,33,18,11,6,220,347
24064,"Saint-Jean/Saint-Jean"," 60","Saint-Alexandre",110,1,48,19,33,18,10,239,398
24064,"Saint-Jean/Saint-Jean"," 61","Saint-Alexandre",93,2,22,26,17,3,2,165,268
24064,"Saint-Jean/Saint-Jean"," 62","Sabrevois",143,2,49,22,50,11,4,281,483
24064,"Saint-Jean/Saint-Jean"," 63","Sabrevois",124,1,39,19,26,17,5,231,380
24064,"Saint-Jean/Saint-Jean"," 64","Sabrevois",130,1,25,14,29,6,7,212,323
24064,"Saint-Jean/Saint-Jean"," 65","Sabrevois",107,1,32,19,23,6,2,190,329
24064,"Saint-Jean/Saint-Jean"," 66","L'Acadie",63,1,29,22,9,4,0,128,251
24064,"Saint-Jean/Saint-Jean"," 67","L'Acadie",50,1,26,11,19,5,1,113,243
24064,"Saint-Jean/Saint-Jean"," 68","L'Acadie",83,0,31,39,33,7,5,198,317
24064,"Saint-Jean/Saint-Jean"," 69","L'Acadie",128,1,44,24,21,8,4,230,465
24064,"Saint-Jean/Saint-Jean"," 70","L'Acadie",140,0,37,32,49,20,6,284,442
24064,"Saint-Jean/Saint-Jean"," 71","L'Acadie",113,1,30,21,47,7,1,220,358
24064,"Saint-Jean/Saint-Jean"," 72","L'Acadie",130,2,45,31,26,6,7,247,433
24064,"Saint-Jean/Saint-Jean"," 73","L'Acadie",101,0,26,11,42,9,3,192,292
24064,"Saint-Jean/Saint-Jean"," 73-1","L'Acadie",139,2,29,28,32,11,2,243,363
24064,"Saint-Jean/Saint-Jean"," 74","L'Acadie",134,0,49,32,64,6,3,288,436
24064,"Saint-Jean/Saint-Jean"," 75","L'Acadie",120,2,37,30,33,9,6,237,387
24064,"Saint-Jean/Saint-Jean"," 76","L'Acadie",106,0,31,27,51,15,4,234,345
24064,"Saint-Jean/Saint-Jean"," 77","Saint-Jean-sur-Richelieu",96,4,38,23,36,2,7,206,347
24064,"Saint-Jean/Saint-Jean"," 78","Saint-Jean-sur-Richelieu",83,0,35,23,34,8,1,184,314
24064,"Saint-Jean/Saint-Jean"," 79","Saint-Jean-sur-Richelieu",96,0,39,9,54,3,1,202,337
24064,"Saint-Jean/Saint-Jean"," 80","Saint-Jean-sur-Richelieu",120,2,24,30,43,14,2,235,502
24064,"Saint-Jean/Saint-Jean"," 81","Saint-Jean-sur-Richelieu",134,2,49,18,37,7,5,252,399
24064,"Saint-Jean/Saint-Jean"," 82","Saint-Jean-sur-Richelieu",81,2,48,11,50,7,1,200,372
24064,"Saint-Jean/Saint-Jean"," 83","Saint-Jean-sur-Richelieu",131,1,44,25,47,5,1,254,494
24064,"Saint-Jean/Saint-Jean"," 84","Saint-Jean-sur-Richelieu",52,2,31,4,21,3,3,116,296
24064,"Saint-Jean/Saint-Jean"," 85","Saint-Jean-sur-Richelieu",65,1,18,9,25,8,2,128,307
24064,"Saint-Jean/Saint-Jean"," 86","Saint-Jean-sur-Richelieu",77,24,1,19,18,5,2,146,325
24064,"Saint-Jean/Saint-Jean"," 87","Saint-Jean-sur-Richelieu",109,0,64,19,47,9,9,257,456
24064,"Saint-Jean/Saint-Jean"," 88","Saint-Jean-sur-Richelieu",68,2,29,11,49,8,2,169,291
24064,"Saint-Jean/Saint-Jean"," 88-1","Saint-Jean-sur-Richelieu",77,3,53,22,45,4,5,209,358
24064,"Saint-Jean/Saint-Jean"," 89","Saint-Jean-sur-Richelieu",39,2,43,4,29,0,2,119,302
24064,"Saint-Jean/Saint-Jean"," 90","Saint-Jean-sur-Richelieu",94,3,39,22,31,5,1,195,365
24064,"Saint-Jean/Saint-Jean"," 91","Saint-Jean-sur-Richelieu",70,0,20,11,16,6,2,125,337
24064,"Saint-Jean/Saint-Jean"," 92","Saint-Jean-sur-Richelieu",81,2,42,18,41,5,5,194,385
24064,"Saint-Jean/Saint-Jean"," 93","Saint-Jean-sur-Richelieu",93,0,26,15,20,5,1,160,332
24064,"Saint-Jean/Saint-Jean"," 94","Saint-Jean-sur-Richelieu",112,1,22,25,22,2,1,185,428
24064,"Saint-Jean/Saint-Jean"," 95","Saint-Jean-sur-Richelieu",100,0,44,28,30,10,3,215,386
24064,"Saint-Jean/Saint-Jean"," 96","Saint-Jean-sur-Richelieu",82,2,51,20,69,7,4,235,338
24064,"Saint-Jean/Saint-Jean"," 97","Saint-Jean-sur-Richelieu",111,2,28,40,38,9,8,236,392
24064,"Saint-Jean/Saint-Jean"," 98","Saint-Jean-sur-Richelieu",81,2,33,21,39,7,0,183,320
24064,"Saint-Jean/Saint-Jean"," 99","Saint-Jean-sur-Richelieu",88,3,37,25,37,8,4,202,298
24064,"Saint-Jean/Saint-Jean"," 100","Saint-Jean-sur-Richelieu",148,1,48,29,58,4,2,290,443
24064,"Saint-Jean/Saint-Jean"," 101","Saint-Jean-sur-Richelieu",90,3,30,20,44,15,2,204,336
24064,"Saint-Jean/Saint-Jean"," 102","Saint-Jean-sur-Richelieu",88,2,24,13,46,5,2,180,340
24064,"Saint-Jean/Saint-Jean"," 103","Saint-Jean-sur-Richelieu",146,1,21,31,60,12,10,281,496
24064,"Saint-Jean/Saint-Jean"," 104","Saint-Jean-sur-Richelieu",115,4,24,19,45,12,4,223,381
24064,"Saint-Jean/Saint-Jean"," 105","Saint-Jean-sur-Richelieu",102,1,27,23,42,7,6,208,349
24064,"Saint-Jean/Saint-Jean"," 106","Saint-Jean-sur-Richelieu",108,2,33,33,57,15,2,250,385
24064,"Saint-Jean/Saint-Jean"," 107","Saint-Jean-sur-Richelieu",92,0,44,23,46,9,5,219,370
24064,"Saint-Jean/Saint-Jean"," 108","Saint-Jean-sur-Richelieu",121,7,31,25,26,16,3,229,401
24064,"Saint-Jean/Saint-Jean"," 109","Saint-Jean-sur-Richelieu",102,2,25,11,25,9,5,179,415
24064,"Saint-Jean/Saint-Jean"," 110","Saint-Jean-sur-Richelieu",100,2,19,18,23,4,6,172,385
24064,"Saint-Jean/Saint-Jean"," 111","Saint-Jean-sur-Richelieu",90,0,18,19,25,7,1,160,366
24064,"Saint-Jean/Saint-Jean"," 112","Saint-Jean-sur-Richelieu",135,0,48,36,28,12,2,261,425
24064,"Saint-Jean/Saint-Jean"," 113","Saint-Jean-sur-Richelieu",88,1,31,10,25,6,8,169,264
24064,"Saint-Jean/Saint-Jean"," 114","Saint-Jean-sur-Richelieu",127,1,29,25,56,8,5,251,439
24064,"Saint-Jean/Saint-Jean"," 115","Saint-Jean-sur-Richelieu",94,2,37,25,45,6,3,212,326
24064,"Saint-Jean/Saint-Jean"," 115-1","Saint-Jean-sur-Richelieu",100,1,12,15,26,9,2,165,308
24064,"Saint-Jean/Saint-Jean"," 115-2","Saint-Jean-sur-Richelieu",93,3,35,27,27,8,2,195,325
24064,"Saint-Jean/Saint-Jean"," 116","Saint-Jean-sur-Richelieu",64,1,17,19,13,4,4,122,276
24064,"Saint-Jean/Saint-Jean"," 116-1","Saint-Jean-sur-Richelieu",82,3,22,25,16,8,5,161,369
24064,"Saint-Jean/Saint-Jean"," 117","Saint-Jean-sur-Richelieu",85,0,15,12,23,6,1,142,344
24064,"Saint-Jean/Saint-Jean"," 118","Saint-Jean-sur-Richelieu",84,1,19,13,20,1,4,142,403
24064,"Saint-Jean/Saint-Jean"," 119","Saint-Jean-sur-Richelieu",79,0,12,15,29,7,3,145,320
24064,"Saint-Jean/Saint-Jean"," 120","Saint-Jean-sur-Richelieu",56,1,11,10,16,4,2,100,237
24064,"Saint-Jean/Saint-Jean"," 121","Saint-Jean-sur-Richelieu",77,0,13,8,20,9,5,132,324
24064,"Saint-Jean/Saint-Jean"," 122","Saint-Jean-sur-Richelieu",101,4,16,15,21,11,5,173,488
24064,"Saint-Jean/Saint-Jean"," 123","Saint-Jean-sur-Richelieu",94,2,18,19,19,3,2,157,399
24064,"Saint-Jean/Saint-Jean"," 124","Saint-Jean-sur-Richelieu",66,1,25,19,20,10,1,142,289
24064,"Saint-Jean/Saint-Jean"," 125","Saint-Jean-sur-Richelieu",69,0,9,12,12,5,0,107,237
24064,"Saint-Jean/Saint-Jean"," 126","Saint-Jean-sur-Richelieu",91,1,35,12,30,7,2,178,339
24064,"Saint-Jean/Saint-Jean"," 127","Saint-Jean-sur-Richelieu",114,1,18,19,32,4,8,196,419
24064,"Saint-Jean/Saint-Jean"," 128","Saint-Jean-sur-Richelieu",62,4,25,13,13,7,5,129,273
24064,"Saint-Jean/Saint-Jean"," 129","Saint-Jean-sur-Richelieu",112,1,40,33,41,10,2,239,452
24064,"Saint-Jean/Saint-Jean"," 130","Saint-Jean-sur-Richelieu",81,1,22,18,22,14,6,164,372
24064,"Saint-Jean/Saint-Jean"," 131","Saint-Jean-sur-Richelieu",147,2,45,46,35,19,7,301,558
24064,"Saint-Jean/Saint-Jean"," 132","Saint-Jean-sur-Richelieu",80,1,27,18,16,6,1,149,337
24064,"Saint-Jean/Saint-Jean"," 133","Saint-Jean-sur-Richelieu",112,1,24,27,24,13,3,204,382
24064,"Saint-Jean/Saint-Jean"," 134","Saint-Jean-sur-Richelieu",122,2,25,27,38,12,4,230,526
24064,"Saint-Jean/Saint-Jean"," 135","Saint-Jean-sur-Richelieu",111,1,26,21,25,5,5,194,357
24064,"Saint-Jean/Saint-Jean"," 136","Saint-Jean-sur-Richelieu",72,0,13,25,31,6,1,148,286
24064,"Saint-Jean/Saint-Jean"," 137","Saint-Jean-sur-Richelieu",99,4,21,25,19,11,3,182,310
24064,"Saint-Jean/Saint-Jean"," 138","Saint-Jean-sur-Richelieu",128,1,37,22,27,6,1,222,413
24064,"Saint-Jean/Saint-Jean"," 139","Saint-Jean-sur-Richelieu",95,2,35,19,36,12,3,202,346
24064,"Saint-Jean/Saint-Jean"," 140","Saint-Jean-sur-Richelieu",109,0,22,13,25,5,5,179,370
24064,"Saint-Jean/Saint-Jean"," 141","Saint-Jean-sur-Richelieu",97,2,19,18,23,7,1,167,328
24064,"Saint-Jean/Saint-Jean"," 142","Saint-Jean-sur-Richelieu",80,1,30,18,25,14,3,171,292
24064,"Saint-Jean/Saint-Jean"," 143","Saint-Jean-sur-Richelieu",90,0,47,25,58,3,4,227,363
24064,"Saint-Jean/Saint-Jean"," 144A","Saint-Jean-sur-Richelieu",96,0,30,35,36,5,3,205,325
24064,"Saint-Jean/Saint-Jean"," 144B","Saint-Jean-sur-Richelieu",98,2,43,39,20,7,1,210,322
24064,"Saint-Jean/Saint-Jean"," 144-1","Saint-Jean-sur-Richelieu",165,5,30,25,37,18,4,284,436
24064,"Saint-Jean/Saint-Jean"," 145","Saint-Jean-sur-Richelieu",120,0,54,27,48,11,4,264,492
24064,"Saint-Jean/Saint-Jean"," 146","Saint-Jean-sur-Richelieu",112,5,48,27,49,14,7,262,469
24064,"Saint-Jean/Saint-Jean"," 147","Saint-Jean-sur-Richelieu",113,0,44,26,63,5,4,255,371
24064,"Saint-Jean/Saint-Jean"," 148","Saint-Jean-sur-Richelieu",133,3,65,22,46,8,4,281,433
24064,"Saint-Jean/Saint-Jean"," 149","Saint-Jean-sur-Richelieu",141,3,29,31,47,9,2,262,417
24064,"Saint-Jean/Saint-Jean"," 150","Saint-Jean-sur-Richelieu",121,0,28,16,24,9,3,201,375
24064,"Saint-Jean/Saint-Jean"," 151A","Saint-Jean-sur-Richelieu",107,1,49,20,44,13,10,244,394
24064,"Saint-Jean/Saint-Jean"," 151B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,67
24064,"Saint-Jean/Saint-Jean"," 152","Saint-Jean-sur-Richelieu",109,1,50,30,79,9,2,280,427
24064,"Saint-Jean/Saint-Jean"," 153","Saint-Jean-sur-Richelieu",98,1,13,18,17,2,0,149,233
24064,"Saint-Jean/Saint-Jean"," 153-1","Saint-Jean-sur-Richelieu",133,0,35,29,47,16,1,261,410
24064,"Saint-Jean/Saint-Jean"," 154","Saint-Jean-sur-Richelieu",101,0,36,6,31,7,3,184,295
24064,"Saint-Jean/Saint-Jean"," 155","Iberville",96,1,31,31,31,16,3,209,384
24064,"Saint-Jean/Saint-Jean"," 156","Iberville",93,2,32,21,59,10,3,220,378
24064,"Saint-Jean/Saint-Jean"," 157","Iberville",148,2,47,22,43,12,3,277,455
24064,"Saint-Jean/Saint-Jean"," 158A","Iberville",109,2,27,20,34,8,6,206,390
24064,"Saint-Jean/Saint-Jean"," 158B","Mobile poll/Bureau itinérant",Merged with No. 6-1B/Fusionné avec le nº 6-1B,,,,,,,,55
24064,"Saint-Jean/Saint-Jean"," 159","Iberville",65,3,23,19,35,7,2,154,313
24064,"Saint-Jean/Saint-Jean"," 160","Iberville",162,2,46,30,61,11,2,314,491
24064,"Saint-Jean/Saint-Jean"," 161","Iberville",75,0,23,13,21,4,5,141,275
24064,"Saint-Jean/Saint-Jean"," 162","Iberville",143,3,31,23,39,5,5,249,397
24064,"Saint-Jean/Saint-Jean"," 162-1","Iberville",72,1,12,11,15,5,0,116,190
24064,"Saint-Jean/Saint-Jean"," 163","Iberville",121,1,30,21,45,9,6,233,376
24064,"Saint-Jean/Saint-Jean"," 164","Iberville",119,4,30,19,48,6,8,234,460
24064,"Saint-Jean/Saint-Jean"," 165","Iberville",99,1,29,20,39,4,7,199,371
24064,"Saint-Jean/Saint-Jean"," 166","Iberville",83,0,13,13,18,4,0,131,343
24064,"Saint-Jean/Saint-Jean"," 167","Iberville",130,0,24,26,37,10,5,232,443
24064,"Saint-Jean/Saint-Jean"," 168A","Iberville",93,0,37,18,39,9,0,196,426
24064,"Saint-Jean/Saint-Jean"," 168B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,176
24064,"Saint-Jean/Saint-Jean"," 169","Iberville",80,5,15,15,22,6,2,145,303
24064,"Saint-Jean/Saint-Jean"," 170","Iberville",117,0,24,25,26,5,3,200,357
24064,"Saint-Jean/Saint-Jean"," 171","Iberville",91,1,37,16,48,14,2,209,316
24064,"Saint-Jean/Saint-Jean"," 172","Iberville",184,2,74,49,67,7,3,386,545
24064,"Saint-Jean/Saint-Jean"," 173","Iberville",127,0,34,25,44,9,6,245,425
24064,"Saint-Jean/Saint-Jean"," 174","Saint-Blaise-sur-Richelieu",115,0,48,36,34,10,2,245,384
24064,"Saint-Jean/Saint-Jean"," 175","Saint-Blaise-sur-Richelieu",61,0,23,5,23,4,4,120,176
24064,"Saint-Jean/Saint-Jean"," 176","Saint-Blaise-sur-Richelieu",101,0,37,22,14,4,4,182,301
24064,"Saint-Jean/Saint-Jean"," 176-1","Saint-Blaise-sur-Richelieu",58,0,29,4,25,3,3,122,218
24064,"Saint-Jean/Saint-Jean"," 177","Saint-Blaise-sur-Richelieu",132,0,53,30,58,9,9,291,494
24064,"Saint-Jean/Saint-Jean"," 178","Saint-Paul-de-l'Île-aux-Noix",77,1,37,17,31,9,1,173,276
24064,"Saint-Jean/Saint-Jean"," 179","Saint-Paul-de-l'Île-aux-Noix",34,0,32,9,39,0,2,116,200
24064,"Saint-Jean/Saint-Jean"," 179-1","Saint-Paul-de-l'Île-aux-Noix",87,4,46,24,37,13,3,214,311
24064,"Saint-Jean/Saint-Jean"," 179-2","Saint-Paul-de-l'Île-aux-Noix",101,1,58,30,53,3,6,252,432
24064,"Saint-Jean/Saint-Jean"," 180","Saint-Paul-de-l'Île-aux-Noix",86,1,32,17,22,12,4,174,342
24064,"Saint-Jean/Saint-Jean"," 181","Saint-Valentin",83,0,49,17,54,15,8,226,364
24064,"Saint-Jean/Saint-Jean"," 182","Lacolle",72,0,41,9,51,6,6,185,352
24064,"Saint-Jean/Saint-Jean"," 183","Lacolle",124,1,60,26,44,8,3,266,481
24064,"Saint-Jean/Saint-Jean"," 184","Lacolle",91,1,34,22,46,12,1,207,404
24064,"Saint-Jean/Saint-Jean"," 185","Lacolle",72,0,27,24,47,11,6,187,334
24064,"Saint-Jean/Saint-Jean"," 186","Lacolle",72,1,48,29,61,9,0,220,429
24064,"Saint-Jean/Saint-Jean"," 400","Saint-Jean-sur-Richelieu",69,3,57,2,79,6,4,220,321
24064,"Saint-Jean/Saint-Jean"," 401","Saint-Jean-sur-Richelieu",16,1,12,6,8,0,1,44,112
24064,"Saint-Jean/Saint-Jean"," 500","Mobile poll/Bureau itinérant",72,4,55,5,74,1,8,219,144
24064,"Saint-Jean/Saint-Jean"," 501","Mobile poll/Bureau itinérant",45,1,30,5,32,4,4,121,174
24064,"Saint-Jean/Saint-Jean"," 600","Saint-Luc",373,2,197,50,136,28,5,791,
24064,"Saint-Jean/Saint-Jean"," 601","Saint-Luc",450,4,241,55,133,25,8,916,
24064,"Saint-Jean/Saint-Jean"," 602","Saint-Jean-sur-Richelieu",385,14,214,32,161,8,8,822,
24064,"Saint-Jean/Saint-Jean"," 603","Mont-Saint-Grégoire--Sainte-Brigide-d'Iberville",105,2,38,16,33,6,0,200,
24064,"Saint-Jean/Saint-Jean"," 604","Sabrevois--Saint-Alexandre",69,3,33,17,39,6,2,169,
24064,"Saint-Jean/Saint-Jean"," 605","L'Acadie",124,0,77,26,44,11,3,285,
24064,"Saint-Jean/Saint-Jean"," 606","Saint-Jean-sur-Richelieu",285,2,258,52,171,17,11,796,
24064,"Saint-Jean/Saint-Jean"," 607","Saint-Jean-sur-Richelieu",270,108,3,12,35,110,5,543,
24064,"Saint-Jean/Saint-Jean"," 608","Saint-Jean-sur-Richelieu",240,0,116,42,82,17,12,509,
24064,"Saint-Jean/Saint-Jean"," 609","Saint-Jean-sur-Richelieu",159,2,69,36,74,12,4,356,
24064,"Saint-Jean/Saint-Jean"," 610","Saint-Jean-sur-Richelieu",267,4,124,45,82,17,5,544,
24064,"Saint-Jean/Saint-Jean"," 611","Lacolle",108,3,79,29,54,9,4,286,
24064,"Saint-Jean/Saint-Jean",,Group 1/Groupe 1,48,2,91,14,38,6,8,207,389
24064,"Saint-Jean/Saint-Jean",,Group 2/Groupe 2,485,3,177,45,119,30,4,863,

