Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raphaël Déry,Pierre Ducasse,Paul Fréchette,Gabriel Girard-Bernier,Frédéric Pouyot,Marcel Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Hull--Aylmer/Hull--Aylmer"," 76","Hull",36,31,16,0,11,49,1,144,314
24023,"Hull--Aylmer/Hull--Aylmer"," 76-1","Hull",43,36,13,0,8,29,2,131,300
24023,"Hull--Aylmer/Hull--Aylmer"," 77","Hull",86,51,32,0,17,87,2,275,419
24023,"Hull--Aylmer/Hull--Aylmer"," 78","Hull",45,32,10,0,8,45,2,142,309
24023,"Hull--Aylmer/Hull--Aylmer"," 79","Hull",84,62,34,1,19,90,1,291,490
24023,"Hull--Aylmer/Hull--Aylmer"," 80","Hull",81,37,20,1,12,69,1,221,389
24023,"Hull--Aylmer/Hull--Aylmer"," 81","Hull",50,39,23,0,20,87,1,220,334
24023,"Hull--Aylmer/Hull--Aylmer"," 82","Hull",51,31,23,0,3,56,1,165,292
24023,"Hull--Aylmer/Hull--Aylmer"," 83","Hull",40,43,26,0,3,48,0,160,372
24023,"Hull--Aylmer/Hull--Aylmer"," 84","Hull",27,24,20,0,6,30,3,110,331
24023,"Hull--Aylmer/Hull--Aylmer"," 85","Hull",32,33,14,0,4,32,1,116,341
24023,"Hull--Aylmer/Hull--Aylmer"," 86","Hull",27,17,10,0,1,17,0,72,232
24023,"Hull--Aylmer/Hull--Aylmer"," 87","Hull",36,33,29,0,5,58,1,162,378
24023,"Hull--Aylmer/Hull--Aylmer"," 88","Hull",45,48,22,1,5,67,1,189,488
24023,"Hull--Aylmer/Hull--Aylmer"," 89","Hull",46,28,16,1,4,39,3,137,369
24023,"Hull--Aylmer/Hull--Aylmer"," 90","Hull",42,32,13,0,5,38,0,130,280
24023,"Hull--Aylmer/Hull--Aylmer"," 91","Hull",25,29,15,0,3,28,0,100,290
24023,"Hull--Aylmer/Hull--Aylmer"," 92","Hull",64,54,23,1,11,90,1,244,393
24023,"Hull--Aylmer/Hull--Aylmer"," 93","Hull",65,28,20,0,6,78,1,198,377
24023,"Hull--Aylmer/Hull--Aylmer"," 94","Hull",36,27,8,0,2,55,0,128,304
24023,"Hull--Aylmer/Hull--Aylmer"," 95","Hull",17,10,10,1,3,27,0,68,220
24023,"Hull--Aylmer/Hull--Aylmer"," 96","Hull",28,27,5,0,3,41,0,104,206
24023,"Hull--Aylmer/Hull--Aylmer"," 97","Hull",30,20,8,0,4,20,0,82,277
24023,"Hull--Aylmer/Hull--Aylmer"," 98","Hull",59,48,20,3,7,63,4,204,343
24023,"Hull--Aylmer/Hull--Aylmer"," 99","Hull",64,36,37,1,4,62,1,205,364
24023,"Hull--Aylmer/Hull--Aylmer"," 100","Hull",61,28,29,3,6,95,1,223,342
24023,"Hull--Aylmer/Hull--Aylmer"," 101","Hull",56,39,15,0,5,57,2,174,323
24023,"Hull--Aylmer/Hull--Aylmer"," 102","Hull",61,28,27,0,6,61,0,183,315
24023,"Hull--Aylmer/Hull--Aylmer"," 103","Hull",38,41,34,1,7,65,2,188,373
24023,"Hull--Aylmer/Hull--Aylmer"," 104","Hull",47,30,27,0,8,83,1,196,347
24023,"Hull--Aylmer/Hull--Aylmer"," 105","Hull",51,34,17,0,4,48,0,154,294
24023,"Hull--Aylmer/Hull--Aylmer"," 106","Hull",40,24,24,3,11,44,2,148,279
24023,"Hull--Aylmer/Hull--Aylmer"," 107","Hull",9,13,11,0,3,42,2,80,231
24023,"Hull--Aylmer/Hull--Aylmer"," 108","Hull",53,41,28,0,5,77,4,208,361
24023,"Hull--Aylmer/Hull--Aylmer"," 109","Hull",63,43,20,4,7,90,0,227,357
24023,"Hull--Aylmer/Hull--Aylmer"," 110","Hull",21,19,16,0,4,42,0,102,345
24023,"Hull--Aylmer/Hull--Aylmer"," 111","Hull",19,17,21,1,1,36,0,95,320
24023,"Hull--Aylmer/Hull--Aylmer"," 112","Hull",68,35,22,0,12,62,0,199,352
24023,"Hull--Aylmer/Hull--Aylmer"," 113","Hull",58,35,25,1,7,54,3,183,265
24023,"Hull--Aylmer/Hull--Aylmer"," 114","Hull",72,29,27,0,11,83,1,223,359
24023,"Hull--Aylmer/Hull--Aylmer"," 115","Hull",33,30,29,1,3,55,1,152,315
24023,"Hull--Aylmer/Hull--Aylmer"," 116","Hull",28,29,18,0,7,42,3,127,310
24023,"Hull--Aylmer/Hull--Aylmer"," 117","Hull",45,27,18,0,8,52,0,150,324
