Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Carr,Libby Davies,Anne Jamieson,Betty Krawczyk,Ken Low,Ryan Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,Vancouver East/Vancouver-Est,133,Vancouver,38,148,0,3,33,29,0,251,466
59030,Vancouver East/Vancouver-Est,134,Vancouver,29,138,1,2,52,38,0,260,468
59030,Vancouver East/Vancouver-Est,135,Vancouver,24,133,0,3,79,71,1,311,541
59030,Vancouver East/Vancouver-Est,136,Vancouver,38,170,0,4,34,42,0,288,488
59030,Vancouver East/Vancouver-Est,137,Vancouver,19,123,0,0,57,58,0,257,500
59030,Vancouver East/Vancouver-Est,138,Vancouver,21,111,0,2,65,45,2,246,482
59030,Vancouver East/Vancouver-Est,139,Vancouver,44,159,1,4,22,15,1,246,434
59030,Vancouver East/Vancouver-Est,140,Vancouver,24,136,1,0,51,44,0,256,492
59030,Vancouver East/Vancouver-Est,141,Vancouver,22,121,0,4,59,61,1,268,492
59030,Vancouver East/Vancouver-Est, 141-1,Vancouver,2,85,0,1,33,54,0,175,353
59030,Vancouver East/Vancouver-Est,142,Vancouver,16,99,0,1,19,25,9,169,406
59030,Vancouver East/Vancouver-Est,143,Vancouver,19,157,1,2,29,31,2,241,482
59030,Vancouver East/Vancouver-Est,144,Vancouver,38,165,1,5,44,35,1,289,514
59030,Vancouver East/Vancouver-Est,145,Vancouver,8,98,0,0,59,54,2,221,546
59030,Vancouver East/Vancouver-Est,146,Vancouver,9,67,2,1,49,48,3,179,403
59030,Vancouver East/Vancouver-Est,147,Vancouver,35,104,1,1,27,26,1,195,412
59030,Vancouver East/Vancouver-Est,148,Vancouver,28,139,0,4,35,49,0,255,556
59030,Vancouver East/Vancouver-Est,149,Vancouver,11,100,5,2,56,65,2,241,469
59030,Vancouver East/Vancouver-Est,150,Vancouver,8,101,0,2,70,53,1,235,462
59030,Vancouver East/Vancouver-Est,151,Vancouver,8,89,0,0,40,54,1,192,453
59030,Vancouver East/Vancouver-Est, 151-1,Vancouver,11,76,1,0,36,45,1,170,415
59030,Vancouver East/Vancouver-Est,152,Vancouver,19,160,0,2,17,46,1,245,462
59030,Vancouver East/Vancouver-Est,153,Vancouver,19,122,1,0,64,62,8,276,483
59030,Vancouver East/Vancouver-Est,154,Vancouver,19,100,3,1,65,75,2,265,515
59030,Vancouver East/Vancouver-Est,155,Vancouver,13,98,4,1,86,79,4,285,521
59030,Vancouver East/Vancouver-Est,156,Vancouver,18,103,2,1,65,45,1,235,432
59030,Vancouver East/Vancouver-Est,157,Vancouver,12,89,0,2,40,56,3,202,419
59030,Vancouver East/Vancouver-Est, 157-1,Vancouver,8,85,4,3,37,59,1,197,406
59030,Vancouver East/Vancouver-Est,158,Vancouver,6,78,0,1,55,49,4,193,468
59030,Vancouver East/Vancouver-Est,159,Vancouver,20,93,3,1,76,73,0,266,509
59030,Vancouver East/Vancouver-Est,160,Vancouver,8,106,0,3,59,58,3,237,522
59030,Vancouver East/Vancouver-Est, 161A,Vancouver,8,91,0,2,37,56,2,196,401
59030,Vancouver East/Vancouver-Est, 161B,Mobile poll/Bureau itinérant,Merged with No. 503/Fusionné avec le nº 503,,,,,,,,72
59030,Vancouver East/Vancouver-Est,162,Vancouver,9,87,1,0,37,40,3,177,369
59030,Vancouver East/Vancouver-Est,163,Vancouver,9,90,1,2,50,42,1,195,474
59030,Vancouver East/Vancouver-Est,164,Vancouver,3,84,0,2,38,51,1,179,428
59030,Vancouver East/Vancouver-Est,165,Vancouver,12,131,0,2,37,43,0,225,603
59030,Vancouver East/Vancouver-Est,400,Vancouver,Void/Supprimé,,,,,,,,
59030,Vancouver East/Vancouver-Est,500,Mobile poll/Bureau itinérant,8,54,5,2,19,58,2,148,186
59030,Vancouver East/Vancouver-Est,501,Mobile poll/Bureau itinérant,2,8,2,0,62,57,0,131,223
59030,Vancouver East/Vancouver-Est,502,Mobile poll/Bureau itinérant,2,31,5,0,14,6,1,59,234
59030,Vancouver East/Vancouver-Est,503,Mobile poll/Bureau itinérant,10,49,5,3,20,36,4,127,82
59030,Vancouver East/Vancouver-Est,504,Mobile poll/Bureau itinérant,3,16,1,0,16,10,1,47,125
59030,Vancouver East/Vancouver-Est,505,Mobile poll/Bureau itinérant,1,11,1,2,109,32,1,157,287
59030,Vancouver East/Vancouver-Est,506,Mobile poll/Bureau itinérant,6,27,3,0,40,47,0,123,271
59030,Vancouver East/Vancouver-Est,600,Vancouver,22,116,0,2,105,43,1,289,
59030,Vancouver East/Vancouver-Est,601,Vancouver,25,153,3,5,83,38,7,314,
59030,Vancouver East/Vancouver-Est,602,Vancouver,60,320,2,4,67,40,3,496,
59030,Vancouver East/Vancouver-Est,603,Vancouver,37,227,1,2,28,43,0,338,
59030,Vancouver East/Vancouver-Est,604,Vancouver,20,157,0,0,39,51,0,267,
59030,Vancouver East/Vancouver-Est,605,Vancouver,9,160,0,0,64,57,0,290,
59030,Vancouver East/Vancouver-Est,606,Vancouver,28,182,3,3,35,52,1,304,
59030,Vancouver East/Vancouver-Est,607,Vancouver,40,227,1,5,52,58,0,383,
59030,Vancouver East/Vancouver-Est,608,Vancouver,59,292,0,5,51,62,3,472,
59030,Vancouver East/Vancouver-Est,609,Vancouver,25,127,0,0,24,24,2,202,
59030,Vancouver East/Vancouver-Est,,Group 1/Groupe 1,14,61,0,8,26,13,7,129,185
59030,Vancouver East/Vancouver-Est,,Group 2/Groupe 2,51,282,3,6,64,35,9,450,
