Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christelle Bogosta,Pierre Brassard,David Marler,Christian Ouellet,Denis Paradis,Mark Quinlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Brome--Missisquoi/Brome--Missisquoi"," 17B ","Mobile poll/Bureau itinérant",2,2,0,7,32,15,0,58,33
24010,"Brome--Missisquoi/Brome--Missisquoi"," 18","Saint-Armand",15,7,2,36,74,46,5,185,310
24010,"Brome--Missisquoi/Brome--Missisquoi"," 19","Sainte-Sabine",30,11,1,108,103,41,8,302,469
24010,"Brome--Missisquoi/Brome--Missisquoi"," 20","Sainte-Sabine",24,5,1,92,63,38,3,226,327
24010,"Brome--Missisquoi/Brome--Missisquoi"," 21A","Saint-Ignace-de-Stanbridge",13,10,1,48,54,28,3,157,236
24010,"Brome--Missisquoi/Brome--Missisquoi"," 21B","Mobile poll/Bureau itinérant",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,,,3
24010,"Brome--Missisquoi/Brome--Missisquoi"," 22A","Saint-Ignace-de-Stanbridge",18,4,1,54,64,30,1,172,253
24010,"Brome--Missisquoi/Brome--Missisquoi"," 22B","Mobile poll/Bureau itinérant",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,,,5
24010,"Brome--Missisquoi/Brome--Missisquoi"," 23","Bedford",20,10,1,65,72,40,1,209,328
24010,"Brome--Missisquoi/Brome--Missisquoi"," 24","Bedford",24,2,1,26,47,22,3,125,296
24010,"Brome--Missisquoi/Brome--Missisquoi"," 25A","Bedford",19,8,0,67,72,34,0,200,387
24010,"Brome--Missisquoi/Brome--Missisquoi"," 25B","Mobile poll/Bureau itinérant",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,,,32
24010,"Brome--Missisquoi/Brome--Missisquoi"," 25C","Mobile poll/Bureau itinérant",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,,,20
24010,"Brome--Missisquoi/Brome--Missisquoi"," 26A","Bedford",11,4,0,32,54,29,3,133,295
24010,"Brome--Missisquoi/Brome--Missisquoi"," 26B ","Mobile poll/Bureau itinérant",4,2,1,15,39,11,2,74,55
24010,"Brome--Missisquoi/Brome--Missisquoi"," 27","Bedford",18,2,2,57,74,46,1,200,376
24010,"Brome--Missisquoi/Brome--Missisquoi"," 28","Bedford",16,7,1,37,77,31,3,172,357
24010,"Brome--Missisquoi/Brome--Missisquoi"," 29","Bedford",26,9,1,55,82,40,1,214,353
24010,"Brome--Missisquoi/Brome--Missisquoi"," 30A","Bedford",16,4,1,20,59,36,0,136,243
24010,"Brome--Missisquoi/Brome--Missisquoi"," 30B","Mobile poll/Bureau itinérant",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,,,9
24010,"Brome--Missisquoi/Brome--Missisquoi"," 31","Stanbridge East",56,7,0,36,92,39,0,230,335
24010,"Brome--Missisquoi/Brome--Missisquoi"," 32","Stanbridge East",32,12,0,29,106,32,2,213,349
24010,"Brome--Missisquoi/Brome--Missisquoi"," 33","Dunham",25,16,2,86,105,54,1,289,442
24010,"Brome--Missisquoi/Brome--Missisquoi"," 34A","Dunham",18,10,4,95,63,63,7,260,490
24010,"Brome--Missisquoi/Brome--Missisquoi"," 34B","Mobile poll/Bureau itinérant",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,,,12
24010,"Brome--Missisquoi/Brome--Missisquoi"," 35A","Dunham",23,7,0,61,47,28,3,169,290
24010,"Brome--Missisquoi/Brome--Missisquoi"," 35B","Dunham",24,6,0,71,33,28,1,163,275
24010,"Brome--Missisquoi/Brome--Missisquoi"," 36A","Dunham",26,6,3,56,58,27,0,176,301
24010,"Brome--Missisquoi/Brome--Missisquoi"," 36B","Dunham",12,8,0,54,41,24,0,139,268
24010,"Brome--Missisquoi/Brome--Missisquoi"," 37A","Dunham",15,4,1,57,70,18,0,165,302
24010,"Brome--Missisquoi/Brome--Missisquoi"," 37B","Dunham",19,6,3,73,55,27,3,186,305
24010,"Brome--Missisquoi/Brome--Missisquoi"," 38","Frelighsburg",23,15,1,88,85,55,1,268,434
24010,"Brome--Missisquoi/Brome--Missisquoi"," 39A","Frelighsburg",37,13,2,100,107,24,3,286,453
24010,"Brome--Missisquoi/Brome--Missisquoi"," 39B","Mobile poll/Bureau itinérant",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,,,12
24010,"Brome--Missisquoi/Brome--Missisquoi"," 40","Farnham",20,10,0,105,60,33,5,233,458
24010,"Brome--Missisquoi/Brome--Missisquoi"," 41","Farnham",36,17,7,113,45,42,1,261,502
24010,"Brome--Missisquoi/Brome--Missisquoi"," 42A","Farnham",15,2,3,81,52,31,4,188,290
24010,"Brome--Missisquoi/Brome--Missisquoi"," 42B","Farnham",18,9,0,90,58,22,1,198,289
24010,"Brome--Missisquoi/Brome--Missisquoi"," 43","Farnham",18,6,0,81,57,25,0,187,352
24010,"Brome--Missisquoi/Brome--Missisquoi"," 44A","Farnham",32,5,0,111,49,35,9,241,483
24010,"Brome--Missisquoi/Brome--Missisquoi"," 44B","Mobile poll/Bureau itinérant",Merged with No. 50B/Fusionné avec le nº 50B,,,,,,,,21
24010,"Brome--Missisquoi/Brome--Missisquoi"," 45","Farnham",16,5,0,68,43,29,6,167,417
24010,"Brome--Missisquoi/Brome--Missisquoi"," 46","Farnham",21,6,0,67,33,10,4,141,370
24010,"Brome--Missisquoi/Brome--Missisquoi"," 47","Farnham",18,5,3,93,32,20,2,173,460
24010,"Brome--Missisquoi/Brome--Missisquoi"," 48","Farnham",22,4,0,83,58,30,6,203,366
24010,"Brome--Missisquoi/Brome--Missisquoi"," 49","Farnham",29,3,5,109,76,45,4,271,431
24010,"Brome--Missisquoi/Brome--Missisquoi"," 50A","Farnham",7,3,1,53,49,23,5,141,298
24010,"Brome--Missisquoi/Brome--Missisquoi"," 50B ","Mobile poll/Bureau itinérant",4,1,3,17,37,10,1,73,62
24010,"Brome--Missisquoi/Brome--Missisquoi"," 51A","Farnham",14,1,2,60,20,14,2,113,296
24010,"Brome--Missisquoi/Brome--Missisquoi"," 51B","Mobile poll/Bureau itinérant",Merged with No. 50B/Fusionné avec le nº 50B,,,,,,,,38
24010,"Brome--Missisquoi/Brome--Missisquoi"," 52","Farnham",17,9,1,75,39,18,2,161,337
24010,"Brome--Missisquoi/Brome--Missisquoi"," 53","Farnham",15,10,2,107,57,40,4,235,391
24010,"Brome--Missisquoi/Brome--Missisquoi"," 54A","Farnham",18,10,1,51,39,30,2,151,253
24010,"Brome--Missisquoi/Brome--Missisquoi"," 54B","Farnham",13,2,2,66,34,25,3,145,242
24010,"Brome--Missisquoi/Brome--Missisquoi"," 55","Brigham",33,4,0,81,46,32,3,199,330
24010,"Brome--Missisquoi/Brome--Missisquoi"," 56","Brigham",14,14,0,91,74,55,2,250,430
24010,"Brome--Missisquoi/Brome--Missisquoi"," 57A","Brigham",33,9,1,67,61,26,1,198,316
24010,"Brome--Missisquoi/Brome--Missisquoi"," 57B","Brigham",15,2,2,75,55,29,4,182,285
24010,"Brome--Missisquoi/Brome--Missisquoi"," 58A","East Farnham",18,2,1,44,59,34,4,162,223
24010,"Brome--Missisquoi/Brome--Missisquoi"," 58B","East Farnham",20,8,0,50,36,33,6,153,213
24010,"Brome--Missisquoi/Brome--Missisquoi"," 59A","Brigham",13,5,2,98,68,50,2,238,465
24010,"Brome--Missisquoi/Brome--Missisquoi"," 59B","Mobile poll/Bureau itinérant",Merged with No. 83D/Fusionné avec le nº 83D,,,,,,,,5
24010,"Brome--Missisquoi/Brome--Missisquoi"," 60A","Bromont",33,15,2,75,37,43,5,210,322
24010,"Brome--Missisquoi/Brome--Missisquoi"," 60B","Bromont",26,10,1,105,48,19,1,210,332
24010,"Brome--Missisquoi/Brome--Missisquoi"," 61A","Bromont",36,8,0,84,52,17,1,198,324
24010,"Brome--Missisquoi/Brome--Missisquoi"," 61B","Bromont",21,7,1,54,45,41,2,171,308
24010,"Brome--Missisquoi/Brome--Missisquoi"," 62","Bromont",14,3,3,29,21,29,2,101,178
24010,"Brome--Missisquoi/Brome--Missisquoi"," 63A","Bromont",20,5,1,84,63,49,0,222,411
24010,"Brome--Missisquoi/Brome--Missisquoi"," 63B","Bromont",25,4,0,69,81,38,2,219,398
24010,"Brome--Missisquoi/Brome--Missisquoi"," 63C","Bromont",21,7,3,90,79,42,0,242,394
24010,"Brome--Missisquoi/Brome--Missisquoi"," 64","Bromont",36,16,1,113,67,41,2,276,590
24010,"Brome--Missisquoi/Brome--Missisquoi"," 65","Bromont",22,6,2,66,54,24,3,177,304
24010,"Brome--Missisquoi/Brome--Missisquoi"," 66","Bromont",14,13,0,71,87,44,0,229,397
24010,"Brome--Missisquoi/Brome--Missisquoi"," 67A","Bromont",14,6,0,73,41,14,0,148,263
24010,"Brome--Missisquoi/Brome--Missisquoi"," 67B","Bromont",22,12,0,54,33,17,1,139,269
24010,"Brome--Missisquoi/Brome--Missisquoi"," 68A","Bromont",17,10,0,66,64,59,4,220,335
24010,"Brome--Missisquoi/Brome--Missisquoi"," 68B","Bromont",24,10,0,84,79,30,1,228,344
24010,"Brome--Missisquoi/Brome--Missisquoi"," 69A","Cowansville",15,8,0,60,45,24,1,153,255
24010,"Brome--Missisquoi/Brome--Missisquoi"," 69B","Cowansville",8,8,1,57,48,29,0,151,266
24010,"Brome--Missisquoi/Brome--Missisquoi"," 70A","Cowansville",19,7,0,52,32,32,4,146,290
24010,"Brome--Missisquoi/Brome--Missisquoi"," 70B","Cowansville",20,4,2,77,54,40,1,198,322
24010,"Brome--Missisquoi/Brome--Missisquoi"," 71","Cowansville",14,3,2,75,49,46,6,195,412
24010,"Brome--Missisquoi/Brome--Missisquoi"," 72","Cowansville",26,9,1,73,45,31,4,189,403
24010,"Brome--Missisquoi/Brome--Missisquoi"," 73","Cowansville",19,2,0,79,50,32,4,186,417
24010,"Brome--Missisquoi/Brome--Missisquoi"," 74","Cowansville",19,6,1,47,46,11,1,131,389
24010,"Brome--Missisquoi/Brome--Missisquoi"," 75","Cowansville",17,15,1,94,83,51,0,261,472
24010,"Brome--Missisquoi/Brome--Missisquoi"," 76","Cowansville",20,9,2,81,58,33,5,208,416
24010,"Brome--Missisquoi/Brome--Missisquoi"," 77A","Cowansville",16,2,0,61,35,34,3,151,255
24010,"Brome--Missisquoi/Brome--Missisquoi"," 77B","Cowansville",9,5,1,44,38,24,2,123,252
24010,"Brome--Missisquoi/Brome--Missisquoi"," 78","Cowansville",12,9,0,73,53,29,2,178,378
24010,"Brome--Missisquoi/Brome--Missisquoi"," 79","Cowansville",16,9,2,54,61,34,2,178,420
24010,"Brome--Missisquoi/Brome--Missisquoi"," 80","Cowansville",13,12,3,67,48,40,0,183,393
24010,"Brome--Missisquoi/Brome--Missisquoi"," 81","Cowansville",8,7,3,50,27,24,1,120,299
24010,"Brome--Missisquoi/Brome--Missisquoi"," 82","Cowansville",23,8,3,91,80,48,0,253,513
24010,"Brome--Missisquoi/Brome--Missisquoi"," 83A","Cowansville",18,6,1,74,86,36,2,223,420
24010,"Brome--Missisquoi/Brome--Missisquoi"," 83B","Mobile poll/Bureau itinérant",Merged with No. 83C/Fusionné avec le nº 83C,,,,,,,,23
24010,"Brome--Missisquoi/Brome--Missisquoi"," 83C","Mobile poll/Bureau itinérant",2,1,0,8,35,10,1,57,41
24010,"Brome--Missisquoi/Brome--Missisquoi"," 83D","Mobile poll/Bureau itinérant",0,3,0,32,66,34,3,138,164
24010,"Brome--Missisquoi/Brome--Missisquoi"," 84","Cowansville",24,6,2,73,62,56,0,223,433
24010,"Brome--Missisquoi/Brome--Missisquoi"," 85","Cowansville",27,3,1,72,67,38,2,210,468
24010,"Brome--Missisquoi/Brome--Missisquoi"," 86A","Cowansville",23,4,0,73,59,37,3,199,339
24010,"Brome--Missisquoi/Brome--Missisquoi"," 86B","Cowansville",16,9,1,70,52,40,0,188,316
24010,"Brome--Missisquoi/Brome--Missisquoi"," 86C ","Mobile poll/Bureau itinérant",Merged with No. 83C/Fusionné avec le nº 83C,,,,,,,,33
24010,"Brome--Missisquoi/Brome--Missisquoi"," 87","Cowansville",20,14,0,50,116,51,0,251,414
24010,"Brome--Missisquoi/Brome--Missisquoi"," 88A","Cowansville",23,5,1,83,75,33,2,222,408
24010,"Brome--Missisquoi/Brome--Missisquoi"," 88B","Mobile poll/Bureau itinérant",Merged with No. 83C/Fusionné avec le nº 83C,,,,,,,,9
24010,"Brome--Missisquoi/Brome--Missisquoi"," 89","Cowansville",19,5,3,91,48,36,3,205,384
24010,"Brome--Missisquoi/Brome--Missisquoi"," 90","Lac-Brome",24,10,5,55,103,68,1,266,578
24010,"Brome--Missisquoi/Brome--Missisquoi"," 91A","Lac-Brome",8,3,4,40,72,28,1,156,270
24010,"Brome--Missisquoi/Brome--Missisquoi"," 91B","Lac-Brome",10,8,0,37,87,31,1,174,292
24010,"Brome--Missisquoi/Brome--Missisquoi"," 92","Lac-Brome",24,8,2,50,115,52,4,255,448
24010,"Brome--Missisquoi/Brome--Missisquoi"," 93","Bolton-Ouest",6,5,3,18,43,14,1,90,153
24010,"Brome--Missisquoi/Brome--Missisquoi"," 94","Bolton-Ouest",18,15,2,27,126,36,0,224,405
24010,"Brome--Missisquoi/Brome--Missisquoi"," 95","Lac-Brome",17,14,6,20,109,54,1,221,486
24010,"Brome--Missisquoi/Brome--Missisquoi"," 96","Lac-Brome",21,11,5,20,128,39,0,224,493
24010,"Brome--Missisquoi/Brome--Missisquoi"," 97A","Lac-Brome",19,5,2,44,70,35,1,176,338
24010,"Brome--Missisquoi/Brome--Missisquoi"," 97B","Lac-Brome",9,17,1,45,67,32,1,172,341
24010,"Brome--Missisquoi/Brome--Missisquoi"," 98A","Lac-Brome",19,3,3,27,86,28,3,169,328
24010,"Brome--Missisquoi/Brome--Missisquoi"," 98B","Lac-Brome",17,6,2,18,98,29,0,170,333
24010,"Brome--Missisquoi/Brome--Missisquoi"," 98C","Mobile poll/Bureau itinérant",Merged with No. 98E/Fusionné avec le nº 98E,,,,,,,,32
24010,"Brome--Missisquoi/Brome--Missisquoi"," 98D","Mobile poll/Bureau itinérant",Merged with No. 98E/Fusionné avec le nº 98E,,,,,,,,26
24010,"Brome--Missisquoi/Brome--Missisquoi"," 98E ","Mobile poll/Bureau itinérant",2,2,5,3,58,17,4,91,58
24010,"Brome--Missisquoi/Brome--Missisquoi"," 99","Brome",6,5,5,10,59,38,1,124,236
24010,"Brome--Missisquoi/Brome--Missisquoi"," 100","Lac-Brome",19,5,5,28,88,40,3,188,322
24010,"Brome--Missisquoi/Brome--Missisquoi"," 101","Lac-Brome",25,12,5,38,59,29,0,168,361
24010,"Brome--Missisquoi/Brome--Missisquoi"," 102A","Sutton",16,9,3,38,62,30,0,158,293
24010,"Brome--Missisquoi/Brome--Missisquoi"," 102B","Sutton",5,5,1,51,67,27,1,157,281
24010,"Brome--Missisquoi/Brome--Missisquoi"," 103","Abercorn",8,7,2,50,81,31,0,179,286
24010,"Brome--Missisquoi/Brome--Missisquoi"," 104","Sutton",11,14,2,68,69,28,1,193,400
24010,"Brome--Missisquoi/Brome--Missisquoi"," 105","Sutton",19,19,1,42,95,50,4,230,461
24010,"Brome--Missisquoi/Brome--Missisquoi"," 106A","Sutton",6,3,1,35,66,26,3,140,242
24010,"Brome--Missisquoi/Brome--Missisquoi"," 106B","Sutton",12,5,2,24,55,30,0,128,247
24010,"Brome--Missisquoi/Brome--Missisquoi"," 106C ","Mobile poll/Bureau itinérant",3,3,0,3,35,11,0,55,48
24010,"Brome--Missisquoi/Brome--Missisquoi"," 106D","Mobile poll/Bureau itinérant",Merged with No. 106C/Fusionné avec le nº 106C,,,,,,,,21
24010,"Brome--Missisquoi/Brome--Missisquoi"," 107","Sutton",19,10,0,67,85,43,2,226,438
24010,"Brome--Missisquoi/Brome--Missisquoi"," 108A","Sutton",10,11,1,42,71,27,1,163,356
24010,"Brome--Missisquoi/Brome--Missisquoi"," 108B","Sutton",17,17,1,43,75,40,1,194,339
24010,"Brome--Missisquoi/Brome--Missisquoi"," 109","Potton",12,7,1,33,44,30,1,128,261
24010,"Brome--Missisquoi/Brome--Missisquoi"," 110","Potton",7,5,5,28,84,20,1,150,263
24010,"Brome--Missisquoi/Brome--Missisquoi"," 111","Potton",18,2,0,31,65,42,3,161,281
24010,"Brome--Missisquoi/Brome--Missisquoi"," 112","Potton",11,2,1,59,96,32,1,202,332
24010,"Brome--Missisquoi/Brome--Missisquoi"," 113","Potton",11,3,2,44,104,54,1,219,378
24010,"Brome--Missisquoi/Brome--Missisquoi"," 114","Stukely-Sud",21,10,2,104,42,38,4,221,353
24010,"Brome--Missisquoi/Brome--Missisquoi"," 115","Stukely-Sud",28,10,2,74,72,52,3,241,428
24010,"Brome--Missisquoi/Brome--Missisquoi"," 116A","Eastman",22,4,2,105,41,15,2,191,310
24010,"Brome--Missisquoi/Brome--Missisquoi"," 116B","Eastman",31,10,0,77,59,34,1,212,295
24010,"Brome--Missisquoi/Brome--Missisquoi"," 117A","Orford",15,8,1,79,79,35,3,220,409
24010,"Brome--Missisquoi/Brome--Missisquoi"," 117B","Orford",30,4,0,95,73,27,0,229,392
24010,"Brome--Missisquoi/Brome--Missisquoi"," 118A","Orford",6,6,0,100,54,15,0,181,356
24010,"Brome--Missisquoi/Brome--Missisquoi"," 118B","Orford",9,7,0,77,39,14,0,146,364
24010,"Brome--Missisquoi/Brome--Missisquoi"," 119","Orford",Merged with No. 120/Fusionné avec le nº 120,,,,,,,,98
24010,"Brome--Missisquoi/Brome--Missisquoi"," 120","Orford",13,4,3,59,31,19,1,130,129
24010,"Brome--Missisquoi/Brome--Missisquoi"," 121A","Orford",31,14,0,86,55,46,4,236,397
24010,"Brome--Missisquoi/Brome--Missisquoi"," 121B","Orford",25,10,0,89,51,35,0,210,407
24010,"Brome--Missisquoi/Brome--Missisquoi"," 122","Magog",22,7,0,124,94,37,0,284,484
24010,"Brome--Missisquoi/Brome--Missisquoi"," 123A","Omerville",23,6,0,62,42,43,0,176,262
24010,"Brome--Missisquoi/Brome--Missisquoi"," 123B","Omerville",13,4,3,67,32,24,0,143,282
24010,"Brome--Missisquoi/Brome--Missisquoi"," 124A","Omerville",7,5,0,79,50,28,2,171,287
24010,"Brome--Missisquoi/Brome--Missisquoi"," 124B","Omerville",19,2,1,72,20,19,4,137,277
24010,"Brome--Missisquoi/Brome--Missisquoi"," 125A","Omerville",22,9,0,104,28,35,0,198,385
24010,"Brome--Missisquoi/Brome--Missisquoi"," 125B","Omerville",18,8,2,96,43,21,4,192,388
24010,"Brome--Missisquoi/Brome--Missisquoi"," 126","Magog",21,18,0,91,47,47,0,224,416
24010,"Brome--Missisquoi/Brome--Missisquoi"," 127","Magog",28,6,0,84,77,52,1,248,438
24010,"Brome--Missisquoi/Brome--Missisquoi"," 128A","Magog",16,5,0,56,77,39,1,194,341
24010,"Brome--Missisquoi/Brome--Missisquoi"," 128B","Magog",17,4,0,95,32,34,2,184,344
24010,"Brome--Missisquoi/Brome--Missisquoi"," 128C","Magog",20,1,0,56,52,30,9,168,345
24010,"Brome--Missisquoi/Brome--Missisquoi"," 129","Magog",28,9,1,104,122,48,2,314,511
24010,"Brome--Missisquoi/Brome--Missisquoi"," 130","Magog",31,9,2,109,76,45,1,273,521
24010,"Brome--Missisquoi/Brome--Missisquoi"," 131","Magog",29,7,0,107,73,29,1,246,393
24010,"Brome--Missisquoi/Brome--Missisquoi"," 132A","Austin",16,7,2,65,56,36,1,183,374
24010,"Brome--Missisquoi/Brome--Missisquoi"," 132B","Austin",16,6,2,87,51,45,3,210,377
24010,"Brome--Missisquoi/Brome--Missisquoi"," 133","Eastman",23,13,1,137,67,42,2,285,467
24010,"Brome--Missisquoi/Brome--Missisquoi"," 134A","Eastman",13,10,1,74,54,23,4,179,307
24010,"Brome--Missisquoi/Brome--Missisquoi"," 134B","Mobile poll/Bureau itinérant",Merged with No. 156C/Fusionné avec le nº 156C,,,,,,,,20
24010,"Brome--Missisquoi/Brome--Missisquoi"," 135","Saint-Étienne-de-Bolton",27,8,3,133,82,36,4,293,455
24010,"Brome--Missisquoi/Brome--Missisquoi"," 136A","Bolton-Est",16,14,0,60,81,44,2,217,338
24010,"Brome--Missisquoi/Brome--Missisquoi"," 136B","Bolton-Est",19,6,0,53,83,40,5,206,345
24010,"Brome--Missisquoi/Brome--Missisquoi"," 137","Austin",23,3,9,48,107,67,2,259,409
24010,"Brome--Missisquoi/Brome--Missisquoi"," 138A","Magog",21,15,3,55,74,40,2,210,363
24010,"Brome--Missisquoi/Brome--Missisquoi"," 138B","Magog",14,8,0,54,77,37,1,191,360
24010,"Brome--Missisquoi/Brome--Missisquoi"," 139A","Magog",12,4,0,77,41,27,0,161,349
24010,"Brome--Missisquoi/Brome--Missisquoi"," 139B","Magog",18,4,1,92,32,36,1,184,350
24010,"Brome--Missisquoi/Brome--Missisquoi"," 140A","Magog",21,9,0,66,30,23,2,151,273
24010,"Brome--Missisquoi/Brome--Missisquoi"," 140B","Magog",10,3,1,50,60,20,3,147,251
24010,"Brome--Missisquoi/Brome--Missisquoi"," 141A","Magog",17,16,0,92,68,61,6,260,436
24010,"Brome--Missisquoi/Brome--Missisquoi"," 141B","Mobile poll/Bureau itinérant",Merged with No. 151B/Fusionné avec le nº 151B,,,,,,,,7
24010,"Brome--Missisquoi/Brome--Missisquoi"," 142A","Magog",15,8,2,61,78,36,1,201,342
24010,"Brome--Missisquoi/Brome--Missisquoi"," 142B ","Mobile poll/Bureau itinérant",6,4,1,29,62,22,2,126,114
24010,"Brome--Missisquoi/Brome--Missisquoi"," 143A","Magog",17,5,0,80,49,22,0,173,377
24010,"Brome--Missisquoi/Brome--Missisquoi"," 143B","Magog",29,13,1,89,48,30,3,213,385
24010,"Brome--Missisquoi/Brome--Missisquoi"," 144A","Magog",6,6,0,60,53,39,2,166,270
24010,"Brome--Missisquoi/Brome--Missisquoi"," 144B","Magog",10,4,0,77,43,13,0,147,252
24010,"Brome--Missisquoi/Brome--Missisquoi"," 144C","Mobile poll/Bureau itinérant",Merged with No. 156C/Fusionné avec le nº 156C,,,,,,,,8
24010,"Brome--Missisquoi/Brome--Missisquoi"," 145A","Magog",23,6,3,110,90,47,2,281,462
24010,"Brome--Missisquoi/Brome--Missisquoi"," 145B","Mobile poll/Bureau itinérant",Merged with No. 162B/Fusionné avec le nº 162B,,,,,,,,60
24010,"Brome--Missisquoi/Brome--Missisquoi"," 146","Magog",22,15,0,126,82,30,1,276,496
24010,"Brome--Missisquoi/Brome--Missisquoi"," 147A","Magog",16,2,1,79,39,41,3,181,320
24010,"Brome--Missisquoi/Brome--Missisquoi"," 147B","Magog",16,6,2,63,53,25,2,167,317
24010,"Brome--Missisquoi/Brome--Missisquoi"," 148","Magog",16,10,2,110,50,31,1,220,484
24010,"Brome--Missisquoi/Brome--Missisquoi"," 149","Magog",15,5,0,60,63,29,2,174,386
24010,"Brome--Missisquoi/Brome--Missisquoi"," 150A","Magog",19,6,0,58,57,24,0,164,247
24010,"Brome--Missisquoi/Brome--Missisquoi"," 150B","Magog",19,5,1,68,42,18,2,155,249
24010,"Brome--Missisquoi/Brome--Missisquoi"," 151A","Magog",15,6,1,81,43,25,0,171,312
24010,"Brome--Missisquoi/Brome--Missisquoi"," 151B ","Mobile poll/Bureau itinérant",3,6,1,23,48,22,1,104,93
24010,"Brome--Missisquoi/Brome--Missisquoi"," 152","Magog",16,6,3,66,60,36,1,188,389
24010,"Brome--Missisquoi/Brome--Missisquoi"," 153","Magog",21,6,1,78,46,29,5,186,446
24010,"Brome--Missisquoi/Brome--Missisquoi"," 154","Magog",22,5,1,70,39,23,4,164,317
24010,"Brome--Missisquoi/Brome--Missisquoi"," 155A","Magog",14,14,1,80,41,42,1,193,359
24010,"Brome--Missisquoi/Brome--Missisquoi"," 155B","Mobile poll/Bureau itinérant",Merged with No. 142B/Fusionné avec le nº 142B,,,,,,,,38
24010,"Brome--Missisquoi/Brome--Missisquoi"," 156A","Magog",12,4,2,64,28,8,4,122,315
24010,"Brome--Missisquoi/Brome--Missisquoi"," 156B","Mobile poll/Bureau itinérant",Merged with No. 151B/Fusionné avec le nº 151B,,,,,,,,3
24010,"Brome--Missisquoi/Brome--Missisquoi"," 156C","Mobile poll/Bureau itinérant",8,4,0,16,28,17,3,76,43
24010,"Brome--Missisquoi/Brome--Missisquoi"," 157","Magog",5,5,0,39,27,13,0,89,293
24010,"Brome--Missisquoi/Brome--Missisquoi"," 158","Magog",10,2,0,37,24,22,2,97,305
