Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bériault,Ghislaine Cournoyer,Rebecca Laplante,Louis Plamondon,Nourredine Seddiki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 19","Bécancour",47,33,7,110,14,4,215,329
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 20","Bécancour",53,36,6,110,11,9,225,347
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 21","Bécancour",51,33,9,142,27,8,270,435
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 22","Bécancour",29,25,3,92,15,4,168,325
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 23","Bécancour",67,24,9,150,11,8,269,421
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 24","Saint-Sylvère",49,29,10,96,18,3,205,335
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 25","Bécancour",33,30,1,89,11,3,167,353
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 26","Bécancour",54,31,11,179,30,6,311,514
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 27","Bécancour",77,38,7,138,19,7,286,447
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 28","Saint-Sylvère",54,53,7,95,14,5,228,332
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 29","Bécancour",43,35,10,113,22,0,223,352
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 29-1","Bécancour",18,13,6,75,10,2,124,277
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 30","Bécancour",50,35,1,118,14,3,221,311
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 31","Bécancour",41,28,8,96,25,10,208,330
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 32","Bécancour",59,31,7,125,19,2,243,417
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 33","Bécancour",60,40,6,116,10,2,234,377
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 34","Bécancour",58,48,8,139,25,5,283,461
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 35A","Bécancour",64,46,4,109,17,3,243,383
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 35B","Bécancour",74,40,8,100,15,7,244,411
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 36","Bécancour",77,53,12,183,34,3,362,537
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 37A","Bécancour",48,48,5,87,19,2,209,310
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 37B","Bécancour",45,51,11,94,10,9,220,311
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 38","Bécancour",63,32,10,114,38,5,262,397
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 39","Bécancour",47,32,12,117,26,6,240,374
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 40","Saint-Célestin-Station",49,24,8,68,12,3,164,274
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 41","Saint-Wenceslas",18,9,4,56,17,9,113,182
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 42","Saint-Wenceslas",49,35,6,105,15,8,218,373
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 43","Saint-Wenceslas",58,28,4,89,16,2,197,355
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 44","Aston-Jonction",44,30,11,74,16,1,176,276
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 45","Sainte-Eulalie",48,30,5,85,18,5,191,302
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 46","Saint-Célestin",34,17,5,93,14,6,169,232
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 47","Saint-Célestin",49,27,15,126,15,1,233,328
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 48","Saint-Célestin",31,17,8,59,5,2,122,198
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 49","Saint-Léonard-d'Aston",50,29,10,88,21,2,200,326
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 50","Saint-Léonard-d'Aston",42,34,15,121,23,10,245,405
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 51","Saint-Léonard-d'Aston",31,28,7,77,20,8,171,287
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 52","Saint-Léonard-d'Aston",44,34,9,114,22,8,231,367
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 53","Sainte-Eulalie",72,30,14,101,14,10,241,402
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 54","Grand-Saint-Esprit",45,42,7,113,29,6,242,375
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 55","Sainte-Monique",38,39,3,98,12,1,191,293
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 56","Sainte-Monique",25,13,4,42,7,1,92,158
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 57","Saint-Léonard-d'Aston",42,38,7,100,24,0,211,344
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 58","Sainte-Perpétue",42,40,2,76,11,4,175,257
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 59","Sainte-Perpétue",79,45,9,151,29,9,322,484
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 60","Saint-Jean-Baptiste-de-Nicolet",42,41,13,144,26,4,270,465
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 61","Saint-Jean-Baptiste-de-Nicolet",37,34,11,147,17,5,251,433
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 61-1","Nicolet",24,19,5,80,8,1,137,243
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 62","Saint-Jean-Baptiste-de-Nicolet",47,33,5,94,17,3,199,346
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 63","Saint-Jean-Baptiste-de-Nicolet",19,29,6,68,9,0,131,235
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 64","Nicolet",45,31,3,57,12,1,149,267
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 65","Nicolet",34,32,5,98,7,5,181,323
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 66","Saint-Jean-Baptiste-de-Nicolet",57,50,6,167,28,6,314,465
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 67","Saint-Jean-Baptiste-de-Nicolet",54,63,8,162,32,4,323,551
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 68","Nicolet",35,60,6,67,15,1,184,501
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 69","Nicolet",43,40,3,99,25,7,217,453
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 70","Nicolet",36,42,7,98,13,4,200,356
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 71","Nicolet",21,15,3,50,6,2,97,205
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 72","Nicolet",14,21,3,40,6,1,85,172
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 73","Nicolet",12,15,5,58,7,4,101,280
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 74","Nicolet",13,16,7,80,14,3,133,343
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 75","Nicolet",43,28,8,104,13,7,203,330
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 76","Nicolet-Sud",38,28,5,83,16,1,171,302
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 77","Baie-du-Febvre",39,32,2,86,14,2,175,284
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 78","Baie-du-Febvre",16,17,4,48,6,2,93,143
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 79","Baie-du-Febvre",49,39,6,169,20,10,293,410
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 80","La Visitation",26,24,6,106,13,2,177,273
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 81","Saint-Zéphirin",45,23,4,96,19,5,192,312
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 82","Saint-Zéphirin",39,27,5,90,13,6,180,270
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 83","Pierreville",28,12,4,112,16,1,173,282
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 84","Pierreville",21,26,11,107,13,1,179,382
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 85","Pierreville",17,41,11,116,18,5,208,461
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 86","Pierreville",41,18,2,128,10,4,203,366
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 87","Pierreville",21,23,8,107,8,4,171,352
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 88","Saint-Elphège",34,28,3,77,10,3,155,222
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 89","Saint-François-du-Lac",42,39,9,157,19,0,266,446
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 90","Saint-François-du-Lac",36,37,10,150,10,4,247,453
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 91","Saint-François-du-Lac",17,29,1,81,15,1,144,280
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 92","Notre-Dame-de-Pierreville",32,24,10,134,14,3,217,364
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 93","Saint-François-du-Lac",39,34,8,126,13,6,226,430
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 94","Saint-Gérard-Majella",27,23,0,47,18,2,117,187
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 95","Sainte-Anne-de-Sorel",21,33,2,109,19,4,188,353
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 96","Sainte-Anne-de-Sorel",35,30,3,124,11,6,209,394
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 97","Yamaska",31,23,4,109,17,2,186,303
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 98","Saint-Michel-d'Yamaska",51,37,5,104,24,5,226,424
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 99","Yamaska",47,44,5,136,14,5,251,440
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 100","Yamaska",22,14,2,57,11,0,106,209
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 101","Saint-David",14,47,2,98,19,0,180,297
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 102","Saint-David",31,33,6,107,20,6,203,336
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 103","Sainte-Anne-de-Sorel",56,39,7,119,20,3,244,424
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 104","Sainte-Anne-de-Sorel",13,44,3,119,17,4,200,358
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 105","Sainte-Anne-de-Sorel",25,48,3,61,16,3,156,295
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 106","Sainte-Anne-de-Sorel",14,35,4,155,24,3,235,392
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 107","Sorel",22,40,5,94,12,0,173,370
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 108","Sorel",23,41,2,64,13,1,144,308
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 109","Sorel",33,26,4,99,12,6,180,358
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 110","Sorel",25,25,3,90,30,5,178,337
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 111","Sorel",22,37,4,91,4,0,158,328
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 112","Sorel",33,35,5,91,9,1,174,365
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 113","Sorel",12,30,0,99,14,1,156,344
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 114","Sorel",18,26,2,120,7,1,174,360
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 115","Sorel",26,31,5,87,17,4,170,358
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 116","Sorel",13,12,4,77,12,2,120,338
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 117","Sorel",38,54,8,163,32,16,311,544
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 118","Sorel",34,14,2,101,8,0,159,307
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 119","Sorel",18,34,3,92,2,9,158,307
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 120","Sorel",15,21,3,73,12,3,127,361
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 121","Sorel",16,23,2,52,6,0,99,324
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 122","Sorel",15,19,4,67,9,4,118,339
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 123","Sorel",19,26,7,89,4,6,151,400
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 124","Sorel",9,12,1,55,3,0,80,289
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 125","Sorel",18,29,1,76,7,5,136,341
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 126","Sorel",16,16,3,63,5,2,105,282
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 127","Sorel",16,25,2,99,13,4,159,455
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 128","Sorel",11,16,1,60,11,3,102,298
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 129","Sorel",17,29,4,97,15,3,165,409
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 130","Sorel",23,31,7,115,20,8,204,370
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 131","Sorel",65,38,2,135,28,8,276,522
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 132","Sorel",25,23,3,140,24,9,224,438
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 133","Saint-Joseph-de-Sorel",19,22,1,112,9,3,166,313
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 134","Saint-Joseph-de-Sorel",18,27,2,97,16,3,163,294
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 135","Saint-Joseph-de-Sorel",11,15,0,87,10,2,125,269
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 136","Saint-Joseph-de-Sorel",17,22,3,99,15,1,157,288
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 137","Saint-Joseph-de-Sorel",17,10,4,65,7,3,106,245
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 138","Tracy",13,15,3,96,18,2,147,331
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 139","Tracy",18,15,4,101,16,0,154,343
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 140","Tracy",23,23,2,98,19,3,168,326
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 141","Tracy",13,15,2,73,6,0,109,322
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 142","Tracy",16,22,5,95,13,6,157,311
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 143","Tracy",19,22,3,93,5,2,144,283
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 144","Tracy",16,25,3,85,25,5,159,319
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 145","Tracy",22,20,3,91,22,1,159,280
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 146","Tracy",29,33,5,98,9,2,176,368
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 147","Tracy",21,17,5,115,18,1,177,330
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 148","Tracy",28,30,5,102,15,4,184,273
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 149","Tracy",23,25,4,80,20,6,158,275
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 150","Tracy",26,31,10,115,31,4,217,395
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 151","Tracy",22,29,5,90,10,0,156,271
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 152","Tracy",22,32,2,99,18,4,177,310
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 153","Tracy",13,22,3,76,15,3,132,261
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 154","Tracy",28,32,4,148,37,4,253,425
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 155","Tracy",18,38,4,110,24,4,198,359
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 156","Tracy",29,35,4,90,16,1,175,376
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 157","Tracy",19,22,2,97,12,2,154,369
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 158","Tracy",27,45,2,88,13,1,176,328
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 159","Tracy",48,45,7,132,23,0,255,522
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 160","Tracy",16,31,2,112,40,1,202,370
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 161","Tracy",27,27,10,151,30,1,246,508
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 162","Tracy",24,36,5,112,38,0,215,341
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 163","Tracy",45,58,6,142,24,3,278,478
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 164A","Tracy",22,24,6,97,23,3,175,296
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 164B","Tracy",21,25,10,96,20,2,174,302
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 165A","Tracy",50,28,5,89,24,4,200,330
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 165B","Tracy",51,42,6,112,18,1,230,330
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 165-1","Tracy",Merged with No. 165B/Fusionné avec le nº 165B,,,,,,,55
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 166","Sorel",27,38,2,97,32,5,201,373
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 167","Sorel",11,38,6,106,17,5,183,318
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 168","Sorel",24,50,5,116,20,3,218,395
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 169","Sorel",31,28,13,114,19,4,209,436
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 170","Sorel",23,33,3,117,29,4,209,395
