Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Donald A. Doucet,Charles Hubbard,Tilly O'Neill-Gordon,Todd Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi/Miramichi"," 36","Neguac",46,91,48,3,3,191,307
13006,"Miramichi/Miramichi"," 37","Neguac",49,133,58,8,1,249,405
13006,"Miramichi/Miramichi"," 38","Lower Neguac",49,130,44,5,5,233,403
13006,"Miramichi/Miramichi"," 39","Miramichi",21,49,66,3,0,139,252
13006,"Miramichi/Miramichi"," 40","Miramichi",32,58,106,9,2,207,316
13006,"Miramichi/Miramichi"," 41","Miramichi",17,63,69,4,0,153,283
13006,"Miramichi/Miramichi"," 42","Miramichi",15,53,39,8,0,115,291
13006,"Miramichi/Miramichi"," 43","Miramichi",44,48,88,11,1,192,398
13006,"Miramichi/Miramichi"," 44","Miramichi",26,46,76,7,0,155,307
13006,"Miramichi/Miramichi"," 45","Miramichi",18,62,59,8,0,147,279
13006,"Miramichi/Miramichi"," 46A","Miramichi",16,60,62,3,1,142,233
13006,"Miramichi/Miramichi"," 46B","Miramichi",17,60,80,6,0,163,268
13006,"Miramichi/Miramichi"," 47","Miramichi",30,59,96,9,3,197,404
13006,"Miramichi/Miramichi"," 48","Miramichi",37,71,92,10,4,214,420
13006,"Miramichi/Miramichi"," 49","Miramichi",11,15,26,6,0,58,131
13006,"Miramichi/Miramichi"," 50A","Miramichi",31,63,67,4,0,165,292
13006,"Miramichi/Miramichi"," 50B","Miramichi",18,40,45,7,1,111,201
13006,"Miramichi/Miramichi"," 51","Miramichi",20,78,64,7,1,170,361
13006,"Miramichi/Miramichi"," 52","Miramichi",14,39,98,7,2,160,296
13006,"Miramichi/Miramichi"," 53","Miramichi",28,79,145,11,0,263,467
13006,"Miramichi/Miramichi"," 54","Miramichi",40,114,126,8,1,289,487
13006,"Miramichi/Miramichi"," 55","Miramichi",40,58,140,11,5,254,409
13006,"Miramichi/Miramichi"," 56A","Miramichi",9,55,73,5,3,145,264
13006,"Miramichi/Miramichi"," 56B","Miramichi",29,57,74,8,0,168,299
13006,"Miramichi/Miramichi"," 57","Miramichi",25,72,103,8,5,213,359
13006,"Miramichi/Miramichi"," 57-1","Miramichi",25,37,60,1,1,124,224
13006,"Miramichi/Miramichi"," 58","Miramichi",21,53,84,17,1,176,294
13006,"Miramichi/Miramichi"," 59","Miramichi",43,85,127,11,2,268,385
13006,"Miramichi/Miramichi"," 60","Miramichi",28,69,85,2,0,184,333
13006,"Miramichi/Miramichi"," 61","Miramichi",42,80,140,7,5,274,434
13006,"Miramichi/Miramichi"," 62","Miramichi",Void/Supprimé,,,,,,
13006,"Miramichi/Miramichi"," 63","Miramichi",23,60,115,5,1,204,313
13006,"Miramichi/Miramichi"," 64","Miramichi",43,50,167,6,3,269,429
13006,"Miramichi/Miramichi"," 65","Miramichi",16,56,111,7,1,191,422
13006,"Miramichi/Miramichi"," 66","Miramichi",29,76,102,1,1,209,473
13006,"Miramichi/Miramichi"," 67","Miramichi",24,43,64,10,1,142,341
13006,"Miramichi/Miramichi"," 68","Miramichi",12,48,56,6,0,122,270
13006,"Miramichi/Miramichi"," 69","Miramichi",17,29,75,6,0,127,260
13006,"Miramichi/Miramichi"," 70","Miramichi",14,31,52,2,1,100,223
13006,"Miramichi/Miramichi"," 71","Miramichi",19,41,66,6,1,133,231
13006,"Miramichi/Miramichi"," 72","Miramichi",17,68,69,7,2,163,321
13006,"Miramichi/Miramichi"," 73","Miramichi",22,63,94,8,2,189,352
13006,"Miramichi/Miramichi"," 74","Miramichi",16,55,72,7,1,151,316
13006,"Miramichi/Miramichi"," 75","Miramichi",26,68,76,12,3,185,358
13006,"Miramichi/Miramichi"," 76","Miramichi",36,44,136,8,2,226,425
13006,"Miramichi/Miramichi"," 77A","Miramichi",16,43,92,9,3,163,238
13006,"Miramichi/Miramichi"," 77B","Miramichi",12,41,80,3,0,136,264
13006,"Miramichi/Miramichi"," 78","Miramichi",21,47,87,1,0,156,284
13006,"Miramichi/Miramichi"," 79","Miramichi",19,61,79,12,2,173,294
13006,"Miramichi/Miramichi"," 80","Lower Napan",44,84,149,12,0,289,443
13006,"Miramichi/Miramichi"," 81","Matthews",8,70,120,4,0,202,344
13006,"Miramichi/Miramichi"," 82","Sillikers",9,39,45,1,0,94,159
13006,"Miramichi/Miramichi"," 83","Red Bank 4",13,137,17,1,0,168,341
13006,"Miramichi/Miramichi"," 84","Warwick Settlement",25,103,69,10,1,208,373
13006,"Miramichi/Miramichi"," 85A","Williamstown",17,33,58,8,2,118,238
13006,"Miramichi/Miramichi"," 85B","Williamstown",8,49,64,5,1,127,243
13006,"Miramichi/Miramichi"," 86A","South Esk",33,59,86,12,2,192,300
13006,"Miramichi/Miramichi"," 86B","South Esk",9,41,85,8,0,143,208
13006,"Miramichi/Miramichi"," 87","Upper Derby",11,20,29,7,1,68,139
13006,"Miramichi/Miramichi"," 88","Millerton",43,47,131,11,3,235,400
13006,"Miramichi/Miramichi"," 89","McKinleyville",28,47,82,7,2,166,315
13006,"Miramichi/Miramichi"," 90","Nelson",26,43,50,3,0,122,199
13006,"Miramichi/Miramichi"," 91","Barnaby River",36,46,81,5,0,168,251
13006,"Miramichi/Miramichi"," 92","Rogersville",51,76,65,9,7,208,336
13006,"Miramichi/Miramichi"," 93","Pleasant Ridge",29,38,41,11,0,119,220
13006,"Miramichi/Miramichi"," 94","Rogersville",66,115,78,14,6,279,428
13006,"Miramichi/Miramichi"," 95","Rogersville",32,86,58,17,5,198,329
13006,"Miramichi/Miramichi"," 96","Collette",42,73,64,9,5,193,258
13006,"Miramichi/Miramichi"," 97","East Collette",43,35,41,7,2,128,180
13006,"Miramichi/Miramichi"," 98","Rogersville",34,40,48,8,4,134,224
13006,"Miramichi/Miramichi"," 99","Acadieville",45,43,25,3,4,120,257
13006,"Miramichi/Miramichi"," 100","Acadieville",82,97,74,11,13,277,422
13006,"Miramichi/Miramichi"," 101","Glenwood",32,50,80,8,3,173,289
13006,"Miramichi/Miramichi"," 102","Centre Napan",21,77,148,4,1,251,403
13006,"Miramichi/Miramichi"," 103","Black River Bridge",31,37,142,6,0,216,333
13006,"Miramichi/Miramichi"," 104","St. Margarets",31,41,63,1,2,138,239
13006,"Miramichi/Miramichi"," 105","Bay du Vin",17,75,176,6,0,274,400
13006,"Miramichi/Miramichi"," 106","Hardwicke",20,44,55,1,1,121,222
13006,"Miramichi/Miramichi"," 107","Escuminac",18,42,64,5,7,136,267
13006,"Miramichi/Miramichi"," 108","Eel River Bridge",57,83,67,8,11,226,440
13006,"Miramichi/Miramichi"," 109","Baie-Sainte-Anne",9,25,21,1,0,56,117
13006,"Miramichi/Miramichi"," 110","Baie-Sainte-Anne",31,112,76,10,4,233,430
13006,"Miramichi/Miramichi"," 111","Baie-Sainte-Anne",8,36,39,0,3,86,153
13006,"Miramichi/Miramichi"," 112","Kouchibouguac",26,66,85,8,5,190,268
13006,"Miramichi/Miramichi"," 113","Pointe-Sapin",57,133,90,14,0,294,406
13006,"Miramichi/Miramichi"," 114","Pointe-Sapin",12,28,16,1,6,63,78
13006,"Miramichi/Miramichi"," 115","Holtville",15,59,97,12,0,183,370
13006,"Miramichi/Miramichi"," 116","Carrolls Crossing",20,46,103,5,0,174,310
13006,"Miramichi/Miramichi"," 117","Boiestown",27,61,83,12,1,184,290
13006,"Miramichi/Miramichi"," 118","Ludlow",19,66,101,11,1,198,335
13006,"Miramichi/Miramichi"," 119","Storeytown",15,32,48,3,1,99,224
13006,"Miramichi/Miramichi"," 120","Hazelton",16,58,49,7,2,132,272
13006,"Miramichi/Miramichi"," 121","Doaktown",19,24,52,4,0,99,226
13006,"Miramichi/Miramichi"," 122","Blissfield",24,38,45,2,3,112,224
13006,"Miramichi/Miramichi"," 123","Doaktown",12,45,47,7,3,114,246
13006,"Miramichi/Miramichi"," 124","Renous",34,75,68,8,0,185,283
13006,"Miramichi/Miramichi"," 125","Renous",30,82,67,15,1,195,270
13006,"Miramichi/Miramichi"," 126","White Rapids",25,55,62,6,1,149,251
13006,"Miramichi/Miramichi"," 127","Coughlan",19,36,64,6,2,127,243
13006,"Miramichi/Miramichi"," 128","Barnettville",13,21,43,5,1,83,190
13006,"Miramichi/Miramichi"," 129","Blackville",26,58,114,12,0,210,367
13006,"Miramichi/Miramichi"," 130","Blackville",49,98,125,12,0,284,497
13006,"Miramichi/Miramichi"," 131","Upper Blackville",20,66,82,2,1,171,355
13006,"Miramichi/Miramichi"," 500","Mobile poll/Bureau itinérant",6,34,16,1,2,59,89
13006,"Miramichi/Miramichi"," 501","Mobile poll/Bureau itinérant",4,51,30,0,1,86,180
13006,"Miramichi/Miramichi"," 502","Mobile poll/Bureau itinérant",8,18,15,0,1,42,83
13006,"Miramichi/Miramichi"," 600","Belledune",59,112,86,22,7,286,
13006,"Miramichi/Miramichi"," 601","Miramichi",32,102,189,14,0,337,
13006,"Miramichi/Miramichi"," 602","Neguac",83,179,126,7,7,402,
13006,"Miramichi/Miramichi"," 603","Sunny Corner--Red Bank",12,90,113,5,0,220,
13006,"Miramichi/Miramichi"," 604","Miramichi",54,178,197,26,4,459,
13006,"Miramichi/Miramichi"," 605","Miramichi",44,246,358,29,5,682,
13006,"Miramichi/Miramichi"," 606","Miramichi",26,77,125,8,1,237,
13006,"Miramichi/Miramichi"," 607","Baie-Sainte-Anne",37,94,82,2,6,221,
13006,"Miramichi/Miramichi"," 608","Doaktown",15,84,101,10,3,213,
13006,"Miramichi/Miramichi"," 609","Rogersville",50,115,71,10,6,252,
13006,"Miramichi/Miramichi"," 610","Blackville",20,94,110,4,2,230,
13006,"Miramichi/Miramichi",,Group 1/Groupe 1,11,34,58,6,4,113,326
13006,"Miramichi/Miramichi",,Group 2/Groupe 2,46,242,279,20,12,599,

