Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bekkering,Hilary Crowley,Lindsay Gidney,Jay Hill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Prince George--Peace River/Prince George--Peace River"," 110","Prince George",39,20,13,92,0,164,459
59022,"Prince George--Peace River/Prince George--Peace River"," 111","Prince George",75,20,13,95,0,203,530
59022,"Prince George--Peace River/Prince George--Peace River"," 112","Prince George",64,13,13,123,0,213,464
59022,"Prince George--Peace River/Prince George--Peace River"," 113","Prince George",35,19,25,161,0,240,442
59022,"Prince George--Peace River/Prince George--Peace River"," 114","Prince George",52,31,36,134,0,253,446
59022,"Prince George--Peace River/Prince George--Peace River"," 115","Prince George",28,10,16,38,0,92,264
59022,"Prince George--Peace River/Prince George--Peace River"," 116","Prince George",49,22,21,119,0,211,362
59022,"Prince George--Peace River/Prince George--Peace River"," 117","Prince George",45,26,35,144,0,250,448
59022,"Prince George--Peace River/Prince George--Peace River"," 118","Prince George",37,30,25,179,1,272,505
59022,"Prince George--Peace River/Prince George--Peace River"," 118-1","Prince George",Void/Supprimé,,,,,,
59022,"Prince George--Peace River/Prince George--Peace River"," 119A","Prince George",21,17,22,71,0,131,279
59022,"Prince George--Peace River/Prince George--Peace River"," 119B","Prince George",34,22,26,132,0,214,389
59022,"Prince George--Peace River/Prince George--Peace River"," 120","Prince George",81,23,33,126,1,264,568
59022,"Prince George--Peace River/Prince George--Peace River"," 121","Prince George",71,20,25,152,1,269,547
59022,"Prince George--Peace River/Prince George--Peace River"," 122","Prince George",64,20,34,135,0,253,543
59022,"Prince George--Peace River/Prince George--Peace River"," 123","Prince George",42,20,19,108,1,190,412
59022,"Prince George--Peace River/Prince George--Peace River"," 124","Prince George",45,15,15,93,0,168,308
59022,"Prince George--Peace River/Prince George--Peace River"," 125","Prince George",33,22,24,114,1,194,332
59022,"Prince George--Peace River/Prince George--Peace River"," 126","Prince George",52,39,41,167,0,299,497
59022,"Prince George--Peace River/Prince George--Peace River"," 127A","Prince George",37,12,21,86,1,157,354
59022,"Prince George--Peace River/Prince George--Peace River"," 127B","Prince George",35,10,15,92,0,152,414
59022,"Prince George--Peace River/Prince George--Peace River"," 128","Prince George",45,31,25,105,0,206,468
59022,"Prince George--Peace River/Prince George--Peace River"," 129","Prince George",16,7,30,71,0,124,292
59022,"Prince George--Peace River/Prince George--Peace River"," 130","Prince George",44,13,18,100,0,175,421
59022,"Prince George--Peace River/Prince George--Peace River"," 131","Prince George",51,8,10,82,0,151,348
59022,"Prince George--Peace River/Prince George--Peace River"," 132","Prince George",37,15,8,46,0,106,251
59022,"Prince George--Peace River/Prince George--Peace River"," 133","Prince George",47,24,29,106,0,206,401
59022,"Prince George--Peace River/Prince George--Peace River"," 134","Prince George",48,25,14,60,4,151,375
59022,"Prince George--Peace River/Prince George--Peace River"," 135","Prince George",58,24,29,66,4,181,517
59022,"Prince George--Peace River/Prince George--Peace River"," 136","Prince George",67,29,21,87,0,204,472
59022,"Prince George--Peace River/Prince George--Peace River"," 137","Prince George",43,16,13,56,0,128,367
59022,"Prince George--Peace River/Prince George--Peace River"," 138","Prince George",64,14,25,57,0,160,474
59022,"Prince George--Peace River/Prince George--Peace River"," 139","Prince George",54,20,20,72,0,166,392
59022,"Prince George--Peace River/Prince George--Peace River"," 140","Prince George",43,30,23,63,1,160,353
59022,"Prince George--Peace River/Prince George--Peace River"," 141","Prince George",43,27,26,87,2,185,369
59022,"Prince George--Peace River/Prince George--Peace River"," 142","Prince George",41,22,30,80,0,173,371
59022,"Prince George--Peace River/Prince George--Peace River"," 143","Prince George",49,37,28,47,2,163,365
59022,"Prince George--Peace River/Prince George--Peace River"," 144","Prince George",43,24,25,53,1,146,296
59022,"Prince George--Peace River/Prince George--Peace River"," 145","Prince George",28,18,22,52,0,120,301
59022,"Prince George--Peace River/Prince George--Peace River"," 146","Prince George",67,47,28,72,1,215,609
59022,"Prince George--Peace River/Prince George--Peace River"," 147","Prince George",Void/Supprimé,,,,,,
59022,"Prince George--Peace River/Prince George--Peace River"," 148","Sunset Prairie",22,7,5,45,0,79,144
59022,"Prince George--Peace River/Prince George--Peace River"," 149","Tower Lake",6,7,5,55,1,74,190
59022,"Prince George--Peace River/Prince George--Peace River"," 150","Doe River",6,6,4,72,0,88,227
59022,"Prince George--Peace River/Prince George--Peace River"," 151","Rolla",9,18,7,97,0,131,218
59022,"Prince George--Peace River/Prince George--Peace River"," 152","Farmington",20,15,4,136,0,175,254
59022,"Prince George--Peace River/Prince George--Peace River"," 153","Bessborough",45,30,8,148,1,232,533
59022,"Prince George--Peace River/Prince George--Peace River"," 154","Sunset Prairie",17,9,1,59,0,86,141
59022,"Prince George--Peace River/Prince George--Peace River"," 155","Sunset Prairie",14,7,6,66,0,93,200
59022,"Prince George--Peace River/Prince George--Peace River"," 156","Fellers Heights",25,14,6,110,0,155,306
59022,"Prince George--Peace River/Prince George--Peace River"," 157","Dawson Creek",32,33,15,146,0,226,488
59022,"Prince George--Peace River/Prince George--Peace River"," 158","Dawson Creek",4,7,2,53,0,66,145
59022,"Prince George--Peace River/Prince George--Peace River"," 159","Dawson Creek",18,8,5,99,1,131,232
59022,"Prince George--Peace River/Prince George--Peace River"," 160","Pouce Coupe",22,31,9,137,2,201,394
59022,"Prince George--Peace River/Prince George--Peace River"," 161","Pouce Coupe",18,21,9,102,1,151,368
59022,"Prince George--Peace River/Prince George--Peace River"," 162","Pouce Coupe",16,11,10,97,0,134,289
59022,"Prince George--Peace River/Prince George--Peace River"," 163","Tomslake",33,10,2,66,0,111,189
59022,"Prince George--Peace River/Prince George--Peace River"," 164","Tupper",8,4,3,55,0,70,140
59022,"Prince George--Peace River/Prince George--Peace River"," 165","Fellers Heights",6,6,2,71,0,85,85
59022,"Prince George--Peace River/Prince George--Peace River"," 166","Tumbler Ridge",34,22,11,131,0,198,577
59022,"Prince George--Peace River/Prince George--Peace River"," 167","Tumbler Ridge",26,15,8,62,0,111,244
59022,"Prince George--Peace River/Prince George--Peace River"," 168","Tumbler Ridge",12,15,6,74,0,107,254
59022,"Prince George--Peace River/Prince George--Peace River"," 169","Tumbler Ridge",17,6,11,59,0,93,225
59022,"Prince George--Peace River/Prince George--Peace River"," 170","Tumbler Ridge",19,9,3,80,0,111,247
59022,"Prince George--Peace River/Prince George--Peace River"," 171","Tumbler Ridge",17,7,9,70,0,103,201
59022,"Prince George--Peace River/Prince George--Peace River"," 172","Kelly Lake",17,5,4,4,0,30,53
59022,"Prince George--Peace River/Prince George--Peace River"," 173","Dawson Creek",27,25,20,166,3,241,530
59022,"Prince George--Peace River/Prince George--Peace River"," 174","Dawson Creek",18,18,10,97,1,144,411
59022,"Prince George--Peace River/Prince George--Peace River"," 175","Dawson Creek",32,20,15,90,0,157,381
59022,"Prince George--Peace River/Prince George--Peace River"," 176","Dawson Creek",54,35,27,132,0,248,522
59022,"Prince George--Peace River/Prince George--Peace River"," 177","Dawson Creek",15,15,10,132,0,172,364
59022,"Prince George--Peace River/Prince George--Peace River"," 178","Dawson Creek",27,8,7,124,0,166,430
59022,"Prince George--Peace River/Prince George--Peace River"," 179","Dawson Creek",30,17,16,124,5,192,490
59022,"Prince George--Peace River/Prince George--Peace River"," 180","Dawson Creek",25,9,4,76,1,115,371
59022,"Prince George--Peace River/Prince George--Peace River"," 181","Dawson Creek",14,4,7,52,1,78,331
59022,"Prince George--Peace River/Prince George--Peace River"," 182","Dawson Creek",37,20,23,119,0,199,549
59022,"Prince George--Peace River/Prince George--Peace River"," 183","Dawson Creek",43,15,15,121,1,195,509
59022,"Prince George--Peace River/Prince George--Peace River"," 184","Dawson Creek",23,22,9,75,0,129,308
59022,"Prince George--Peace River/Prince George--Peace River"," 185","Dawson Creek",24,11,15,107,1,158,364
59022,"Prince George--Peace River/Prince George--Peace River"," 186","Dawson Creek",39,11,20,104,0,174,449
59022,"Prince George--Peace River/Prince George--Peace River"," 187","Dawson Creek",28,23,14,84,1,150,344
59022,"Prince George--Peace River/Prince George--Peace River"," 188","Dawson Creek",21,25,14,55,1,116,507
