Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan David Coates,Jason Devine,Bernie Kennedy,Deepak Obhrai,Ian Vaughan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Calgary East/Calgary-Est"," 49","Calgary",15,1,9,124,24,1,174,484
48002,"Calgary East/Calgary-Est"," 50","Calgary",13,0,17,84,13,0,127,339
48002,"Calgary East/Calgary-Est"," 51","Calgary",13,2,16,93,25,2,151,393
48002,"Calgary East/Calgary-Est"," 52","Calgary",17,3,17,107,15,0,159,472
48002,"Calgary East/Calgary-Est"," 53","Calgary",9,1,8,65,16,3,102,297
48002,"Calgary East/Calgary-Est"," 54","Calgary",20,1,16,68,16,3,124,332
48002,"Calgary East/Calgary-Est"," 55","Calgary",2,3,18,78,23,0,124,429
48002,"Calgary East/Calgary-Est"," 56","Calgary",8,2,11,63,10,0,94,310
48002,"Calgary East/Calgary-Est"," 57","Calgary",17,1,11,68,10,0,107,273
48002,"Calgary East/Calgary-Est"," 58","Calgary",11,1,12,97,14,0,135,405
48002,"Calgary East/Calgary-Est"," 59","Calgary",8,2,14,51,12,1,88,357
48002,"Calgary East/Calgary-Est"," 60","Calgary",14,1,23,94,18,0,150,443
48002,"Calgary East/Calgary-Est"," 61","Calgary",12,1,10,99,19,0,141,422
48002,"Calgary East/Calgary-Est"," 62","Calgary",11,1,16,81,13,0,122,398
48002,"Calgary East/Calgary-Est"," 63","Calgary",9,2,24,84,22,1,142,351
48002,"Calgary East/Calgary-Est"," 64","Calgary",11,1,8,39,6,0,65,284
48002,"Calgary East/Calgary-Est"," 65","Calgary",2,1,7,47,8,1,66,293
48002,"Calgary East/Calgary-Est"," 66","Calgary",13,3,15,80,17,0,128,459
48002,"Calgary East/Calgary-Est"," 67","Calgary",14,0,9,121,17,0,161,500
48002,"Calgary East/Calgary-Est"," 68A","Calgary",5,0,2,47,18,0,72,358
48002,"Calgary East/Calgary-Est"," 68B","Calgary",9,1,5,63,16,0,94,404
48002,"Calgary East/Calgary-Est"," 68-1","Calgary",2,1,10,33,7,1,54,207
48002,"Calgary East/Calgary-Est"," 69","Calgary",16,1,8,88,9,1,123,312
48002,"Calgary East/Calgary-Est"," 70","Calgary",22,1,21,99,23,1,167,429
48002,"Calgary East/Calgary-Est"," 71","Calgary",13,2,19,113,55,3,205,397
48002,"Calgary East/Calgary-Est"," 72","Calgary",11,1,17,128,24,0,181,517
48002,"Calgary East/Calgary-Est"," 73","Calgary",17,2,14,79,19,0,131,350
48002,"Calgary East/Calgary-Est"," 74","Calgary",9,1,16,83,8,0,117,306
48002,"Calgary East/Calgary-Est"," 75","Calgary",12,0,20,93,15,2,142,425
48002,"Calgary East/Calgary-Est"," 76","Calgary",16,1,16,121,22,0,176,433
48002,"Calgary East/Calgary-Est"," 77","Calgary",19,5,14,124,19,1,182,476
48002,"Calgary East/Calgary-Est"," 78","Calgary",13,0,11,68,14,1,107,349
48002,"Calgary East/Calgary-Est"," 79","Calgary",7,5,7,114,23,0,156,517
48002,"Calgary East/Calgary-Est"," 80","Calgary",7,0,13,68,11,0,99,276
48002,"Calgary East/Calgary-Est"," 81","Calgary",8,1,20,100,13,0,142,546
48002,"Calgary East/Calgary-Est"," 82","Calgary",1,4,13,84,12,4,118,346
48002,"Calgary East/Calgary-Est"," 83","Calgary",7,5,11,57,5,1,86,397
48002,"Calgary East/Calgary-Est"," 83-1","Calgary",1,3,11,72,7,0,94,346
48002,"Calgary East/Calgary-Est"," 84","Calgary",7,2,17,102,17,0,145,451
48002,"Calgary East/Calgary-Est"," 85","Calgary",7,5,9,96,10,0,127,317
48002,"Calgary East/Calgary-Est"," 86","Calgary",7,0,12,47,15,2,83,416
48002,"Calgary East/Calgary-Est"," 87","Calgary",8,2,24,75,7,1,117,446
48002,"Calgary East/Calgary-Est"," 87-1","Calgary",13,2,18,66,22,0,121,465
48002,"Calgary East/Calgary-Est"," 88","Calgary",12,3,12,75,15,0,117,418
48002,"Calgary East/Calgary-Est"," 89","Calgary",7,4,8,78,7,0,104,500
48002,"Calgary East/Calgary-Est"," 90","Calgary",14,1,10,104,27,0,156,377
48002,"Calgary East/Calgary-Est"," 91","Calgary",12,0,11,104,22,0,149,351
48002,"Calgary East/Calgary-Est"," 92","Calgary",4,0,9,34,6,2,55,213
48002,"Calgary East/Calgary-Est"," 93","Calgary",16,0,5,68,12,2,103,274
48002,"Calgary East/Calgary-Est"," 94","Calgary",12,0,7,96,9,2,126,279
48002,"Calgary East/Calgary-Est"," 95","Calgary",11,1,7,61,7,1,88,306
48002,"Calgary East/Calgary-Est"," 96","Calgary",6,0,7,44,6,0,63,258
48002,"Calgary East/Calgary-Est"," 97","Calgary",4,3,12,46,9,0,74,254
48002,"Calgary East/Calgary-Est"," 98","Calgary",7,1,9,55,13,0,85,305
48002,"Calgary East/Calgary-Est"," 99","Calgary",8,0,9,57,13,1,88,282
48002,"Calgary East/Calgary-Est"," 100","Calgary",15,1,14,58,15,0,103,322
48002,"Calgary East/Calgary-Est"," 101","Calgary",4,1,8,69,20,0,102,286
48002,"Calgary East/Calgary-Est"," 102","Calgary",10,1,4,29,9,2,55,220
48002,"Calgary East/Calgary-Est"," 103","Calgary",11,1,9,46,17,0,84,434
48002,"Calgary East/Calgary-Est"," 104","Calgary",5,1,21,58,21,0,106,351
48002,"Calgary East/Calgary-Est"," 105","Calgary",10,0,19,73,14,0,116,473
48002,"Calgary East/Calgary-Est"," 106","Calgary",8,1,22,59,17,0,107,457
48002,"Calgary East/Calgary-Est"," 107","Calgary",62,2,22,52,12,0,150,355
48002,"Calgary East/Calgary-Est"," 108","Calgary",78,3,52,127,32,1,293,533
48002,"Calgary East/Calgary-Est"," 109","Calgary",51,4,54,117,24,0,250,459
48002,"Calgary East/Calgary-Est"," 109-1","Calgary",47,0,29,83,25,0,184,323
48002,"Calgary East/Calgary-Est"," 110","Calgary",69,2,24,111,21,0,227,504
48002,"Calgary East/Calgary-Est"," 111","Calgary",71,1,33,103,33,0,241,469
48002,"Calgary East/Calgary-Est"," 112","Calgary",21,2,13,84,12,1,133,367
48002,"Calgary East/Calgary-Est"," 113","Calgary",21,1,8,151,18,3,202,415
48002,"Calgary East/Calgary-Est"," 114","Calgary",15,0,12,52,10,1,90,351
48002,"Calgary East/Calgary-Est"," 115","Calgary",16,2,15,102,13,1,149,358
48002,"Calgary East/Calgary-Est"," 116","Calgary",7,1,15,68,15,1,107,411
48002,"Calgary East/Calgary-Est"," 117","Calgary",9,2,6,61,12,0,90,352
48002,"Calgary East/Calgary-Est"," 118","Calgary",11,3,4,42,7,1,68,322
48002,"Calgary East/Calgary-Est"," 119","Calgary",18,1,8,100,21,0,148,501
48002,"Calgary East/Calgary-Est"," 120","Calgary",10,1,8,104,15,0,138,343
48002,"Calgary East/Calgary-Est"," 121","Calgary",9,0,8,88,15,0,120,317
48002,"Calgary East/Calgary-Est"," 122","Calgary",5,2,6,91,12,0,116,339
48002,"Calgary East/Calgary-Est"," 123","Calgary",16,1,20,152,13,0,202,425
48002,"Calgary East/Calgary-Est"," 124","Calgary",8,0,11,66,13,2,100,380
48002,"Calgary East/Calgary-Est"," 125","Calgary",21,0,5,95,30,0,151,381
48002,"Calgary East/Calgary-Est"," 126","Calgary",10,4,10,77,25,1,127,366
48002,"Calgary East/Calgary-Est"," 127","Calgary",13,1,8,49,10,0,81,414
48002,"Calgary East/Calgary-Est"," 128","Calgary",13,2,17,81,17,1,131,471
48002,"Calgary East/Calgary-Est"," 129","Calgary",6,1,4,34,12,0,57,259
48002,"Calgary East/Calgary-Est"," 130","Calgary",7,1,11,33,14,0,66,253
48002,"Calgary East/Calgary-Est"," 131","Calgary",5,0,16,67,9,0,97,276
48002,"Calgary East/Calgary-Est"," 132","Calgary",12,1,7,72,20,1,113,387
48002,"Calgary East/Calgary-Est"," 133","Calgary",18,1,9,106,11,1,146,318
48002,"Calgary East/Calgary-Est"," 134","Calgary",19,2,8,126,26,1,182,431
48002,"Calgary East/Calgary-Est"," 135","Calgary",15,3,11,91,14,1,135,354
48002,"Calgary East/Calgary-Est"," 136","Calgary",22,3,12,99,11,1,148,290
48002,"Calgary East/Calgary-Est"," 137","Calgary",20,1,10,132,12,0,175,313
48002,"Calgary East/Calgary-Est"," 138","Calgary",17,5,6,122,21,0,171,421
48002,"Calgary East/Calgary-Est"," 139","Calgary",15,0,6,81,0,0,102,313
48002,"Calgary East/Calgary-Est"," 140","Calgary",19,1,14,94,17,0,145,362
48002,"Calgary East/Calgary-Est"," 141","Calgary",23,0,14,96,22,0,155,398
48002,"Calgary East/Calgary-Est"," 142","Calgary",6,0,8,68,17,4,103,269
48002,"Calgary East/Calgary-Est"," 143","Calgary",8,3,15,142,16,0,184,507
48002,"Calgary East/Calgary-Est"," 143-1","Calgary",5,1,8,40,3,1,58,224
48002,"Calgary East/Calgary-Est"," 144","Calgary",11,1,8,59,25,2,106,220
48002,"Calgary East/Calgary-Est"," 145","Calgary",31,3,15,143,42,2,236,611
48002,"Calgary East/Calgary-Est"," 146","Calgary",11,6,12,85,18,0,132,385
48002,"Calgary East/Calgary-Est"," 147","Calgary",10,1,16,140,24,0,191,426
48002,"Calgary East/Calgary-Est"," 148","Calgary",19,2,17,121,21,2,182,344
48002,"Calgary East/Calgary-Est"," 149","Calgary",12,4,6,73,13,1,109,233
48002,"Calgary East/Calgary-Est"," 150","Calgary",15,1,7,87,9,1,120,305
48002,"Calgary East/Calgary-Est"," 151","Calgary",21,1,16,109,18,2,167,376
48002,"Calgary East/Calgary-Est"," 152A","Calgary",10,0,19,110,9,0,148,423
48002,"Calgary East/Calgary-Est"," 152B","Calgary",11,1,8,87,14,1,122,356
48002,"Calgary East/Calgary-Est"," 152C","Calgary",9,2,14,79,12,0,116,319
48002,"Calgary East/Calgary-Est"," 153","Calgary",13,2,12,106,21,0,154,445
48002,"Calgary East/Calgary-Est"," 154","Calgary",13,0,14,70,7,0,104,227
48002,"Calgary East/Calgary-Est"," 155","Calgary",1,1,15,52,11,0,80,286
48002,"Calgary East/Calgary-Est"," 156","Calgary",30,0,26,132,21,0,209,401
48002,"Calgary East/Calgary-Est"," 157","Calgary",20,0,14,107,27,3,171,334
48002,"Calgary East/Calgary-Est"," 158","Calgary",26,1,9,128,20,1,185,355
48002,"Calgary East/Calgary-Est"," 159","Calgary",13,1,15,79,16,1,125,332
48002,"Calgary East/Calgary-Est"," 160","Calgary",11,0,13,120,16,0,160,327
48002,"Calgary East/Calgary-Est"," 161","Calgary",24,2,8,142,22,0,198,428
48002,"Calgary East/Calgary-Est"," 162","Calgary",25,0,22,115,31,1,194,373
48002,"Calgary East/Calgary-Est"," 163","Calgary",19,0,22,164,35,3,243,475
48002,"Calgary East/Calgary-Est"," 164","Calgary",23,2,24,130,30,0,209,458
48002,"Calgary East/Calgary-Est"," 165","Calgary",25,2,6,92,15,0,140,324
48002,"Calgary East/Calgary-Est"," 166","Calgary",15,1,10,93,25,1,145,361
48002,"Calgary East/Calgary-Est"," 167","Calgary",10,3,12,90,24,0,139,340
48002,"Calgary East/Calgary-Est"," 168","Calgary",12,1,20,87,14,1,135,319
48002,"Calgary East/Calgary-Est"," 169","Calgary",16,0,14,141,25,1,197,409
48002,"Calgary East/Calgary-Est"," 170","Calgary",16,0,10,63,15,1,105,408
48002,"Calgary East/Calgary-Est"," 171","Calgary",25,2,8,127,17,0,179,328
48002,"Calgary East/Calgary-Est"," 172","Calgary",23,0,15,144,11,0,193,323
48002,"Calgary East/Calgary-Est"," 173","Calgary",Void/Supprimé,,,,,,,
48002,"Calgary East/Calgary-Est"," 174","Calgary",21,1,16,190,13,0,241,380
48002,"Calgary East/Calgary-Est"," 175","Calgary",37,1,23,173,23,0,257,477
48002,"Calgary East/Calgary-Est"," 176","Calgary",28,3,11,111,19,0,172,406
48002,"Calgary East/Calgary-Est"," 177","Calgary",28,1,15,129,22,0,195,407
48002,"Calgary East/Calgary-Est"," 178","Calgary",17,0,24,188,16,0,245,416
48002,"Calgary East/Calgary-Est"," 179","Calgary",22,1,12,207,4,0,246,395
48002,"Calgary East/Calgary-Est"," 180","Calgary",14,0,31,94,15,1,155,326
48002,"Calgary East/Calgary-Est"," 181","Calgary",12,2,10,117,12,0,153,371
48002,"Calgary East/Calgary-Est"," 182","Calgary",16,2,12,110,21,0,161,343
48002,"Calgary East/Calgary-Est"," 183","Calgary",24,3,19,113,29,0,188,357
48002,"Calgary East/Calgary-Est"," 184","Calgary",23,1,10,109,19,0,162,278
48002,"Calgary East/Calgary-Est"," 185","Calgary",25,0,12,180,7,1,225,376
48002,"Calgary East/Calgary-Est"," 186","Calgary",21,2,22,197,26,0,268,406
48002,"Calgary East/Calgary-Est"," 187","Calgary",11,2,6,127,29,4,179,361
48002,"Calgary East/Calgary-Est"," 188","Calgary",20,2,11,125,21,0,179,343
48002,"Calgary East/Calgary-Est"," 189","Calgary",20,2,16,110,15,0,163,323
48002,"Calgary East/Calgary-Est"," 190","Calgary",10,0,14,134,18,1,177,420
48002,"Calgary East/Calgary-Est"," 191","Calgary",27,1,22,187,20,1,258,474
48002,"Calgary East/Calgary-Est"," 192","Calgary",19,1,16,221,15,0,272,488
48002,"Calgary East/Calgary-Est"," 193","Calgary",17,0,18,148,15,0,198,452
48002,"Calgary East/Calgary-Est"," 194","Calgary",18,0,19,146,10,0,193,476
48002,"Calgary East/Calgary-Est"," 195","Calgary",22,2,23,180,25,0,252,553
48002,"Calgary East/Calgary-Est"," 500","Mobile poll/Bureau itinérant",6,6,17,52,6,1,88,209
48002,"Calgary East/Calgary-Est"," 501","Mobile poll/Bureau itinérant",6,4,17,86,22,0,135,277
48002,"Calgary East/Calgary-Est"," 600","Calgary",24,2,27,213,31,1,298,
48002,"Calgary East/Calgary-Est"," 601","Calgary",17,1,21,172,24,2,237,
48002,"Calgary East/Calgary-Est"," 602","Calgary",19,2,23,171,18,0,233,
48002,"Calgary East/Calgary-Est"," 603","Calgary",17,1,14,124,19,0,175,
48002,"Calgary East/Calgary-Est"," 604","Calgary",9,1,21,110,20,2,163,
48002,"Calgary East/Calgary-Est"," 605","Calgary",25,1,13,58,6,0,103,
48002,"Calgary East/Calgary-Est"," 606","Calgary",20,3,22,220,39,0,304,
48002,"Calgary East/Calgary-Est"," 607","Calgary",16,3,17,163,23,0,222,
48002,"Calgary East/Calgary-Est"," 608","Calgary",6,0,12,81,10,0,109,
48002,"Calgary East/Calgary-Est"," 609","Calgary",18,1,10,134,9,1,173,
48002,"Calgary East/Calgary-Est",,Group 1/Groupe 1,14,0,53,46,21,14,148,225
48002,"Calgary East/Calgary-Est",,Group 2/Groupe 2,32,2,28,187,33,8,290,

