Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Della Drury,Sip Hofstede,Leila Houle,Aden Murphy,Brian Storseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Westlock--St. Paul/Westlock--St. Paul"," 143","Cold Lake",10,0,12,12,98,1,133,237
48025,"Westlock--St. Paul/Westlock--St. Paul"," 144","Cold Lake",16,3,14,8,159,1,201,739
48025,"Westlock--St. Paul/Westlock--St. Paul"," 145","Cold Lake",21,3,14,5,155,0,198,447
48025,"Westlock--St. Paul/Westlock--St. Paul"," 146","Cold Lake",20,2,27,9,131,1,190,491
48025,"Westlock--St. Paul/Westlock--St. Paul"," 147","Cold Lake",21,3,16,12,120,0,172,595
48025,"Westlock--St. Paul/Westlock--St. Paul"," 148","Cold Lake",21,2,18,6,173,0,220,626
48025,"Westlock--St. Paul/Westlock--St. Paul"," 149","Cold Lake",11,2,13,11,196,0,233,511
48025,"Westlock--St. Paul/Westlock--St. Paul"," 150","Cold Lake",23,1,13,11,99,0,147,510
48025,"Westlock--St. Paul/Westlock--St. Paul"," 151","Cold Lake",8,1,11,11,82,2,115,276
48025,"Westlock--St. Paul/Westlock--St. Paul"," 152","Cold Lake",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 153","Cold Lake",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 154","Ardmore",20,1,13,19,224,0,277,556
48025,"Westlock--St. Paul/Westlock--St. Paul"," 155","Cold Lake 149",11,1,39,5,15,0,71,497
48025,"Westlock--St. Paul/Westlock--St. Paul"," 156","Cherry Grove",14,4,10,15,253,0,296,589
48025,"Westlock--St. Paul/Westlock--St. Paul"," 157","Beaverdam",6,1,11,3,80,0,101,327
48025,"Westlock--St. Paul/Westlock--St. Paul"," 158","Ashmont",33,1,18,9,168,3,232,473
48025,"Westlock--St. Paul/Westlock--St. Paul"," 159","Owlseye",10,4,19,7,155,0,195,393
48025,"Westlock--St. Paul/Westlock--St. Paul"," 160","Saint-Paul",25,4,22,8,101,2,162,424
48025,"Westlock--St. Paul/Westlock--St. Paul"," 161","Saint-Paul",28,3,21,13,159,1,225,448
48025,"Westlock--St. Paul/Westlock--St. Paul"," 162","Saint-Paul",11,3,14,4,78,0,110,270
48025,"Westlock--St. Paul/Westlock--St. Paul"," 163","Saint-Paul",25,3,32,20,109,0,189,404
48025,"Westlock--St. Paul/Westlock--St. Paul"," 164A","Saint-Paul",14,0,11,5,94,1,125,250
48025,"Westlock--St. Paul/Westlock--St. Paul"," 164B","Saint-Paul",14,0,14,8,100,0,136,271
48025,"Westlock--St. Paul/Westlock--St. Paul"," 165","Saint-Paul",17,2,22,16,150,0,207,438
48025,"Westlock--St. Paul/Westlock--St. Paul"," 166","Saint-Paul",14,2,24,12,97,0,149,407
48025,"Westlock--St. Paul/Westlock--St. Paul"," 167","Saint-Paul",48,3,34,15,268,3,371,729
48025,"Westlock--St. Paul/Westlock--St. Paul"," 168","Brosseau",8,0,11,10,71,0,100,179
48025,"Westlock--St. Paul/Westlock--St. Paul"," 169","Lafond",7,3,9,11,84,1,115,221
48025,"Westlock--St. Paul/Westlock--St. Paul"," 170","St. Paul",17,4,11,15,128,0,175,402
48025,"Westlock--St. Paul/Westlock--St. Paul"," 171","St. Edouard",20,9,26,22,150,1,228,454
48025,"Westlock--St. Paul/Westlock--St. Paul"," 172","Lake Eliza",22,4,14,21,123,1,185,289
48025,"Westlock--St. Paul/Westlock--St. Paul"," 173","Elk Point",21,2,13,17,162,0,215,377
48025,"Westlock--St. Paul/Westlock--St. Paul"," 174","Lindbergh",14,3,10,4,89,0,120,227
48025,"Westlock--St. Paul/Westlock--St. Paul"," 175A","Elk Point",18,0,12,17,121,1,169,455
48025,"Westlock--St. Paul/Westlock--St. Paul"," 175B","Elk Point",30,5,21,10,157,0,223,473
48025,"Westlock--St. Paul/Westlock--St. Paul"," 176","Elk Point",Void/Supprimé,,,,,,,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 177","Elk Point East",9,0,5,2,32,0,48,122
48025,"Westlock--St. Paul/Westlock--St. Paul"," 178","Fishing Lake Metis Settlement",29,0,31,9,27,0,96,281
48025,"Westlock--St. Paul/Westlock--St. Paul"," 179","Frog Lake",23,0,65,1,13,0,102,483
48025,"Westlock--St. Paul/Westlock--St. Paul"," 180","Heinsburg",12,0,8,2,74,0,96,208
48025,"Westlock--St. Paul/Westlock--St. Paul"," 181","Tulliby Lake",7,4,2,5,64,7,89,164
48025,"Westlock--St. Paul/Westlock--St. Paul"," 500","Mobile poll/Bureau itinérant",10,6,20,2,123,3,164,289
48025,"Westlock--St. Paul/Westlock--St. Paul"," 501","Mobile poll/Bureau itinérant",11,2,7,5,60,2,87,140
48025,"Westlock--St. Paul/Westlock--St. Paul"," 502","Mobile poll/Bureau itinérant",13,5,36,4,81,2,141,140
48025,"Westlock--St. Paul/Westlock--St. Paul"," 503","Mobile poll/Bureau itinérant",10,4,9,1,38,2,64,98
48025,"Westlock--St. Paul/Westlock--St. Paul"," 504","Mobile poll/Bureau itinérant",5,1,9,1,46,0,62,102
48025,"Westlock--St. Paul/Westlock--St. Paul"," 505","Mobile poll/Bureau itinérant",9,2,16,10,67,1,105,180
48025,"Westlock--St. Paul/Westlock--St. Paul"," 506","Mobile poll/Bureau itinérant",11,1,37,2,94,0,145,184
48025,"Westlock--St. Paul/Westlock--St. Paul"," 507","Mobile poll/Bureau itinérant",6,2,8,5,41,0,62,74
48025,"Westlock--St. Paul/Westlock--St. Paul"," 600","Westlock County",18,5,33,30,224,0,310,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 601","Morinville",9,3,13,6,101,0,132,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 602","Morinville",34,3,45,18,280,1,381,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 603","Gibbons",19,3,20,24,248,0,314,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 604","Thorhild",17,1,7,8,66,0,99,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 605","Smoky Lake",15,3,17,10,83,0,128,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 606","Bonnyville",15,7,21,18,309,0,370,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 607","Cold Lake",29,6,24,18,414,0,491,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 608","Saint-Paul",32,2,29,19,247,1,330,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 609","Namao",13,0,18,8,150,1,190,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 610","Vilna",0,0,5,0,34,0,39,
48025,"Westlock--St. Paul/Westlock--St. Paul"," 611","Elk Point",9,0,5,4,60,0,78,
48025,"Westlock--St. Paul/Westlock--St. Paul",,Group 1/Groupe 1,19,2,38,15,190,8,272,758
48025,"Westlock--St. Paul/Westlock--St. Paul",,Group 2/Groupe 2,15,4,30,22,195,8,274,

