Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geoffrey Capp,Rick Casson,Michael Joseph Cormican,Mark Sandilands,Amanda Swagar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Lethbridge/Lethbridge"," 54","Lethbridge",4,146,22,36,13,2,223,438
48019,"Lethbridge/Lethbridge"," 55","Lethbridge",2,100,16,28,11,0,157,354
48019,"Lethbridge/Lethbridge"," 56A","Lethbridge",1,45,9,7,5,0,67,152
48019,"Lethbridge/Lethbridge"," 56B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,56
48019,"Lethbridge/Lethbridge"," 57","Lethbridge",6,107,9,20,11,2,155,326
48019,"Lethbridge/Lethbridge"," 58","Lethbridge",5,121,17,36,14,2,195,341
48019,"Lethbridge/Lethbridge"," 59","Lethbridge",3,90,15,26,10,0,144,406
48019,"Lethbridge/Lethbridge"," 60","Lethbridge",5,126,19,50,23,0,223,512
48019,"Lethbridge/Lethbridge"," 61","Lethbridge",4,99,22,32,18,0,175,475
48019,"Lethbridge/Lethbridge"," 62","Lethbridge",4,91,9,35,17,0,156,405
48019,"Lethbridge/Lethbridge"," 63","Lethbridge",1,83,18,32,11,0,145,303
48019,"Lethbridge/Lethbridge"," 64","Lethbridge",3,70,15,22,8,0,118,280
48019,"Lethbridge/Lethbridge"," 65","Lethbridge",5,124,7,19,14,1,170,400
48019,"Lethbridge/Lethbridge"," 66","Lethbridge",3,107,14,20,10,0,154,361
48019,"Lethbridge/Lethbridge"," 67","Lethbridge",3,102,13,25,9,0,152,379
48019,"Lethbridge/Lethbridge"," 68","Lethbridge",6,134,19,25,15,2,201,402
48019,"Lethbridge/Lethbridge"," 69","Lethbridge",2,72,8,34,16,0,132,458
48019,"Lethbridge/Lethbridge"," 70","Lethbridge",6,94,12,32,16,1,161,481
48019,"Lethbridge/Lethbridge"," 71","Lethbridge",0,99,24,51,8,1,183,512
48019,"Lethbridge/Lethbridge"," 72","Lethbridge",2,97,15,38,14,2,168,414
48019,"Lethbridge/Lethbridge"," 73","Lethbridge",5,102,14,29,11,0,161,430
48019,"Lethbridge/Lethbridge"," 74","Lethbridge",0,64,22,29,15,1,131,334
48019,"Lethbridge/Lethbridge"," 75","Lethbridge",1,79,16,39,15,0,150,440
48019,"Lethbridge/Lethbridge"," 76A","Lethbridge",1,94,23,39,18,0,175,443
48019,"Lethbridge/Lethbridge"," 76B","Lethbridge",1,96,11,3,1,0,112,116
48019,"Lethbridge/Lethbridge"," 76C ","Mobile poll/Bureau itinérant",Merged with No. 93B/Fusionné avec le nº 93B,,,,,,,104
48019,"Lethbridge/Lethbridge"," 77A","Lethbridge",0,87,23,51,18,0,179,451
48019,"Lethbridge/Lethbridge"," 77B","Lethbridge",2,47,8,20,9,0,86,258
48019,"Lethbridge/Lethbridge"," 77-1","Lethbridge",2,22,3,14,4,0,45,77
48019,"Lethbridge/Lethbridge"," 78A","Lethbridge",4,71,16,33,17,0,141,351
48019,"Lethbridge/Lethbridge"," 78B","Lethbridge",2,106,13,18,15,0,154,340
48019,"Lethbridge/Lethbridge"," 79A","Lethbridge",2,99,20,23,10,0,154,242
48019,"Lethbridge/Lethbridge"," 79B","Lethbridge",2,131,16,30,19,0,198,383
48019,"Lethbridge/Lethbridge"," 79-1","Lethbridge",1,113,23,37,24,0,198,436
48019,"Lethbridge/Lethbridge"," 80A","Lethbridge",1,88,7,24,22,1,143,292
48019,"Lethbridge/Lethbridge"," 80B","Lethbridge",2,103,25,43,23,0,196,388
48019,"Lethbridge/Lethbridge"," 81","Lethbridge",1,101,19,38,10,1,170,362
48019,"Lethbridge/Lethbridge"," 82","Lethbridge",1,114,19,28,12,0,174,323
48019,"Lethbridge/Lethbridge"," 82-1","Lethbridge",3,145,17,20,16,0,201,359
48019,"Lethbridge/Lethbridge"," 83","Lethbridge",1,73,27,48,10,0,159,391
48019,"Lethbridge/Lethbridge"," 84","Lethbridge",4,149,30,27,21,1,232,450
48019,"Lethbridge/Lethbridge"," 85","Lethbridge",2,82,20,42,13,0,159,361
48019,"Lethbridge/Lethbridge"," 85-1","Lethbridge",3,102,21,40,19,2,187,379
48019,"Lethbridge/Lethbridge"," 86","Lethbridge",2,132,47,43,18,0,242,459
48019,"Lethbridge/Lethbridge"," 87","Lethbridge",4,109,19,34,11,1,178,339
48019,"Lethbridge/Lethbridge"," 87-1","Lethbridge",2,114,30,30,6,0,182,337
48019,"Lethbridge/Lethbridge"," 88","Lethbridge",2,140,23,46,27,0,238,502
48019,"Lethbridge/Lethbridge"," 88-1","Lethbridge",5,66,12,28,10,1,122,317
48019,"Lethbridge/Lethbridge"," 89A","Lethbridge",2,127,28,22,16,1,196,294
48019,"Lethbridge/Lethbridge"," 89B","Lethbridge",0,91,12,22,9,0,134,252
48019,"Lethbridge/Lethbridge"," 90","Lethbridge",2,138,39,38,19,4,240,408
48019,"Lethbridge/Lethbridge"," 91","Lethbridge",2,156,39,18,15,1,231,384
48019,"Lethbridge/Lethbridge"," 92A","Lethbridge",4,62,16,17,4,1,104,311
48019,"Lethbridge/Lethbridge"," 92B","Lethbridge",0,123,11,16,2,0,152,226
48019,"Lethbridge/Lethbridge"," 93A","Lethbridge",2,61,19,15,11,1,109,394
48019,"Lethbridge/Lethbridge"," 93B","Mobile poll/Bureau itinérant",6,170,26,14,2,1,219,141
48019,"Lethbridge/Lethbridge"," 94","Lethbridge",4,50,11,31,19,0,115,313
48019,"Lethbridge/Lethbridge"," 95","Lethbridge",2,86,34,44,22,2,190,377
48019,"Lethbridge/Lethbridge"," 96","Lethbridge",1,100,22,34,20,1,178,384
48019,"Lethbridge/Lethbridge"," 97","Lethbridge",4,136,29,36,20,1,226,453
48019,"Lethbridge/Lethbridge"," 98","Lethbridge",5,109,18,27,19,0,178,334
48019,"Lethbridge/Lethbridge"," 99","Lethbridge",0,112,21,28,23,2,186,329
48019,"Lethbridge/Lethbridge"," 100","Lethbridge",2,105,22,28,28,0,185,361
48019,"Lethbridge/Lethbridge"," 101","Lethbridge",0,93,20,52,23,0,188,407
48019,"Lethbridge/Lethbridge"," 102","Lethbridge",0,94,28,51,25,1,199,405
48019,"Lethbridge/Lethbridge"," 103","Lethbridge",1,55,24,36,16,1,133,254
48019,"Lethbridge/Lethbridge"," 104","Lethbridge",0,69,27,48,19,0,163,354
48019,"Lethbridge/Lethbridge"," 105","Lethbridge",2,61,29,50,12,0,154,360
48019,"Lethbridge/Lethbridge"," 106","Lethbridge",4,61,20,49,24,0,158,368
48019,"Lethbridge/Lethbridge"," 107","Lethbridge",5,74,27,43,27,0,176,391
48019,"Lethbridge/Lethbridge"," 108","Lethbridge",0,67,15,30,16,1,129,288
48019,"Lethbridge/Lethbridge"," 109","Lethbridge",1,67,20,55,23,1,167,369
48019,"Lethbridge/Lethbridge"," 110","Lethbridge",2,86,24,34,27,2,175,312
48019,"Lethbridge/Lethbridge"," 111","Lethbridge",3,87,19,20,8,0,137,282
48019,"Lethbridge/Lethbridge"," 112","Lethbridge",4,60,23,29,11,0,127,236
48019,"Lethbridge/Lethbridge"," 113","Lethbridge",5,120,20,37,14,0,196,420
48019,"Lethbridge/Lethbridge"," 114","Lethbridge",2,160,33,41,30,3,269,489
48019,"Lethbridge/Lethbridge"," 115","Lethbridge",1,137,31,46,16,0,231,433
48019,"Lethbridge/Lethbridge"," 116","Lethbridge",1,112,39,27,16,1,196,381
48019,"Lethbridge/Lethbridge"," 117","Lethbridge",2,141,27,43,11,0,224,483
48019,"Lethbridge/Lethbridge"," 118","Lethbridge",0,133,20,25,18,0,196,342
48019,"Lethbridge/Lethbridge"," 119","Lethbridge",2,99,16,24,12,1,154,332
48019,"Lethbridge/Lethbridge"," 120","Lethbridge",3,124,20,28,17,1,193,360
48019,"Lethbridge/Lethbridge"," 121","Lethbridge",1,98,19,23,8,1,150,275
48019,"Lethbridge/Lethbridge"," 122","Lethbridge",2,143,32,21,20,1,219,403
48019,"Lethbridge/Lethbridge"," 123","Lethbridge",0,117,20,39,13,0,189,377
48019,"Lethbridge/Lethbridge"," 124","Lethbridge",1,84,25,24,13,1,148,296
48019,"Lethbridge/Lethbridge"," 125","Lethbridge",2,86,22,33,26,1,170,339
48019,"Lethbridge/Lethbridge"," 126","Lethbridge",2,91,17,22,17,1,150,358
48019,"Lethbridge/Lethbridge"," 127","Lethbridge",0,109,20,31,24,1,185,357
48019,"Lethbridge/Lethbridge"," 128","Lethbridge",2,111,24,30,15,0,182,365
48019,"Lethbridge/Lethbridge"," 129","Lethbridge",2,130,39,23,21,1,216,419
48019,"Lethbridge/Lethbridge"," 130","Lethbridge",4,147,21,32,13,0,217,383
48019,"Lethbridge/Lethbridge"," 131","Lethbridge",5,140,41,32,25,0,243,427
48019,"Lethbridge/Lethbridge"," 132","Lethbridge",0,110,26,25,12,2,175,352
48019,"Lethbridge/Lethbridge"," 133A","Lethbridge",1,85,16,30,13,0,145,338
48019,"Lethbridge/Lethbridge"," 133B","Lethbridge",3,178,21,21,9,1,233,325
48019,"Lethbridge/Lethbridge"," 134","Lethbridge",0,83,14,22,14,0,133,322
48019,"Lethbridge/Lethbridge"," 135","Lethbridge",1,123,30,25,4,0,183,357
48019,"Lethbridge/Lethbridge"," 136","Lethbridge",0,126,30,18,8,1,183,346
48019,"Lethbridge/Lethbridge"," 137","Lethbridge",5,188,32,30,8,1,264,451
48019,"Lethbridge/Lethbridge"," 138","Lethbridge",2,93,11,24,5,0,135,249
48019,"Lethbridge/Lethbridge"," 139A","Lethbridge",0,121,10,14,3,0,148,291
48019,"Lethbridge/Lethbridge"," 139B","Lethbridge",1,150,21,15,5,0,192,370
48019,"Lethbridge/Lethbridge"," 139-1A","Lethbridge",4,162,33,31,11,0,241,462
48019,"Lethbridge/Lethbridge"," 139-1B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,37
48019,"Lethbridge/Lethbridge"," 139-2","Lethbridge",1,114,19,18,9,0,161,336
48019,"Lethbridge/Lethbridge"," 140","Lethbridge",2,226,29,21,8,2,288,534
48019,"Lethbridge/Lethbridge"," 141A","Lethbridge",0,109,9,7,5,0,130,408
48019,"Lethbridge/Lethbridge"," 141B","Lethbridge",1,53,14,21,11,0,100,206
48019,"Lethbridge/Lethbridge"," 142","Lethbridge",1,152,30,21,19,1,224,394
48019,"Lethbridge/Lethbridge"," 143","Lethbridge",4,158,35,23,18,0,238,455
48019,"Lethbridge/Lethbridge"," 144","Lethbridge",0,37,8,29,9,0,83,275
48019,"Lethbridge/Lethbridge"," 145A","Lethbridge",3,80,18,32,20,0,153,381
48019,"Lethbridge/Lethbridge"," 145B","Lethbridge",4,67,12,30,16,0,129,319
48019,"Lethbridge/Lethbridge"," 146A","Lethbridge",1,58,21,35,21,1,137,183
48019,"Lethbridge/Lethbridge"," 146B","Lethbridge",2,55,12,29,20,1,119,176
48019,"Lethbridge/Lethbridge"," 147","Lethbridge",0,95,19,13,17,0,144,281
48019,"Lethbridge/Lethbridge"," 147-1","Lethbridge",5,170,28,32,15,1,251,470
48019,"Lethbridge/Lethbridge"," 147-2","Lethbridge",0,71,8,22,14,0,115,265
48019,"Lethbridge/Lethbridge"," 148A","Lethbridge",1,109,18,36,21,0,185,447
48019,"Lethbridge/Lethbridge"," 148B","Lethbridge",0,100,5,41,14,0,160,353
48019,"Lethbridge/Lethbridge"," 148-1","Lethbridge",0,63,9,25,18,2,117,256
48019,"Lethbridge/Lethbridge"," 148-2","Lethbridge",2,125,26,46,21,0,220,449
48019,"Lethbridge/Lethbridge"," 149","Lethbridge",1,58,5,35,13,0,112,262
48019,"Lethbridge/Lethbridge"," 150","Lethbridge",0,100,27,58,30,0,215,406
48019,"Lethbridge/Lethbridge"," 151","Lethbridge",0,78,11,33,19,1,142,285
48019,"Lethbridge/Lethbridge"," 152","Lethbridge",2,77,21,41,33,0,174,369
48019,"Lethbridge/Lethbridge"," 153","Lethbridge",0,94,26,43,32,1,196,384
48019,"Lethbridge/Lethbridge"," 154","Lethbridge",0,58,8,36,18,0,120,237
48019,"Lethbridge/Lethbridge"," 155","Lethbridge",0,77,20,50,19,1,167,342
48019,"Lethbridge/Lethbridge"," 156","Lethbridge",4,85,18,29,19,1,156,312
48019,"Lethbridge/Lethbridge"," 157","Lethbridge",5,128,37,40,25,1,236,409
48019,"Lethbridge/Lethbridge"," 158","Lethbridge",3,99,28,36,25,0,191,336
48019,"Lethbridge/Lethbridge"," 159","Lethbridge",3,70,23,39,20,0,155,322
48019,"Lethbridge/Lethbridge"," 160","Lethbridge",3,97,17,31,16,0,164,372
48019,"Lethbridge/Lethbridge"," 161","Lethbridge",3,90,25,32,9,0,159,359
48019,"Lethbridge/Lethbridge"," 162","Lethbridge",4,80,22,38,10,2,156,409
48019,"Lethbridge/Lethbridge"," 163","Lethbridge",0,97,13,52,17,0,179,376
48019,"Lethbridge/Lethbridge"," 164","Lethbridge",4,86,21,31,16,0,158,394
48019,"Lethbridge/Lethbridge"," 165","Lethbridge",0,139,34,46,15,1,235,443
48019,"Lethbridge/Lethbridge"," 165-1","Lethbridge",1,131,26,37,9,0,204,334
48019,"Lethbridge/Lethbridge"," 165-2","Lethbridge",0,134,12,32,12,1,191,366
48019,"Lethbridge/Lethbridge"," 166A","Lethbridge",0,74,5,43,11,0,133,260
48019,"Lethbridge/Lethbridge"," 166B","Lethbridge",0,84,6,27,8,0,125,329
48019,"Lethbridge/Lethbridge"," 167","Lethbridge",2,76,4,36,11,0,129,291
48019,"Lethbridge/Lethbridge"," 167-1","Lethbridge",0,156,28,34,15,2,235,427
48019,"Lethbridge/Lethbridge"," 168","Waterton Park",0,36,12,9,14,0,71,120
48019,"Lethbridge/Lethbridge"," 169","Mountain View",3,167,5,4,3,0,182,295
48019,"Lethbridge/Lethbridge"," 170","Leavitt",3,130,3,2,2,0,140,255
48019,"Lethbridge/Lethbridge"," 171","Aetna",1,130,0,7,2,0,140,306
48019,"Lethbridge/Lethbridge"," 172","Cardston",5,250,6,3,7,0,271,548
48019,"Lethbridge/Lethbridge"," 173","Cardston",3,222,3,7,4,0,239,480
48019,"Lethbridge/Lethbridge"," 174","Cardston",2,164,2,12,4,0,184,321
48019,"Lethbridge/Lethbridge"," 175","Cardston",1,127,8,6,6,0,148,624
48019,"Lethbridge/Lethbridge"," 175-1","Cardston",1,7,0,2,1,0,11,27
48019,"Lethbridge/Lethbridge"," 176","Cardston",0,40,0,1,0,0,41,146
48019,"Lethbridge/Lethbridge"," 177","Cardston",0,187,3,8,2,0,200,360
48019,"Lethbridge/Lethbridge"," 178","Cardston",3,153,4,15,4,0,179,457
48019,"Lethbridge/Lethbridge"," 179","Jefferson",1,73,0,0,1,0,75,173
48019,"Lethbridge/Lethbridge"," 180","Spring Coulee",0,77,1,6,0,0,84,442
48019,"Lethbridge/Lethbridge"," 181","Magrath",0,134,6,13,16,0,169,337
48019,"Lethbridge/Lethbridge"," 182","Magrath",2,165,15,21,8,0,211,393
48019,"Lethbridge/Lethbridge"," 183","Magrath",3,170,6,17,9,1,206,349
48019,"Lethbridge/Lethbridge"," 184","Magrath",5,205,1,12,10,0,233,439
48019,"Lethbridge/Lethbridge"," 185","Magrath",1,92,6,6,3,1,109,189
48019,"Lethbridge/Lethbridge"," 186","Welling",4,110,3,3,3,0,123,271
48019,"Lethbridge/Lethbridge"," 187","Raymond",0,186,9,6,10,1,212,515
48019,"Lethbridge/Lethbridge"," 188","Raymond",4,112,2,17,16,0,151,358
48019,"Lethbridge/Lethbridge"," 189","Raymond",6,98,4,20,7,1,136,294
48019,"Lethbridge/Lethbridge"," 190","Raymond",3,154,9,16,6,0,188,520
48019,"Lethbridge/Lethbridge"," 191","Raymond",11,157,12,16,18,0,214,427
48019,"Lethbridge/Lethbridge"," 192","Raymond",2,121,5,5,1,0,134,317
48019,"Lethbridge/Lethbridge"," 193","Raymond",5,167,11,12,14,0,209,436
48019,"Lethbridge/Lethbridge"," 194","Stirling",3,185,6,18,21,0,233,453
48019,"Lethbridge/Lethbridge"," 194-1","Stirling",0,121,5,14,11,0,151,239
48019,"Lethbridge/Lethbridge"," 195","Stirling",2,139,10,8,15,0,174,435
48019,"Lethbridge/Lethbridge"," 196","Conrad",2,70,0,4,2,0,78,259
48019,"Lethbridge/Lethbridge"," 197","Warner",1,134,4,13,7,0,159,317
48019,"Lethbridge/Lethbridge"," 198","Warner",2,54,3,1,0,1,61,370
48019,"Lethbridge/Lethbridge"," 199","Del Bonita",0,64,0,2,2,0,68,153
48019,"Lethbridge/Lethbridge"," 200","Milk River",0,101,3,5,2,0,111,203
48019,"Lethbridge/Lethbridge"," 201","Milk River",2,138,14,13,6,0,173,371
48019,"Lethbridge/Lethbridge"," 202","Milk River",1,117,6,10,8,0,142,276
48019,"Lethbridge/Lethbridge"," 203","Coutts",0,124,1,11,4,0,140,258
48019,"Lethbridge/Lethbridge"," 204","Allerston",1,94,2,4,6,0,107,248
48019,"Lethbridge/Lethbridge"," 400","Lethbridge",1,296,43,39,12,2,393,460
48019,"Lethbridge/Lethbridge"," 500","Mobile poll/Bureau itinérant",2,60,11,7,1,1,82,158
48019,"Lethbridge/Lethbridge"," 501","Mobile poll/Bureau itinérant",1,57,6,7,3,4,78,160
48019,"Lethbridge/Lethbridge"," 502","Mobile poll/Bureau itinérant",3,92,17,15,3,2,132,239
48019,"Lethbridge/Lethbridge"," 503","Mobile poll/Bureau itinérant",2,63,13,3,2,2,85,140
48019,"Lethbridge/Lethbridge"," 504","Mobile poll/Bureau itinérant",1,35,10,12,1,0,59,179
48019,"Lethbridge/Lethbridge"," 505","Mobile poll/Bureau itinérant",2,45,11,4,3,1,66,179
48019,"Lethbridge/Lethbridge"," 506","Mobile poll/Bureau itinérant",0,75,4,4,4,0,87,149
48019,"Lethbridge/Lethbridge"," 507","Mobile poll/Bureau itinérant",2,109,18,10,3,2,144,231
48019,"Lethbridge/Lethbridge"," 508","Mobile poll/Bureau itinérant",1,33,5,4,0,0,43,75
48019,"Lethbridge/Lethbridge"," 600","Lethbridge County--Picture Butte",18,202,11,12,9,0,252,
48019,"Lethbridge/Lethbridge"," 601","Lethbridge",8,172,16,29,19,1,245,
48019,"Lethbridge/Lethbridge"," 602","Lethbridge",3,249,48,41,13,0,354,
48019,"Lethbridge/Lethbridge"," 603","Lethbridge",1,197,31,26,25,0,280,
48019,"Lethbridge/Lethbridge"," 604","Lethbridge",2,348,52,68,27,0,497,
48019,"Lethbridge/Lethbridge"," 605","Lethbridge",0,164,27,43,30,0,264,
48019,"Lethbridge/Lethbridge"," 606","Lethbridge",0,199,51,37,30,0,317,
48019,"Lethbridge/Lethbridge"," 607","Lethbridge",2,227,43,35,22,0,329,
48019,"Lethbridge/Lethbridge"," 608","Lethbridge",6,341,58,71,24,1,501,
48019,"Lethbridge/Lethbridge"," 609","Lethbridge",4,338,47,43,18,3,453,
48019,"Lethbridge/Lethbridge"," 610","Lethbridge County--Coaldale",8,333,15,22,18,0,396,
48019,"Lethbridge/Lethbridge"," 611","Magrath--Raymond",2,217,8,11,11,0,249,
48019,"Lethbridge/Lethbridge"," 612","Cardston",0,162,5,5,12,1,185,
48019,"Lethbridge/Lethbridge"," 613","Milk River",1,108,3,3,3,0,118,
48019,"Lethbridge/Lethbridge",,Group 1/Groupe 1,4,50,24,11,6,3,98,180
48019,"Lethbridge/Lethbridge",,Group 2/Groupe 2,10,321,90,82,38,8,549,

