Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Abbott,Betty Aitchison,Ralph Moore,Leon R. Pendleton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Kootenay--Columbia/Kootenay--Columbia"," 133","Kimberley",84,14,26,49,0,173,321
59012,"Kootenay--Columbia/Kootenay--Columbia"," 134","Kimberley",84,13,15,47,1,160,302
59012,"Kootenay--Columbia/Kootenay--Columbia"," 135","Kimberley",100,27,30,81,1,239,390
59012,"Kootenay--Columbia/Kootenay--Columbia"," 136","Porteous",72,7,12,26,0,117,209
59012,"Kootenay--Columbia/Kootenay--Columbia"," 137","Kimberley",123,7,20,44,0,194,367
59012,"Kootenay--Columbia/Kootenay--Columbia"," 138","Kimberley",156,18,14,62,0,250,456
59012,"Kootenay--Columbia/Kootenay--Columbia"," 139","Fortie's Corner",128,16,17,34,0,195,382
59012,"Kootenay--Columbia/Kootenay--Columbia"," 140","Riondel",78,16,26,67,0,187,277
59012,"Kootenay--Columbia/Kootenay--Columbia"," 141A","Crawford Bay",71,24,33,90,1,219,299
59012,"Kootenay--Columbia/Kootenay--Columbia"," 141B","Crawford Bay",Merged with No. 141-1/Fusionné avec le nº 141-1,,,,,,139
59012,"Kootenay--Columbia/Kootenay--Columbia"," 141-1","Gray Creek",71,21,37,77,0,206,173
59012,"Kootenay--Columbia/Kootenay--Columbia"," 142","Boswell",98,10,16,20,0,144,206
59012,"Kootenay--Columbia/Kootenay--Columbia"," 143","West Creston",131,11,30,33,0,205,378
59012,"Kootenay--Columbia/Kootenay--Columbia"," 144","Wynndel",114,16,11,48,0,189,331
59012,"Kootenay--Columbia/Kootenay--Columbia"," 145","Wynndel",116,11,23,43,1,194,349
59012,"Kootenay--Columbia/Kootenay--Columbia"," 145-1","Creston Area C",113,8,22,31,0,174,361
59012,"Kootenay--Columbia/Kootenay--Columbia"," 145-2","Lower Kootenay",3,4,2,11,0,20,40
59012,"Kootenay--Columbia/Kootenay--Columbia"," 146","Lister",162,14,24,38,0,238,427
59012,"Kootenay--Columbia/Kootenay--Columbia"," 147","Canyon",162,13,26,41,0,242,442
59012,"Kootenay--Columbia/Kootenay--Columbia"," 148","Erickson",152,8,19,42,0,221,412
59012,"Kootenay--Columbia/Kootenay--Columbia"," 149","Goatfell",72,5,15,28,1,121,268
59012,"Kootenay--Columbia/Kootenay--Columbia"," 150","Canyon",113,15,17,42,0,187,340
59012,"Kootenay--Columbia/Kootenay--Columbia"," 151","Arrow Creek",98,4,14,46,1,163,350
59012,"Kootenay--Columbia/Kootenay--Columbia"," 152","Yahk",119,5,13,29,1,167,312
59012,"Kootenay--Columbia/Kootenay--Columbia"," 153A","Creston",105,11,12,24,0,152,332
59012,"Kootenay--Columbia/Kootenay--Columbia"," 153B","Creston",Merged with No. 153-1/Fusionné avec le nº 153-1,,,,,,78
59012,"Kootenay--Columbia/Kootenay--Columbia"," 153-1","Creston",136,11,8,38,0,193,285
59012,"Kootenay--Columbia/Kootenay--Columbia"," 154","Creston",98,15,25,51,0,189,397
59012,"Kootenay--Columbia/Kootenay--Columbia"," 155","Creston",141,14,32,53,1,241,425
59012,"Kootenay--Columbia/Kootenay--Columbia"," 156","Creston",106,21,22,42,0,191,412
59012,"Kootenay--Columbia/Kootenay--Columbia"," 157","Creston",150,17,14,46,2,229,491
59012,"Kootenay--Columbia/Kootenay--Columbia"," 158","Creston",101,12,17,39,0,169,377
59012,"Kootenay--Columbia/Kootenay--Columbia"," 159","Creston",132,25,23,46,0,226,468
59012,"Kootenay--Columbia/Kootenay--Columbia"," 160","Creston",134,19,24,53,2,232,446
59012,"Kootenay--Columbia/Kootenay--Columbia"," 161","Creston",114,22,19,42,0,197,360
59012,"Kootenay--Columbia/Kootenay--Columbia"," 162","Erickson",108,9,26,32,1,176,360
59012,"Kootenay--Columbia/Kootenay--Columbia"," 163","Erickson",92,4,17,25,1,139,241
59012,"Kootenay--Columbia/Kootenay--Columbia"," 164","Wardner",130,8,18,11,1,168,313
59012,"Kootenay--Columbia/Kootenay--Columbia"," 165","Jaffray",128,5,7,23,0,163,296
59012,"Kootenay--Columbia/Kootenay--Columbia"," 166","Galloway",174,14,12,24,1,225,394
59012,"Kootenay--Columbia/Kootenay--Columbia"," 167","Elko",79,4,9,22,0,114,199
59012,"Kootenay--Columbia/Kootenay--Columbia"," 168","Baynes Lake",122,10,10,25,0,167,308
59012,"Kootenay--Columbia/Kootenay--Columbia"," 169","Grasmere",45,9,3,7,0,64,133
59012,"Kootenay--Columbia/Kootenay--Columbia"," 170","Tobacco Plains 2",7,0,0,10,0,17,50
59012,"Kootenay--Columbia/Kootenay--Columbia"," 400","Cranbrook",71,11,5,18,0,105,145
59012,"Kootenay--Columbia/Kootenay--Columbia"," 500","Mobile poll/Bureau itinérant",27,15,3,18,1,64,122
59012,"Kootenay--Columbia/Kootenay--Columbia"," 501","Mobile poll/Bureau itinérant",60,7,0,21,0,88,186
59012,"Kootenay--Columbia/Kootenay--Columbia"," 502","Mobile poll/Bureau itinérant",35,3,1,10,0,49,119
59012,"Kootenay--Columbia/Kootenay--Columbia"," 503","Mobile poll/Bureau itinérant",24,13,4,17,1,59,120
59012,"Kootenay--Columbia/Kootenay--Columbia"," 504","Mobile poll/Bureau itinérant",78,7,7,17,5,114,225
59012,"Kootenay--Columbia/Kootenay--Columbia"," 505","Mobile poll/Bureau itinérant",45,10,4,5,2,66,98
59012,"Kootenay--Columbia/Kootenay--Columbia"," 600","Revelstoke",248,45,50,168,1,512,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 601","Golden",166,24,48,86,3,327,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 602","Nakusp",99,19,12,49,1,180,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 603","Invermere",234,33,32,57,0,356,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 604","Wasa--Canal Flats",50,1,9,3,0,63,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 605","Sparwood",147,18,7,26,0,198,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 606","Elkford",108,6,7,22,0,143,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 607","Fernie & area",201,29,53,61,0,344,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 608","Cranbrook",345,38,35,80,2,500,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 609","Cranbrook",423,24,33,80,1,561,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 610","Cranbrook",416,36,27,78,4,561,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 611","Kimberley",315,37,57,95,1,505,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 612","Creston--Rural",295,25,38,71,4,433,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 613","Creston",269,39,35,72,0,415,
59012,"Kootenay--Columbia/Kootenay--Columbia"," 614","Jaffray & area",79,12,6,21,0,118,
59012,"Kootenay--Columbia/Kootenay--Columbia",,Group 1/Groupe 1,47,9,6,16,1,79,163
59012,"Kootenay--Columbia/Kootenay--Columbia",,Group 2/Groupe 2,231,34,38,92,6,401,

