Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fred Kress,Tom Lukiwski,Monica Lysack,Nicolas Stulberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 46","Regina",75,127,33,23,3,261,465
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 47","Regina",69,104,50,12,1,236,380
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 48","Regina",69,129,42,16,1,257,454
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 49","Regina",79,135,54,6,0,274,430
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 50","Regina",71,138,53,10,2,274,518
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 51","Regina",57,61,32,13,1,164,314
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 52","Regina",68,77,34,13,0,192,370
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 53","Regina",70,78,37,5,1,191,359
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 54","Regina",64,90,46,14,2,216,359
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 55","Regina",70,116,48,7,0,241,405
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 56","Regina",87,83,34,21,0,225,457
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 57","Regina",59,67,27,8,0,161,313
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 58","Regina",73,84,34,12,0,203,388
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 59","Regina",67,75,29,3,0,174,317
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 60","Regina",77,100,36,13,1,227,458
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 61","Regina",75,95,38,15,2,225,386
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 62","Regina",90,81,29,12,0,212,373
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 63","Regina",118,101,24,11,0,254,471
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 64","Regina",48,75,19,1,0,143,275
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 65","Regina",82,83,33,9,0,207,377
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 66","Regina",34,90,12,12,1,149,277
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 66-1","Regina",41,122,31,11,1,206,329
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 67","Regina",66,179,32,22,1,300,459
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 68","Regina",59,121,32,15,0,227,363
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 69","Regina",56,97,44,8,0,205,340
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 70","Regina",76,108,42,15,0,241,387
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 71","Regina",56,79,23,10,0,168,349
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 72A","Regina",41,109,26,12,0,188,323
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 72B","Regina",38,129,33,9,1,210,320
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 73","Regina",52,112,38,10,0,212,424
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 74","Regina",36,43,17,0,0,96,220
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 75","Regina",46,96,31,9,0,182,286
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 76","Regina",90,110,32,17,2,251,460
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 77","Regina",81,98,34,14,1,228,342
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 78","Regina",60,83,34,7,0,184,330
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 79","Regina",102,141,38,19,0,300,498
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 80","Regina",96,97,27,16,0,236,426
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 81","Regina",72,49,23,8,0,152,328
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 82","Regina",99,80,14,7,1,201,318
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 83","Regina",59,103,34,9,0,205,359
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 84","Regina",66,75,50,13,1,205,360
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 85","Regina",80,87,26,9,1,203,375
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 86","Regina",79,88,24,15,0,206,340
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 87","Regina",72,76,34,13,1,196,386
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 88","Regina",71,49,21,10,0,151,246
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 89","Regina",71,41,20,11,1,144,292
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 90","Regina",63,72,40,14,0,189,359
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 91","Regina",37,120,34,5,0,196,342
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 92","Regina",55,129,53,6,0,243,387
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93","Regina",54,180,57,14,2,307,481
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-1","Regina",75,157,30,12,2,276,505
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-2","Regina",42,145,34,9,0,230,417
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-3","Regina",68,126,40,18,0,252,475
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 93-4","Regina",46,116,62,11,0,235,385
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 94","Regina",46,143,49,8,2,248,390
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 95","Regina",65,92,40,9,2,208,342
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 95-1","Regina",58,90,44,11,0,203,351
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 96","Regina",61,102,28,15,0,206,382
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 97","Regina",85,163,40,18,0,306,463
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 98","Regina",95,107,31,12,0,245,431
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 99","Regina",83,121,40,9,1,254,405
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 100","Regina",75,135,52,25,0,287,471
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 101","Regina",81,120,30,6,0,237,467
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 102","Regina",68,76,24,6,0,174,283
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 103","Regina",78,144,51,11,0,284,443
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 104","Regina",64,93,39,10,0,206,335
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 105","Regina",63,96,35,11,1,206,304
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 106","Regina",54,108,33,5,1,201,460
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 107","Regina",74,109,55,8,2,248,426
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 108","Regina",39,62,30,8,0,139,270
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 109","Regina",69,63,35,9,3,179,294
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 110","Regina",82,75,31,13,1,202,361
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 111","Regina",33,69,21,8,1,132,230
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 112","Regina",66,44,23,10,0,143,438
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 113","Regina",75,97,33,9,0,214,397
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 114","Regina",39,68,20,13,0,140,296
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 115","Regina",69,69,17,11,0,166,317
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 116","Regina",76,50,19,8,0,153,346
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 117","Regina",65,45,19,11,0,140,363
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 118","Regina",90,88,41,12,1,232,385
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 119","Regina",83,76,36,33,2,230,393
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 120","Regina",63,94,30,15,0,202,355
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 121","Regina",75,66,31,7,0,179,310
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 122","Regina",51,60,18,13,0,142,385
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 123","Regina",52,58,27,11,1,149,326
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 124","Regina",59,53,21,9,2,144,321
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 125","Regina",100,110,30,17,2,259,408
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 126","Regina",71,71,36,13,1,192,360
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 127","Regina",65,53,23,7,0,148,296
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 128","Regina",44,39,10,8,2,103,278
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 129","Regina",59,51,23,13,0,146,275
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 130","Regina",51,75,14,13,0,153,289
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 131","Regina",65,47,23,16,1,152,338
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 132","Regina",94,53,40,15,0,202,408
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 133","Regina",51,38,46,8,2,145,270
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 134","Regina",75,53,28,9,0,165,305
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 135","Regina",91,68,28,8,1,196,385
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 136","Regina",45,74,36,13,0,168,328
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 600","Craik",19,70,12,3,0,104,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 601","Liberty",13,40,4,1,0,58,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 602","Strasbourg",49,113,12,4,0,178,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 603","Marquis",5,50,9,5,0,69,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 604","Lumsden",67,181,44,19,2,313,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 605","Regina",104,213,66,29,0,412,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 606","Regina",66,180,43,16,0,305,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 607","Regina",47,80,17,12,0,156,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 608","Regina",90,235,53,9,2,389,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 609","Regina",95,109,27,12,0,243,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre"," 610","Regina",65,136,41,14,0,256,
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre",,Group 1/Groupe 1,15,28,21,5,2,71,110
47007,"Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre",,Group 2/Groupe 2,126,224,72,16,4,442,

