Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eleni Bakopanos,Alexandra Bélec,Maria Mourani,Jean Précourt,Lynette Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Ahuntsic/Ahuntsic"," 48","Montréal",60,30,100,18,8,1,217,365
24002,"Ahuntsic/Ahuntsic"," 48-1","Montréal",81,19,49,9,3,1,162,267
24002,"Ahuntsic/Ahuntsic"," 49","Montréal",49,30,93,13,5,1,191,405
24002,"Ahuntsic/Ahuntsic"," 50","Montréal",63,17,74,14,10,3,181,371
24002,"Ahuntsic/Ahuntsic"," 51","Montréal",50,18,122,19,4,1,214,334
24002,"Ahuntsic/Ahuntsic"," 52","Montréal",69,29,153,13,6,2,272,409
24002,"Ahuntsic/Ahuntsic"," 53","Montréal",64,26,114,16,7,1,228,382
24002,"Ahuntsic/Ahuntsic"," 54","Montréal",67,20,86,17,5,1,196,330
24002,"Ahuntsic/Ahuntsic"," 55","Montréal",92,27,97,16,4,3,239,337
24002,"Ahuntsic/Ahuntsic"," 56","Montréal",94,23,163,19,8,0,307,436
24002,"Ahuntsic/Ahuntsic"," 57","Montréal",58,27,104,18,5,1,213,302
24002,"Ahuntsic/Ahuntsic"," 58","Montréal",85,24,172,19,9,1,310,445
24002,"Ahuntsic/Ahuntsic"," 59","Montréal",85,13,38,14,2,1,153,411
24002,"Ahuntsic/Ahuntsic"," 60","Montréal",64,23,99,25,4,0,215,341
24002,"Ahuntsic/Ahuntsic"," 61","Montréal",52,21,69,28,8,0,178,315
24002,"Ahuntsic/Ahuntsic"," 62","Montréal",77,19,75,19,9,2,201,359
24002,"Ahuntsic/Ahuntsic"," 63","Montréal",75,15,82,27,4,2,205,342
24002,"Ahuntsic/Ahuntsic"," 64","Montréal",88,42,105,24,5,3,267,491
24002,"Ahuntsic/Ahuntsic"," 64-1","Montréal",19,22,147,9,5,3,205,312
24002,"Ahuntsic/Ahuntsic"," 65","Montréal",45,26,142,16,7,1,237,399
24002,"Ahuntsic/Ahuntsic"," 66","Montréal",54,20,101,17,6,0,198,337
24002,"Ahuntsic/Ahuntsic"," 67","Montréal",51,21,153,20,11,1,257,374
24002,"Ahuntsic/Ahuntsic"," 68","Montréal",68,18,156,17,7,2,268,365
24002,"Ahuntsic/Ahuntsic"," 69","Montréal",36,24,157,24,5,1,247,346
24002,"Ahuntsic/Ahuntsic"," 70","Montréal",63,14,111,15,6,1,210,314
24002,"Ahuntsic/Ahuntsic"," 71","Montréal",57,19,136,17,5,3,237,345
24002,"Ahuntsic/Ahuntsic"," 72","Montréal",47,13,95,22,5,0,182,294
24002,"Ahuntsic/Ahuntsic"," 73","Montréal",73,23,105,20,2,5,228,381
24002,"Ahuntsic/Ahuntsic"," 74","Montréal",55,19,91,19,8,4,196,318
24002,"Ahuntsic/Ahuntsic"," 75","Montréal",69,23,128,15,3,2,240,327
24002,"Ahuntsic/Ahuntsic"," 76","Montréal",60,28,163,19,12,1,283,394
24002,"Ahuntsic/Ahuntsic"," 77","Montréal",32,19,160,21,8,4,244,354
24002,"Ahuntsic/Ahuntsic"," 78","Montréal",79,34,126,18,8,4,269,400
24002,"Ahuntsic/Ahuntsic"," 79","Montréal",60,22,85,15,6,2,190,381
24002,"Ahuntsic/Ahuntsic"," 80","Montréal",73,17,117,20,6,4,237,353
24002,"Ahuntsic/Ahuntsic"," 81","Montréal",52,26,101,19,9,1,208,411
24002,"Ahuntsic/Ahuntsic"," 82","Montréal",54,28,93,21,5,2,203,345
24002,"Ahuntsic/Ahuntsic"," 83","Montréal",74,33,138,19,10,7,281,526
24002,"Ahuntsic/Ahuntsic"," 84","Montréal",49,21,91,20,2,1,184,278
24002,"Ahuntsic/Ahuntsic"," 85","Montréal",124,48,198,21,4,6,401,613
24002,"Ahuntsic/Ahuntsic"," 86","Montréal",48,33,79,11,5,2,178,321
24002,"Ahuntsic/Ahuntsic"," 87","Montréal",68,24,116,16,9,5,238,382
24002,"Ahuntsic/Ahuntsic"," 88","Montréal",70,18,131,26,5,0,250,393
24002,"Ahuntsic/Ahuntsic"," 89","Montréal",81,22,138,17,6,4,268,374
24002,"Ahuntsic/Ahuntsic"," 90","Montréal",83,29,120,26,7,4,269,400
24002,"Ahuntsic/Ahuntsic"," 91","Montréal",85,19,147,22,10,3,286,406
24002,"Ahuntsic/Ahuntsic"," 92","Montréal",76,23,124,44,5,3,275,397
24002,"Ahuntsic/Ahuntsic"," 93","Montréal",83,17,113,26,4,6,249,453
24002,"Ahuntsic/Ahuntsic"," 94","Montréal",81,23,89,27,6,0,226,399
24002,"Ahuntsic/Ahuntsic"," 95","Montréal",98,23,88,23,8,0,240,424
24002,"Ahuntsic/Ahuntsic"," 96","Montréal",63,34,93,18,10,2,220,367
24002,"Ahuntsic/Ahuntsic"," 97","Montréal",63,18,126,14,11,1,233,349
24002,"Ahuntsic/Ahuntsic"," 98","Montréal",69,25,132,18,3,1,248,361
24002,"Ahuntsic/Ahuntsic"," 99","Montréal",60,15,144,17,5,1,242,337
24002,"Ahuntsic/Ahuntsic"," 100","Montréal",75,25,106,21,6,4,237,350
24002,"Ahuntsic/Ahuntsic"," 101","Montréal",65,19,103,17,4,3,211,324
24002,"Ahuntsic/Ahuntsic"," 102","Montréal",80,20,148,22,5,0,275,413
24002,"Ahuntsic/Ahuntsic"," 103","Montréal",101,30,102,14,4,2,253,384
24002,"Ahuntsic/Ahuntsic"," 104","Montréal",70,26,115,17,2,3,233,422
24002,"Ahuntsic/Ahuntsic"," 105","Montréal",50,22,112,22,6,2,214,353
24002,"Ahuntsic/Ahuntsic"," 106","Montréal",78,20,112,15,7,1,233,380
24002,"Ahuntsic/Ahuntsic"," 107","Montréal",45,18,99,11,5,3,181,304
24002,"Ahuntsic/Ahuntsic"," 108","Montréal",50,29,110,13,3,5,210,363
24002,"Ahuntsic/Ahuntsic"," 109","Montréal",44,25,105,12,6,1,193,334
24002,"Ahuntsic/Ahuntsic"," 110","Montréal",63,32,92,19,14,1,221,379
24002,"Ahuntsic/Ahuntsic"," 111","Montréal",62,21,103,17,5,1,209,365
24002,"Ahuntsic/Ahuntsic"," 112","Montréal",65,33,118,8,6,1,231,462
24002,"Ahuntsic/Ahuntsic"," 113","Montréal",58,12,47,12,4,3,136,304
24002,"Ahuntsic/Ahuntsic"," 114","Montréal",81,34,151,28,3,5,302,476
24002,"Ahuntsic/Ahuntsic"," 115","Montréal",42,15,70,19,4,1,151,276
24002,"Ahuntsic/Ahuntsic"," 116","Montréal",59,23,124,18,10,4,238,376
24002,"Ahuntsic/Ahuntsic"," 117","Montréal",37,18,80,13,5,1,154,278
24002,"Ahuntsic/Ahuntsic"," 118","Montréal",24,10,69,12,4,2,121,208
24002,"Ahuntsic/Ahuntsic"," 119","Montréal",60,30,114,15,15,2,236,380
24002,"Ahuntsic/Ahuntsic"," 120","Montréal",126,14,26,18,3,4,191,328
24002,"Ahuntsic/Ahuntsic"," 121","Montréal",85,17,32,15,3,1,153,315
24002,"Ahuntsic/Ahuntsic"," 122","Montréal",69,13,36,23,9,0,150,276
24002,"Ahuntsic/Ahuntsic"," 123","Montréal",134,21,53,34,9,1,252,457
24002,"Ahuntsic/Ahuntsic"," 124","Montréal",111,30,55,24,3,3,226,403
24002,"Ahuntsic/Ahuntsic"," 125","Montréal",74,14,46,21,1,4,160,308
24002,"Ahuntsic/Ahuntsic"," 126","Montréal",87,19,26,14,5,3,154,264
24002,"Ahuntsic/Ahuntsic"," 127","Montréal",113,16,19,23,6,2,179,319
24002,"Ahuntsic/Ahuntsic"," 128","Montréal",132,6,29,22,6,4,199,333
24002,"Ahuntsic/Ahuntsic"," 129","Montréal",141,34,17,31,4,3,230,381
24002,"Ahuntsic/Ahuntsic"," 130","Montréal",135,10,26,19,3,2,195,319
24002,"Ahuntsic/Ahuntsic"," 131","Montréal",135,18,45,37,5,4,244,439
24002,"Ahuntsic/Ahuntsic"," 132","Montréal",84,27,129,32,9,0,281,405
24002,"Ahuntsic/Ahuntsic"," 133","Montréal",77,13,145,22,5,0,262,371
24002,"Ahuntsic/Ahuntsic"," 134","Montréal",93,23,155,8,5,2,286,388
24002,"Ahuntsic/Ahuntsic"," 135","Montréal",84,34,140,24,4,2,288,444
24002,"Ahuntsic/Ahuntsic"," 136","Montréal",90,26,126,14,5,2,263,362
24002,"Ahuntsic/Ahuntsic"," 137","Montréal",87,24,107,29,4,1,252,368
24002,"Ahuntsic/Ahuntsic"," 138","Montréal",80,17,110,13,6,2,228,343
24002,"Ahuntsic/Ahuntsic"," 139","Montréal",81,12,57,17,4,3,174,414
24002,"Ahuntsic/Ahuntsic"," 140","Montréal",62,19,38,12,6,2,139,244
24002,"Ahuntsic/Ahuntsic"," 141","Montréal",90,22,108,30,2,1,253,381
24002,"Ahuntsic/Ahuntsic"," 142","Montréal",108,14,83,25,9,3,242,396
24002,"Ahuntsic/Ahuntsic"," 143","Montréal",79,22,34,29,9,1,174,397
24002,"Ahuntsic/Ahuntsic"," 144","Montréal",117,19,75,31,5,5,252,426
24002,"Ahuntsic/Ahuntsic"," 145","Montréal",Void/Supprimé,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 146","Montréal",82,24,85,22,4,8,225,441
24002,"Ahuntsic/Ahuntsic"," 147","Montréal",97,30,113,18,8,3,269,482
24002,"Ahuntsic/Ahuntsic"," 148","Montréal",75,16,96,19,8,0,214,373
24002,"Ahuntsic/Ahuntsic"," 149","Montréal",108,12,79,27,8,4,238,436
24002,"Ahuntsic/Ahuntsic"," 149-1","Montréal",75,15,45,19,5,2,161,264
24002,"Ahuntsic/Ahuntsic"," 150","Montréal",139,13,38,36,3,3,232,468
24002,"Ahuntsic/Ahuntsic"," 151","Montréal",68,15,27,14,1,0,125,261
24002,"Ahuntsic/Ahuntsic"," 152","Montréal",125,14,47,39,3,4,232,378
24002,"Ahuntsic/Ahuntsic"," 153","Montréal",162,22,37,33,6,3,263,493
24002,"Ahuntsic/Ahuntsic"," 154","Montréal",Void/Supprimé,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 155","Montréal",126,21,89,42,4,2,284,517
24002,"Ahuntsic/Ahuntsic"," 156","Montréal",146,14,32,29,1,1,223,376
24002,"Ahuntsic/Ahuntsic"," 157","Montréal",143,11,23,26,1,2,206,352
24002,"Ahuntsic/Ahuntsic"," 158","Montréal",155,7,15,24,5,1,207,369
24002,"Ahuntsic/Ahuntsic"," 159","Montréal",132,9,26,35,2,0,204,327
24002,"Ahuntsic/Ahuntsic"," 160","Montréal",143,14,35,31,7,2,232,451
24002,"Ahuntsic/Ahuntsic"," 161","Montréal",75,13,43,21,1,0,153,374
24002,"Ahuntsic/Ahuntsic"," 162","Montréal",128,14,63,32,8,9,254,415
24002,"Ahuntsic/Ahuntsic"," 163","Montréal",96,22,71,22,9,0,220,364
24002,"Ahuntsic/Ahuntsic"," 164","Montréal",84,13,57,23,4,0,181,362
24002,"Ahuntsic/Ahuntsic"," 165","Montréal",123,12,24,18,3,1,181,313
24002,"Ahuntsic/Ahuntsic"," 166","Montréal",137,17,27,24,4,3,212,393
24002,"Ahuntsic/Ahuntsic"," 167","Montréal",124,17,26,21,3,1,192,384
24002,"Ahuntsic/Ahuntsic"," 168","Montréal",131,15,35,33,7,0,221,407
24002,"Ahuntsic/Ahuntsic"," 169","Montréal",136,9,9,24,1,1,180,324
24002,"Ahuntsic/Ahuntsic"," 170","Montréal",138,20,18,21,5,2,204,420
24002,"Ahuntsic/Ahuntsic"," 171","Montréal",143,20,9,27,3,1,203,413
24002,"Ahuntsic/Ahuntsic"," 172","Montréal",150,26,7,13,6,3,205,424
24002,"Ahuntsic/Ahuntsic"," 173","Montréal",135,10,13,30,2,0,190,369
24002,"Ahuntsic/Ahuntsic"," 174","Montréal",132,12,20,26,3,3,196,330
24002,"Ahuntsic/Ahuntsic"," 175","Montréal",142,16,22,28,2,0,210,392
24002,"Ahuntsic/Ahuntsic"," 176","Montréal",38,10,28,28,2,3,109,279
24002,"Ahuntsic/Ahuntsic"," 177","Montréal",Void/Supprimé,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 178","Montréal",65,7,48,13,3,0,136,296
24002,"Ahuntsic/Ahuntsic"," 179","Montréal",72,16,40,27,4,0,159,352
24002,"Ahuntsic/Ahuntsic"," 180","Montréal",61,17,11,13,2,0,104,282
24002,"Ahuntsic/Ahuntsic"," 181","Montréal",108,12,52,29,3,7,211,316
24002,"Ahuntsic/Ahuntsic"," 182","Montréal",62,5,21,18,2,1,109,158
24002,"Ahuntsic/Ahuntsic"," 183","Montréal",68,26,27,21,5,3,150,304
24002,"Ahuntsic/Ahuntsic"," 184","Montréal",95,9,50,33,0,0,187,371
24002,"Ahuntsic/Ahuntsic"," 185","Montréal",139,27,35,46,9,1,257,550
24002,"Ahuntsic/Ahuntsic"," 186","Montréal",100,11,32,15,1,0,159,441
24002,"Ahuntsic/Ahuntsic"," 187","Montréal",Void/Supprimé,,,,,,,
24002,"Ahuntsic/Ahuntsic"," 188","Montréal",99,7,11,17,4,1,139,377
24002,"Ahuntsic/Ahuntsic"," 189","Montréal",63,12,16,19,3,1,114,281
24002,"Ahuntsic/Ahuntsic"," 190","Montréal",128,11,11,28,4,1,183,364
24002,"Ahuntsic/Ahuntsic"," 191","Montréal",73,11,17,13,2,0,116,280
24002,"Ahuntsic/Ahuntsic"," 192","Montréal",76,6,17,17,1,2,119,264
24002,"Ahuntsic/Ahuntsic"," 193","Montréal",53,9,40,20,3,1,126,238
24002,"Ahuntsic/Ahuntsic"," 194","Montréal",121,31,77,37,5,3,274,507
24002,"Ahuntsic/Ahuntsic"," 195","Montréal",85,14,52,25,7,3,186,376
24002,"Ahuntsic/Ahuntsic"," 196","Montréal",55,3,6,11,0,0,75,192
24002,"Ahuntsic/Ahuntsic"," 400","Montréal",89,7,73,29,3,3,204,254
24002,"Ahuntsic/Ahuntsic"," 401","Montréal",51,7,22,10,3,3,96,324
24002,"Ahuntsic/Ahuntsic"," 402","Montréal",35,5,22,8,3,7,80,217
24002,"Ahuntsic/Ahuntsic"," 403","Montréal",30,6,19,16,0,1,72,210
24002,"Ahuntsic/Ahuntsic"," 404","Montréal",18,2,15,5,2,2,44,105
24002,"Ahuntsic/Ahuntsic"," 500","Mobile poll/Bureau itinérant",74,4,30,26,2,5,141,223
24002,"Ahuntsic/Ahuntsic"," 501","Mobile poll/Bureau itinérant",35,3,25,17,5,1,86,129
24002,"Ahuntsic/Ahuntsic"," 502","Mobile poll/Bureau itinérant",34,0,30,6,2,0,72,148
24002,"Ahuntsic/Ahuntsic"," 600","Montréal",46,10,45,22,3,1,127,
24002,"Ahuntsic/Ahuntsic"," 601","Montréal",127,27,333,35,4,2,528,
24002,"Ahuntsic/Ahuntsic"," 602","Montréal",108,39,262,50,11,4,474,
24002,"Ahuntsic/Ahuntsic"," 603","Montréal",65,30,156,28,6,3,288,
24002,"Ahuntsic/Ahuntsic"," 604","Montréal",19,0,18,11,2,2,52,
24002,"Ahuntsic/Ahuntsic"," 605","Montréal",217,40,98,94,10,4,463,
24002,"Ahuntsic/Ahuntsic"," 606","Montréal",243,12,38,56,3,4,356,
24002,"Ahuntsic/Ahuntsic"," 607","Montréal",135,11,108,44,8,0,306,
24002,"Ahuntsic/Ahuntsic"," 608","Montréal",114,27,181,39,8,4,373,
24002,"Ahuntsic/Ahuntsic"," 609","Montréal",69,14,173,25,7,1,289,
24002,"Ahuntsic/Ahuntsic"," 610","Montréal",73,17,177,19,6,1,293,
24002,"Ahuntsic/Ahuntsic"," 611","Montréal",30,14,110,15,2,1,172,
24002,"Ahuntsic/Ahuntsic"," 612","Montréal",35,15,96,8,1,0,155,
24002,"Ahuntsic/Ahuntsic"," 613","Montréal",122,22,194,39,13,1,391,
24002,"Ahuntsic/Ahuntsic"," 614","Montréal",73,20,122,22,3,4,244,
24002,"Ahuntsic/Ahuntsic"," 615","Montréal",185,28,285,70,13,13,594,
24002,"Ahuntsic/Ahuntsic",,Group 1/Groupe 1,35,5,20,19,3,4,86,146
24002,"Ahuntsic/Ahuntsic",,Group 2/Groupe 2,229,45,344,70,10,22,720,

