Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Bocking,Mike Gildersleeve,Randy Kamp,Jeff Monds,Evans Nicholson,Dan Olson,Chum Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 31-1","Maple Ridge",65,17,166,3,0,18,0,0,269,523
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 32","Maple Ridge",27,8,68,0,0,6,0,1,110,194
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 32-1","Maple Ridge",58,19,113,1,1,9,0,0,201,370
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 33","Maple Ridge",51,15,107,1,1,16,0,1,192,325
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 34","Maple Ridge",100,22,120,0,0,5,0,0,247,476
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 35","Maple Ridge",71,11,149,1,0,12,0,0,244,446
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 36","Maple Ridge",37,14,94,0,0,15,1,0,161,319
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 36-1","Maple Ridge",67,34,98,1,0,17,1,1,219,370
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 37","Maple Ridge",103,32,134,1,1,17,1,1,290,450
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 38","Maple Ridge",54,25,114,0,2,13,1,0,209,343
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 39","Maple Ridge",56,21,136,0,0,19,0,2,234,406
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 40","Maple Ridge",78,19,124,0,0,12,0,3,236,385
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 41","Maple Ridge",88,28,147,2,0,18,0,0,283,532
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 42","Maple Ridge",78,33,140,2,2,20,0,0,275,507
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 43","Maple Ridge",95,13,154,0,1,15,0,0,278,464
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 44","Maple Ridge",53,12,126,0,0,9,1,1,202,363
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 44-1A","Maple Ridge",58,12,103,2,1,10,0,0,186,357
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 44-1B","Maple Ridge",46,15,78,1,1,9,0,0,150,297
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 45","Maple Ridge",61,8,130,1,0,27,0,0,227,414
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 46","Maple Ridge",50,6,135,0,0,7,0,1,199,353
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 47A","Maple Ridge",62,11,79,0,0,12,0,0,164,304
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 47B","Maple Ridge",47,12,81,1,0,10,0,1,152,281
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 48","Maple Ridge",45,18,100,0,0,10,0,0,173,295
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 48-1","Maple Ridge",55,10,133,1,0,24,1,1,225,427
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49","Maple Ridge",98,27,167,0,0,16,0,0,308,526
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49-1A","Maple Ridge",53,16,148,1,1,23,2,0,244,426
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49-1B","Maple Ridge",55,16,142,2,0,28,0,0,243,411
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49-2A","Maple Ridge",99,20,133,2,0,20,0,0,274,438
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49-2B","Maple Ridge",66,18,140,1,2,18,0,0,245,430
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 49-3","Maple Ridge",21,10,91,2,0,16,1,0,141,260
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 50","Maple Ridge",62,21,89,2,0,22,0,0,196,375
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 51","Maple Ridge",74,31,102,1,0,20,0,0,228,379
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 52","Maple Ridge",55,14,144,1,0,7,0,1,222,397
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 53","Maple Ridge",61,5,84,1,0,12,0,0,163,280
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 54","Maple Ridge",93,12,169,3,2,26,0,2,307,486
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 55","Maple Ridge",34,8,104,1,0,4,0,0,151,249
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 55-1","Maple Ridge",63,10,78,1,0,10,2,0,164,311
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 56","Maple Ridge",93,29,145,0,0,21,0,1,289,487
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 57","Maple Ridge",84,13,126,1,0,7,0,0,231,370
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 58","Maple Ridge",111,24,81,2,0,12,0,0,230,394
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 59","Maple Ridge",88,20,111,1,2,15,2,0,239,432
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 60","Maple Ridge",75,15,93,0,0,8,0,0,191,401
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 61","Maple Ridge",68,6,127,0,0,7,0,0,208,353
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 62","Maple Ridge",63,6,139,0,0,16,0,0,224,353
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 63","Maple Ridge",61,11,133,2,0,16,1,0,224,411
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 64","Maple Ridge",64,12,128,0,0,13,2,1,220,392
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 65","Maple Ridge",82,22,82,3,0,10,0,0,199,363
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 66","Maple Ridge",80,20,95,0,1,26,1,1,224,400
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 67","Maple Ridge",108,13,82,0,0,12,0,0,215,385
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 68","Maple Ridge",71,9,77,2,0,10,0,0,169,374
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 69","Maple Ridge",99,16,97,3,0,13,0,1,229,426
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 70","Maple Ridge",106,22,88,2,0,15,0,0,233,435
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 71","Maple Ridge",112,27,167,3,1,16,3,1,330,547
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 71-1","Maple Ridge",Void/Supprimé,,,,,,,,,
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 72","Maple Ridge",89,28,168,2,0,20,0,0,307,511
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 73","Maple Ridge",94,20,84,4,0,19,0,2,223,416
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 74","Maple Ridge",112,21,138,0,1,28,1,0,301,544
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 75","Maple Ridge",114,29,79,4,0,11,2,0,239,458
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 76","Maple Ridge",67,17,128,1,0,18,0,0,231,417
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 77","Maple Ridge",101,22,148,0,0,24,0,1,296,497
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 78","Maple Ridge",81,24,169,0,0,19,0,0,293,444
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 79","Maple Ridge",75,16,138,1,1,17,0,2,250,412
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 80","Maple Ridge",100,15,110,2,1,9,0,1,238,403
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 81","Maple Ridge",101,19,144,1,0,21,0,0,286,464
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 82","Maple Ridge",94,18,168,1,1,16,0,3,301,465
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 83","Maple Ridge",88,20,111,2,0,19,0,2,242,446
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 84","Maple Ridge",87,15,129,4,0,17,2,1,255,486
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 85","Maple Ridge",77,24,174,0,0,18,0,1,294,534
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 86","Maple Ridge",79,15,104,0,1,13,1,0,213,435
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 87","Maple Ridge",105,16,80,6,0,18,2,0,227,443
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 88","Maple Ridge",130,24,122,1,0,13,3,1,294,494
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 89A","Maple Ridge",61,14,110,2,0,19,0,0,206,387
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 89B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,60
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 90","Maple Ridge",89,14,107,4,3,11,0,0,228,445
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 91","Maple Ridge",84,15,110,2,0,15,0,0,226,459
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 92","Maple Ridge",48,15,61,3,0,5,0,0,132,263
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 93","Maple Ridge",98,14,94,2,0,6,0,2,216,435
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 94","Maple Ridge",81,10,78,0,0,17,1,0,187,331
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 95","Maple Ridge",47,8,72,0,0,11,0,0,138,292
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 96","Maple Ridge",78,18,96,2,0,16,0,1,211,440
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 97","Maple Ridge",109,24,120,1,1,25,1,1,282,486
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 98","Maple Ridge",67,13,69,1,2,10,0,1,163,358
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 99","Maple Ridge",33,7,45,1,2,9,0,0,97,258
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 99-1","Maple Ridge",48,10,50,1,0,13,2,1,125,355
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 100","Maple Ridge",46,8,124,0,0,11,0,0,189,330
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 101","Maple Ridge",82,15,121,1,0,14,0,0,233,453
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 102","Maple Ridge",104,21,103,1,0,21,0,1,251,451
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 103","Maple Ridge",118,18,128,0,0,16,0,1,281,509
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 104","Maple Ridge",67,15,148,0,1,17,2,0,250,467
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 105","Maple Ridge",92,15,156,5,1,31,3,0,303,512
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 106","Maple Ridge",80,18,124,0,1,10,1,2,236,430
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 107","Maple Ridge",79,12,132,1,1,21,1,0,247,420
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 108","Maple Ridge",85,23,119,0,1,21,1,2,252,459
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 109","Maple Ridge",34,12,59,2,0,8,0,0,115,231
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 109-1","Maple Ridge",47,11,58,1,1,9,0,0,127,238
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 110","Maple Ridge",88,13,130,1,2,29,1,2,266,486
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 111A","Maple Ridge",56,13,88,3,0,9,0,1,170,376
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 111B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,36
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 111-1","Maple Ridge",45,9,74,0,0,7,0,0,135,269
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 112","Maple Ridge",64,12,63,1,0,12,0,3,155,335
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 113","Maple Ridge",24,5,64,0,0,13,0,1,107,219
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 114","Maple Ridge",67,16,109,2,0,13,0,2,209,431
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 115","Maple Ridge",56,12,73,1,0,17,0,0,159,273
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 116","Maple Ridge",83,21,104,0,0,12,1,0,221,413
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 117","Maple Ridge",71,23,82,3,0,11,0,0,190,300
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 118","Maple Ridge",52,2,40,1,0,5,0,1,101,207
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 118-1","Maple Ridge",55,10,80,1,0,7,2,0,155,334
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 119","Maple Ridge",91,19,98,3,1,21,2,0,235,413
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 120","Maple Ridge",81,16,91,1,1,19,0,2,211,432
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 120-1","Maple Ridge",39,6,159,1,1,16,0,0,222,336
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 121","Maple Ridge",55,9,131,1,2,17,2,0,217,323
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 122","Maple Ridge",58,5,127,0,1,15,0,0,206,320
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 123","Maple Ridge",83,21,112,1,2,19,1,1,240,459
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 124","Maple Ridge",62,7,92,2,1,11,0,0,175,329
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 124-1","Maple Ridge",79,14,81,2,0,11,1,2,190,393
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 125","Maple Ridge",43,17,82,0,0,19,0,0,161,302
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 126","Maple Ridge",72,19,136,0,1,21,0,0,249,466
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 127A","Maple Ridge",39,10,105,1,1,16,0,0,172,289
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 127B","Maple Ridge",43,13,115,2,0,22,0,1,196,336
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 128","Mission",98,44,152,1,3,13,0,0,311,559
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 129","Mission",33,14,51,0,1,12,0,0,111,269
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 130A","Mission",59,15,49,2,1,7,3,0,136,316
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 130B","Mission",63,21,77,0,1,6,0,0,168,332
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 131","Mission",Merged with No. 130A/Fusionné avec le nº 130A,,,,,,,,,17
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 132","Mission",78,20,116,0,0,5,0,0,219,378
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 133","Mission",67,14,106,1,0,4,1,1,194,332
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 134","Mission",69,16,122,1,1,10,0,1,220,433
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 135","Mission",90,25,149,4,0,14,0,0,282,508
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 136","Mission",53,11,86,1,1,11,0,1,164,319
59007,"Pitt Meadows--Maple Ridge--Mission/Pitt Meadows--Maple Ridge--Mission"," 136-1A","Mission",80,8,82,0,0,11,0,0,181,346
