Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Bill Casey,Karen Olsson,Tracy Parsons,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 205","Carrolls Corner",29,71,36,15,1,0,152,305
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 206","Dutch Settlement",15,55,34,19,2,0,125,301
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 207","Dutch Settlement",40,76,43,24,0,0,183,347
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 208","Goffs",41,73,56,27,4,2,203,392
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 209","Goffs",30,42,16,9,0,1,98,166
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 500","Mobile poll/Bureau itinérant",6,71,4,13,1,3,98,99
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 501","Mobile poll/Bureau itinérant",13,33,3,15,1,3,68,127
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 502","Mobile poll/Bureau itinérant",5,25,2,13,1,0,46,22
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 503","Mobile poll/Bureau itinérant",6,53,5,5,0,5,74,115
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 600","Maccan",17,183,8,16,5,2,231,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 601","Amherst",26,381,30,52,5,5,499,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 602","Oxford",7,97,4,8,0,1,117,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 603","Springhill",17,199,20,40,13,1,290,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 604","Pugwash",12,115,8,11,2,1,149,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 605","Tatamagouche",18,158,13,31,0,1,221,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 606","Parrsboro",10,113,8,6,1,1,139,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 607","Bass River",5,74,14,8,0,0,101,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 608","Onslow",34,236,24,31,0,4,329,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 609","Truro",14,127,17,15,0,0,173,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 610","Truro",35,299,31,51,0,0,416,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 611","Bible Hill",37,324,28,43,1,0,433,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 612","Stewiacke",22,110,34,17,1,0,184,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 613","Middle Musquodoboit",5,53,7,3,0,0,68,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 614","Dutch Settlement",8,30,15,13,0,0,66,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 615","Truro",18,214,39,35,2,2,310,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley",,Group 1/Groupe 1,71,61,19,25,8,10,194,477
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley",,Group 2/Groupe 2,81,610,56,106,6,16,875,

