Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura M. Bisaillon,Tom DeBlois,Baird Judson,Shawn Murphy,Brian Pollard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 59","Charlottetown",10,83,2,96,16,1,208,359
11002,"Charlottetown/Charlottetown"," 60","Charlottetown",8,54,1,145,16,1,225,366
11002,"Charlottetown/Charlottetown"," 61","Charlottetown",9,48,4,106,26,1,194,364
11002,"Charlottetown/Charlottetown"," 62","Charlottetown",12,55,1,100,32,2,202,354
11002,"Charlottetown/Charlottetown"," 63","Charlottetown",11,69,1,139,12,0,232,347
11002,"Charlottetown/Charlottetown"," 64","Charlottetown",14,64,0,161,16,0,255,375
11002,"Charlottetown/Charlottetown"," 65","Charlottetown",9,50,1,119,11,0,190,309
11002,"Charlottetown/Charlottetown"," 66","Charlottetown",9,80,0,97,18,1,205,334
11002,"Charlottetown/Charlottetown"," 67","Charlottetown",19,41,2,131,24,1,218,383
11002,"Charlottetown/Charlottetown"," 68","Charlottetown",16,39,2,79,26,1,163,305
11002,"Charlottetown/Charlottetown"," 69","Charlottetown",10,35,1,77,42,1,166,337
11002,"Charlottetown/Charlottetown"," 70","Charlottetown",15,30,1,66,34,1,147,326
11002,"Charlottetown/Charlottetown"," 71","Charlottetown",17,43,2,95,28,0,185,397
11002,"Charlottetown/Charlottetown"," 72","Charlottetown",11,44,1,91,29,0,176,367
11002,"Charlottetown/Charlottetown"," 73","Charlottetown",18,32,0,80,14,2,146,291
11002,"Charlottetown/Charlottetown"," 74","Charlottetown",12,49,1,105,10,3,180,290
11002,"Charlottetown/Charlottetown"," 500","Mobile poll/Bureau itinérant",5,43,1,91,3,9,152,245
11002,"Charlottetown/Charlottetown"," 501","Mobile poll/Bureau itinérant",4,51,1,49,2,6,113,219
11002,"Charlottetown/Charlottetown"," 502","Mobile poll/Bureau itinérant",5,44,2,67,3,1,122,156
11002,"Charlottetown/Charlottetown"," 600","Charlottetown",15,259,4,322,57,5,662,
11002,"Charlottetown/Charlottetown"," 601","Charlottetown",21,243,8,398,53,3,726,
11002,"Charlottetown/Charlottetown"," 602","Charlottetown",23,133,3,284,30,5,478,
11002,"Charlottetown/Charlottetown"," 603","Charlottetown",18,206,3,338,31,5,601,
11002,"Charlottetown/Charlottetown",,Group 1/Groupe 1,3,46,0,29,2,1,81,191
11002,"Charlottetown/Charlottetown",,Group 2/Groupe 2,22,192,2,330,53,7,606,

