Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Bowkett,Ross Eadie,Eduard Hiebert,Lesley Hughes,Jordan Loewen,Joy Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20","East St. Paul",7,17,3,9,1,102,0,139,259
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20-1","East St. Paul",4,22,0,14,0,134,1,175,292
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20-2","East St. Paul",5,33,1,16,0,178,1,234,392
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 21","East St. Paul",3,16,0,5,0,69,0,93,140
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 21-1","East St. Paul",13,56,0,24,3,140,1,237,399
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 22A","East St. Paul",8,46,2,16,0,100,0,172,293
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 22B","East St. Paul",3,24,0,3,3,62,0,95,194
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 23","East St. Paul",16,45,1,7,1,172,0,242,423
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24","Winnipeg",6,86,0,26,0,81,0,199,369
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24-1A","Winnipeg",2,74,5,16,3,71,3,174,354
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24-1B","Winnipeg",1,37,0,14,0,41,0,93,212
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24-2","Winnipeg",6,95,1,32,0,116,1,251,493
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25A","Winnipeg",6,45,1,13,2,58,1,126,237
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,112
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25-1","Winnipeg",1,31,1,12,3,47,0,95,113
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25-2","Winnipeg",Merged with No. 25-1/Fusionné avec le nº 25-1,,,,,,,,93
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25-3","Winnipeg",6,54,0,11,0,71,1,143,422
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 26","Winnipeg",9,74,1,20,1,120,0,225,476
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 27","Winnipeg",6,68,0,23,1,109,0,207,421
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 28","Winnipeg",4,60,0,10,0,54,1,129,305
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 29","Winnipeg",5,75,3,12,1,93,0,189,474
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 29-1","Winnipeg",2,67,0,33,2,71,0,175,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 30","Winnipeg",4,32,0,17,1,113,4,171,348
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 31","Winnipeg",9,72,1,18,0,95,2,197,353
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 32","Winnipeg",6,55,0,4,0,38,1,104,317
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 33","Winnipeg",10,83,1,20,1,114,0,229,447
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 34","Winnipeg",5,88,4,22,4,106,3,232,435
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 35","Winnipeg",10,72,1,20,0,65,0,168,333
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 36","Winnipeg",14,60,3,21,1,102,2,203,335
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 37","Winnipeg",6,101,3,20,0,93,1,224,388
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 38","Winnipeg",2,73,1,22,0,68,0,166,331
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 39","Winnipeg",16,45,2,13,0,74,2,152,328
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 40","Winnipeg",12,52,2,11,0,72,0,149,296
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 41","Winnipeg",8,78,0,11,1,79,1,178,307
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 42","Winnipeg",7,60,1,14,0,93,2,177,338
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 43","Winnipeg",5,53,1,12,2,78,1,152,281
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 44","Winnipeg",4,56,2,20,1,63,0,146,381
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 45","Winnipeg",9,63,0,15,0,65,0,152,301
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 46","Winnipeg",8,82,4,24,1,87,3,209,418
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 47","Winnipeg",7,69,1,22,0,78,2,179,366
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 48","Winnipeg",4,67,0,14,0,55,1,141,305
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 49","Winnipeg",8,45,1,5,0,65,0,124,273
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 50","Winnipeg",7,72,1,20,1,103,0,204,376
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 51","Winnipeg",13,94,0,17,1,96,1,222,425
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 52","Winnipeg",11,64,1,14,1,94,0,185,417
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 53","Winnipeg",7,82,1,28,4,88,1,211,411
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 54","Winnipeg",8,112,1,15,1,86,0,223,438
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 55","Winnipeg",17,68,0,23,0,141,0,249,393
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 56","Winnipeg",5,69,1,15,0,84,1,175,292
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 56-1","Winnipeg",18,77,1,23,1,107,1,228,412
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 57A","Winnipeg",7,64,1,19,1,89,0,181,291
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 57B","Winnipeg",5,52,1,8,3,92,1,162,291
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 58A","Winnipeg",13,65,2,11,2,83,2,178,404
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 58B","Winnipeg",2,43,0,9,4,57,0,115,279
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 59","Winnipeg",9,68,0,13,0,89,3,182,399
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 60","Winnipeg",0,60,0,20,3,66,0,149,219
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 61","Winnipeg",3,85,3,16,2,146,2,257,428
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 62","Winnipeg",5,101,1,11,0,138,0,256,393
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 63","Winnipeg",7,56,1,10,3,91,0,168,261
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 64","Winnipeg",10,65,2,21,0,130,0,228,378
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 65","Winnipeg",5,46,2,15,0,94,0,162,361
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 66","Winnipeg",16,45,1,21,2,101,0,186,315
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 67","Winnipeg",3,51,1,15,1,88,1,160,243
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 68","Winnipeg",5,89,3,16,5,90,0,208,298
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 69","Winnipeg",11,66,4,12,1,56,0,150,381
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 70A","Winnipeg",5,31,2,4,0,44,0,86,290
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 70B","Winnipeg",4,44,0,5,2,42,0,97,249
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 71","Winnipeg",5,81,3,24,0,92,2,207,404
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 72","Winnipeg",8,70,2,20,5,68,0,173,322
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 73","Winnipeg",1,65,1,16,1,49,0,133,361
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 74","Winnipeg",8,64,2,13,0,60,0,147,311
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 75","Winnipeg",6,53,1,13,0,71,1,145,289
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 76","Winnipeg",7,77,1,13,0,67,1,166,336
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 77","Winnipeg",6,51,3,9,0,55,1,125,283
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 78","Winnipeg",4,54,0,7,1,65,2,133,296
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 79","Winnipeg",2,59,1,11,2,84,1,160,331
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 80","Winnipeg",3,54,0,15,0,44,1,117,357
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 81","Winnipeg",7,44,0,11,4,31,2,99,363
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 82","Winnipeg",5,75,1,15,2,56,0,154,380
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 83","Winnipeg",11,75,0,17,1,44,1,149,311
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 84","Winnipeg",8,63,2,15,0,54,0,142,344
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 85","Winnipeg",14,84,2,19,0,69,0,188,354
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 86","Winnipeg",15,74,0,8,0,57,0,154,337
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 87","Winnipeg",12,107,0,13,1,78,1,212,375
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 88","Winnipeg",19,115,1,18,0,78,0,231,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 89","Winnipeg",6,64,0,19,3,71,0,163,329
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 90","Winnipeg",8,64,1,8,0,45,1,127,299
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 91","Winnipeg",6,62,2,11,2,63,0,146,361
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 92","Winnipeg",6,70,2,20,1,69,1,169,371
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 93","Winnipeg",9,68,1,11,0,63,1,153,350
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 94","Winnipeg",10,78,1,7,0,54,1,151,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 95","Winnipeg",11,73,2,16,0,60,0,162,330
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 96","Winnipeg",8,85,2,16,0,71,2,184,347
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 97","Winnipeg",5,58,1,10,0,45,5,124,303
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 98","Winnipeg",6,57,1,13,1,56,0,134,342
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 99","Winnipeg",12,72,1,12,1,42,2,142,327
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 100","Winnipeg",9,85,1,17,2,56,0,170,358
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 101","Winnipeg",1,62,1,11,0,49,0,124,233
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 102","Winnipeg",16,92,2,11,1,87,1,210,430
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 103","Winnipeg",Void/Supprimé,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 104","Winnipeg",7,57,0,9,0,33,0,106,337
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 105","Winnipeg",7,67,2,14,2,90,1,183,314
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 106","Winnipeg",3,20,0,0,2,16,0,41,135
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 106-1","Winnipeg",2,36,0,13,1,41,0,93,275
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 106-2","Winnipeg",6,42,0,25,1,79,2,155,392
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 107","Winnipeg",10,52,2,19,8,104,0,195,330
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 108","Winnipeg",18,58,3,18,1,147,0,245,402
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 109","Winnipeg",16,59,0,23,1,110,0,209,331
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 110","Winnipeg",11,78,0,18,0,147,0,254,405
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 111A","Winnipeg",6,45,1,9,1,78,0,140,258
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 111B","Winnipeg",5,43,2,6,3,60,1,120,268
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 112","Winnipeg",6,79,4,29,0,110,4,232,455
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 113","Winnipeg",17,73,0,21,2,147,1,261,423
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 114","Winnipeg",12,57,2,21,4,151,1,248,407
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 115","Winnipeg",11,51,2,16,1,134,1,216,417
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 116","Winnipeg",9,83,1,17,0,122,1,233,429
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 117","Winnipeg",6,38,1,7,0,69,1,122,284
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 118","Winnipeg",9,66,2,11,0,97,1,186,385
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 119","Winnipeg",9,79,1,16,3,125,2,235,421
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 120","Winnipeg",17,77,3,19,2,177,1,296,502
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 121","Winnipeg",11,50,2,15,3,122,0,203,354
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 122","Winnipeg",17,71,1,18,0,124,1,232,440
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 123","Winnipeg",11,66,0,17,3,116,1,214,415
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 124","Winnipeg",11,67,3,11,2,97,0,191,337
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 125","Winnipeg",7,47,1,5,3,42,2,107,376
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 126A","Winnipeg",1,32,0,13,1,77,1,125,212
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 126B","Mobile poll/Bureau itinérant",Merged with No. 124/Fusionné avec le nº 124,,,,,,,,26
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 127","Winnipeg",12,44,1,11,1,84,0,153,305
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 128","Winnipeg",14,79,2,22,2,133,0,252,396
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 129","Winnipeg",Void/Supprimé,,,,,,,,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 130","Winnipeg",9,53,0,6,2,76,1,147,329
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 131","Winnipeg",9,90,0,23,0,82,0,204,484
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 132","Winnipeg",7,54,1,9,0,95,1,167,419
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 133","Winnipeg",6,55,0,12,2,97,0,172,450
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 134","Winnipeg",3,29,0,6,0,40,0,78,216
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 135A","Winnipeg",6,64,0,16,1,64,0,151,304
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 135B","Winnipeg",5,43,1,13,0,57,0,119,246
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 136","Winnipeg",3,40,1,17,0,74,1,136,286
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 137","Winnipeg",7,68,0,8,0,105,0,188,364
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 138","Winnipeg",11,55,1,11,1,96,0,175,315
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 139","Winnipeg",13,90,2,8,2,90,0,205,353
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 140","Winnipeg",6,61,1,6,1,87,0,162,311
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 141","Winnipeg",9,62,2,8,1,84,0,166,332
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 142","Winnipeg",11,48,2,23,2,57,0,143,286
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 143","Winnipeg",9,42,0,21,4,157,0,233,389
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 143-1","Winnipeg",9,48,1,8,0,110,1,177,287
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 144A","Winnipeg",4,51,1,20,0,99,0,175,281
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 144B","Winnipeg",3,46,0,10,2,80,0,141,248
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 145","Winnipeg",8,33,1,8,0,85,0,135,267
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 146","Winnipeg",5,78,0,12,1,97,1,194,362
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 147","Winnipeg",11,49,0,14,1,88,0,163,313
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 148","Winnipeg",14,45,0,12,0,124,1,196,373
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 149","Winnipeg",12,82,0,15,0,111,0,220,382
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 150","Winnipeg",8,64,1,20,0,124,0,217,397
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 151A","Winnipeg",3,50,0,14,1,86,0,154,276
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 151B","Winnipeg",8,41,1,11,1,85,0,147,262
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 152","Winnipeg",16,98,1,14,1,104,0,234,454
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 153A","Winnipeg",8,40,0,10,2,88,0,148,289
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 153B","Winnipeg",5,33,2,8,0,61,0,109,213
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 154","Winnipeg",17,54,1,10,2,85,0,169,328
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 155","Winnipeg",10,51,0,13,1,78,0,153,283
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 156","Winnipeg",17,56,0,14,0,103,1,191,413
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 157","Winnipeg",5,49,2,17,1,85,1,160,319
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 158","Winnipeg",9,92,0,11,4,121,0,237,518
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 159","Winnipeg",13,93,0,11,1,126,0,244,472
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 500","Mobile poll/Bureau itinérant",4,41,4,21,3,59,0,132,114
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 501","Mobile poll/Bureau itinérant",1,35,3,13,2,75,0,129,181
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 600","West St. Paul",9,43,1,12,1,136,0,202,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 601","East St. Paul",28,90,2,30,1,374,1,526,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 602","Winnipeg",13,114,0,23,0,220,1,371,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 603","Winnipeg",5,69,1,15,1,132,0,223,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 604","Winnipeg",10,64,0,15,2,113,1,205,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 605","Winnipeg",10,82,1,18,0,106,2,219,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 606","Winnipeg",13,111,2,17,1,112,1,257,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 607","Winnipeg",15,118,3,31,2,290,1,460,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 608","Winnipeg",9,64,0,12,1,153,0,239,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 609","Winnipeg",16,89,2,24,2,278,1,412,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 610","Parkdale",12,65,2,24,3,231,0,337,
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 1/Groupe 1,4,13,0,19,2,24,1,63,120
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 2/Groupe 2,21,199,3,68,10,1045,31,1377,

