Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karen Durant,Ed Fast,Tim Felger,Bonnie Rai,Lionel Dominique Traverse,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 13B","Abbotsford",7,73,0,19,17,3,119,218
59001,"Abbotsford/Abbotsford"," 14","Abbotsford",22,165,5,38,34,0,264,507
59001,"Abbotsford/Abbotsford"," 15","Abbotsford",19,192,2,46,43,0,302,495
59001,"Abbotsford/Abbotsford"," 15-1","Abbotsford",12,132,4,36,63,4,251,480
59001,"Abbotsford/Abbotsford"," 16","Abbotsford",27,163,0,23,29,0,242,421
59001,"Abbotsford/Abbotsford"," 17","Abbotsford",17,108,2,19,25,0,171,341
59001,"Abbotsford/Abbotsford"," 18","Abbotsford",3,68,3,10,15,0,99,236
59001,"Abbotsford/Abbotsford"," 19","Abbotsford",16,88,3,22,53,0,182,358
59001,"Abbotsford/Abbotsford"," 20","Abbotsford",7,113,0,20,67,2,209,430
59001,"Abbotsford/Abbotsford"," 21","Abbotsford",4,126,1,19,40,0,190,373
59001,"Abbotsford/Abbotsford"," 22","Abbotsford",0,38,1,46,97,9,191,362
59001,"Abbotsford/Abbotsford"," 22-1","Abbotsford",1,14,0,40,61,0,116,221
59001,"Abbotsford/Abbotsford"," 23","Abbotsford",13,99,0,47,36,2,197,400
59001,"Abbotsford/Abbotsford"," 24","Abbotsford",3,39,0,79,90,2,213,430
59001,"Abbotsford/Abbotsford"," 24-1","Abbotsford",1,57,2,34,53,4,151,317
59001,"Abbotsford/Abbotsford"," 24-2","Abbotsford",4,36,4,42,55,2,143,312
59001,"Abbotsford/Abbotsford"," 25","Abbotsford",6,89,0,31,56,1,183,340
59001,"Abbotsford/Abbotsford"," 25-1","Abbotsford",5,32,0,41,56,4,138,285
59001,"Abbotsford/Abbotsford"," 26","Abbotsford",10,179,0,20,76,0,285,500
59001,"Abbotsford/Abbotsford"," 27","Abbotsford",5,60,5,71,89,2,232,489
59001,"Abbotsford/Abbotsford"," 27-1","Abbotsford",6,85,0,5,5,1,102,131
59001,"Abbotsford/Abbotsford"," 27-2","Abbotsford",3,44,2,26,62,2,139,304
59001,"Abbotsford/Abbotsford"," 28","Abbotsford",10,84,1,40,49,3,187,405
59001,"Abbotsford/Abbotsford"," 29","Abbotsford",5,104,1,33,29,0,172,287
59001,"Abbotsford/Abbotsford"," 29-1","Abbotsford",7,125,0,14,48,3,197,325
59001,"Abbotsford/Abbotsford"," 30","Abbotsford",10,98,0,45,61,1,215,432
59001,"Abbotsford/Abbotsford"," 31","Abbotsford",5,93,3,41,69,2,213,406
59001,"Abbotsford/Abbotsford"," 32A","Abbotsford",7,88,6,26,30,0,157,318
59001,"Abbotsford/Abbotsford"," 32B","Abbotsford",8,53,2,12,27,0,102,192
59001,"Abbotsford/Abbotsford"," 33A","Abbotsford",1,133,1,13,23,1,172,314
59001,"Abbotsford/Abbotsford"," 33B","Abbotsford",9,102,1,9,15,0,136,207
59001,"Abbotsford/Abbotsford"," 34","Abbotsford",8,145,0,43,64,4,264,473
59001,"Abbotsford/Abbotsford"," 35","Abbotsford",3,66,1,45,30,1,146,273
59001,"Abbotsford/Abbotsford"," 36","Abbotsford",9,95,0,36,29,0,169,356
59001,"Abbotsford/Abbotsford"," 37","Abbotsford",6,168,1,17,18,0,210,336
59001,"Abbotsford/Abbotsford"," 38","Abbotsford",11,148,0,28,29,1,217,378
59001,"Abbotsford/Abbotsford"," 38-1","Abbotsford",4,60,0,8,18,1,91,196
59001,"Abbotsford/Abbotsford"," 39","Abbotsford",25,154,2,32,23,2,238,470
59001,"Abbotsford/Abbotsford"," 40","Abbotsford",15,127,4,52,54,0,252,446
59001,"Abbotsford/Abbotsford"," 41","Abbotsford",5,109,0,16,20,0,150,254
59001,"Abbotsford/Abbotsford"," 41-1","Abbotsford",10,177,0,13,12,1,213,331
59001,"Abbotsford/Abbotsford"," 42","Abbotsford",12,119,0,24,25,1,181,373
59001,"Abbotsford/Abbotsford"," 43","Abbotsford",9,69,2,20,14,1,115,227
59001,"Abbotsford/Abbotsford"," 43-1","Abbotsford",7,75,0,14,25,0,121,350
59001,"Abbotsford/Abbotsford"," 44","Abbotsford",15,130,1,31,26,0,203,470
59001,"Abbotsford/Abbotsford"," 45A","Abbotsford",7,75,1,17,24,0,124,276
59001,"Abbotsford/Abbotsford"," 45B","Abbotsford",11,76,1,20,22,1,131,241
59001,"Abbotsford/Abbotsford"," 46","Abbotsford",9,45,0,22,24,2,102,240
59001,"Abbotsford/Abbotsford"," 47","Abbotsford",7,79,1,32,22,5,146,333
59001,"Abbotsford/Abbotsford"," 48A","Abbotsford",9,70,1,16,11,2,109,285
59001,"Abbotsford/Abbotsford"," 48B","Abbotsford",15,53,1,13,13,0,95,224
59001,"Abbotsford/Abbotsford"," 48-1","Abbotsford",3,23,0,10,12,0,48,80
59001,"Abbotsford/Abbotsford"," 49","Abbotsford",13,151,0,23,19,1,207,376
59001,"Abbotsford/Abbotsford"," 50","Abbotsford",15,237,2,29,36,1,320,495
59001,"Abbotsford/Abbotsford"," 51","Abbotsford",Void/Supprimé,,,,,,,
59001,"Abbotsford/Abbotsford"," 52","Abbotsford",4,101,0,20,19,0,144,286
59001,"Abbotsford/Abbotsford"," 53A","Abbotsford",14,156,1,30,36,0,237,334
59001,"Abbotsford/Abbotsford"," 53B","Abbotsford",13,85,3,23,26,1,151,230
59001,"Abbotsford/Abbotsford"," 54","Abbotsford",13,63,3,22,11,0,112,291
59001,"Abbotsford/Abbotsford"," 55","Abbotsford",10,109,3,29,19,0,170,378
59001,"Abbotsford/Abbotsford"," 56","Abbotsford",5,164,1,18,13,0,201,335
59001,"Abbotsford/Abbotsford"," 57","Abbotsford",10,180,2,22,23,0,237,409
59001,"Abbotsford/Abbotsford"," 58","Abbotsford",15,89,1,42,14,1,162,326
59001,"Abbotsford/Abbotsford"," 59","Abbotsford",6,69,1,26,11,3,116,352
59001,"Abbotsford/Abbotsford"," 60","Abbotsford",13,155,1,34,33,1,237,373
59001,"Abbotsford/Abbotsford"," 61","Abbotsford",7,139,0,27,47,0,220,476
59001,"Abbotsford/Abbotsford"," 62","Abbotsford",19,98,1,44,42,3,207,457
59001,"Abbotsford/Abbotsford"," 63","Abbotsford",Void/Supprimé,,,,,,,
59001,"Abbotsford/Abbotsford"," 64","Abbotsford",19,190,0,18,36,1,264,439
59001,"Abbotsford/Abbotsford"," 65","Abbotsford",5,161,0,4,25,1,196,251
59001,"Abbotsford/Abbotsford"," 66A","Abbotsford",7,78,3,22,18,1,129,316
59001,"Abbotsford/Abbotsford"," 66B","Abbotsford",5,81,0,15,21,0,122,256
59001,"Abbotsford/Abbotsford"," 67","Abbotsford",5,68,3,26,17,0,119,238
59001,"Abbotsford/Abbotsford"," 68","Abbotsford",15,114,2,27,27,2,187,386
59001,"Abbotsford/Abbotsford"," 69","Abbotsford",6,120,0,28,40,1,195,370
59001,"Abbotsford/Abbotsford"," 70","Abbotsford",15,149,2,26,32,1,225,403
59001,"Abbotsford/Abbotsford"," 71","Abbotsford",7,64,0,13,22,0,106,235
59001,"Abbotsford/Abbotsford"," 72","Abbotsford",17,87,4,38,31,1,178,325
59001,"Abbotsford/Abbotsford"," 73","Abbotsford",22,135,0,26,31,0,214,413
59001,"Abbotsford/Abbotsford"," 74","Abbotsford",8,67,1,37,23,2,138,344
59001,"Abbotsford/Abbotsford"," 75","Abbotsford",15,92,5,34,13,0,159,330
59001,"Abbotsford/Abbotsford"," 76A","Abbotsford",2,65,3,25,51,1,147,297
59001,"Abbotsford/Abbotsford"," 76B","Abbotsford",6,34,0,14,35,3,92,210
59001,"Abbotsford/Abbotsford"," 77","Abbotsford",17,162,1,23,40,1,244,464
59001,"Abbotsford/Abbotsford"," 78","Abbotsford",13,134,0,7,57,0,211,399
59001,"Abbotsford/Abbotsford"," 79","Abbotsford",5,93,3,9,47,0,157,293
59001,"Abbotsford/Abbotsford"," 80","Abbotsford",13,184,3,14,33,0,247,442
59001,"Abbotsford/Abbotsford"," 81","Abbotsford",15,152,2,44,40,2,255,469
59001,"Abbotsford/Abbotsford"," 82","Abbotsford",3,117,2,17,24,0,163,263
59001,"Abbotsford/Abbotsford"," 83","Abbotsford",21,142,3,40,27,0,233,386
59001,"Abbotsford/Abbotsford"," 84A","Abbotsford",9,149,1,15,33,0,207,349
59001,"Abbotsford/Abbotsford"," 84B","Abbotsford",12,146,0,14,34,0,206,307
59001,"Abbotsford/Abbotsford"," 85","Abbotsford",Void/Supprimé,,,,,,,
59001,"Abbotsford/Abbotsford"," 86","Abbotsford",8,141,2,19,27,1,198,367
59001,"Abbotsford/Abbotsford"," 87A","Abbotsford",9,96,2,26,13,1,147,285
59001,"Abbotsford/Abbotsford"," 87B","Abbotsford",11,100,0,11,13,1,136,234
59001,"Abbotsford/Abbotsford"," 88","Abbotsford",3,108,0,8,11,0,130,196
59001,"Abbotsford/Abbotsford"," 89","Abbotsford",9,222,1,17,31,2,282,468
59001,"Abbotsford/Abbotsford"," 90","Abbotsford",18,94,3,32,21,1,169,288
59001,"Abbotsford/Abbotsford"," 91","Abbotsford",21,208,1,45,51,3,329,499
59001,"Abbotsford/Abbotsford"," 92","Abbotsford",21,141,2,44,39,1,248,437
59001,"Abbotsford/Abbotsford"," 93","Abbotsford",10,63,2,14,16,2,107,242
59001,"Abbotsford/Abbotsford"," 94","Abbotsford",11,168,3,29,22,0,233,476
59001,"Abbotsford/Abbotsford"," 95","Abbotsford",7,44,1,12,20,1,85,240
59001,"Abbotsford/Abbotsford"," 96","Abbotsford",9,110,0,28,30,3,180,422
59001,"Abbotsford/Abbotsford"," 97","Abbotsford",12,63,1,30,11,1,118,305
59001,"Abbotsford/Abbotsford"," 98","Abbotsford",16,87,2,18,24,0,147,406
59001,"Abbotsford/Abbotsford"," 99","Abbotsford",19,176,1,26,36,0,258,467
59001,"Abbotsford/Abbotsford"," 100","Abbotsford",26,183,2,32,35,0,278,493
59001,"Abbotsford/Abbotsford"," 101A","Abbotsford",16,132,0,22,26,0,196,333
59001,"Abbotsford/Abbotsford"," 101B","Abbotsford",11,90,0,21,27,0,149,221
59001,"Abbotsford/Abbotsford"," 102","Abbotsford",19,202,1,26,37,0,285,507
59001,"Abbotsford/Abbotsford"," 103","Abbotsford",12,167,0,18,25,1,223,342
59001,"Abbotsford/Abbotsford"," 104","Abbotsford",13,220,3,23,29,0,288,474
59001,"Abbotsford/Abbotsford"," 105","Abbotsford",27,138,0,38,26,0,229,429
59001,"Abbotsford/Abbotsford"," 106","Abbotsford",24,166,3,19,30,0,242,401
59001,"Abbotsford/Abbotsford"," 107","Abbotsford",14,171,2,39,24,0,250,471
59001,"Abbotsford/Abbotsford"," 108","Abbotsford",21,157,0,32,39,0,249,373
59001,"Abbotsford/Abbotsford"," 109","Abbotsford",26,135,0,32,22,0,215,442
59001,"Abbotsford/Abbotsford"," 110","Abbotsford",16,89,1,31,19,1,157,307
59001,"Abbotsford/Abbotsford"," 111","Abbotsford",21,90,2,19,14,0,146,261
59001,"Abbotsford/Abbotsford"," 112","Abbotsford",24,156,2,34,31,0,247,436
59001,"Abbotsford/Abbotsford"," 113","Abbotsford",16,170,2,32,42,0,262,451
59001,"Abbotsford/Abbotsford"," 114","Abbotsford",29,156,3,25,17,0,230,408
59001,"Abbotsford/Abbotsford"," 115","Abbotsford",3,119,0,10,34,0,166,367
59001,"Abbotsford/Abbotsford"," 116","Abbotsford",16,143,0,19,47,0,225,426
59001,"Abbotsford/Abbotsford"," 117","Abbotsford",33,104,2,50,30,0,219,398
59001,"Abbotsford/Abbotsford"," 118","Abbotsford",20,97,1,42,28,2,190,458
59001,"Abbotsford/Abbotsford"," 119","Abbotsford",15,141,3,20,27,0,206,385
59001,"Abbotsford/Abbotsford"," 120","Abbotsford",23,108,5,24,23,0,183,457
59001,"Abbotsford/Abbotsford"," 121","Abbotsford",24,127,4,33,38,0,226,457
59001,"Abbotsford/Abbotsford"," 122","Abbotsford",25,125,3,35,23,2,213,412
59001,"Abbotsford/Abbotsford"," 123","Abbotsford",25,109,1,41,18,0,194,433
59001,"Abbotsford/Abbotsford"," 124","Abbotsford",13,72,3,33,24,0,145,411
59001,"Abbotsford/Abbotsford"," 125A","Abbotsford",19,110,2,20,15,0,166,289
59001,"Abbotsford/Abbotsford"," 125B","Abbotsford",14,70,0,20,19,0,123,249
59001,"Abbotsford/Abbotsford"," 126","Abbotsford",25,145,0,20,34,0,224,413
59001,"Abbotsford/Abbotsford"," 127","Abbotsford",17,148,1,28,41,0,235,446
59001,"Abbotsford/Abbotsford"," 128","Abbotsford",19,142,1,35,39,0,236,378
59001,"Abbotsford/Abbotsford"," 129","Abbotsford",24,165,6,22,37,1,255,422
59001,"Abbotsford/Abbotsford"," 130","Abbotsford",15,148,1,28,33,1,226,381
59001,"Abbotsford/Abbotsford"," 131","Abbotsford",21,169,0,19,31,0,240,412
59001,"Abbotsford/Abbotsford"," 131-1","Abbotsford",10,104,0,5,33,0,152,258
59001,"Abbotsford/Abbotsford"," 132","Abbotsford",12,35,1,13,13,0,74,209
59001,"Abbotsford/Abbotsford"," 133","Abbotsford",11,44,2,30,13,0,100,304
59001,"Abbotsford/Abbotsford"," 134","Abbotsford",20,91,4,46,14,0,175,340
59001,"Abbotsford/Abbotsford"," 135","Abbotsford",25,118,0,37,27,1,208,436
59001,"Abbotsford/Abbotsford"," 136","Abbotsford",9,44,0,15,7,0,75,130
59001,"Abbotsford/Abbotsford"," 137","Abbotsford",21,102,1,33,33,0,190,438
59001,"Abbotsford/Abbotsford"," 138","Abbotsford",13,207,1,22,39,2,284,473
59001,"Abbotsford/Abbotsford"," 139","Abbotsford",15,129,0,26,26,1,197,378
59001,"Abbotsford/Abbotsford"," 140","Abbotsford",15,173,3,35,54,2,282,479
59001,"Abbotsford/Abbotsford"," 141","Abbotsford",13,163,3,21,40,1,241,435
59001,"Abbotsford/Abbotsford"," 142","Abbotsford",19,132,4,32,51,0,238,444
59001,"Abbotsford/Abbotsford"," 143","Fraser Valley H ",14,79,2,7,23,2,127,208
59001,"Abbotsford/Abbotsford"," 144","Abbotsford",18,187,0,17,40,0,262,425
59001,"Abbotsford/Abbotsford"," 144-1","Abbotsford",11,156,0,19,14,0,200,339
59001,"Abbotsford/Abbotsford"," 145","Abbotsford",23,142,1,29,28,0,223,373
59001,"Abbotsford/Abbotsford"," 146A","Abbotsford",18,183,1,21,28,0,251,361
59001,"Abbotsford/Abbotsford"," 146B","Abbotsford",9,144,2,13,24,0,192,325
59001,"Abbotsford/Abbotsford"," 147","Abbotsford",18,231,4,34,48,0,335,487
59001,"Abbotsford/Abbotsford"," 148A","Abbotsford",15,178,0,14,32,2,241,391
59001,"Abbotsford/Abbotsford"," 148B","Abbotsford",16,145,2,7,22,0,192,305
59001,"Abbotsford/Abbotsford"," 149","Abbotsford",24,102,1,25,26,1,179,333
59001,"Abbotsford/Abbotsford"," 149-1","Abbotsford",14,163,1,23,17,2,220,350
59001,"Abbotsford/Abbotsford"," 150","Abbotsford",14,145,2,20,41,0,222,416
59001,"Abbotsford/Abbotsford"," 151A","Abbotsford",15,105,3,13,19,0,155,285
59001,"Abbotsford/Abbotsford"," 151B","Abbotsford",11,72,3,14,17,1,118,232
59001,"Abbotsford/Abbotsford"," 152A","Abbotsford",18,146,3,7,34,1,209,377
59001,"Abbotsford/Abbotsford"," 152B","Abbotsford",6,121,0,9,25,1,162,287
59001,"Abbotsford/Abbotsford"," 153","Abbotsford",20,173,0,21,31,0,245,426
59001,"Abbotsford/Abbotsford"," 154A","Abbotsford",12,163,1,9,21,0,206,364
59001,"Abbotsford/Abbotsford"," 154B","Abbotsford",8,77,0,11,23,0,119,213
59001,"Abbotsford/Abbotsford"," 155","Abbotsford",24,200,0,25,48,1,298,517
59001,"Abbotsford/Abbotsford"," 156","Abbotsford",20,175,0,25,32,1,253,465
59001,"Abbotsford/Abbotsford"," 157A","Abbotsford",13,142,0,16,17,4,192,321
59001,"Abbotsford/Abbotsford"," 157B","Abbotsford",10,105,0,15,22,0,152,276
59001,"Abbotsford/Abbotsford"," 158","Abbotsford",11,120,0,19,28,1,179,327
59001,"Abbotsford/Abbotsford"," 159A","Abbotsford",12,118,0,20,24,0,174,284
59001,"Abbotsford/Abbotsford"," 159B","Abbotsford",9,96,2,16,20,1,144,268
59001,"Abbotsford/Abbotsford"," 160","Abbotsford",5,40,0,20,3,1,69,162
59001,"Abbotsford/Abbotsford"," 161A","Abbotsford",10,170,1,28,21,0,230,399
59001,"Abbotsford/Abbotsford"," 161B","Abbotsford",15,156,1,30,28,0,230,395
59001,"Abbotsford/Abbotsford"," 161C","Abbotsford",15,131,5,22,24,0,197,335
59001,"Abbotsford/Abbotsford"," 162","Abbotsford",5,98,1,11,34,1,150,255
59001,"Abbotsford/Abbotsford"," 163","Abbotsford",17,177,3,15,18,2,232,404
59001,"Abbotsford/Abbotsford"," 164","Abbotsford",15,139,3,43,26,0,226,456
59001,"Abbotsford/Abbotsford"," 165","Abbotsford",14,128,1,36,21,0,200,371
59001,"Abbotsford/Abbotsford"," 166","Abbotsford",6,63,1,28,16,1,115,288
59001,"Abbotsford/Abbotsford"," 167","Abbotsford",13,87,2,39,20,1,162,362
59001,"Abbotsford/Abbotsford"," 168","Abbotsford",25,108,1,51,32,1,218,469
59001,"Abbotsford/Abbotsford"," 169A","Abbotsford",18,96,2,26,30,0,172,339
59001,"Abbotsford/Abbotsford"," 169B","Abbotsford",7,106,0,27,26,0,166,294
59001,"Abbotsford/Abbotsford"," 169C","Abbotsford",5,87,0,22,12,0,126,230
59001,"Abbotsford/Abbotsford"," 170","Abbotsford",7,92,2,24,21,1,147,288
59001,"Abbotsford/Abbotsford"," 171","Abbotsford",12,125,0,31,11,3,182,287
59001,"Abbotsford/Abbotsford"," 172","Abbotsford",23,112,5,23,41,2,206,392
59001,"Abbotsford/Abbotsford"," 173","Abbotsford",23,130,3,40,32,2,230,438
59001,"Abbotsford/Abbotsford"," 174","Abbotsford",12,108,2,35,29,0,186,356
59001,"Abbotsford/Abbotsford"," 175A","Abbotsford",8,114,3,22,52,6,205,350
59001,"Abbotsford/Abbotsford"," 175B","Abbotsford",2,67,0,16,35,1,121,231
59001,"Abbotsford/Abbotsford"," 176A","Abbotsford",6,106,1,4,61,0,178,303
59001,"Abbotsford/Abbotsford"," 176B","Abbotsford",8,79,1,8,18,2,116,225
59001,"Abbotsford/Abbotsford"," 177","Abbotsford",18,106,1,28,33,0,186,411
59001,"Abbotsford/Abbotsford"," 178","Abbotsford",11,197,1,31,27,2,269,432
59001,"Abbotsford/Abbotsford"," 179A","Abbotsford",19,128,1,21,17,0,186,321
59001,"Abbotsford/Abbotsford"," 179B","Abbotsford",9,118,1,15,20,1,164,290
59001,"Abbotsford/Abbotsford"," 179-1","Abbotsford",2,24,0,4,3,0,33,54
59001,"Abbotsford/Abbotsford"," 180A","Abbotsford",6,98,3,9,31,0,147,308
59001,"Abbotsford/Abbotsford"," 180B","Abbotsford",8,86,0,20,9,0,123,264
59001,"Abbotsford/Abbotsford"," 181","Abbotsford",26,246,1,15,27,0,315,489
59001,"Abbotsford/Abbotsford"," 182","Abbotsford",10,195,2,13,32,3,255,479
59001,"Abbotsford/Abbotsford"," 183","Abbotsford",13,126,3,17,17,2,178,332
59001,"Abbotsford/Abbotsford"," 400","Abbotsford",2,189,2,10,22,0,225,292
59001,"Abbotsford/Abbotsford"," 500","Mobile poll/Bureau itinérant",5,128,0,4,7,2,146,189
59001,"Abbotsford/Abbotsford"," 501","Mobile poll/Bureau itinérant",4,68,0,1,12,2,87,90
59001,"Abbotsford/Abbotsford"," 502","Mobile poll/Bureau itinérant",5,123,0,18,15,3,164,183
59001,"Abbotsford/Abbotsford"," 503","Mobile poll/Bureau itinérant",0,61,0,16,7,2,86,119
59001,"Abbotsford/Abbotsford"," 504","Mobile poll/Bureau itinérant",4,39,1,10,6,2,62,107
59001,"Abbotsford/Abbotsford"," 505","Mobile poll/Bureau itinérant",5,42,1,10,4,1,63,86
59001,"Abbotsford/Abbotsford"," 506","Mobile poll/Bureau itinérant",7,15,2,7,6,2,39,66
59001,"Abbotsford/Abbotsford"," 507","Mobile poll/Bureau itinérant",2,36,0,1,6,1,46,105
59001,"Abbotsford/Abbotsford"," 508","Mobile poll/Bureau itinérant",3,46,1,7,10,1,68,108
59001,"Abbotsford/Abbotsford"," 600","Abbotsford",18,145,0,42,32,0,237,
59001,"Abbotsford/Abbotsford"," 601","Abbotsford--Matsqui Main 2",5,245,2,65,83,1,401,
59001,"Abbotsford/Abbotsford"," 602","Abbotsford",22,282,4,58,72,0,438,
59001,"Abbotsford/Abbotsford"," 603","Abbotsford",13,227,0,53,42,2,337,
59001,"Abbotsford/Abbotsford"," 604","Abbotsford",20,352,2,45,47,1,467,
59001,"Abbotsford/Abbotsford"," 605","Abbotsford",19,178,1,48,37,1,284,
59001,"Abbotsford/Abbotsford"," 606","Abbotsford",19,342,0,63,61,1,486,
59001,"Abbotsford/Abbotsford"," 607","Abbotsford",17,318,4,42,55,0,436,
59001,"Abbotsford/Abbotsford"," 608","Abbotsford",27,326,1,23,47,2,426,
59001,"Abbotsford/Abbotsford",,Group 1/Groupe 1,11,44,5,19,28,6,113,164
59001,"Abbotsford/Abbotsford",,Group 2/Groupe 2,38,594,0,64,87,12,795,

