Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Brown,Lori Gadzala,Ed Mahfouz,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Nepean--Carleton/Nepean--Carleton"," 160","Osgoode",11,33,33,143,0,220,351
35052,"Nepean--Carleton/Nepean--Carleton"," 161","Osgoode",18,38,38,172,1,267,452
35052,"Nepean--Carleton/Nepean--Carleton"," 162","Osgoode",17,31,53,183,1,285,503
35052,"Nepean--Carleton/Nepean--Carleton"," 163","Osgoode",40,38,39,188,0,305,475
35052,"Nepean--Carleton/Nepean--Carleton"," 164","Osgoode",30,36,22,143,0,231,376
35052,"Nepean--Carleton/Nepean--Carleton"," 165","Osgoode",28,37,55,222,0,342,551
35052,"Nepean--Carleton/Nepean--Carleton"," 166","Osgoode",20,36,19,118,0,193,354
35052,"Nepean--Carleton/Nepean--Carleton"," 167","Osgoode",14,21,28,175,1,239,431
35052,"Nepean--Carleton/Nepean--Carleton"," 168","Osgoode",18,18,26,134,0,196,335
35052,"Nepean--Carleton/Nepean--Carleton"," 169","Osgoode",18,47,47,189,1,302,512
35052,"Nepean--Carleton/Nepean--Carleton"," 170","Osgoode",20,22,49,107,0,198,381
35052,"Nepean--Carleton/Nepean--Carleton"," 171","Osgoode",24,28,64,221,2,339,570
35052,"Nepean--Carleton/Nepean--Carleton"," 172","Osgoode",13,13,13,94,1,134,250
35052,"Nepean--Carleton/Nepean--Carleton"," 173","Osgoode",32,28,72,211,1,344,564
35052,"Nepean--Carleton/Nepean--Carleton"," 174","Osgoode",22,37,31,217,3,310,575
35052,"Nepean--Carleton/Nepean--Carleton"," 175","Osgoode",13,17,21,156,0,207,352
35052,"Nepean--Carleton/Nepean--Carleton"," 176","Osgoode",24,30,26,250,1,331,495
35052,"Nepean--Carleton/Nepean--Carleton"," 177","Osgoode",25,25,28,126,0,204,311
35052,"Nepean--Carleton/Nepean--Carleton"," 178","Osgoode",29,18,41,173,1,262,390
35052,"Nepean--Carleton/Nepean--Carleton"," 178-1","Osgoode",10,17,20,106,1,154,253
35052,"Nepean--Carleton/Nepean--Carleton"," 179","Osgoode",31,38,48,240,2,359,531
35052,"Nepean--Carleton/Nepean--Carleton"," 180","Osgoode",24,24,24,170,0,242,406
35052,"Nepean--Carleton/Nepean--Carleton"," 181","Osgoode",17,20,24,108,2,171,312
35052,"Nepean--Carleton/Nepean--Carleton"," 181-1","Osgoode",16,30,38,152,1,237,362
35052,"Nepean--Carleton/Nepean--Carleton"," 182","Osgoode",29,18,45,220,1,313,566
35052,"Nepean--Carleton/Nepean--Carleton"," 183","Osgoode",28,47,23,211,2,311,456
35052,"Nepean--Carleton/Nepean--Carleton"," 184","Rideau",14,70,61,167,1,313,516
35052,"Nepean--Carleton/Nepean--Carleton"," 185","Rideau",6,51,44,143,0,244,414
