Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Bell,Jason Draper,John Duncan,Geoff Fleischer,Philip Stone,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Vancouver Island North/Île de Vancouver-Nord"," 27B","Port McNeill",47,0,70,4,9,0,130,273
59031,"Vancouver Island North/Île de Vancouver-Nord"," 27-1","Quattishe 1",Void/Supprimé,,,,,,,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 28","Port McNeill",93,1,87,9,16,1,207,404
59031,"Vancouver Island North/Île de Vancouver-Nord"," 29","Port McNeill",91,1,130,5,18,0,245,449
59031,"Vancouver Island North/Île de Vancouver-Nord"," 30","Port McNeill",108,4,107,17,14,0,250,437
59031,"Vancouver Island North/Île de Vancouver-Nord"," 31","Port McNeill",71,0,93,14,18,0,196,406
59031,"Vancouver Island North/Île de Vancouver-Nord"," 32","Alert Bay 1",200,1,8,4,11,0,224,427
59031,"Vancouver Island North/Île de Vancouver-Nord"," 33","Alert Bay",178,3,44,6,15,0,246,424
59031,"Vancouver Island North/Île de Vancouver-Nord"," 34","Kyuquot",46,0,7,0,1,0,54,92
59031,"Vancouver Island North/Île de Vancouver-Nord"," 35","Zeballos",40,0,26,7,2,0,75,164
59031,"Vancouver Island North/Île de Vancouver-Nord"," 36","Blind Channel",2,1,7,0,5,0,15,25
59031,"Vancouver Island North/Île de Vancouver-Nord"," 37","Woss",70,1,33,0,6,0,110,170
59031,"Vancouver Island North/Île de Vancouver-Nord"," 38","Sayward",163,0,119,12,20,0,314,544
59031,"Vancouver Island North/Île de Vancouver-Nord"," 39","Sayward",52,0,37,4,7,0,100,140
59031,"Vancouver Island North/Île de Vancouver-Nord"," 40","Quadra Island",158,1,60,7,30,1,257,335
59031,"Vancouver Island North/Île de Vancouver-Nord"," 41","Surge Narrows",20,0,7,1,17,0,45,66
59031,"Vancouver Island North/Île de Vancouver-Nord"," 42","Refuge Cove",7,0,7,1,1,0,16,307
59031,"Vancouver Island North/Île de Vancouver-Nord"," 43","Cortes Island",Void/Supprimé,,,,,,,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 44A","Quathiaski Cove",84,0,13,6,24,1,128,195
59031,"Vancouver Island North/Île de Vancouver-Nord"," 44B","Quathiaski Cove",85,0,34,10,12,0,141,220
59031,"Vancouver Island North/Île de Vancouver-Nord"," 45","Qhathiaski Cove",138,0,82,8,37,1,266,395
59031,"Vancouver Island North/Île de Vancouver-Nord"," 46","Campbell River",80,1,118,8,26,0,233,442
59031,"Vancouver Island North/Île de Vancouver-Nord"," 47","Yaculta",77,0,29,5,24,0,135,243
59031,"Vancouver Island North/Île de Vancouver-Nord"," 48A","Cortes Bay",192,0,40,11,36,1,280,285
59031,"Vancouver Island North/Île de Vancouver-Nord"," 48B","Cortes Bay",169,0,21,8,42,5,245,245
59031,"Vancouver Island North/Île de Vancouver-Nord"," 49A","Quathiaski Cove",107,0,27,6,22,1,163,225
59031,"Vancouver Island North/Île de Vancouver-Nord"," 49B","Quathiaski Cove",92,0,36,6,21,0,155,236
59031,"Vancouver Island North/Île de Vancouver-Nord"," 50","Campbell River",109,0,124,10,24,0,267,465
59031,"Vancouver Island North/Île de Vancouver-Nord"," 51","Campbell River",82,2,104,3,21,1,213,415
59031,"Vancouver Island North/Île de Vancouver-Nord"," 52","Campbell River",126,0,113,10,19,0,268,469
59031,"Vancouver Island North/Île de Vancouver-Nord"," 53","Campbell River",114,1,127,20,24,0,286,494
59031,"Vancouver Island North/Île de Vancouver-Nord"," 54","Oyster River",116,3,91,10,26,0,246,370
59031,"Vancouver Island North/Île de Vancouver-Nord"," 55","Oyster River",100,2,76,2,25,0,205,384
59031,"Vancouver Island North/Île de Vancouver-Nord"," 56","Campbell River",54,0,56,7,11,0,128,307
59031,"Vancouver Island North/Île de Vancouver-Nord"," 57","Campbell River",91,1,91,8,10,0,201,413
59031,"Vancouver Island North/Île de Vancouver-Nord"," 58","Campbell River",128,1,124,16,13,0,282,476
59031,"Vancouver Island North/Île de Vancouver-Nord"," 59","Campbell River",92,3,78,11,12,0,196,336
59031,"Vancouver Island North/Île de Vancouver-Nord"," 60","Campbell River",83,0,62,5,12,0,162,314
59031,"Vancouver Island North/Île de Vancouver-Nord"," 61","Campbell River",49,0,48,4,9,0,110,244
59031,"Vancouver Island North/Île de Vancouver-Nord"," 62","Campbell River",85,2,68,5,14,0,174,388
59031,"Vancouver Island North/Île de Vancouver-Nord"," 63","Campbell River",73,1,52,4,9,0,139,321
59031,"Vancouver Island North/Île de Vancouver-Nord"," 64","Campbell River",70,3,71,8,6,1,159,284
59031,"Vancouver Island North/Île de Vancouver-Nord"," 65","Quinsam 12",48,0,15,2,6,3,74,184
59031,"Vancouver Island North/Île de Vancouver-Nord"," 66","Campbell River",57,1,137,6,20,1,222,432
59031,"Vancouver Island North/Île de Vancouver-Nord"," 67","Campbell River",59,0,64,3,13,0,139,312
59031,"Vancouver Island North/Île de Vancouver-Nord"," 68","Campbell River",50,2,70,5,12,0,139,302
59031,"Vancouver Island North/Île de Vancouver-Nord"," 69","Campbell River 11",85,0,43,5,6,2,141,327
59031,"Vancouver Island North/Île de Vancouver-Nord"," 70","Campbell River",92,0,64,7,12,1,176,423
59031,"Vancouver Island North/Île de Vancouver-Nord"," 71","Campbell River",73,1,46,3,17,0,140,377
59031,"Vancouver Island North/Île de Vancouver-Nord"," 72","Campbell River",79,3,43,6,21,1,153,388
59031,"Vancouver Island North/Île de Vancouver-Nord"," 73","Campbell River",78,1,103,8,17,0,207,444
59031,"Vancouver Island North/Île de Vancouver-Nord"," 74","Campbell River",68,0,60,6,11,1,146,307
59031,"Vancouver Island North/Île de Vancouver-Nord"," 75","Campbell River",117,3,58,9,14,1,202,420
59031,"Vancouver Island North/Île de Vancouver-Nord"," 76","Campbell River",71,1,76,1,8,0,157,315
59031,"Vancouver Island North/Île de Vancouver-Nord"," 77","Campbell River",108,1,67,5,23,1,205,515
59031,"Vancouver Island North/Île de Vancouver-Nord"," 78","Campbell River",113,3,111,13,24,0,264,474
59031,"Vancouver Island North/Île de Vancouver-Nord"," 79","Campbell River",72,0,90,6,7,0,175,355
59031,"Vancouver Island North/Île de Vancouver-Nord"," 80","Campbell River",90,1,88,6,23,0,208,434
59031,"Vancouver Island North/Île de Vancouver-Nord"," 81","Campbell River",88,3,71,6,16,0,184,486
59031,"Vancouver Island North/Île de Vancouver-Nord"," 82","Campbell River",71,6,129,4,12,0,222,484
59031,"Vancouver Island North/Île de Vancouver-Nord"," 83","Campbell River",51,2,37,2,6,0,98,277
59031,"Vancouver Island North/Île de Vancouver-Nord"," 84","Campbell River",60,1,60,9,6,0,136,264
59031,"Vancouver Island North/Île de Vancouver-Nord"," 85","Campbell River",80,2,134,12,19,2,249,449
59031,"Vancouver Island North/Île de Vancouver-Nord"," 86","Campbell River",85,1,132,7,10,1,236,426
59031,"Vancouver Island North/Île de Vancouver-Nord"," 87","Campbell River",70,1,79,11,17,0,178,437
59031,"Vancouver Island North/Île de Vancouver-Nord"," 88","Campbell River",69,3,134,9,16,2,233,458
59031,"Vancouver Island North/Île de Vancouver-Nord"," 89","Campbell River",85,1,154,9,15,0,264,481
59031,"Vancouver Island North/Île de Vancouver-Nord"," 90","Campbell River",63,0,59,7,7,0,136,236
59031,"Vancouver Island North/Île de Vancouver-Nord"," 91","Campbell River",42,1,47,6,3,1,100,188
59031,"Vancouver Island North/Île de Vancouver-Nord"," 91-1","Campbell River",30,0,67,3,4,0,104,207
59031,"Vancouver Island North/Île de Vancouver-Nord"," 92","Campbell River",73,1,89,3,12,0,178,231
59031,"Vancouver Island North/Île de Vancouver-Nord"," 92-1","Campbell River",46,2,64,6,7,0,125,435
59031,"Vancouver Island North/Île de Vancouver-Nord"," 93","Campbell River",93,0,119,17,11,0,240,456
59031,"Vancouver Island North/Île de Vancouver-Nord"," 94","Campbell River",36,0,50,7,5,0,98,253
59031,"Vancouver Island North/Île de Vancouver-Nord"," 95","Campbell River",80,0,115,8,16,0,219,398
59031,"Vancouver Island North/Île de Vancouver-Nord"," 96","Campbell River",146,2,124,16,15,0,303,586
59031,"Vancouver Island North/Île de Vancouver-Nord"," 97","Campbell River",51,0,64,6,13,0,134,249
59031,"Vancouver Island North/Île de Vancouver-Nord"," 98","Campbell River",75,1,114,7,12,0,209,408
59031,"Vancouver Island North/Île de Vancouver-Nord"," 99","Campbell River",75,2,99,8,12,0,196,317
59031,"Vancouver Island North/Île de Vancouver-Nord"," 100","Campbell River",74,5,90,6,20,1,196,311
59031,"Vancouver Island North/Île de Vancouver-Nord"," 101","Campbell River",112,0,96,9,18,0,235,429
59031,"Vancouver Island North/Île de Vancouver-Nord"," 102","Campbell River",102,3,172,7,16,0,300,502
59031,"Vancouver Island North/Île de Vancouver-Nord"," 103","Campbell River",124,1,122,13,9,0,269,465
59031,"Vancouver Island North/Île de Vancouver-Nord"," 104","Campbell River",95,0,79,5,12,0,191,394
59031,"Vancouver Island North/Île de Vancouver-Nord"," 105","Campbell River",63,0,90,5,6,1,165,327
59031,"Vancouver Island North/Île de Vancouver-Nord"," 106","Campbell River",89,2,119,4,19,2,235,463
59031,"Vancouver Island North/Île de Vancouver-Nord"," 107","Campbell River",90,0,91,6,20,2,209,424
59031,"Vancouver Island North/Île de Vancouver-Nord"," 108A","Campbell River",54,0,70,6,5,0,135,250
59031,"Vancouver Island North/Île de Vancouver-Nord"," 108B","Campbell River",67,1,69,4,9,0,150,271
59031,"Vancouver Island North/Île de Vancouver-Nord"," 109A","Campbell River",45,0,70,8,4,1,128,268
59031,"Vancouver Island North/Île de Vancouver-Nord"," 109B","Campbell River",58,1,82,7,4,1,153,275
59031,"Vancouver Island North/Île de Vancouver-Nord"," 110","Campbell River",95,2,160,16,19,3,295,507
59031,"Vancouver Island North/Île de Vancouver-Nord"," 111","Campbell River",79,1,114,7,15,0,216,368
59031,"Vancouver Island North/Île de Vancouver-Nord"," 112","Campbell River",51,1,80,7,9,0,148,238
59031,"Vancouver Island North/Île de Vancouver-Nord"," 113","Campbell River",81,2,123,6,14,2,228,456
59031,"Vancouver Island North/Île de Vancouver-Nord"," 114A","Campbell River",42,2,109,8,21,0,182,330
59031,"Vancouver Island North/Île de Vancouver-Nord"," 114B","Campbell River",50,0,102,5,4,0,161,294
59031,"Vancouver Island North/Île de Vancouver-Nord"," 114-1","Homalco 9",60,0,34,2,2,1,99,140
59031,"Vancouver Island North/Île de Vancouver-Nord"," 115","Tahsis",90,0,58,5,23,1,177,291
59031,"Vancouver Island North/Île de Vancouver-Nord"," 116","Tsa Xana 18",Void/Supprimé,,,,,,,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 117A","Gold River",54,0,1,0,3,0,58,87
59031,"Vancouver Island North/Île de Vancouver-Nord"," 117B","Gold River",60,1,41,7,9,0,118,239
59031,"Vancouver Island North/Île de Vancouver-Nord"," 118","Gold River",74,0,54,6,14,0,148,356
59031,"Vancouver Island North/Île de Vancouver-Nord"," 119","Gold River",57,0,43,8,10,0,118,218
59031,"Vancouver Island North/Île de Vancouver-Nord"," 120","Gold River",72,0,28,6,10,1,117,234
59031,"Vancouver Island North/Île de Vancouver-Nord"," 121","Gold River",Void/Supprimé,,,,,,,
59031,"Vancouver Island North/Île de Vancouver-Nord"," 122A","Oyster River",71,0,49,11,6,1,138,228
59031,"Vancouver Island North/Île de Vancouver-Nord"," 122B","Oyster River",57,0,86,1,12,0,156,263
59031,"Vancouver Island North/Île de Vancouver-Nord"," 123","Black Creek",107,1,141,7,19,0,275,445
59031,"Vancouver Island North/Île de Vancouver-Nord"," 124","Oyster River",75,3,116,6,10,0,210,343
59031,"Vancouver Island North/Île de Vancouver-Nord"," 125","Saratoga Beach",91,2,131,8,26,0,258,383
59031,"Vancouver Island North/Île de Vancouver-Nord"," 126","Saratoga Beach",63,0,86,7,26,0,182,326
59031,"Vancouver Island North/Île de Vancouver-Nord"," 127","Black Creek",117,0,128,7,39,0,291,467
59031,"Vancouver Island North/Île de Vancouver-Nord"," 128","Merville",129,1,88,4,25,0,247,413
59031,"Vancouver Island North/Île de Vancouver-Nord"," 129","Courtenay",100,1,84,11,36,0,232,434
59031,"Vancouver Island North/Île de Vancouver-Nord"," 130","Courtenay",73,0,87,7,15,0,182,291
59031,"Vancouver Island North/Île de Vancouver-Nord"," 131","Headquarters",69,0,53,3,18,0,143,220
59031,"Vancouver Island North/Île de Vancouver-Nord"," 132","Merville",59,2,75,2,15,0,153,267
59031,"Vancouver Island North/Île de Vancouver-Nord"," 133","Merville",97,4,89,6,27,0,223,332
59031,"Vancouver Island North/Île de Vancouver-Nord"," 134","Courtenay",93,2,120,7,24,0,246,381
59031,"Vancouver Island North/Île de Vancouver-Nord"," 135","Merville",138,1,126,14,34,0,313,475
59031,"Vancouver Island North/Île de Vancouver-Nord"," 135-1","Comox-Strathcona B",71,0,82,6,24,0,183,305
59031,"Vancouver Island North/Île de Vancouver-Nord"," 136","Courtenay",116,0,88,7,17,0,228,395
59031,"Vancouver Island North/Île de Vancouver-Nord"," 137","Courtenay",86,1,112,14,20,1,234,434
59031,"Vancouver Island North/Île de Vancouver-Nord"," 138","Courtenay",59,0,57,7,18,0,141,410
59031,"Vancouver Island North/Île de Vancouver-Nord"," 138-1","Courtenay",23,0,14,3,5,0,45,127
59031,"Vancouver Island North/Île de Vancouver-Nord"," 139","Courtenay",64,1,113,6,9,0,193,386
59031,"Vancouver Island North/Île de Vancouver-Nord"," 140","Courtenay",52,0,52,4,12,0,120,224
59031,"Vancouver Island North/Île de Vancouver-Nord"," 140-1","Courtenay",80,4,153,15,13,0,265,445
59031,"Vancouver Island North/Île de Vancouver-Nord"," 141A","Courtenay",35,2,145,12,14,0,208,347
59031,"Vancouver Island North/Île de Vancouver-Nord"," 141B","Courtenay",43,2,135,15,15,0,210,350
59031,"Vancouver Island North/Île de Vancouver-Nord"," 141-1","Courtenay",53,3,112,14,19,0,201,335
59031,"Vancouver Island North/Île de Vancouver-Nord"," 142","Courtenay",69,1,111,10,13,0,204,423
59031,"Vancouver Island North/Île de Vancouver-Nord"," 143A","Courtenay",53,0,77,11,14,0,155,279
59031,"Vancouver Island North/Île de Vancouver-Nord"," 143B","Courtenay",50,2,68,2,9,0,131,253
59031,"Vancouver Island North/Île de Vancouver-Nord"," 144","Courtenay",53,1,33,9,13,0,109,263
59031,"Vancouver Island North/Île de Vancouver-Nord"," 145","Courtenay",87,6,109,8,26,0,236,434
59031,"Vancouver Island North/Île de Vancouver-Nord"," 146","Courtenay",24,1,101,7,4,0,137,220
59031,"Vancouver Island North/Île de Vancouver-Nord"," 146-1","Courtenay",51,1,66,4,5,0,127,265
59031,"Vancouver Island North/Île de Vancouver-Nord"," 147","Courtenay",40,1,131,7,7,1,187,295
59031,"Vancouver Island North/Île de Vancouver-Nord"," 147-1","Courtenay",25,0,70,5,9,0,109,178
59031,"Vancouver Island North/Île de Vancouver-Nord"," 148A","Courtenay",27,1,93,10,6,1,138,268
59031,"Vancouver Island North/Île de Vancouver-Nord"," 148B","Courtenay",28,1,108,9,5,1,152,268
59031,"Vancouver Island North/Île de Vancouver-Nord"," 149","Courtenay",54,0,77,6,9,0,146,256
59031,"Vancouver Island North/Île de Vancouver-Nord"," 150","Courtenay",72,2,141,18,21,0,254,448
59031,"Vancouver Island North/Île de Vancouver-Nord"," 151","Courtenay",45,0,132,9,13,0,199,307
59031,"Vancouver Island North/Île de Vancouver-Nord"," 152A","Comox 1",50,2,109,6,17,0,184,299
59031,"Vancouver Island North/Île de Vancouver-Nord"," 152B","Comox 1",53,0,113,5,21,0,192,298
59031,"Vancouver Island North/Île de Vancouver-Nord"," 152-1A","Comox-Strathcona B",49,1,28,1,7,0,86,265
59031,"Vancouver Island North/Île de Vancouver-Nord"," 152-1B","Comox-Strathcona B",47,0,30,4,8,1,90,240
59031,"Vancouver Island North/Île de Vancouver-Nord"," 153","Courtenay",98,0,105,10,25,0,238,484
59031,"Vancouver Island North/Île de Vancouver-Nord"," 154","Courtenay",58,2,57,7,28,0,152,299
59031,"Vancouver Island North/Île de Vancouver-Nord"," 155","Courtenay",108,1,59,14,24,0,206,401
59031,"Vancouver Island North/Île de Vancouver-Nord"," 156","Courtenay",84,0,54,16,26,1,181,320
59031,"Vancouver Island North/Île de Vancouver-Nord"," 156-1","Courtenay",52,0,33,4,12,0,101,202
59031,"Vancouver Island North/Île de Vancouver-Nord"," 157A","Courtenay",59,0,49,9,16,0,133,258
59031,"Vancouver Island North/Île de Vancouver-Nord"," 157B","Courtenay",69,1,39,5,15,0,129,274
59031,"Vancouver Island North/Île de Vancouver-Nord"," 158","Courtenay",46,1,31,6,8,0,92,206
59031,"Vancouver Island North/Île de Vancouver-Nord"," 159","Courtenay",53,1,25,0,15,0,94,197
59031,"Vancouver Island North/Île de Vancouver-Nord"," 159-1","Courtenay",93,1,96,5,21,1,217,422
59031,"Vancouver Island North/Île de Vancouver-Nord"," 160","Courtenay",77,3,44,7,15,0,146,352
59031,"Vancouver Island North/Île de Vancouver-Nord"," 161","Courtenay",77,2,42,6,15,0,142,326
59031,"Vancouver Island North/Île de Vancouver-Nord"," 161-1","Courtenay",41,1,32,1,15,0,90,195
59031,"Vancouver Island North/Île de Vancouver-Nord"," 162","Courtenay",62,4,56,3,7,1,133,293
59031,"Vancouver Island North/Île de Vancouver-Nord"," 163","Courtenay",44,0,33,3,5,0,85,213
59031,"Vancouver Island North/Île de Vancouver-Nord"," 164","Courtenay",108,3,76,9,39,2,237,482
59031,"Vancouver Island North/Île de Vancouver-Nord"," 165","Courtenay",87,3,68,5,15,1,179,509
59031,"Vancouver Island North/Île de Vancouver-Nord"," 166","Courtenay",68,3,72,7,12,0,162,362
59031,"Vancouver Island North/Île de Vancouver-Nord"," 166-1","Courtenay",31,2,22,1,6,1,63,133
59031,"Vancouver Island North/Île de Vancouver-Nord"," 167","Courtenay",54,2,42,6,14,0,118,267
59031,"Vancouver Island North/Île de Vancouver-Nord"," 168","Courtenay",64,1,62,9,10,0,146,274
59031,"Vancouver Island North/Île de Vancouver-Nord"," 169","Courtenay",139,5,107,10,27,0,288,523
59031,"Vancouver Island North/Île de Vancouver-Nord"," 170","Courtenay",97,3,70,10,16,0,196,441
59031,"Vancouver Island North/Île de Vancouver-Nord"," 171","Courtenay",62,2,72,6,14,0,156,328
59031,"Vancouver Island North/Île de Vancouver-Nord"," 172","Courtenay",54,0,56,4,14,0,128,238
59031,"Vancouver Island North/Île de Vancouver-Nord"," 173","Courtenay",45,2,40,3,11,0,101,242
59031,"Vancouver Island North/Île de Vancouver-Nord"," 174","Courtenay",76,1,79,8,24,1,189,406
59031,"Vancouver Island North/Île de Vancouver-Nord"," 174-1","Comox-Strathcona B",44,0,60,4,8,0,116,208
59031,"Vancouver Island North/Île de Vancouver-Nord"," 175","Courtenay",64,2,92,13,26,0,197,394
59031,"Vancouver Island North/Île de Vancouver-Nord"," 176","Courtenay",76,2,119,10,28,2,237,448
59031,"Vancouver Island North/Île de Vancouver-Nord"," 177","Courtenay",71,0,103,7,26,0,207,386
59031,"Vancouver Island North/Île de Vancouver-Nord"," 178","Little River",102,1,102,14,21,0,240,476
59031,"Vancouver Island North/Île de Vancouver-Nord"," 179","Little River",94,3,126,14,19,4,260,412
59031,"Vancouver Island North/Île de Vancouver-Nord"," 180","Little River",67,0,108,7,18,2,202,344
59031,"Vancouver Island North/Île de Vancouver-Nord"," 181","Comox 1",74,1,95,10,20,0,200,382
59031,"Vancouver Island North/Île de Vancouver-Nord"," 182","Comox 1",51,1,78,8,25,0,163,292
59031,"Vancouver Island North/Île de Vancouver-Nord"," 183","Comox 1",89,2,91,10,15,1,208,357
59031,"Vancouver Island North/Île de Vancouver-Nord"," 184","Comox 1",64,1,81,10,16,1,173,303
59031,"Vancouver Island North/Île de Vancouver-Nord"," 185A","Comox 1",67,0,61,11,15,0,154,247
59031,"Vancouver Island North/Île de Vancouver-Nord"," 185B","Comox 1",53,1,64,8,18,2,146,230
59031,"Vancouver Island North/Île de Vancouver-Nord"," 186","Comox",44,1,112,6,15,1,179,390
59031,"Vancouver Island North/Île de Vancouver-Nord"," 187","Comox",59,0,103,16,16,0,194,333
59031,"Vancouver Island North/Île de Vancouver-Nord"," 188","Comox",71,1,166,16,18,1,273,460
59031,"Vancouver Island North/Île de Vancouver-Nord"," 189","Comox",90,1,104,8,22,0,225,398
59031,"Vancouver Island North/Île de Vancouver-Nord"," 190","Comox",70,2,120,9,17,1,219,336
59031,"Vancouver Island North/Île de Vancouver-Nord"," 191","Comox",79,3,88,9,13,1,193,313
59031,"Vancouver Island North/Île de Vancouver-Nord"," 192","Comox",76,0,103,10,16,1,206,388
59031,"Vancouver Island North/Île de Vancouver-Nord"," 193","Comox 1",62,3,128,13,17,0,223,424
59031,"Vancouver Island North/Île de Vancouver-Nord"," 193-1","Comox-Strathcona B",29,2,68,3,14,1,117,218
59031,"Vancouver Island North/Île de Vancouver-Nord"," 194","Comox",49,1,74,9,13,0,146,232
59031,"Vancouver Island North/Île de Vancouver-Nord"," 194-1","Comox",84,1,160,15,15,0,275,493
59031,"Vancouver Island North/Île de Vancouver-Nord"," 195","Comox",70,0,92,2,14,0,178,281
59031,"Vancouver Island North/Île de Vancouver-Nord"," 196","Comox",91,1,109,14,16,0,231,426
59031,"Vancouver Island North/Île de Vancouver-Nord"," 197","Comox",47,1,75,7,9,0,139,255
59031,"Vancouver Island North/Île de Vancouver-Nord"," 198","Comox",63,3,60,9,11,1,147,262
59031,"Vancouver Island North/Île de Vancouver-Nord"," 199","Comox",66,1,91,11,20,0,189,416
59031,"Vancouver Island North/Île de Vancouver-Nord"," 200","Comox",78,2,93,17,16,0,206,437
59031,"Vancouver Island North/Île de Vancouver-Nord"," 201","Comox",126,1,118,17,18,1,281,478
59031,"Vancouver Island North/Île de Vancouver-Nord"," 202A","Comox",37,2,59,10,15,0,123,264
59031,"Vancouver Island North/Île de Vancouver-Nord"," 202B","Comox",50,0,63,9,10,0,132,252
59031,"Vancouver Island North/Île de Vancouver-Nord"," 203","Comox",43,0,82,8,10,0,143,287
59031,"Vancouver Island North/Île de Vancouver-Nord"," 204","Comox",69,1,62,5,10,1,148,271
59031,"Vancouver Island North/Île de Vancouver-Nord"," 205","Comox",99,4,117,6,11,0,237,424
59031,"Vancouver Island North/Île de Vancouver-Nord"," 206","Comox",69,0,85,12,26,1,193,316
59031,"Vancouver Island North/Île de Vancouver-Nord"," 206-1","Comox",68,3,124,8,9,0,212,353
59031,"Vancouver Island North/Île de Vancouver-Nord"," 207","Comox",115,4,104,6,40,0,269,440
59031,"Vancouver Island North/Île de Vancouver-Nord"," 208","Comox",60,3,96,9,15,0,183,297
59031,"Vancouver Island North/Île de Vancouver-Nord"," 209","Comox",75,2,127,26,21,1,252,413
59031,"Vancouver Island North/Île de Vancouver-Nord"," 210","Cumberland",48,5,64,4,25,3,149,235
59031,"Vancouver Island North/Île de Vancouver-Nord"," 211","Courtenay",78,3,80,7,19,1,188,296
59031,"Vancouver Island North/Île de Vancouver-Nord"," 212A","Courtenay",65,4,57,8,15,0,149,312
59031,"Vancouver Island North/Île de Vancouver-Nord"," 212B","Courtenay",80,1,56,4,15,0,156,278
59031,"Vancouver Island North/Île de Vancouver-Nord"," 213","Courtenay",83,1,106,10,21,0,221,372
59031,"Vancouver Island North/Île de Vancouver-Nord"," 214","Courtenay",83,1,81,8,24,1,198,335
59031,"Vancouver Island North/Île de Vancouver-Nord"," 215","Cumberland",176,3,85,7,25,0,296,475
59031,"Vancouver Island North/Île de Vancouver-Nord"," 215-1","Cumberland",49,1,20,0,9,0,79,122
59031,"Vancouver Island North/Île de Vancouver-Nord"," 216","Cumberland",121,1,30,6,20,1,179,350
59031,"Vancouver Island North/Île de Vancouver-Nord"," 216-1","Cumberland",72,0,24,3,14,3,116,214
59031,"Vancouver Island North/Île de Vancouver-Nord"," 217A","Cumberland",78,0,51,7,15,0,151,269
59031,"Vancouver Island North/Île de Vancouver-Nord"," 217B","Cumberland",91,2,37,5,16,1,152,262
59031,"Vancouver Island North/Île de Vancouver-Nord"," 218A","Cumberland",102,2,45,5,17,0,171,286
