Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catharine Johannson,Frank Komarniski,Ray Larkin,Marcelle Marion,Roger F. Poisson,Judy Wasylycia-Leis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 28","Winnipeg",7,0,29,13,0,99,0,148,334
46012,"Winnipeg North/Winnipeg-Nord"," 29","Winnipeg",3,0,33,11,0,106,0,153,345
46012,"Winnipeg North/Winnipeg-Nord"," 30","Winnipeg",1,0,3,16,0,30,0,50,368
46012,"Winnipeg North/Winnipeg-Nord"," 31","Winnipeg",6,1,29,12,1,115,0,164,395
46012,"Winnipeg North/Winnipeg-Nord"," 32","Winnipeg",9,0,19,11,1,111,1,152,337
46012,"Winnipeg North/Winnipeg-Nord"," 33","Winnipeg",3,0,24,4,0,86,0,117,306
46012,"Winnipeg North/Winnipeg-Nord"," 34","Winnipeg",12,2,35,18,0,98,0,165,366
46012,"Winnipeg North/Winnipeg-Nord"," 35","Winnipeg",13,1,33,3,0,99,1,150,347
46012,"Winnipeg North/Winnipeg-Nord"," 36","Winnipeg",0,2,13,7,0,52,1,75,200
46012,"Winnipeg North/Winnipeg-Nord"," 37","Winnipeg",1,1,44,11,0,103,1,161,367
46012,"Winnipeg North/Winnipeg-Nord"," 38","Winnipeg",3,2,22,9,0,53,1,90,255
46012,"Winnipeg North/Winnipeg-Nord"," 39","Winnipeg",7,0,36,14,1,100,2,160,305
46012,"Winnipeg North/Winnipeg-Nord"," 40","Winnipeg",4,0,42,13,0,96,0,155,337
46012,"Winnipeg North/Winnipeg-Nord"," 41","Winnipeg",13,1,61,9,3,122,1,210,437
46012,"Winnipeg North/Winnipeg-Nord"," 42","Winnipeg",5,2,32,5,1,92,2,139,315
46012,"Winnipeg North/Winnipeg-Nord"," 43","Winnipeg",11,1,40,38,1,157,0,248,539
46012,"Winnipeg North/Winnipeg-Nord"," 44","Winnipeg",11,1,51,30,3,138,3,237,453
46012,"Winnipeg North/Winnipeg-Nord"," 45","Winnipeg",6,0,39,30,1,179,2,257,559
46012,"Winnipeg North/Winnipeg-Nord"," 46","Winnipeg",11,0,59,16,1,111,2,200,400
46012,"Winnipeg North/Winnipeg-Nord"," 47","Winnipeg",7,0,63,14,0,148,1,233,503
46012,"Winnipeg North/Winnipeg-Nord"," 48","Winnipeg",6,2,41,27,0,123,1,200,428
46012,"Winnipeg North/Winnipeg-Nord"," 49","Winnipeg",8,2,34,14,0,111,1,170,412
46012,"Winnipeg North/Winnipeg-Nord"," 50","Winnipeg",4,0,42,10,1,130,0,187,406
46012,"Winnipeg North/Winnipeg-Nord"," 51","Winnipeg",8,0,37,15,1,97,2,160,477
46012,"Winnipeg North/Winnipeg-Nord"," 52","Winnipeg",2,0,27,14,0,72,0,115,386
46012,"Winnipeg North/Winnipeg-Nord"," 53","Winnipeg",8,2,56,14,0,151,1,232,431
46012,"Winnipeg North/Winnipeg-Nord"," 54","Winnipeg",11,1,55,19,1,98,1,186,417
46012,"Winnipeg North/Winnipeg-Nord"," 55","Winnipeg",4,0,45,16,0,108,0,173,369
46012,"Winnipeg North/Winnipeg-Nord"," 56","Winnipeg",4,0,48,16,0,94,1,163,435
46012,"Winnipeg North/Winnipeg-Nord"," 57","Winnipeg",7,2,32,11,1,78,1,132,324
46012,"Winnipeg North/Winnipeg-Nord"," 58","Winnipeg",5,2,42,4,0,84,0,137,419
46012,"Winnipeg North/Winnipeg-Nord"," 59","Winnipeg",9,0,49,13,2,71,0,144,371
46012,"Winnipeg North/Winnipeg-Nord"," 60","Winnipeg",6,0,21,12,0,62,1,102,424
46012,"Winnipeg North/Winnipeg-Nord"," 61","Winnipeg",3,0,41,7,3,87,1,142,404
46012,"Winnipeg North/Winnipeg-Nord"," 62","Winnipeg",11,3,59,21,0,147,0,241,482
46012,"Winnipeg North/Winnipeg-Nord"," 63","Winnipeg",11,4,50,11,2,120,0,198,425
46012,"Winnipeg North/Winnipeg-Nord"," 64","Winnipeg",9,1,43,15,1,110,1,180,440
46012,"Winnipeg North/Winnipeg-Nord"," 65","Winnipeg",4,0,26,11,0,98,0,139,385
46012,"Winnipeg North/Winnipeg-Nord"," 66","Winnipeg",1,0,38,14,0,73,0,126,374
46012,"Winnipeg North/Winnipeg-Nord"," 67","Winnipeg",5,0,50,20,1,110,2,188,438
46012,"Winnipeg North/Winnipeg-Nord"," 68","Winnipeg",0,0,17,11,1,64,0,93,267
46012,"Winnipeg North/Winnipeg-Nord"," 69","Winnipeg",4,1,23,12,1,46,1,88,313
46012,"Winnipeg North/Winnipeg-Nord"," 70","Winnipeg",4,2,37,17,0,93,1,154,359
46012,"Winnipeg North/Winnipeg-Nord"," 71","Winnipeg",5,1,39,21,0,74,0,140,293
46012,"Winnipeg North/Winnipeg-Nord"," 72","Winnipeg",4,1,49,26,1,100,1,182,381
46012,"Winnipeg North/Winnipeg-Nord"," 73","Winnipeg",2,3,97,25,0,131,0,258,513
46012,"Winnipeg North/Winnipeg-Nord"," 74","Winnipeg",7,1,46,18,0,83,0,155,438
46012,"Winnipeg North/Winnipeg-Nord"," 75","Winnipeg",10,0,59,16,1,68,0,154,383
46012,"Winnipeg North/Winnipeg-Nord"," 76","Winnipeg",4,1,28,11,0,79,1,124,363
46012,"Winnipeg North/Winnipeg-Nord"," 77","Winnipeg",6,0,33,7,2,83,0,131,316
46012,"Winnipeg North/Winnipeg-Nord"," 78","Winnipeg",12,0,24,9,1,77,0,123,305
46012,"Winnipeg North/Winnipeg-Nord"," 79","Winnipeg",6,0,49,10,0,101,0,166,373
46012,"Winnipeg North/Winnipeg-Nord"," 80","Winnipeg",15,1,41,7,0,107,0,171,423
46012,"Winnipeg North/Winnipeg-Nord"," 81","Winnipeg",10,1,12,8,0,77,1,109,272
46012,"Winnipeg North/Winnipeg-Nord"," 82","Winnipeg",4,1,36,13,0,86,1,141,424
46012,"Winnipeg North/Winnipeg-Nord"," 83","Winnipeg",5,0,20,6,0,94,0,125,379
46012,"Winnipeg North/Winnipeg-Nord"," 84","Winnipeg",18,0,29,14,1,96,0,158,433
46012,"Winnipeg North/Winnipeg-Nord"," 85","Winnipeg",5,1,19,8,0,75,0,108,321
46012,"Winnipeg North/Winnipeg-Nord"," 86","Winnipeg",12,1,23,14,2,108,1,161,401
46012,"Winnipeg North/Winnipeg-Nord"," 87","Winnipeg",5,3,51,13,1,83,0,156,272
46012,"Winnipeg North/Winnipeg-Nord"," 88","Winnipeg",18,3,37,12,0,124,0,194,395
46012,"Winnipeg North/Winnipeg-Nord"," 89","Winnipeg",9,3,25,8,1,64,1,111,281
46012,"Winnipeg North/Winnipeg-Nord"," 90","Winnipeg",24,5,41,23,0,82,2,177,378
46012,"Winnipeg North/Winnipeg-Nord"," 91","Winnipeg",19,3,27,8,1,123,1,182,370
46012,"Winnipeg North/Winnipeg-Nord"," 92","Winnipeg",18,0,33,11,0,101,1,164,365
46012,"Winnipeg North/Winnipeg-Nord"," 93","Winnipeg",14,2,31,12,0,80,0,139,324
46012,"Winnipeg North/Winnipeg-Nord"," 94","Winnipeg",7,0,33,2,0,106,0,148,401
46012,"Winnipeg North/Winnipeg-Nord"," 95","Winnipeg",1,0,21,10,1,97,0,130,382
46012,"Winnipeg North/Winnipeg-Nord"," 96","Winnipeg",6,0,39,3,1,67,0,116,344
46012,"Winnipeg North/Winnipeg-Nord"," 97","Winnipeg",6,0,22,12,0,69,0,109,414
46012,"Winnipeg North/Winnipeg-Nord"," 98","Winnipeg",1,1,17,4,0,68,1,92,388
46012,"Winnipeg North/Winnipeg-Nord"," 99","Winnipeg",2,0,30,11,0,81,0,124,373
46012,"Winnipeg North/Winnipeg-Nord"," 100","Winnipeg",11,0,30,10,0,86,1,138,376
46012,"Winnipeg North/Winnipeg-Nord"," 101","Winnipeg",11,1,32,16,0,96,1,157,372
46012,"Winnipeg North/Winnipeg-Nord"," 102","Winnipeg",7,0,44,17,1,125,0,194,412
46012,"Winnipeg North/Winnipeg-Nord"," 103","Winnipeg",18,1,44,10,1,135,0,209,472
46012,"Winnipeg North/Winnipeg-Nord"," 104","Winnipeg",12,1,13,6,0,87,0,119,376
46012,"Winnipeg North/Winnipeg-Nord"," 105","Winnipeg",0,0,13,5,0,71,0,89,326
46012,"Winnipeg North/Winnipeg-Nord"," 106","Winnipeg",1,2,18,13,0,96,0,130,403
46012,"Winnipeg North/Winnipeg-Nord"," 107","Winnipeg",6,2,37,16,1,100,1,163,533
46012,"Winnipeg North/Winnipeg-Nord"," 108","Winnipeg",5,0,26,9,1,69,0,110,315
46012,"Winnipeg North/Winnipeg-Nord"," 109","Winnipeg",15,0,16,5,2,100,0,138,434
46012,"Winnipeg North/Winnipeg-Nord"," 110","Winnipeg",9,1,32,16,3,101,3,165,422
46012,"Winnipeg North/Winnipeg-Nord"," 111","Winnipeg",6,2,13,6,0,61,1,89,323
46012,"Winnipeg North/Winnipeg-Nord"," 112","Winnipeg",8,1,26,13,1,84,0,133,457
46012,"Winnipeg North/Winnipeg-Nord"," 113","Winnipeg",2,1,12,1,0,60,1,77,305
46012,"Winnipeg North/Winnipeg-Nord"," 114","Winnipeg",9,1,29,15,1,104,2,161,403
46012,"Winnipeg North/Winnipeg-Nord"," 115","Winnipeg",4,0,22,3,10,60,0,99,435
46012,"Winnipeg North/Winnipeg-Nord"," 116","Winnipeg",6,1,15,2,1,60,1,86,323
46012,"Winnipeg North/Winnipeg-Nord"," 117","Winnipeg",6,1,14,11,0,79,0,111,414
46012,"Winnipeg North/Winnipeg-Nord"," 118","Winnipeg",4,2,15,2,0,70,1,94,376
46012,"Winnipeg North/Winnipeg-Nord"," 119","Winnipeg",1,5,9,4,1,56,1,77,247
46012,"Winnipeg North/Winnipeg-Nord"," 120","Winnipeg",2,0,9,9,0,41,0,61,338
46012,"Winnipeg North/Winnipeg-Nord"," 121","Winnipeg",1,0,5,3,0,37,0,46,223
46012,"Winnipeg North/Winnipeg-Nord"," 122","Winnipeg",7,2,20,7,0,85,1,122,429
46012,"Winnipeg North/Winnipeg-Nord"," 123","Winnipeg",7,0,19,8,0,51,0,85,288
46012,"Winnipeg North/Winnipeg-Nord"," 124","Winnipeg",9,0,15,3,0,46,0,73,360
46012,"Winnipeg North/Winnipeg-Nord"," 125","Winnipeg",8,0,14,2,0,63,0,87,331
46012,"Winnipeg North/Winnipeg-Nord"," 126","Winnipeg",3,1,34,23,0,52,2,115,296
46012,"Winnipeg North/Winnipeg-Nord"," 127","Winnipeg",7,0,17,8,1,46,0,79,278
46012,"Winnipeg North/Winnipeg-Nord"," 128","Winnipeg",10,0,9,11,1,44,0,75,299
46012,"Winnipeg North/Winnipeg-Nord"," 129","Winnipeg",7,0,12,8,0,53,0,80,358
46012,"Winnipeg North/Winnipeg-Nord"," 130","Winnipeg",4,3,15,5,0,39,0,66,374
46012,"Winnipeg North/Winnipeg-Nord"," 131","Winnipeg",3,0,5,1,0,40,0,49,310
46012,"Winnipeg North/Winnipeg-Nord"," 132","Winnipeg",9,5,22,12,0,103,0,151,508
46012,"Winnipeg North/Winnipeg-Nord"," 133","Winnipeg",5,2,18,6,0,69,0,100,312
46012,"Winnipeg North/Winnipeg-Nord"," 134","Winnipeg",14,3,13,7,0,75,1,113,274
46012,"Winnipeg North/Winnipeg-Nord"," 400","Winnipeg",5,1,10,4,0,23,1,44,203
46012,"Winnipeg North/Winnipeg-Nord"," 401","Winnipeg",Void/Supprimé,,,,,,,,
46012,"Winnipeg North/Winnipeg-Nord"," 402","Winnipeg",1,3,18,15,2,69,0,108,154
46012,"Winnipeg North/Winnipeg-Nord"," 500","Mobile poll/Bureau itinérant",9,3,32,11,0,57,2,114,178
46012,"Winnipeg North/Winnipeg-Nord"," 501","Mobile poll/Bureau itinérant",2,2,25,8,0,78,0,115,148
46012,"Winnipeg North/Winnipeg-Nord"," 502","Mobile poll/Bureau itinérant",1,1,9,3,0,65,1,80,212
46012,"Winnipeg North/Winnipeg-Nord"," 503","Mobile poll/Bureau itinérant",0,0,4,0,0,12,0,16,53
46012,"Winnipeg North/Winnipeg-Nord"," 504","Mobile poll/Bureau itinérant",0,0,8,1,0,32,0,41,62
46012,"Winnipeg North/Winnipeg-Nord"," 505","Mobile poll/Bureau itinérant",0,1,9,5,1,41,1,58,140
46012,"Winnipeg North/Winnipeg-Nord"," 506","Mobile poll/Bureau itinérant",3,0,5,2,0,32,0,42,86
46012,"Winnipeg North/Winnipeg-Nord"," 600","Winnipeg",8,0,33,17,0,102,0,160,
46012,"Winnipeg North/Winnipeg-Nord"," 601","Winnipeg",6,1,40,26,0,108,0,181,
46012,"Winnipeg North/Winnipeg-Nord"," 602","Winnipeg",16,1,82,14,1,177,3,294,
46012,"Winnipeg North/Winnipeg-Nord"," 603","Winnipeg",5,1,28,7,0,50,0,91,
46012,"Winnipeg North/Winnipeg-Nord"," 604","Winnipeg",13,2,35,18,2,107,2,179,
46012,"Winnipeg North/Winnipeg-Nord"," 605","Winnipeg",10,2,13,9,1,29,0,64,
46012,"Winnipeg North/Winnipeg-Nord"," 606","Winnipeg",5,1,81,25,2,135,0,249,
46012,"Winnipeg North/Winnipeg-Nord"," 607","Winnipeg",9,1,57,31,0,163,0,261,
46012,"Winnipeg North/Winnipeg-Nord",,Group 1/Groupe 1,16,3,20,81,2,50,15,187,247
46012,"Winnipeg North/Winnipeg-Nord",,Group 2/Groupe 2,16,0,46,27,0,173,1,263,

