Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Caron,Gilles Duceppe,François Yo Gourd,François Grégoire,Serge Lachapelle,Daniel "F4J" Laforest,Charles K. Langford,Samie Pagé-Quirion,Dylan Perceval-Maxwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 177","Montréal",32,108,7,41,1,0,13,3,21,1,227,471
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 178","Montréal",31,76,2,23,0,0,8,3,3,7,153,411
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 179","Montréal",28,149,3,31,1,17,17,0,16,2,264,486
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 180","Montréal",37,98,3,45,0,0,7,0,9,1,200,468
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 181","Montréal",50,138,0,34,0,2,12,0,21,1,258,472
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 182","Montréal",43,92,0,36,0,0,17,0,21,4,213,470
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 183","Montréal",32,60,0,12,1,0,11,0,3,2,121,406
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 184","Montréal",26,71,2,40,0,0,19,0,12,1,171,416
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 185","Montréal",37,52,3,42,3,1,5,0,14,0,157,396
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 186","Montréal",32,62,3,22,0,0,16,1,13,4,153,301
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 187","Montréal",84,44,2,18,1,2,24,0,4,3,182,482
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 188","Montréal",131,18,1,30,3,0,9,1,8,3,204,360
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 189","Montréal",72,32,0,7,5,4,20,2,6,3,151,409
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 190A","Montréal",21,45,2,21,0,0,10,0,10,0,109,398
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 190B","Montréal",25,27,0,20,0,0,16,0,5,1,94,409
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 191","Montréal",60,31,1,22,2,0,12,0,7,0,135,453
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 192","Montréal",57,32,0,12,2,0,13,0,3,2,121,305
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 193","Montréal",17,45,1,15,0,0,3,0,7,1,89,275
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 194","Montréal",33,74,1,19,0,0,9,0,10,5,151,451
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 194-1","Montréal",45,95,1,51,0,0,14,0,16,2,224,373
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 194-2A","Montréal",68,108,0,38,1,1,29,2,7,0,254,466
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 194-2B","Montréal",76,91,0,45,0,0,38,0,14,2,266,468
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 400","Montréal",Void/Supprimé,,,,,,,,,,,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 401","Montréal",19,46,3,7,0,1,3,0,2,4,85,147
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 402","Montréal",83,146,2,38,0,0,16,0,17,1,303,477
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 403","Montréal",55,96,0,14,0,0,38,1,6,4,214,305
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 600","Montréal",47,276,4,44,0,1,23,1,19,3,418,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 601","Montréal",60,248,3,59,4,0,16,0,12,2,404,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 602","Montréal",64,219,2,44,0,0,24,1,25,4,383,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 603","Montréal",119,290,2,84,1,1,32,2,36,8,575,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 604","Montréal",43,242,2,41,0,1,11,0,19,5,364,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 605","Montréal",59,247,3,53,0,2,19,1,25,2,411,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 606","Montréal",58,177,2,46,0,0,22,0,34,2,341,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 607","Montréal",96,287,6,60,0,0,41,0,37,1,528,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 608","Montréal",76,148,3,45,0,3,29,0,9,0,313,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 609","Montréal",64,207,4,29,2,0,20,3,12,5,346,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 610","Montréal",76,328,2,67,1,0,49,2,24,8,557,
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie",,Group 1/Groupe 1,42,76,3,25,0,2,16,1,13,12,190,269
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie",,Group 2/Groupe 2,171,488,4,122,2,1,43,0,68,18,917,

