Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon Dougherty,Jim Karygiannis,Benson Lau,Adrian Molder,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 53","Scarborough",24,113,46,6,0,189,527
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 54","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 55","Scarborough",17,138,142,3,3,303,437
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56","Scarborough",22,113,37,2,1,175,393
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56-1","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 56-2","Scarborough",34,208,73,5,3,323,574
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 57","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 58","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 59","Scarborough",39,167,63,12,3,284,571
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 60","Scarborough",24,146,73,5,0,248,559
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 61","Scarborough",21,104,33,3,1,162,467
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 62","Scarborough",26,120,48,10,0,204,445
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 63","Scarborough",24,154,67,16,3,264,558
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 64","Scarborough",27,126,64,4,1,222,431
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 65","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 66","Scarborough",21,94,56,13,1,185,382
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 67","Scarborough",6,123,79,11,1,220,418
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 68","Scarborough",15,142,92,16,0,265,481
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 69","Scarborough",28,146,85,25,0,284,535
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 70","Scarborough",23,137,77,15,1,253,450
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 71","Scarborough",13,109,78,16,0,216,434
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 72","Scarborough",9,68,51,26,0,154,269
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 73","Scarborough",14,130,71,23,2,240,404
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 74","Scarborough",16,88,46,27,1,178,339
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 75","Scarborough",15,115,81,17,2,230,407
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 76","Scarborough",19,142,52,7,3,223,358
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 77","Scarborough",26,141,40,4,2,213,334
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 78","Scarborough",11,101,112,24,2,250,416
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 79","Scarborough",12,94,71,28,1,206,372
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 80","Scarborough",15,139,54,8,2,218,412
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81","Scarborough",42,169,83,9,2,305,602
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-1","Scarborough",33,132,21,5,0,191,551
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-2","Scarborough",13,140,27,5,1,186,364
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 81-3","Scarborough",24,110,44,6,2,186,441
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 82","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 83","Scarborough",11,102,68,15,0,196,307
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 84","Scarborough",14,125,84,21,0,244,401
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 85","Scarborough",16,115,54,11,0,196,443
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 86","Scarborough",13,132,89,17,0,251,454
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 87","Scarborough",24,118,74,13,1,230,564
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 88","Scarborough",15,85,58,15,0,173,346
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 89","Scarborough",15,122,81,7,2,227,457
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 90","Scarborough",19,109,50,16,6,200,371
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 91","Scarborough",18,93,49,3,1,164,459
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 92","Scarborough",17,79,57,8,0,161,466
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 93","Scarborough",27,129,34,9,1,200,598
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 94A","Scarborough",16,97,90,2,3,208,401
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 94B","Scarborough",16,100,72,5,1,194,400
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 95","Scarborough",12,50,46,2,0,110,292
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 96","Scarborough",12,153,143,5,2,315,558
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 97","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 98","Scarborough",31,106,62,15,0,214,521
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 99","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 100","Scarborough",17,155,43,6,0,221,580
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 101","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 102","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 103","Scarborough",38,72,36,6,0,152,449
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 104","Scarborough",16,104,57,11,1,189,470
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 105","Scarborough",17,102,92,16,0,227,344
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 106","Scarborough",29,117,72,21,0,239,390
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 107","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 108","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 109","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 110","Scarborough",25,149,61,13,2,250,442
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 111","Scarborough",15,110,60,9,0,194,411
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 112","Scarborough",27,139,43,17,1,227,377
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 113","Scarborough",26,151,64,34,2,277,509
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 114","Scarborough",29,136,81,8,1,255,536
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 115","Scarborough",35,130,89,10,0,264,523
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 116","Scarborough",22,126,34,6,1,189,460
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 117","Scarborough",18,140,63,14,0,235,463
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 118","Scarborough",18,118,74,19,3,232,415
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 119","Scarborough",41,146,77,17,8,289,522
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 120","Scarborough",33,179,63,10,2,287,522
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 121","Scarborough",20,130,60,13,0,223,425
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 122","Scarborough",28,81,53,9,1,172,391
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 123","Scarborough",27,121,105,16,1,270,539
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 124","Scarborough",11,68,27,4,2,112,351
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 125","Scarborough",41,130,53,26,1,251,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 126","Scarborough",19,110,50,11,0,190,348
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 127A","Scarborough",15,99,40,11,0,165,364
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 127B","Scarborough",9,79,51,8,0,147,359
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 128","Scarborough",18,71,23,1,1,114,283
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 129","Scarborough",21,100,68,8,0,197,433
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 130","Scarborough",27,108,70,7,0,212,403
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 131","Scarborough",18,145,54,24,0,241,455
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 132","Scarborough",23,129,53,10,0,215,411
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 133","Scarborough",33,101,55,16,0,205,405
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 134","Scarborough",23,119,58,12,3,215,464
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 135","Scarborough",17,112,75,15,3,222,443
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 136","Scarborough",11,86,62,15,1,175,422
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 137","Scarborough",12,108,85,16,2,223,433
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 138","Scarborough",11,101,50,6,0,168,386
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 139","Scarborough",35,108,63,14,1,221,426
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 140","Scarborough",21,112,92,18,3,246,492
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 141","Scarborough",20,103,65,11,2,201,433
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 142","Scarborough",18,108,64,18,1,209,395
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 143","Scarborough",12,121,52,11,1,197,396
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 144","Scarborough",37,130,68,11,3,249,519
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 400","Scarborough",21,119,83,1,1,225,537
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 401","Scarborough",20,137,93,12,1,263,562
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 402","Scarborough",19,126,74,1,2,222,537
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 403","Scarborough",17,51,32,6,2,108,287
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 404","Scarborough",14,123,90,9,3,239,572
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 405","Scarborough",13,87,47,3,0,150,374
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 406","Scarborough",17,89,74,3,3,186,418
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 407","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 408","Scarborough",12,95,42,5,2,156,283
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 409","Scarborough",15,97,31,3,0,146,354
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 410","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 411","Scarborough",26,114,34,6,0,180,401
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 412","Scarborough",10,99,58,4,1,172,317
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 413","Scarborough",12,97,57,5,0,171,258
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 414","Scarborough",10,122,105,13,2,252,477
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 415","Scarborough",15,125,74,13,0,227,444
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 416","Scarborough",17,195,37,5,2,256,474
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 417","Scarborough",25,199,46,2,2,274,562
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 418","Scarborough",11,98,67,3,0,179,289
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 419","Scarborough",27,80,73,4,1,185,448
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 420","Scarborough",17,84,62,4,0,167,374
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 421","Scarborough",21,123,40,3,1,188,391
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 422","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 423","Scarborough",11,53,21,5,1,91,325
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 424","Scarborough",18,62,140,3,4,227,291
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 425","Scarborough",18,71,24,4,0,117,236
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 426","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 427","Scarborough",17,76,119,4,6,222,333
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 428","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 429","Scarborough",5,21,85,2,2,115,137
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 430","Scarborough",14,126,24,5,0,169,315
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 431","Scarborough",16,89,48,7,1,161,275
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 432","Scarborough",3,27,19,1,0,50,180
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 433","Scarborough",8,91,89,1,1,190,372
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 434","Scarborough",18,71,77,12,1,179,380
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 500","Mobile poll/Bureau itinérant",15,36,97,8,1,157,264
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 501","Mobile poll/Bureau itinérant",15,46,64,0,4,129,281
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 600","Scarborough",6,138,68,17,3,232,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 601","Scarborough",29,293,167,17,1,507,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 602","Scarborough",34,309,189,28,2,562,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 603","Scarborough",35,218,119,33,0,405,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 604","Scarborough",44,297,204,20,2,567,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 605","Scarborough",37,297,202,29,1,566,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 606","Scarborough",26,195,104,16,0,341,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 607","Scarborough",19,189,96,19,0,323,
35080,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 1/Groupe 1,11,22,16,1,0,50,86
35080,"Scarborough--Agincourt/Scarborough--Agincourt",,Group 2/Groupe 2,41,336,143,27,5,552,

