Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Bender,Manuel Couto,Drew Garvie,Tom King,Kornelis Klevering,Gloria Kovach,Karen Levenson,Mike Nagy,John Turmel,Frank Valeriote,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Guelph/Guelph"," 118","Guelph",0,0,0,73,1,44,0,138,0,71,2,329,527
35027,"Guelph/Guelph"," 119","Guelph",0,0,2,77,0,46,0,131,0,69,0,325,574
35027,"Guelph/Guelph"," 120","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 121","Guelph",0,0,0,72,1,50,0,128,0,93,0,344,532
35027,"Guelph/Guelph"," 122","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 123","Guelph",1,0,1,65,2,66,0,83,0,86,2,306,534
35027,"Guelph/Guelph"," 124","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 125","Guelph",0,0,0,51,2,103,1,51,0,83,0,291,521
35027,"Guelph/Guelph"," 126","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 127A","Guelph",0,0,0,32,0,26,1,21,0,41,2,123,318
35027,"Guelph/Guelph"," 127B","Guelph",0,0,0,25,1,33,0,13,1,31,1,105,310
35027,"Guelph/Guelph"," 128","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 129","Guelph",4,0,0,54,1,74,2,44,0,72,1,252,406
35027,"Guelph/Guelph"," 130","Guelph",0,0,1,70,0,53,0,90,0,63,1,278,421
35027,"Guelph/Guelph"," 131","Guelph",0,0,0,62,0,64,0,141,0,106,2,375,595
35027,"Guelph/Guelph"," 132","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 133","Guelph",0,1,0,53,0,51,1,82,0,112,0,300,467
