Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Arbour,Jake Cole,Justin MacKinnon,Gordon O'Connor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-1","Kanata",30,35,78,123,0,266,469
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-2A","Kanata",24,18,93,126,3,264,459
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-2B","Kanata",22,18,76,127,0,243,420
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 22","Kanata",17,28,59,109,1,214,358
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 23","Kanata",10,25,28,93,1,157,263
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 24","Kanata",19,36,87,240,1,383,589
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 25A","West Carleton",14,18,27,104,0,163,273
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 25B","West Carleton",16,17,34,97,0,164,320
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 26","West Carleton",12,23,54,121,0,210,361
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 26-1","West Carleton",10,25,43,113,0,191,320
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 27","West Carleton",17,56,76,177,2,328,540
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 28A","West Carleton",11,23,37,128,0,199,335
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 28B","West Carleton",14,17,35,115,1,182,322
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 29","West Carleton",13,15,24,106,0,158,300
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 30A","West Carleton",14,24,31,137,0,206,338
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 30B","West Carleton",23,28,37,142,1,231,361
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 31A","West Carleton",14,15,32,99,1,161,280
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 31B","West Carleton",12,20,34,129,0,195,318
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 32A","West Carleton",19,20,34,143,1,217,337
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 32B","West Carleton",21,22,35,117,4,199,301
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 33","West Carleton",16,42,67,151,1,277,494
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 34A","West Carleton",18,13,17,108,0,156,276
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 34B","West Carleton",15,15,33,115,1,179,325
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 35","Kanata",23,13,75,116,1,228,406
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 36","Kanata",20,37,88,152,0,297,480
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 36-1","Kanata",25,25,116,199,0,365,613
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 37","Kanata",20,41,56,118,0,235,404
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38A","Kanata",26,20,68,79,0,193,375
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38B","Kanata",32,23,74,97,0,226,424
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38-1A","Kanata",24,21,81,102,0,228,425
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38-1B","Kanata",19,22,73,121,0,235,406
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38-2","Kanata",8,5,47,66,0,126,225
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38-3","Kanata",35,8,93,105,1,242,504
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 39","Kanata",21,22,65,101,2,211,393
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 40A","Kanata",26,18,58,109,3,214,383
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 40B","Kanata",26,28,63,117,0,234,440
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 41","Kanata",50,33,82,162,0,327,574
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 42","Kanata",11,10,58,59,0,138,281
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 43","Kanata",18,13,71,111,2,215,466
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 44","Kanata",26,13,63,111,0,213,445
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 45","Kanata",29,15,58,79,1,182,388
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 46","Kanata",31,32,104,163,0,330,574
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 47","Kanata",43,34,78,118,3,276,518
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 48","Kanata",15,43,81,121,2,262,388
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 49","Kanata",13,42,60,80,3,198,313
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 50","Kanata",8,30,80,88,0,206,345
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 51","Kanata",8,10,35,73,0,126,257
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 52","Kanata",14,28,110,161,0,313,532
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 52-1","Kanata",25,31,69,99,1,225,433
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 53","Kanata",33,17,71,87,0,208,389
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 53-1","Kanata",20,26,80,107,0,233,428
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 54","Kanata",27,42,86,125,3,283,492
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 55","Kanata",25,18,72,101,0,216,369
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 55-1","Kanata",8,10,42,69,0,129,283
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 56","Kanata",13,23,90,153,0,279,484
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 57","Kanata",20,36,87,138,0,281,458
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 58A","Kanata",20,36,74,91,0,221,337
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 58B","Kanata",9,36,58,100,0,203,322
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 59","Kanata",27,22,40,48,0,137,333
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 60","Kanata",28,29,43,98,0,198,381
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 61","Kanata",25,42,78,116,2,263,385
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 62","Kanata",28,23,81,124,0,256,414
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 63","Kanata",43,25,52,88,0,208,369
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 64","Kanata",35,45,83,103,2,268,433
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 65","Kanata",2,9,77,87,0,175,323
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 65-1","Kanata",17,18,50,82,0,167,282
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66A","Kanata",38,26,66,98,0,228,397
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66B","Kanata",15,19,68,85,0,187,336
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66-1","Kanata",39,19,76,109,2,245,464
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66-2","Kanata",14,19,84,145,1,263,495
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 67","Kanata",37,10,64,99,0,210,375
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 68","Kanata",34,27,61,113,0,235,366
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 69","Kanata",28,19,71,114,1,233,382
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 70","Kanata",17,60,46,85,0,208,325
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 71","Kanata",26,33,51,118,0,228,420
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 72","Kanata",19,14,41,68,0,142,233
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 73","Kanata",45,23,83,144,0,295,461
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 74","Kanata",34,26,61,143,2,266,424
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 75","Kanata",19,16,78,78,0,191,280
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 76","Kanata",28,30,73,153,1,285,457
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 77","Kanata",16,26,52,99,3,196,346
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 78","Kanata",36,44,104,178,0,362,560
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 79","Kanata",15,26,65,126,1,233,346
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 80","Kanata",16,27,62,111,1,217,311
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 81","Kanata",24,18,27,88,0,157,301
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 82","Kanata",37,25,82,154,4,302,428
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 83","Kanata",26,37,81,117,0,261,372
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 84","Kanata",38,24,69,111,1,243,435
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 85","Kanata",26,17,51,126,0,220,377
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 86","Kanata",29,29,53,88,0,199,346
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 87","Kanata",21,23,95,105,0,244,400
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 88","Kanata",15,9,32,55,1,112,193
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 89","Kanata",38,25,35,103,2,203,423
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 90","Kanata",31,25,36,79,0,171,332
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 91","Kanata",28,35,61,116,0,240,401
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 92","Kanata",26,24,47,84,0,181,291
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 93","Kanata",32,16,48,113,2,211,369
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 94","Kanata",39,16,77,115,0,247,499
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 95","Kanata",46,17,41,89,0,193,304
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 96","Kanata",31,28,45,126,2,232,426
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 97","Kanata",27,23,27,77,0,154,273
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 98","Kanata",41,24,45,132,1,243,427
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 99","Kanata",48,11,33,85,1,178,349
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 100","Kanata",49,35,64,167,0,315,555
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 101","Kanata",33,23,27,96,2,181,309
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 102","Kanata",35,20,20,141,0,216,368
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 103","Kanata",27,19,19,117,0,182,287
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 104","Kanata",29,21,33,95,0,178,373
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 105","Kanata",46,28,66,187,1,328,537
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 106","Kanata",19,20,34,73,0,146,314
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 107","Kanata",22,24,47,104,0,197,320
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 108","Kanata",25,23,59,105,1,213,385
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 109","Kanata",41,35,79,200,3,358,526
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 110A","Kanata",15,20,58,109,0,202,346
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 110B","Kanata",21,16,63,91,0,191,303
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 111","Kanata",33,31,70,124,0,258,415
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 112","Kanata",34,18,38,124,1,215,412
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 113","Kanata",16,21,46,77,1,161,267
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 114","Kanata",18,15,48,75,1,157,277
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 115","Kanata",20,11,52,69,1,153,285
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 116","Kanata",23,19,43,86,0,171,318
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 117","Kanata",25,23,89,113,2,252,437
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 118","Kanata",17,25,43,70,0,155,278
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 119","Kanata",30,22,61,111,0,224,435
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 120","Kanata",20,15,23,47,0,105,210
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 121","Kanata",35,26,42,75,2,180,323
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 122","Kanata",16,13,56,132,0,217,399
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 123","Kanata",12,13,59,130,1,215,435
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 124","Kanata",39,26,69,131,2,267,460
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 125","Kanata",31,19,72,123,0,245,462
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 126A","Kanata",20,13,56,71,0,160,258
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 126B","Kanata",28,20,45,94,0,187,276
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 127","Kanata",29,19,72,122,0,242,416
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 127-1","Kanata",24,27,67,136,1,255,443
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 128A","Kanata",19,11,43,96,0,169,322
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 128B","Kanata",21,15,55,80,0,171,326
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 129","Kanata",23,8,36,71,0,138,243
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 130","Kanata",28,12,54,67,1,162,379
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 131","Kanata",39,31,72,114,0,256,484
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 132A","Kanata",48,26,109,150,0,333,566
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 132B","Kanata",45,28,105,141,1,320,544
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 133","Kanata",24,32,102,171,2,331,559
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 134","Kanata",28,33,69,120,1,251,438
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 135","Kanata",22,10,54,75,1,162,350
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 136","Kanata",24,26,58,115,1,224,378
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 137","Kanata",15,21,55,120,1,212,298
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 138","Kanata",23,20,44,105,0,192,337
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 139","Kanata",49,30,56,143,1,279,469
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 140A","Goulbourn",39,32,79,164,2,316,565
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 140B","Goulbourn",40,29,54,210,0,333,575
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 140C","Goulbourn",32,35,65,184,1,317,567
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 141","Goulbourn",19,20,62,183,0,284,467
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 142","Goulbourn",26,24,71,204,1,326,547
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 142-1","Goulbourn",27,23,54,172,0,276,462
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 142-2","Goulbourn",14,15,42,159,2,232,454
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 143A","Goulbourn",15,25,10,142,1,193,303
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 143B","Goulbourn",18,28,11,119,0,176,282
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144","Goulbourn",36,30,74,218,2,360,618
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144-1A","Goulbourn",16,12,50,137,0,215,343
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144-1B","Goulbourn",14,8,41,133,1,197,303
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144-2","Goulbourn",18,17,23,129,0,187,308
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 145","Goulbourn",12,16,12,125,0,165,336
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 146","Goulbourn",25,33,42,218,0,318,459
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 147","Goulbourn",23,33,36,168,2,262,432
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 148","Goulbourn",25,12,41,115,3,196,275
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 149","Goulbourn",30,28,36,167,1,262,431
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 150","Goulbourn",16,30,24,149,2,221,401
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 151","Goulbourn",21,22,53,182,1,279,457
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 151-1","Goulbourn",19,22,62,161,0,264,458
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 152","Goulbourn",21,18,21,116,0,176,336
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 153","Goulbourn",27,24,34,105,2,192,317
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 154","Goulbourn",18,14,30,131,0,193,335
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 155","Goulbourn",15,23,45,136,0,219,353
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 156","Goulbourn",22,23,48,127,1,221,344
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 157","Goulbourn",32,32,20,139,0,223,383
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 158","Goulbourn",33,12,16,116,0,177,394
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 159A","Goulbourn",17,20,54,148,1,240,356
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 159B","Goulbourn",12,15,35,88,0,150,261
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 159-1","Goulbourn",31,21,58,169,1,280,495
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 160","Goulbourn",33,22,41,121,0,217,400
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 161","Goulbourn",4,7,27,63,0,101,219
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 162","Goulbourn",4,8,50,109,0,171,385
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 163","Goulbourn",21,30,91,178,0,320,565
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 164","Goulbourn",30,34,64,203,3,334,554
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 165","Goulbourn",16,16,44,160,0,236,400
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 166","Goulbourn",27,23,83,172,0,305,531
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 167","Goulbourn",13,8,29,88,0,138,282
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 167-1","Goulbourn",14,18,44,127,0,203,356
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 168","Goulbourn",25,24,44,115,0,208,402
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 169","Goulbourn",14,15,50,155,0,234,396
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 170","Goulbourn",34,21,54,189,2,300,547
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 171","Goulbourn",42,28,63,206,0,339,522
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 172","Goulbourn",14,27,45,135,1,222,400
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 173","Goulbourn",13,34,54,167,0,268,458
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 174A","Goulbourn",32,23,74,213,1,343,549
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 174B","Goulbourn",22,30,92,212,0,356,603
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 175","Goulbourn",27,27,46,146,0,246,458
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 176","Goulbourn",27,33,39,155,0,254,478
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 177","Goulbourn",16,21,41,117,0,195,316
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 178","Goulbourn",29,22,69,127,0,247,394
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 179","Goulbourn",16,16,26,127,0,185,331
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 180","Goulbourn",17,21,45,112,1,196,322
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 181","Mississippi Mills",16,26,28,234,0,304,528
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 182","Mississippi Mills",23,25,39,134,0,221,380
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 183A","Mississippi Mills",23,27,26,128,1,205,336
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 183B","Mississippi Mills",13,24,21,109,0,167,298
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 184","Mississippi Mills",14,19,31,97,2,163,267
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 185","Mississippi Mills",24,49,36,199,0,308,534
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 186A","Mississippi Mills",12,20,19,95,0,146,292
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 186B","Mississippi Mills",4,27,29,88,0,148,280
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 187","Mississippi Mills",29,36,48,101,0,214,368
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 188","Mississippi Mills",25,47,21,108,3,204,336
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 189","Mississippi Mills",13,39,51,99,0,202,369
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 190","Mississippi Mills",43,21,19,148,0,231,463
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 191","Mississippi Mills",14,31,21,115,1,182,319
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 191-1","Mississippi Mills",12,15,32,87,1,147,267
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 192","Mississippi Mills",17,27,22,78,0,144,326
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 193","Mississippi Mills",35,43,53,124,0,255,464
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 194","Mississippi Mills",33,39,59,234,0,365,600
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 195","Mississippi Mills",22,23,36,160,1,242,414
35012,"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 196","Mississippi Mills",30,28,33,123,0,214,406
