Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marianne Breton Fontaine,Christine Dandenault,Diane Dicaire,Luc Labbé,Simon Landry,Philippe Larochelle,Blair T. Longley,Réal Ménard,Jean-Claude Rocheleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Hochelaga/Hochelaga"," 43","Montréal",0,0,65,22,3,10,2,109,45,6,262,448
24021,"Hochelaga/Hochelaga"," 44","Montréal",1,0,38,24,1,20,0,108,26,3,221,389
24021,"Hochelaga/Hochelaga"," 45","Montréal",1,0,36,18,0,3,0,81,31,3,173,357
24021,"Hochelaga/Hochelaga"," 46","Montréal",1,0,42,16,1,12,2,86,39,4,203,458
24021,"Hochelaga/Hochelaga"," 47","Montréal",2,0,67,25,1,10,0,91,20,3,219,451
24021,"Hochelaga/Hochelaga"," 48","Montréal",3,2,40,17,0,10,0,81,23,4,180,403
24021,"Hochelaga/Hochelaga"," 49","Montréal",2,0,59,23,0,7,1,151,39,1,283,430
24021,"Hochelaga/Hochelaga"," 50","Montréal",1,1,77,27,1,11,3,144,39,1,305,496
24021,"Hochelaga/Hochelaga"," 51","Montréal",1,0,58,21,0,8,1,107,33,3,232,424
24021,"Hochelaga/Hochelaga"," 52","Montréal",0,1,44,22,0,17,1,108,28,2,223,388
24021,"Hochelaga/Hochelaga"," 53","Montréal",0,3,49,23,0,9,3,124,39,5,255,428
24021,"Hochelaga/Hochelaga"," 54","Montréal",0,2,60,34,1,4,0,100,40,3,244,443
24021,"Hochelaga/Hochelaga"," 55","Montréal",0,0,41,26,0,4,0,88,27,3,189,349
24021,"Hochelaga/Hochelaga"," 56","Montréal",1,3,64,41,2,5,1,106,38,3,264,480
24021,"Hochelaga/Hochelaga"," 57","Montréal",0,0,54,26,0,5,0,47,15,0,147,269
24021,"Hochelaga/Hochelaga"," 58","Montréal",0,0,34,11,0,4,0,63,16,3,131,231
24021,"Hochelaga/Hochelaga"," 59","Montréal",0,0,56,37,2,3,2,111,38,3,252,393
24021,"Hochelaga/Hochelaga"," 60","Montréal",1,0,74,31,0,14,2,94,39,4,259,403
24021,"Hochelaga/Hochelaga"," 61","Montréal",0,2,76,33,1,17,3,97,33,5,267,393
24021,"Hochelaga/Hochelaga"," 62","Montréal",1,1,90,43,1,14,4,125,35,3,317,450
24021,"Hochelaga/Hochelaga"," 63","Montréal",0,0,71,31,0,7,1,118,32,2,262,398
24021,"Hochelaga/Hochelaga"," 64","Montréal",0,0,61,29,0,8,0,61,28,5,192,300
24021,"Hochelaga/Hochelaga"," 65","Montréal",1,0,76,24,0,12,1,102,36,2,254,389
24021,"Hochelaga/Hochelaga"," 66","Montréal",1,1,108,53,0,4,2,113,25,3,310,448
24021,"Hochelaga/Hochelaga"," 67","Montréal",2,0,35,21,0,4,0,56,23,1,142,246
24021,"Hochelaga/Hochelaga"," 68","Montréal",0,1,62,40,0,7,0,78,13,0,201,382
24021,"Hochelaga/Hochelaga"," 69","Montréal",0,0,106,27,1,14,0,108,30,0,286,438
24021,"Hochelaga/Hochelaga"," 70","Montréal",1,0,44,27,0,5,1,138,43,1,260,370
24021,"Hochelaga/Hochelaga"," 71","Montréal",0,0,51,16,0,16,0,96,11,1,191,285
24021,"Hochelaga/Hochelaga"," 72","Montréal",Void/Supprimé,,,,,,,,,,,
24021,"Hochelaga/Hochelaga"," 73A","Montréal",1,0,34,19,0,6,0,92,34,4,190,430
24021,"Hochelaga/Hochelaga"," 73B","Montréal",2,1,114,32,2,4,0,74,16,3,248,312
24021,"Hochelaga/Hochelaga"," 74","Montréal",1,0,32,21,2,8,1,56,31,0,152,324
24021,"Hochelaga/Hochelaga"," 75","Montréal",0,0,42,28,0,10,1,109,29,0,219,372
24021,"Hochelaga/Hochelaga"," 76A","Montréal",0,0,27,23,0,5,0,103,26,1,185,350
24021,"Hochelaga/Hochelaga"," 76B","Montréal",0,0,27,6,0,6,0,67,20,0,126,240
24021,"Hochelaga/Hochelaga"," 77","Montréal",0,0,32,16,1,3,1,93,21,5,172,341
24021,"Hochelaga/Hochelaga"," 78","Montréal",0,0,25,16,0,9,0,91,21,0,162,384
24021,"Hochelaga/Hochelaga"," 79","Montréal",2,3,35,19,1,8,0,156,41,3,268,448
24021,"Hochelaga/Hochelaga"," 80","Montréal",0,1,27,16,0,6,0,82,20,2,154,252
24021,"Hochelaga/Hochelaga"," 81","Montréal",0,1,17,16,1,5,0,74,16,1,131,276
24021,"Hochelaga/Hochelaga"," 82","Montréal",2,0,11,10,0,3,1,87,17,0,131,249
24021,"Hochelaga/Hochelaga"," 83","Montréal",0,0,28,20,2,7,1,91,27,0,176,398
24021,"Hochelaga/Hochelaga"," 84","Montréal",1,1,36,24,1,1,0,108,20,0,192,349
24021,"Hochelaga/Hochelaga"," 85","Montréal",1,0,49,15,0,5,0,80,32,3,185,436
24021,"Hochelaga/Hochelaga"," 86","Montréal",0,0,20,16,0,5,0,56,9,1,107,279
24021,"Hochelaga/Hochelaga"," 87","Montréal",0,1,36,20,1,8,1,80,18,9,174,461
24021,"Hochelaga/Hochelaga"," 88","Montréal",0,1,40,12,1,7,1,123,42,1,228,468
24021,"Hochelaga/Hochelaga"," 89","Montréal",0,2,33,9,0,7,0,78,42,2,173,385
24021,"Hochelaga/Hochelaga"," 90A","Montréal",0,1,22,9,0,9,0,91,27,3,162,301
24021,"Hochelaga/Hochelaga"," 90B","Montréal",0,1,38,12,1,7,1,80,20,7,167,298
24021,"Hochelaga/Hochelaga"," 91","Montréal",1,0,48,8,2,13,0,143,31,1,247,362
24021,"Hochelaga/Hochelaga"," 92","Montréal",0,0,36,16,0,6,0,101,22,1,182,351
24021,"Hochelaga/Hochelaga"," 93","Montréal",0,1,23,13,0,5,2,82,14,0,140,335
24021,"Hochelaga/Hochelaga"," 94","Montréal",0,0,47,16,1,8,0,136,29,3,240,416
24021,"Hochelaga/Hochelaga"," 95A","Montréal",0,0,33,10,1,18,1,104,37,3,207,441
24021,"Hochelaga/Hochelaga"," 95B","Montréal",0,0,35,9,1,11,1,120,35,2,214,361
24021,"Hochelaga/Hochelaga"," 96","Montréal",1,1,23,13,2,6,1,117,29,4,197,470
24021,"Hochelaga/Hochelaga"," 97","Montréal",2,1,34,9,0,9,1,144,32,4,236,443
24021,"Hochelaga/Hochelaga"," 98","Montréal",0,1,14,6,0,24,1,124,33,1,204,408
24021,"Hochelaga/Hochelaga"," 99","Montréal",3,0,20,10,2,18,1,140,49,7,250,457
24021,"Hochelaga/Hochelaga"," 100","Montréal",2,0,23,7,0,12,0,139,43,5,231,507
24021,"Hochelaga/Hochelaga"," 101","Montréal",0,1,39,8,0,6,0,84,31,3,172,414
24021,"Hochelaga/Hochelaga"," 102","Montréal",0,0,28,8,2,13,0,156,36,2,245,420
24021,"Hochelaga/Hochelaga"," 103","Montréal",3,0,19,14,0,4,0,99,20,8,167,403
24021,"Hochelaga/Hochelaga"," 104","Montréal",0,1,32,12,0,12,0,92,27,1,177,402
24021,"Hochelaga/Hochelaga"," 105","Montréal",0,0,36,15,0,13,1,100,39,4,208,458
24021,"Hochelaga/Hochelaga"," 106","Montréal",0,0,24,6,1,10,2,94,33,9,179,338
24021,"Hochelaga/Hochelaga"," 107","Montréal",0,0,22,4,2,6,0,96,38,0,168,324
24021,"Hochelaga/Hochelaga"," 108","Montréal",1,0,19,4,1,6,1,120,42,4,198,380
24021,"Hochelaga/Hochelaga"," 109","Montréal",0,2,27,4,0,9,1,140,37,2,222,364
24021,"Hochelaga/Hochelaga"," 110","Montréal",1,0,23,8,2,11,1,130,49,3,228,409
24021,"Hochelaga/Hochelaga"," 111","Montréal",1,1,40,12,4,9,3,180,42,6,298,478
24021,"Hochelaga/Hochelaga"," 112","Montréal",1,2,30,8,1,21,0,137,54,6,260,448
24021,"Hochelaga/Hochelaga"," 113","Montréal",1,2,35,12,1,16,2,142,42,2,255,520
24021,"Hochelaga/Hochelaga"," 114","Montréal",2,30,33,10,3,9,4,132,40,5,268,473
24021,"Hochelaga/Hochelaga"," 115","Montréal",0,0,25,5,1,11,1,94,24,2,163,399
24021,"Hochelaga/Hochelaga"," 116","Montréal",0,2,37,10,0,9,0,82,31,4,175,415
24021,"Hochelaga/Hochelaga"," 117","Montréal",0,0,21,11,1,17,0,100,29,4,183,403
24021,"Hochelaga/Hochelaga"," 118","Montréal",1,1,24,17,0,11,0,134,30,0,218,473
24021,"Hochelaga/Hochelaga"," 119","Montréal",1,0,16,11,2,8,0,83,17,1,139,313
24021,"Hochelaga/Hochelaga"," 120","Montréal",2,1,63,15,0,13,2,141,56,3,296,538
24021,"Hochelaga/Hochelaga"," 120-1","Montréal",0,1,23,10,1,9,0,123,31,6,204,376
24021,"Hochelaga/Hochelaga"," 121","Montréal",2,2,31,8,3,15,2,136,39,4,242,535
24021,"Hochelaga/Hochelaga"," 122","Montréal",0,0,16,8,2,8,1,122,18,3,178,423
24021,"Hochelaga/Hochelaga"," 123","Montréal",0,0,15,2,1,12,0,108,34,2,174,388
24021,"Hochelaga/Hochelaga"," 124","Montréal",1,1,17,12,3,17,0,170,31,5,257,548
24021,"Hochelaga/Hochelaga"," 125","Montréal",0,1,26,10,4,13,2,136,13,3,208,397
24021,"Hochelaga/Hochelaga"," 126","Montréal",0,2,30,15,0,13,1,107,21,0,189,394
24021,"Hochelaga/Hochelaga"," 127A","Montréal",1,0,14,6,1,4,1,78,25,1,131,298
24021,"Hochelaga/Hochelaga"," 127B","Montréal",0,0,18,6,0,8,0,79,19,4,134,310
24021,"Hochelaga/Hochelaga"," 128","Montréal",0,0,22,17,3,6,0,95,25,6,174,395
24021,"Hochelaga/Hochelaga"," 129","Montréal",1,0,24,14,1,13,0,110,29,3,195,474
24021,"Hochelaga/Hochelaga"," 130","Montréal",2,1,32,7,3,8,3,120,28,1,205,398
24021,"Hochelaga/Hochelaga"," 131","Montréal",1,0,22,9,1,1,0,106,19,4,163,344
24021,"Hochelaga/Hochelaga"," 132","Montréal",1,2,26,13,3,6,0,141,35,4,231,464
24021,"Hochelaga/Hochelaga"," 133","Montréal",2,2,32,17,3,19,2,139,33,6,255,522
24021,"Hochelaga/Hochelaga"," 134","Montréal",0,2,20,6,2,24,0,128,48,5,235,482
24021,"Hochelaga/Hochelaga"," 135","Montréal",0,0,20,16,2,20,1,148,42,5,254,490
24021,"Hochelaga/Hochelaga"," 136","Montréal",1,0,24,7,2,6,3,95,42,7,187,345
24021,"Hochelaga/Hochelaga"," 137","Montréal",0,0,26,8,0,7,1,140,42,4,228,446
24021,"Hochelaga/Hochelaga"," 138","Montréal",0,0,27,5,0,9,1,165,37,2,246,469
24021,"Hochelaga/Hochelaga"," 138-1","Montréal",2,0,33,7,0,7,0,70,26,4,149,315
24021,"Hochelaga/Hochelaga"," 139","Montréal",0,1,17,10,1,9,0,102,30,0,170,362
24021,"Hochelaga/Hochelaga"," 140","Montréal",1,0,15,7,2,6,2,108,37,4,182,370
24021,"Hochelaga/Hochelaga"," 141","Montréal",0,1,12,8,4,7,2,84,16,2,136,319
24021,"Hochelaga/Hochelaga"," 142","Montréal",Void/Supprimé,,,,,,,,,,,
24021,"Hochelaga/Hochelaga"," 143","Montréal",20,0,18,13,1,12,1,106,43,2,216,406
24021,"Hochelaga/Hochelaga"," 144","Montréal",0,0,20,14,1,10,1,135,33,1,215,481
24021,"Hochelaga/Hochelaga"," 145A","Montréal",1,0,34,20,1,13,3,156,39,2,269,471
24021,"Hochelaga/Hochelaga"," 145B","Montréal",1,1,10,4,2,1,1,10,2,2,34,67
24021,"Hochelaga/Hochelaga"," 146","Montréal",0,0,13,6,1,7,0,99,30,1,157,359
24021,"Hochelaga/Hochelaga"," 147","Montréal",0,0,29,12,2,4,0,103,29,0,179,351
24021,"Hochelaga/Hochelaga"," 148","Montréal",2,1,25,9,0,14,0,104,34,5,194,413
24021,"Hochelaga/Hochelaga"," 149","Montréal",1,0,25,13,2,18,2,89,32,3,185,386
24021,"Hochelaga/Hochelaga"," 150","Montréal",1,0,30,23,1,9,0,100,34,4,202,410
24021,"Hochelaga/Hochelaga"," 151","Montréal",0,1,57,22,1,15,2,116,38,2,254,477
24021,"Hochelaga/Hochelaga"," 152","Montréal",0,0,33,11,2,23,1,178,54,1,303,528
24021,"Hochelaga/Hochelaga"," 153","Montréal",1,0,21,17,0,6,1,106,24,2,178,345
24021,"Hochelaga/Hochelaga"," 154","Montréal",1,0,19,4,0,10,0,68,21,2,125,345
24021,"Hochelaga/Hochelaga"," 155","Montréal",2,0,37,20,1,8,0,135,51,3,257,488
24021,"Hochelaga/Hochelaga"," 156","Montréal",2,0,37,10,1,14,2,143,51,3,263,498
24021,"Hochelaga/Hochelaga"," 157","Montréal",0,0,29,9,1,12,1,89,25,1,167,335
24021,"Hochelaga/Hochelaga"," 158","Montréal",2,0,21,8,0,9,1,93,33,2,169,380
24021,"Hochelaga/Hochelaga"," 159","Montréal",1,0,17,3,2,10,1,96,33,2,165,355
24021,"Hochelaga/Hochelaga"," 160","Montréal",0,0,32,17,0,12,0,145,50,4,260,543
24021,"Hochelaga/Hochelaga"," 161","Montréal",0,0,22,16,0,9,0,81,32,1,161,304
24021,"Hochelaga/Hochelaga"," 162","Montréal",0,1,37,17,3,4,0,99,46,2,209,406
24021,"Hochelaga/Hochelaga"," 163","Montréal",0,0,17,9,1,9,0,108,40,4,188,324
24021,"Hochelaga/Hochelaga"," 164","Montréal",1,0,15,3,2,9,2,113,30,3,178,334
24021,"Hochelaga/Hochelaga"," 165","Montréal",1,2,29,3,2,12,0,110,39,3,201,410
24021,"Hochelaga/Hochelaga"," 166","Montréal",0,0,15,6,1,11,1,106,29,2,171,381
24021,"Hochelaga/Hochelaga"," 167","Montréal",1,0,20,3,3,8,3,126,18,2,184,348
24021,"Hochelaga/Hochelaga"," 168","Montréal",0,1,27,13,0,16,0,116,39,0,212,380
24021,"Hochelaga/Hochelaga"," 169","Montréal",2,2,31,17,3,9,1,102,26,1,194,389
24021,"Hochelaga/Hochelaga"," 170","Montréal",0,1,51,15,0,5,1,92,36,1,202,416
24021,"Hochelaga/Hochelaga"," 171","Montréal",1,0,31,9,0,10,2,147,34,3,237,406
24021,"Hochelaga/Hochelaga"," 172","Montréal",0,2,35,10,4,11,2,121,36,8,229,451
24021,"Hochelaga/Hochelaga"," 173","Montréal",2,2,40,25,4,5,0,65,28,4,175,324
24021,"Hochelaga/Hochelaga"," 174","Montréal",0,1,20,17,2,9,2,117,50,1,219,449
24021,"Hochelaga/Hochelaga"," 175","Montréal",1,1,26,12,1,17,1,93,22,3,177,353
24021,"Hochelaga/Hochelaga"," 176","Montréal",3,0,48,15,0,12,2,94,29,2,205,391
24021,"Hochelaga/Hochelaga"," 177","Montréal",0,0,32,9,0,8,1,128,26,4,208,384
24021,"Hochelaga/Hochelaga"," 178","Montréal",1,1,33,14,0,13,0,89,38,1,190,344
24021,"Hochelaga/Hochelaga"," 179","Montréal",1,0,16,12,0,15,1,83,37,1,166,470
24021,"Hochelaga/Hochelaga"," 180","Montréal",3,1,35,20,0,0,2,101,27,1,190,454
24021,"Hochelaga/Hochelaga"," 181","Montréal",0,0,30,8,2,12,2,106,62,0,222,360
24021,"Hochelaga/Hochelaga"," 182","Montréal",1,2,29,7,1,11,2,92,38,2,185,362
24021,"Hochelaga/Hochelaga"," 183","Montréal",0,1,14,4,2,9,2,81,28,3,144,261
24021,"Hochelaga/Hochelaga"," 184","Montréal",0,3,38,10,1,14,0,95,28,2,191,412
24021,"Hochelaga/Hochelaga"," 185","Montréal",2,1,57,29,4,6,1,120,40,6,266,414
24021,"Hochelaga/Hochelaga"," 186","Montréal",0,0,56,12,0,6,4,95,29,4,206,500
24021,"Hochelaga/Hochelaga"," 187","Montréal",1,1,36,7,1,9,0,93,31,3,182,397
24021,"Hochelaga/Hochelaga"," 188","Montréal",1,0,46,12,0,5,0,92,38,5,199,539
24021,"Hochelaga/Hochelaga"," 189","Montréal",0,0,12,9,4,14,3,82,34,3,161,358
24021,"Hochelaga/Hochelaga"," 190","Montréal",0,0,18,8,1,13,2,90,39,0,171,399
24021,"Hochelaga/Hochelaga"," 400","Montréal",1,3,79,59,1,3,0,107,17,4,274,373
24021,"Hochelaga/Hochelaga"," 401","Montréal",0,0,68,48,2,5,0,99,8,5,235,294
24021,"Hochelaga/Hochelaga"," 402","Montréal",0,1,78,38,0,0,0,96,15,5,233,339
24021,"Hochelaga/Hochelaga"," 403","Montréal",0,1,63,52,0,5,0,81,18,1,221,317
24021,"Hochelaga/Hochelaga"," 404","Montréal",2,1,50,36,1,6,0,110,10,5,221,351
24021,"Hochelaga/Hochelaga"," 405","Montréal",2,0,40,16,1,4,3,109,16,6,197,360
24021,"Hochelaga/Hochelaga"," 500","Mobile poll/Bureau itinérant",2,1,41,8,1,1,0,3,2,0,59,136
24021,"Hochelaga/Hochelaga"," 501","Mobile poll/Bureau itinérant",1,1,19,0,0,1,0,4,0,2,28,56
24021,"Hochelaga/Hochelaga"," 502","Mobile poll/Bureau itinérant",0,1,14,7,1,0,0,8,6,6,43,133
24021,"Hochelaga/Hochelaga"," 503A","Mobile poll/Bureau itinérant",2,0,42,13,4,5,2,5,7,2,82,172
24021,"Hochelaga/Hochelaga"," 503B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,,,,50
24021,"Hochelaga/Hochelaga"," 504","Mobile poll/Bureau itinérant",1,0,18,12,1,5,0,19,2,4,62,128
24021,"Hochelaga/Hochelaga"," 600","Montréal",1,2,243,128,4,22,1,206,54,8,669,
24021,"Hochelaga/Hochelaga"," 601","Montréal",1,0,75,43,2,10,1,154,31,3,320,
24021,"Hochelaga/Hochelaga"," 602","Montréal",1,1,96,54,2,10,1,201,36,7,409,
24021,"Hochelaga/Hochelaga"," 603","Montréal",0,0,105,56,0,5,0,152,21,0,339,
24021,"Hochelaga/Hochelaga"," 604","Montréal",0,3,30,20,1,9,0,141,30,0,234,
24021,"Hochelaga/Hochelaga"," 605","Montréal",1,4,56,35,2,15,1,287,59,15,475,
24021,"Hochelaga/Hochelaga"," 606","Montréal",0,1,84,51,2,8,1,257,44,10,458,
24021,"Hochelaga/Hochelaga"," 607","Montréal",1,0,42,30,2,15,2,273,41,8,414,
24021,"Hochelaga/Hochelaga"," 608","Montréal",0,0,66,29,4,20,0,226,35,3,383,
24021,"Hochelaga/Hochelaga"," 609","Montréal",0,0,84,38,2,17,2,281,52,7,483,
24021,"Hochelaga/Hochelaga",,Group 1/Groupe 1,3,0,42,25,0,8,4,80,18,3,183,255
24021,"Hochelaga/Hochelaga",,Group 2/Groupe 2,3,1,89,63,2,28,1,302,59,13,561,

